Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,9.6. Other oxides: RELAB + Nicolet / Merged RELAB & Nicolet at 2.5um / different viewing geometries.
Date Added,2016-07-15 22:03:48.524637

Data ID,RPN_OOX_03          
Sample ID,HAU101
Mineral Name,hausmannite
Grain Size,<45
Viewing Geometry,30 / 0 | 30
Resolution,1.2-129
Material Class,Oxide

Wavelength
305.0,0.049041
310.0,0.048141
315.0,0.047741
320.0,0.047195
325.0,0.046838
330.0,0.046623
335.0,0.046378
340.0,0.046136
345.0,0.045949
350.0,0.045665
355.0,0.0455
360.0,0.045267
365.0,0.045053
370.0,0.044763
375.0,0.044486
380.0,0.044275
385.0,0.044045
390.0,0.0439
395.0,0.043842
400.0,0.043852
405.0,0.043751
410.0,0.043573
415.0,0.043553
420.0,0.043485
425.0,0.043494
430.0,0.043479
435.0,0.043454
440.0,0.043421
445.0,0.043425
450.0,0.043449
455.0,0.043509
460.0,0.043644
465.0,0.043858
470.0,0.044133
475.0,0.044452
480.0,0.044828
485.0,0.045222
490.0,0.045622
495.0,0.046083
500.0,0.046604
505.0,0.047206
510.0,0.048067
515.0,0.04919
520.0,0.050462
525.0,0.051813
530.0,0.053268
535.0,0.054886
540.0,0.056642
545.0,0.058474
550.0,0.060443
555.0,0.062199
560.0,0.063639
565.0,0.064566
570.0,0.065904
575.0,0.06855
580.0,0.072476
585.0,0.076697
590.0,0.080822
595.0,0.084691
600.0,0.0885
605.0,0.092238
610.0,0.096031
615.0,0.099717
620.0,0.103325
625.0,0.106719
630.0,0.110123
635.0,0.113297
640.0,0.116324
645.0,0.119143
650.0,0.121843
655.0,0.124315
660.0,0.126632
665.0,0.128718
670.0,0.130959
675.0,0.132736
680.0,0.134616
685.0,0.136343
690.0,0.138068
695.0,0.139541
700.0,0.141285
705.0,0.142909
710.0,0.144657
715.0,0.146301
720.0,0.148378
725.0,0.150011
730.0,0.151809
735.0,0.153638
740.0,0.15556
745.0,0.157511
750.0,0.159543
755.0,0.161519
760.0,0.163682
765.0,0.165876
770.0,0.168227
775.0,0.170577
780.0,0.17266
785.0,0.175164
790.0,0.177608
795.0,0.18031
800.0,0.183034
805.0,0.185724
810.0,0.188561
815.0,0.191583
820.0,0.194718
825.0,0.197881
830.0,0.201064
835.0,0.204407
840.0,0.207932
845.0,0.211219
850.0,0.215013
855.0,0.218453
860.0,0.222536
865.0,0.226135
870.0,0.230257
875.0,0.234347
880.0,0.238264
885.0,0.242433
890.0,0.247242
895.0,0.251798
900.0,0.256339
905.0,0.260994
910.0,0.265382
915.0,0.269558
920.0,0.27537
925.0,0.280074
930.0,0.285375
935.0,0.290216
940.0,0.295869
945.0,0.30091
950.0,0.306699
955.0,0.312012
960.0,0.317299
965.0,0.323378
970.0,0.329159
975.0,0.335993
980.0,0.3422
985.0,0.349385
990.0,0.355254
995.0,0.361488
1000.0,0.366571
1005.0,0.372914
1010.0,0.379542
1015.0,0.386862
1020.0,0.393032
1025.0,0.399743
1030.0,0.406475
1035.0,0.412807
1040.0,0.418598
1045.0,0.425268
1050.0,0.432073
1055.0,0.438825
1060.0,0.446006
1065.0,0.452566
1070.0,0.45873
1075.0,0.465065
1080.0,0.471416
1085.0,0.476757
1090.0,0.483211
1095.0,0.490096
1100.0,0.495884
1105.0,0.501336
1110.0,0.506524
1115.0,0.511327
1120.0,0.517056
1125.0,0.521844
1130.0,0.527272
1135.0,0.532751
1140.0,0.537249
1145.0,0.540522
1150.0,0.544954
1155.0,0.549173
1160.0,0.553989
1165.0,0.559098
1170.0,0.563586
1175.0,0.568451
1180.0,0.571673
1185.0,0.574535
1190.0,0.577545
1195.0,0.58047
1200.0,0.583296
1205.0,0.585839
1210.0,0.588544
1215.0,0.59164
1220.0,0.595269
1225.0,0.598027
1230.0,0.601819
1235.0,0.604963
1240.0,0.606716
1245.0,0.609188
1250.0,0.610706
