Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,8. Sulfates: RELAB + Nicolet spectra / Spectra all made consistently merged: Jan. 10 2005
Date Added,2016-07-15 22:06:01.475134

Data ID,RPN_SUL_72          
Sample ID,SPT153
Mineral Name,Lazurite
Grain Size,<45
Viewing Geometry,30 / 0 | 30
Resolution,5 / 0.7-475
Material Class,Sulfate

Wavelength
305.0,0.3524
310.0,0.36543
315.0,0.37806
320.0,0.39205
325.0,0.40485
330.0,0.41562
335.0,0.42308
340.0,0.42974
345.0,0.43439
350.0,0.43927
355.0,0.44589
360.0,0.45312
365.0,0.46072
370.0,0.46863
375.0,0.47696
380.0,0.48656
385.0,0.49504
390.0,0.50414
395.0,0.51252
400.0,0.52012
405.0,0.5287
410.0,0.5375
415.0,0.5466
420.0,0.5562
425.0,0.5665
430.0,0.57604
435.0,0.58583
440.0,0.59309
445.0,0.60091
450.0,0.60592
455.0,0.61135
460.0,0.61307
465.0,0.61494
470.0,0.61308
475.0,0.61182
480.0,0.60546
485.0,0.6006
490.0,0.59109
495.0,0.58057
500.0,0.56699
505.0,0.55198
510.0,0.53538
515.0,0.51732
520.0,0.49963
525.0,0.48135
530.0,0.46413
535.0,0.44733
540.0,0.43169
545.0,0.41703
550.0,0.40435
555.0,0.39221
560.0,0.38201
565.0,0.37286
570.0,0.36559
575.0,0.35928
580.0,0.35461
585.0,0.35058
590.0,0.34836
595.0,0.34638
600.0,0.34648
605.0,0.34644
610.0,0.34861
615.0,0.35118
620.0,0.35515
625.0,0.3595
630.0,0.36556
635.0,0.37197
640.0,0.38026
645.0,0.38864
650.0,0.39879
655.0,0.40954
660.0,0.42241
665.0,0.43544
670.0,0.45053
675.0,0.46644
680.0,0.48363
685.0,0.50108
690.0,0.51899
695.0,0.53702
700.0,0.55499
705.0,0.57144
710.0,0.58653
715.0,0.60184
720.0,0.6136
725.0,0.62371
730.0,0.63307
735.0,0.64038
740.0,0.64587
745.0,0.65054
750.0,0.65493
755.0,0.65689
760.0,0.65962
765.0,0.66073
770.0,0.66239
775.0,0.66296
780.0,0.66467
785.0,0.66441
790.0,0.6653
795.0,0.6653
800.0,0.66651
805.0,0.66609
810.0,0.66622
815.0,0.66669
820.0,0.66648
825.0,0.66716
830.0,0.66705
835.0,0.66724
840.0,0.66841
845.0,0.66808
850.0,0.669
855.0,0.66942
860.0,0.67004
865.0,0.66938
870.0,0.67023
