Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-03 20:53:02.062232

Data ID,USGS_alm09          
Sample ID, almandine_ws478.855
Mineral Name, almandine
Material Class,Nesosilicate

Wavelength
221.1, 0.0382880
229.1, 0.0519720
236.1, 0.0555380
242.1, 0.0573100
248.1, 0.0590930
253.6, 0.0599800
258.6, 0.0602050
263.6, 0.0639550
268.6, 0.0640020
273.1, 0.0662590
277.1, 0.0696990
281.1, 0.0731030
285.1, 0.0774220
289.1, 0.0807470
293.1, 0.0870100
297.1, 0.0923300
301.1, 0.0962320
305.1, 0.105899
309.1, 0.111410
313.1, 0.118825
317.1, 0.125634
321.1, 0.133642
325.1, 0.143392
329.1, 0.150318
333.1, 0.156154
337.1, 0.163057
341.1, 0.172380
345.1, 0.179795
349.1, 0.190208
353.1, 0.193967
357.1, 0.201563
360.6, 0.207665
363.6, 0.209088
366.6, 0.212861
369.6, 0.214587
372.6, 0.220050
375.6, 0.227007
378.6, 0.234848
381.1, 0.239086
383.1, 0.245330
385.1, 0.247456
387.1, 0.251953
389.1, 0.254625
391.1, 0.258358
393.1, 0.260920
395.1, 0.263652
397.1, 0.265658
399.1, 0.267904
401.1, 0.271183
403.1, 0.273717
405.1, 0.276173
407.1, 0.278135
409.1, 0.279214
411.1, 0.281803
412.8, 0.283245
415.8, 0.285478
418.8, 0.288814
421.8, 0.290667
424.8, 0.291538
427.8, 0.294911
430.8, 0.298348
433.8, 0.300415
436.8, 0.306039
439.8, 0.311790
442.8, 0.315738
445.8, 0.318885
448.8, 0.321596
451.3, 0.325669
453.3, 0.323690
455.3, 0.325144
457.3, 0.326372
459.3, 0.325059
461.3, 0.325447
463.3, 0.326218
465.3, 0.326061
467.3, 0.328803
469.3, 0.327996
471.3, 0.328268
473.3, 0.331533
475.3, 0.329785
477.3, 0.330810
479.3, 0.331410
481.3, 0.331964
483.3, 0.334359
485.3, 0.332791
487.3, 0.334041
489.3, 0.332882
491.3, 0.334204
493.3, 0.333916
495.3, 0.333884
497.3, 0.334645
499.3, 0.332728
501.3, 0.333945
503.3, 0.333478
505.3, 0.335857
507.3, 0.336276
509.3, 0.340206
511.3, 0.345067
513.3, 0.349641
515.3, 0.352632
517.3, 0.354820
519.3, 0.357789
521.3, 0.358217
523.3, 0.360893
525.3, 0.364531
527.3, 0.365494
529.3, 0.370255
531.3, 0.373802
533.3, 0.379814
535.3, 0.382907
537.3, 0.389536
539.3, 0.393642
541.3, 0.398019
543.3, 0.400651
545.3, 0.404713
547.3, 0.407241
549.3, 0.411937
551.3, 0.414680
553.3, 0.417503
555.3, 0.419930
557.3, 0.420082
559.3, 0.422578
561.3, 0.424707
563.3, 0.425487
565.3, 0.424725
567.3, 0.425196
569.3, 0.426444
571.3, 0.428377
573.3, 0.428951
575.3, 0.429154
577.3, 0.432170
579.3, 0.435483
581.3, 0.438237
583.3, 0.444739
585.3, 0.447512
587.3, 0.452430
589.3, 0.459070
591.3, 0.463436
593.3, 0.468024
595.3, 0.472125
597.3, 0.474685
599.3, 0.478776
601.1, 0.480588
602.7, 0.481345
604.3, 0.481269
605.9, 0.483938
607.5, 0.482862
609.1, 0.487914
610.7, 0.491235
612.3, 0.489495
613.9, 0.490535
615.5, 0.494536
617.1, 0.493923
618.7, 0.494844
620.3, 0.497383
621.9, 0.498611
623.5, 0.501535
625.1, 0.504372
626.7, 0.503909
628.3, 0.505752
629.9, 0.509230
631.7, 0.512623
633.7, 0.516064
635.7, 0.519402
637.7, 0.519605
639.7, 0.522982
641.7, 0.526454
643.7, 0.525272
645.7, 0.529430
647.7, 0.532954
649.7, 0.533558
651.7, 0.535372
653.7, 0.536080
655.7, 0.537609
657.7, 0.538192
659.7, 0.539200
661.7, 0.539766
663.7, 0.540211
665.7, 0.541586
667.7, 0.543237
670.2, 0.540578
673.2, 0.541249
676.2, 0.544572
679.2, 0.541852
682.2, 0.543111
685.2, 0.543823
688.2, 0.545065
691.2, 0.547807
694.2, 0.546687
697.2, 0.547550
700.2, 0.549968
702.0, 0.550068
704.0, 0.551711
706.0, 0.551693
708.0, 0.552878
710.0, 0.556144
712.0, 0.557379
714.0, 0.559752
716.0, 0.561128
718.0, 0.562232
720.0, 0.564283
722.0, 0.567786
724.0, 0.568104
726.0, 0.571578
728.0, 0.574375
730.0, 0.576996
732.0, 0.580525
734.0, 0.580812
736.0, 0.583973
738.0, 0.584913
740.0, 0.587202
742.0, 0.588690
744.0, 0.590897
746.0, 0.594226
748.0, 0.596275
750.5, 0.597413
753.5, 0.601813
756.5, 0.602903
759.5, 0.604231
762.5, 0.607807
765.5, 0.609712
768.5, 0.612365
771.5, 0.612617
774.5, 0.615745
777.5, 0.618120
781.0, 0.617754
785.0, 0.620462
789.0, 0.620734
793.0, 0.623848
797.0, 0.622949
801.5, 0.621459
806.5, 0.624524
811.5, 0.626049
816.5, 0.625969
822.0, 0.624697
828.0, 0.624568
835.0, 0.621939
851.0, 0.619472
859.0, 0.620605
871.0, 0.620246
883.0, 0.617124
894.0, 0.614333
904.0, 0.609821
914.0, 0.612198
924.0, 0.608271
933.0, 0.607377
941.0, 0.602770
949.0, 0.601406
957.0, 0.599218
964.0, 0.602099
970.0, 0.595182
976.0, 0.592409
982.0, 0.594580
988.0, 0.589314
994.0, 0.584991
1000.0, 0.582603
1006.0, 0.579926
1012.0, 0.574610
1018.0, 0.567520
1023.5, 0.568014
1028.5, 0.562638
1033.5, 0.555563
1038.5, 0.552786
1043.5, 0.547902
1048.5, 0.541219
1053.5, 0.535815
1058.5, 0.532930
1063.5, 0.525454
1068.5, 0.519394
1073.5, 0.513412
1078.5, 0.508764
1083.5, 0.500905
1088.5, 0.495181
1093.5, 0.490489
1098.5, 0.483873
1103.5, 0.475723
1108.5, 0.470769
1113.5, 0.465705
1118.5, 0.456538
1123.5, 0.451412
1128.5, 0.445441
1133.5, 0.437993
1138.5, 0.432936
1143.5, 0.428168
1148.5, 0.421512
1153.5, 0.415502
1158.5, 0.410268
1163.5, 0.403378
1168.5, 0.397894
1173.5, 0.393154
1178.5, 0.388858
1183.5, 0.384318
1188.5, 0.378413
1193.5, 0.374722
1198.5, 0.371136
1203.5, 0.365673
1208.5, 0.360863
1213.5, 0.358147
1218.5, 0.354914
1223.5, 0.350195
1228.5, 0.349187
1233.5, 0.344258
1238.5, 0.342480
1243.5, 0.339206
1248.5, 0.335720
1253.5, 0.334964
1258.5, 0.331804
1263.5, 0.329240
1268.5, 0.329110
1273.5, 0.326783
1278.5, 0.324481
1283.5, 0.323878
1288.5, 0.322912
1293.5, 0.320654
1298.5, 0.320785
1303.5, 0.322003
1308.5, 0.320533
1313.5, 0.321733
1318.5, 0.319986
1323.5, 0.321444
1328.5, 0.322362
1333.5, 0.322409
1338.5, 0.323096
1343.5, 0.323699
1348.5, 0.324565
1353.5, 0.327527
1358.5, 0.327885
1363.5, 0.328917
1368.5, 0.332942
1373.5, 0.335271
1378.5, 0.335991
1383.5, 0.340827
1388.5, 0.341830
1393.5, 0.343530
1398.5, 0.346908
1403.5, 0.347188
1408.5, 0.351625
1413.5, 0.352005
1418.5, 0.356192
1423.5, 0.357659
1428.5, 0.360290
1433.5, 0.365031
1438.5, 0.364118
1443.5, 0.368266
1448.5, 0.369138
1453.5, 0.373770
1458.5, 0.375261
1463.5, 0.377344
1468.5, 0.379611
1473.5, 0.381042
1478.5, 0.380321
1483.5, 0.381904
1488.5, 0.384988
1493.5, 0.385638
1498.5, 0.386199
1503.5, 0.386913
1508.5, 0.389029
1513.5, 0.384345
1518.5, 0.388933
1523.5, 0.388777
1528.5, 0.386849
1534.0, 0.387273
1540.0, 0.386596
1546.0, 0.386338
1552.0, 0.386871
1558.0, 0.387279
1564.0, 0.387558
1570.5, 0.383720
1577.5, 0.383870
1584.5, 0.381657
1591.5, 0.380800
1598.5, 0.380402
1605.5, 0.378779
