Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-03 20:57:11.325209

Data ID,USGS_amo02          
Sample ID, amojarosite_scrnhj.1851
Mineral Name, amojarosite
Material Class,Sulfate

Wavelength
205.1, 0.0168260
213.1, 0.0124940
221.1, 0.0119930
229.1, 0.0114370
236.1, 0.0114640
242.1, 0.0112190
248.1, 0.0113210
253.6, 0.0118400
258.6, 0.0111570
263.6, 0.0117120
268.6, 0.0121640
273.1, 0.0120570
277.1, 0.0122910
281.1, 0.0135430
285.1, 0.0138910
289.1, 0.0142220
293.1, 0.0142510
297.1, 0.0146580
301.1, 0.0145230
305.1, 0.0156130
309.1, 0.0150300
313.1, 0.0153940
317.1, 0.0147160
321.1, 0.0149620
325.1, 0.0144890
329.1, 0.0147380
333.1, 0.0150470
337.1, 0.0158690
341.1, 0.0160240
345.1, 0.0167180
349.1, 0.0181980
353.1, 0.0190240
357.1, 0.0220490
360.6, 0.0234660
363.6, 0.0260970
366.6, 0.0290220
369.6, 0.0312170
372.6, 0.0344010
375.6, 0.0366010
378.6, 0.0405500
381.1, 0.0428550
383.1, 0.0464550
385.1, 0.0497770
387.1, 0.0547530
389.1, 0.0600680
391.1, 0.0673340
393.1, 0.0731160
395.1, 0.0811510
397.1, 0.0900540
399.1, 0.100397
401.1, 0.111543
403.1, 0.124357
405.1, 0.136984
407.1, 0.148233
409.1, 0.160361
411.1, 0.170596
412.8, 0.178671
415.8, 0.187751
418.8, 0.191600
421.8, 0.191067
424.8, 0.185142
427.8, 0.177481
430.8, 0.164817
433.8, 0.156209
436.8, 0.157356
439.8, 0.167584
442.8, 0.182961
445.8, 0.199029
448.8, 0.217199
451.3, 0.232750
453.3, 0.245958
455.3, 0.257692
457.3, 0.268887
459.3, 0.280073
461.3, 0.290201
463.3, 0.298319
465.3, 0.306615
467.3, 0.315171
469.3, 0.320856
471.3, 0.326975
473.3, 0.333589
475.3, 0.339935
477.3, 0.345551
479.3, 0.352921
481.3, 0.358291
483.3, 0.363889
485.3, 0.370067
487.3, 0.377106
489.3, 0.380565
491.3, 0.387590
493.3, 0.394873
495.3, 0.398860
497.3, 0.405691
499.3, 0.412190
501.3, 0.416721
503.3, 0.422657
505.3, 0.428143
507.3, 0.434442
509.3, 0.440423
511.3, 0.446955
513.3, 0.452884
515.3, 0.458740
517.3, 0.465915
519.3, 0.471569
521.3, 0.478515
523.3, 0.486641
525.3, 0.491015
527.3, 0.497661
529.3, 0.504295
531.3, 0.511008
533.3, 0.517610
535.3, 0.524482
537.3, 0.530266
539.3, 0.535310
541.3, 0.542628
543.3, 0.549680
545.3, 0.555085
547.3, 0.560433
549.3, 0.566127
551.3, 0.571067
553.3, 0.577724
555.3, 0.582490
557.3, 0.589467
559.3, 0.593015
561.3, 0.600072
563.3, 0.604343
565.3, 0.608060
567.3, 0.613842
569.3, 0.616838
571.3, 0.619720
573.3, 0.623647
575.3, 0.626654
577.3, 0.629203
579.3, 0.632630
581.3, 0.636256
583.3, 0.639768
585.3, 0.640254
587.3, 0.642166
589.3, 0.644363
591.3, 0.645652
593.3, 0.648683
595.3, 0.649836
597.3, 0.652285
599.3, 0.653746
601.1, 0.655168
602.7, 0.656645
604.3, 0.657503
605.9, 0.659657
607.5, 0.660389
609.1, 0.662189
610.7, 0.664389
612.3, 0.664718
613.9, 0.667348
615.5, 0.668737
617.1, 0.669687
618.7, 0.672242
620.3, 0.674304
621.9, 0.675754
623.5, 0.676998
625.1, 0.678077
626.7, 0.680154
628.3, 0.681425
629.9, 0.682865
631.7, 0.686130
633.7, 0.687012
635.7, 0.688251
637.7, 0.690011
639.7, 0.693518
641.7, 0.694858
643.7, 0.696020
645.7, 0.698621
647.7, 0.699922
649.7, 0.702324
651.7, 0.704448
653.7, 0.706760
655.7, 0.709435
657.7, 0.710243
659.7, 0.712375
661.7, 0.716545
663.7, 0.718258
665.7, 0.720250
667.7, 0.723076
670.2, 0.726579
673.2, 0.729474
676.2, 0.734194
679.2, 0.736803
682.2, 0.742136
685.2, 0.742720
688.2, 0.747248
691.2, 0.749026
