Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-03 21:02:08.040876

Data ID,USGS_ant03          
Sample ID, antigorite_nmnh17958.2782
Mineral Name, antigorite
Material Class,Phyllosilicate

Wavelength
236.1, 0.0438130
242.1, 0.0461580
248.1, 0.0477410
253.6, 0.0462610
258.6, 0.0463940
263.6, 0.0488230
268.6, 0.0527930
273.1, 0.0570690
277.1, 0.0651110
281.1, 0.0740750
285.1, 0.0867270
289.1, 0.0991690
293.1, 0.112703
297.1, 0.126691
301.1, 0.144853
305.1, 0.159042
309.1, 0.172646
313.1, 0.188403
317.1, 0.202027
321.1, 0.212918
325.1, 0.220725
329.1, 0.228502
333.1, 0.235308
337.1, 0.242585
341.1, 0.246532
345.1, 0.252171
349.1, 0.258519
353.1, 0.265817
357.1, 0.275844
360.6, 0.283533
363.6, 0.287832
366.6, 0.290611
369.6, 0.295032
372.6, 0.297652
375.6, 0.300083
378.6, 0.300680
381.1, 0.301339
383.1, 0.301335
385.1, 0.302627
387.1, 0.304749
389.1, 0.307866
391.1, 0.310708
393.1, 0.314380
395.1, 0.317042
397.1, 0.317371
399.1, 0.318832
401.1, 0.319702
403.1, 0.320218
405.1, 0.321610
407.1, 0.322365
409.1, 0.323329
411.1, 0.326759
412.8, 0.330128
415.8, 0.332054
418.8, 0.333687
421.8, 0.338720
424.8, 0.342252
427.8, 0.345146
430.8, 0.347796
433.8, 0.350242
436.8, 0.355069
439.8, 0.357795
442.8, 0.359980
445.8, 0.359752
448.8, 0.362042
451.3, 0.363947
453.3, 0.366395
455.3, 0.368326
457.3, 0.370965
459.3, 0.372186
461.3, 0.375702
463.3, 0.377606
465.3, 0.380460
467.3, 0.382415
469.3, 0.386878
471.3, 0.390488
473.3, 0.394223
475.3, 0.397733
477.3, 0.400994
479.3, 0.404454
481.3, 0.406676
483.3, 0.410301
485.3, 0.411960
487.3, 0.413722
489.3, 0.415790
491.3, 0.417480
493.3, 0.417020
495.3, 0.418317
497.3, 0.419522
499.3, 0.422998
501.3, 0.425095
503.3, 0.427968
505.3, 0.430277
507.3, 0.432476
509.3, 0.433085
511.3, 0.434895
513.3, 0.435604
515.3, 0.435842
517.3, 0.437098
519.3, 0.438073
521.3, 0.437455
523.3, 0.438065
525.3, 0.437925
527.3, 0.437643
529.3, 0.437462
531.3, 0.437321
533.3, 0.437607
535.3, 0.438096
537.3, 0.438180
539.3, 0.438288
541.3, 0.438196
543.3, 0.438099
545.3, 0.438780
547.3, 0.438956
549.3, 0.438123
551.3, 0.438416
553.3, 0.438010
555.3, 0.438148
557.3, 0.437875
559.3, 0.436945
561.3, 0.438191
563.3, 0.437293
565.3, 0.436546
567.3, 0.435387
569.3, 0.435398
571.3, 0.434728
573.3, 0.433216
575.3, 0.434045
577.3, 0.431979
579.3, 0.431016
581.3, 0.428702
583.3, 0.428313
585.3, 0.427181
587.3, 0.425530
589.3, 0.425411
591.3, 0.425115
593.3, 0.422387
595.3, 0.421463
597.3, 0.420374
599.3, 0.419665
601.1, 0.418729
602.7, 0.417176
604.3, 0.417307
605.9, 0.415393
607.5, 0.414608
609.1, 0.413494
610.7, 0.412285
612.3, 0.411961
613.9, 0.410254
615.5, 0.408823
617.1, 0.407692
618.7, 0.407660
620.3, 0.405572
621.9, 0.405265
623.5, 0.403510
625.1, 0.402976
626.7, 0.401366
628.3, 0.400068
629.9, 0.398235
631.7, 0.398131
633.7, 0.396759
635.7, 0.396346
637.7, 0.394599
639.7, 0.393444
641.7, 0.392271
643.7, 0.390382
645.7, 0.390437
647.7, 0.388040
649.7, 0.387724
651.7, 0.386949
653.7, 0.385662
655.7, 0.382720
657.7, 0.381929
659.7, 0.382015
661.7, 0.380650
663.7, 0.379889
665.7, 0.378951
667.7, 0.378452
670.2, 0.376514
673.2, 0.375526
676.2, 0.373967
679.2, 0.372513
682.2, 0.370538
685.2, 0.371137
688.2, 0.369805
691.2, 0.368534
694.2, 0.368714
697.2, 0.367615
700.2, 0.366130
702.0, 0.366910
704.0, 0.366454
706.0, 0.365397
708.0, 0.365544
710.0, 0.366041
712.0, 0.365239
714.0, 0.365915
716.0, 0.364248
718.0, 0.366171
720.0, 0.365154
722.0, 0.364951
724.0, 0.365999
726.0, 0.367687
728.0, 0.367259
730.0, 0.367171
732.0, 0.367234
734.0, 0.367842
736.0, 0.368400
738.0, 0.369132
740.0, 0.369532
742.0, 0.370855
744.0, 0.371776
746.0, 0.372067
748.0, 0.373468
750.5, 0.372784
753.5, 0.375429
756.5, 0.376464
759.5, 0.377450
762.5, 0.381389
765.5, 0.382510
768.5, 0.384736
771.5, 0.387640
774.5, 0.389212
777.5, 0.392243
781.0, 0.394553
785.0, 0.396514
789.0, 0.398907
793.0, 0.401675
797.0, 0.402873
801.5, 0.405458
806.5, 0.406846
811.5, 0.407015
816.5, 0.408208
822.0, 0.408547
828.0, 0.405983
835.0, 0.405232
843.0, 0.403482
851.0, 0.400624
859.0, 0.398149
871.0, 0.391994
883.0, 0.392131
894.0, 0.390014
904.0, 0.389046
914.0, 0.387727
924.0, 0.390682
933.0, 0.392635
941.0, 0.392831
949.0, 0.394275
957.0, 0.397361
964.0, 0.398102
970.0, 0.400990
976.0, 0.403541
982.0, 0.402449
988.0, 0.402887
994.0, 0.404041
1000.0, 0.405548
1006.0, 0.405596
1012.0, 0.403674
1018.0, 0.406269
1023.5, 0.406381
1028.5, 0.405344
1033.5, 0.405480
1038.5, 0.403549
1043.5, 0.404193
1048.5, 0.405191
1053.5, 0.403241
1058.5, 0.403445
1063.5, 0.402269
1068.5, 0.403116
1073.5, 0.401000
1078.5, 0.402432
1083.5, 0.402058
1088.5, 0.400499
1093.5, 0.402842
1098.5, 0.402320
1103.5, 0.403615
1108.5, 0.403319
1113.5, 0.404956
1118.5, 0.405630
1123.5, 0.407309
1128.5, 0.406785
1133.5, 0.407389
1138.5, 0.408376
1143.5, 0.409031
1148.5, 0.411124
1153.5, 0.413823
1158.5, 0.413759
1163.5, 0.418005
1168.5, 0.416078
1173.5, 0.418886
1178.5, 0.420239
1183.5, 0.422371
1188.5, 0.426564
1193.5, 0.427842
1198.5, 0.429438
1203.5, 0.431296
1208.5, 0.432932
1213.5, 0.434584
1218.5, 0.436789
1223.5, 0.440921
1228.5, 0.443266
1233.5, 0.444709
1238.5, 0.447123
1243.5, 0.447817
1248.5, 0.452082
1253.5, 0.454267
1258.5, 0.455703
1263.5, 0.458940
1268.5, 0.460056
1273.5, 0.462138
1278.5, 0.462151
1283.5, 0.463904
1288.5, 0.467544
1293.5, 0.470630
1298.5, 0.473048
1303.5, 0.476295
1308.5, 0.478871
1313.5, 0.480707
1318.5, 0.483434
1323.5, 0.486163
1328.5, 0.488898
1333.5, 0.490517
1338.5, 0.494287
1343.5, 0.495233
1348.5, 0.496250
