Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-03 21:04:03.884382

Data ID,USGS_aug04          
Sample ID, augite_ws592.3247
Mineral Name, augite
Material Class,Inosilicate

Wavelength
221.1, 0.0244140
229.1, 0.0241040
236.1, 0.0252240
242.1, 0.0240770
248.1, 0.0252930
253.6, 0.0261080
258.6, 0.0272700
263.6, 0.0271920
268.6, 0.0291050
273.1, 0.0296730
277.1, 0.0307690
281.1, 0.0330140
285.1, 0.0352900
289.1, 0.0366950
293.1, 0.0398590
297.1, 0.0416160
301.1, 0.0453440
305.1, 0.0479740
309.1, 0.0492660
313.1, 0.0543250
317.1, 0.0580990
321.1, 0.0624740
325.1, 0.0688980
329.1, 0.0723290
333.1, 0.0767530
337.1, 0.0818270
341.1, 0.0854830
345.1, 0.0900810
349.1, 0.0950550
353.1, 0.100909
357.1, 0.106824
360.6, 0.110864
363.6, 0.117003
366.6, 0.121547
369.6, 0.124597
372.6, 0.129644
375.6, 0.132322
378.6, 0.138221
381.1, 0.140512
383.1, 0.143531
385.1, 0.145015
387.1, 0.149176
389.1, 0.151659
391.1, 0.153158
393.1, 0.157966
395.1, 0.159176
397.1, 0.162667
399.1, 0.163785
401.1, 0.166948
403.1, 0.168349
405.1, 0.168709
407.1, 0.172540
409.1, 0.173716
411.1, 0.176884
412.8, 0.177089
415.8, 0.180226
418.8, 0.184615
421.8, 0.183561
424.8, 0.190318
427.8, 0.191427
430.8, 0.193831
433.8, 0.197276
436.8, 0.200065
439.8, 0.202034
442.8, 0.202825
445.8, 0.208910
448.8, 0.209787
451.3, 0.211960
453.3, 0.211872
455.3, 0.214427
457.3, 0.216344
459.3, 0.216792
461.3, 0.215060
463.3, 0.220289
465.3, 0.222859
467.3, 0.223882
469.3, 0.222772
471.3, 0.227273
473.3, 0.228328
475.3, 0.231038
477.3, 0.229720
479.3, 0.232470
481.3, 0.235417
483.3, 0.239724
485.3, 0.240843
487.3, 0.241780
489.3, 0.241819
491.3, 0.247792
493.3, 0.249115
495.3, 0.252438
497.3, 0.255810
499.3, 0.256839
501.3, 0.257050
503.3, 0.261311
505.3, 0.264440
507.3, 0.267013
509.3, 0.269426
511.3, 0.271140
513.3, 0.276358
515.3, 0.278234
517.3, 0.284011
519.3, 0.282745
521.3, 0.287643
523.3, 0.289506
525.3, 0.293541
527.3, 0.293731
529.3, 0.298782
531.3, 0.298164
533.3, 0.300794
535.3, 0.301979
537.3, 0.301786
539.3, 0.306166
541.3, 0.306226
543.3, 0.308834
545.3, 0.308181
547.3, 0.311339
549.3, 0.312398
551.3, 0.312344
553.3, 0.314145
555.3, 0.315838
557.3, 0.316209
559.3, 0.317829
561.3, 0.316716
563.3, 0.319832
565.3, 0.319435
567.3, 0.319705
