Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-03 21:09:21.391547

Data ID,USGS_bru01          
Sample ID, brucite_hs247.3867
Mineral Name, brucite
Material Class,Hydroxide

Wavelength
268.6, 0.290522
273.1, 0.282502
277.1, 0.295293
281.1, 0.289903
285.1, 0.296979
289.1, 0.289073
293.1, 0.294091
297.1, 0.289934
301.1, 0.280022
305.1, 0.295867
309.1, 0.296421
313.1, 0.305537
317.1, 0.299002
321.1, 0.306306
325.1, 0.314046
329.1, 0.324759
333.1, 0.324558
337.1, 0.339173
341.1, 0.347025
345.1, 0.368520
349.1, 0.373468
353.1, 0.394414
357.1, 0.407823
360.6, 0.424628
363.6, 0.427620
366.6, 0.444677
369.6, 0.463375
372.6, 0.478642
375.6, 0.494489
378.6, 0.510825
381.1, 0.525975
383.1, 0.529570
385.1, 0.550542
387.1, 0.559277
389.1, 0.573733
391.1, 0.582185
393.1, 0.600265
395.1, 0.609927
397.1, 0.615489
399.1, 0.624078
401.1, 0.639751
403.1, 0.651155
405.1, 0.661073
407.1, 0.673039
409.1, 0.691741
411.1, 0.695025
412.8, 0.696445
415.8, 0.716845
418.8, 0.723797
421.8, 0.729703
424.8, 0.740911
427.8, 0.755706
430.8, 0.762792
433.8, 0.770720
436.8, 0.780057
439.8, 0.783574
442.8, 0.793445
445.8, 0.804912
448.8, 0.813315
451.3, 0.811677
453.3, 0.824445
455.3, 0.830885
457.3, 0.825858
459.3, 0.836579
461.3, 0.843485
463.3, 0.843577
465.3, 0.846361
467.3, 0.846436
469.3, 0.848335
471.3, 0.852645
473.3, 0.850094
475.3, 0.853118
477.3, 0.852213
479.3, 0.852250
481.3, 0.859331
483.3, 0.853737
485.3, 0.858153
487.3, 0.861747
489.3, 0.856934
491.3, 0.861755
493.3, 0.862507
495.3, 0.865879
497.3, 0.864564
499.3, 0.863341
501.3, 0.857291
503.3, 0.864132
505.3, 0.866223
507.3, 0.864091
509.3, 0.865352
511.3, 0.862630
513.3, 0.862526
515.3, 0.864516
517.3, 0.858795
519.3, 0.866169
521.3, 0.861499
523.3, 0.871418
525.3, 0.871248
527.3, 0.870406
529.3, 0.875640
531.3, 0.875733
533.3, 0.876582
535.3, 0.872756
537.3, 0.877988
539.3, 0.873131
541.3, 0.876827
543.3, 0.880734
545.3, 0.878153
547.3, 0.877021
549.3, 0.878243
551.3, 0.879187
553.3, 0.881173
555.3, 0.875298
557.3, 0.880113
559.3, 0.885426
561.3, 0.878784
563.3, 0.879257
565.3, 0.878977
567.3, 0.882194
569.3, 0.880965
571.3, 0.884559
573.3, 0.885605
575.3, 0.890535
577.3, 0.889403
579.3, 0.896283
581.3, 0.887044
583.3, 0.890927
585.3, 0.892340
587.3, 0.890918
589.3, 0.893735
591.3, 0.894779
593.3, 0.887695
595.3, 0.894191
597.3, 0.899904
599.3, 0.894641
601.1, 0.895489
602.7, 0.899910
604.3, 0.890581
605.9, 0.901526
607.5, 0.893575
609.1, 0.896209
610.7, 0.896920
612.3, 0.897870
613.9, 0.891225
615.5, 0.898793
617.1, 0.895346
618.7, 0.904718
620.3, 0.903532
621.9, 0.899253
623.5, 0.902578
625.1, 0.897924
626.7, 0.902310
628.3, 0.900251
629.9, 0.899760
631.7, 0.898572
633.7, 0.902879
635.7, 0.899249
637.7, 0.903375
639.7, 0.901354
641.7, 0.899376
643.7, 0.900560
645.7, 0.902154
647.7, 0.899533
649.7, 0.901696
651.7, 0.898724
653.7, 0.904282
655.7, 0.898506
657.7, 0.904852
659.7, 0.907143
661.7, 0.904661
663.7, 0.906218
665.7, 0.908582
667.7, 0.906936
670.2, 0.909036
673.2, 0.906218
676.2, 0.910136
679.2, 0.909420
682.2, 0.908200
685.2, 0.902721
688.2, 0.908103
691.2, 0.906157
694.2, 0.909135
697.2, 0.909328
700.2, 0.904819
702.0, 0.913189
