Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-03 21:09:36.461875

Data ID,USGS_bud02          
Sample ID, buddingtonite_nhb2301.3935
Mineral Name, buddingtonite
Material Class,Tectosilicate

Wavelength
221.1, 0.115110
229.1, 0.115527
236.1, 0.114543
242.1, 0.114611
248.1, 0.112024
253.6, 0.112270
258.6, 0.112329
263.6, 0.114792
268.6, 0.117299
273.1, 0.120827
277.1, 0.124752
281.1, 0.129092
285.1, 0.134143
289.1, 0.139128
293.1, 0.143614
297.1, 0.148772
301.1, 0.154417
305.1, 0.158919
309.1, 0.164272
313.1, 0.166990
317.1, 0.171850
321.1, 0.177522
325.1, 0.181951
329.1, 0.188380
333.1, 0.197032
337.1, 0.205385
341.1, 0.214694
345.1, 0.224174
349.1, 0.233135
353.1, 0.242905
357.1, 0.252266
360.6, 0.261262
363.6, 0.267622
366.6, 0.273505
369.6, 0.278761
372.6, 0.283721
375.6, 0.288607
378.6, 0.293557
381.1, 0.298340
383.1, 0.300816
385.1, 0.304288
387.1, 0.306460
389.1, 0.310212
391.1, 0.312558
393.1, 0.316239
395.1, 0.318852
397.1, 0.322028
399.1, 0.324701
401.1, 0.326481
403.1, 0.330035
405.1, 0.331953
407.1, 0.334220
409.1, 0.336831
411.1, 0.340196
412.8, 0.342151
415.8, 0.345131
418.8, 0.348359
421.8, 0.351527
424.8, 0.354093
427.8, 0.357989
430.8, 0.360435
433.8, 0.363594
436.8, 0.366588
439.8, 0.371582
442.8, 0.373976
445.8, 0.378421
448.8, 0.381547
451.3, 0.385765
453.3, 0.386503
455.3, 0.387805
457.3, 0.388539
459.3, 0.392264
461.3, 0.392263
463.3, 0.393745
465.3, 0.394200
467.3, 0.397186
469.3, 0.398579
471.3, 0.399044
473.3, 0.400124
475.3, 0.402428
477.3, 0.403527
479.3, 0.404777
481.3, 0.406506
483.3, 0.408234
485.3, 0.408189
487.3, 0.410549
489.3, 0.411897
491.3, 0.413960
493.3, 0.416124
495.3, 0.417263
497.3, 0.419025
499.3, 0.420416
501.3, 0.422968
503.3, 0.424877
505.3, 0.427353
507.3, 0.428726
509.3, 0.431633
511.3, 0.432759
513.3, 0.436044
515.3, 0.438719
517.3, 0.437905
519.3, 0.441116
521.3, 0.442939
523.3, 0.444595
525.3, 0.447686
527.3, 0.449542
529.3, 0.452151
531.3, 0.453028
533.3, 0.455166
535.3, 0.457723
537.3, 0.459223
539.3, 0.460911
541.3, 0.463740
543.3, 0.465005
545.3, 0.466424
547.3, 0.467292
549.3, 0.470120
551.3, 0.471325
553.3, 0.473187
555.3, 0.475094
557.3, 0.476599
559.3, 0.476428
561.3, 0.479325
563.3, 0.480558
565.3, 0.482593
567.3, 0.482554
569.3, 0.484601
571.3, 0.484997
573.3, 0.487425
575.3, 0.487997
577.3, 0.489442
579.3, 0.491444
581.3, 0.491300
583.3, 0.492413
585.3, 0.493040
587.3, 0.495007
589.3, 0.494858
591.3, 0.496498
593.3, 0.498051
595.3, 0.498710
597.3, 0.499428
599.3, 0.500751
601.1, 0.502684
602.7, 0.502379
604.3, 0.502615
605.9, 0.503743
607.5, 0.504552
609.1, 0.505857
610.7, 0.506629
612.3, 0.506941
613.9, 0.507865
615.5, 0.508241
617.1, 0.509256
618.7, 0.509872
620.3, 0.511047
621.9, 0.512618
623.5, 0.511847
625.1, 0.512747
626.7, 0.513793
628.3, 0.514763
629.9, 0.515355
631.7, 0.514414
633.7, 0.516212
635.7, 0.517153
637.7, 0.518379
639.7, 0.518742
641.7, 0.520362
643.7, 0.521035
645.7, 0.522115
647.7, 0.522836
649.7, 0.523459
651.7, 0.525653
653.7, 0.525756
655.7, 0.527514
657.7, 0.527938
659.7, 0.528553
661.7, 0.529837
663.7, 0.530386
665.7, 0.530771
667.7, 0.532207
670.2, 0.533356
673.2, 0.533648
676.2, 0.536138
679.2, 0.537023
682.2, 0.538236
685.2, 0.539084
688.2, 0.540861
691.2, 0.542301
694.2, 0.542919
697.2, 0.545140
700.2, 0.545541
702.0, 0.545849
704.0, 0.546619
706.0, 0.547722
708.0, 0.549311
710.0, 0.550191
712.0, 0.550096
714.0, 0.551323
716.0, 0.552155
718.0, 0.552515
720.0, 0.553420
722.0, 0.555268
724.0, 0.556753
726.0, 0.556381
728.0, 0.557375
730.0, 0.558406
732.0, 0.558049
734.0, 0.558473
736.0, 0.560095
738.0, 0.561108
740.0, 0.561250
742.0, 0.562594
744.0, 0.563399
746.0, 0.562358
748.0, 0.565452
750.5, 0.564790
753.5, 0.566029
756.5, 0.567979
759.5, 0.567709
762.5, 0.570613
765.5, 0.570359
768.5, 0.571183
771.5, 0.573731
774.5, 0.572064
777.5, 0.574112
781.0, 0.575394
785.0, 0.576037
789.0, 0.576972
793.0, 0.578368
797.0, 0.580096
801.5, 0.580285
806.5, 0.581399
811.5, 0.582265
816.5, 0.583289
822.0, 0.585680
828.0, 0.586164
835.0, 0.588141
843.0, 0.588341
851.0, 0.592845
859.0, 0.590334
871.0, 0.588760
883.0, 0.588299
894.0, 0.593794
904.0, 0.592000
914.0, 0.593055
924.0, 0.591413
933.0, 0.592676
941.0, 0.595426
949.0, 0.594278
957.0, 0.592906
964.0, 0.596619
970.0, 0.596479
976.0, 0.598175
982.0, 0.595957
988.0, 0.596932
994.0, 0.596995
1000.0, 0.596056
1006.0, 0.597371
1012.0, 0.597390
1018.0, 0.596034
1023.5, 0.600630
1028.5, 0.600984
1033.5, 0.599650
1038.5, 0.601094
1043.5, 0.601524
1048.5, 0.600553
1053.5, 0.600086
1058.5, 0.601690
1063.5, 0.601388
1068.5, 0.602528
1073.5, 0.602109
1078.5, 0.604057
1083.5, 0.603201
1088.5, 0.604275
1093.5, 0.602413
1098.5, 0.602917
1103.5, 0.604056
1108.5, 0.604758
1113.5, 0.604279
1118.5, 0.605762
1123.5, 0.605087
1128.5, 0.605694
1133.5, 0.605866
1138.5, 0.605565
1143.5, 0.605549
1148.5, 0.605506
1153.5, 0.606037
1158.5, 0.604980
1163.5, 0.603912
1168.5, 0.605757
1173.5, 0.605545
1178.5, 0.604943
1183.5, 0.608964
1188.5, 0.608882
1193.5, 0.607274
1198.5, 0.606003
1203.5, 0.605629
1208.5, 0.606927
1213.5, 0.606439
1218.5, 0.607309
1223.5, 0.606412
1228.5, 0.605614
1233.5, 0.606230
1238.5, 0.606765
1243.5, 0.605646
1248.5, 0.606521
1253.5, 0.604810
1258.5, 0.606233
1263.5, 0.604367
1268.5, 0.606186
1273.5, 0.604248
1278.5, 0.606291
1283.5, 0.605546
1288.5, 0.605058
1293.5, 0.606264
1298.5, 0.604727
1303.5, 0.604616
1308.5, 0.605308
1313.5, 0.605570
1318.5, 0.606042
1323.5, 0.605070
1328.5, 0.604281
1333.5, 0.605488
1338.5, 0.603928
1343.5, 0.603923
1348.5, 0.603611
1353.5, 0.603024
1358.5, 0.602796
1363.5, 0.603514
1368.5, 0.603221
1373.5, 0.600670
1378.5, 0.603685
1383.5, 0.601258
1388.5, 0.599086
1393.5, 0.596965
1398.5, 0.597975
1403.5, 0.593553
1408.5, 0.591393
1413.5, 0.588080
1418.5, 0.591405
1423.5, 0.594207
1428.5, 0.595730
1433.5, 0.598214
1438.5, 0.598565
1443.5, 0.598832
1448.5, 0.598593
1453.5, 0.598409
1458.5, 0.598314
1463.5, 0.597112
1468.5, 0.597226
1473.5, 0.595827
1478.5, 0.595886
1483.5, 0.598451
1488.5, 0.596348
1493.5, 0.593479
1498.5, 0.595593
1503.5, 0.593313
1508.5, 0.592520
1513.5, 0.591768
1518.5, 0.590132
1523.5, 0.588678
1528.5, 0.588023
1534.0, 0.584747
1540.0, 0.582438
1546.0, 0.581096
1552.0, 0.580004
1558.0, 0.577298
1564.0, 0.580054
1570.5, 0.577980
1577.5, 0.579481
1584.5, 0.580684
1591.5, 0.582091
1598.5, 0.584088
1605.5, 0.585709
1612.5, 0.585226
1619.5, 0.585162
1626.5, 0.585256
1633.5, 0.584726
1640.5, 0.584379
1647.5, 0.585555
1654.5, 0.588125
1661.5, 0.586117
1668.5, 0.586161
1676.0, 0.587523
1684.0, 0.585948
1692.0, 0.586769
1700.0, 0.590413
1708.0, 0.589900
1716.0, 0.588523
1724.0, 0.586316
1732.0, 0.588857
1740.0, 0.588182
1748.0, 0.586482
1756.0, 0.588053
1764.0, 0.587612
1772.0, 0.585476
1780.0, 0.587023
1788.0, 0.586753
1796.0, 0.584251
1805.0, 0.583244
1815.0, 0.582435
1825.0, 0.581493
1835.0, 0.579828
1845.0, 0.579038
1855.0, 0.579737
1865.0, 0.575781
1875.0, 0.574053
1885.0, 0.565647
1895.0, 0.553946
1905.0, 0.545829
1915.0, 0.546469
1925.0, 0.548202
1935.0, 0.547623
1945.0, 0.543898
1955.0, 0.542065
1965.0, 0.536979
1975.0, 0.529964
1985.0, 0.519028
1995.0, 0.498832
2005.0, 0.476600
2015.0, 0.463548
2025.0, 0.466323
2035.0, 0.463093
2045.0, 0.461736
2055.0, 0.460464
2065.0, 0.460532
2075.0, 0.450889
2085.0, 0.442312
