Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-03 21:23:32.158026

Data ID,USGS_cli01          
Sample ID, clinochlore_gds157.5542
Mineral Name, clinochlore
Material Class,Phyllosilicate

Wavelength
213.1, 0.0266170
221.1, 0.0268900
229.1, 0.0277580
236.1, 0.0292780
242.1, 0.0289660
248.1, 0.0281170
253.6, 0.0280770
258.6, 0.0280440
263.6, 0.0281740
268.6, 0.0286670
273.1, 0.0295560
277.1, 0.0299600
281.1, 0.0318950
285.1, 0.0330530
289.1, 0.0348530
293.1, 0.0374780
297.1, 0.0390480
301.1, 0.0410050
305.1, 0.0423350
309.1, 0.0448200
313.1, 0.0473230
317.1, 0.0494330
321.1, 0.0514840
325.1, 0.0534250
329.1, 0.0548810
333.1, 0.0569000
337.1, 0.0580390
341.1, 0.0599850
345.1, 0.0611130
349.1, 0.0627110
353.1, 0.0641050
357.1, 0.0662810
360.6, 0.0678950
363.6, 0.0695290
366.6, 0.0708170
369.6, 0.0717580
372.6, 0.0725960
375.6, 0.0734300
378.6, 0.0741630
381.1, 0.0746950
383.1, 0.0755100
385.1, 0.0759140
387.1, 0.0764890
389.1, 0.0778120
391.1, 0.0786690
393.1, 0.0796550
395.1, 0.0806390
397.1, 0.0815140
399.1, 0.0818530
401.1, 0.0822780
403.1, 0.0825130
405.1, 0.0832010
407.1, 0.0832710
409.1, 0.0835840
411.1, 0.0852490
412.8, 0.0855590
415.8, 0.0874100
418.8, 0.0884670
421.8, 0.0903960
424.8, 0.0927980
427.8, 0.0944110
430.8, 0.0965370
433.8, 0.0980410
436.8, 0.100048
439.8, 0.101943
442.8, 0.103849
445.8, 0.105115
448.8, 0.105989
451.3, 0.106563
453.3, 0.106567
455.3, 0.107797
457.3, 0.107785
459.3, 0.108302
461.3, 0.109105
463.3, 0.110266
465.3, 0.111018
467.3, 0.111846
469.3, 0.113452
471.3, 0.114121
473.3, 0.115788
475.3, 0.117564
477.3, 0.119233
479.3, 0.120527
481.3, 0.121387
483.3, 0.123675
485.3, 0.124824
487.3, 0.126104
489.3, 0.127579
491.3, 0.128273
493.3, 0.127590
495.3, 0.127948
497.3, 0.128000
499.3, 0.129805
501.3, 0.130844
503.3, 0.133110
505.3, 0.133272
507.3, 0.134936
509.3, 0.135758
511.3, 0.136429
513.3, 0.137281
515.3, 0.137932
517.3, 0.138792
519.3, 0.139178
521.3, 0.139546
523.3, 0.139244
525.3, 0.139638
527.3, 0.139565
529.3, 0.139765
531.3, 0.139713
533.3, 0.139455
535.3, 0.140351
537.3, 0.139643
539.3, 0.139986
541.3, 0.140483
543.3, 0.140897
545.3, 0.139995
547.3, 0.140754
549.3, 0.140790
551.3, 0.140658
553.3, 0.140436
555.3, 0.140633
557.3, 0.140180
559.3, 0.140445
561.3, 0.139624
563.3, 0.139929
565.3, 0.139130
567.3, 0.138387
569.3, 0.138104
571.3, 0.137632
573.3, 0.136996
575.3, 0.136647
577.3, 0.135934
579.3, 0.135410
581.3, 0.134659
583.3, 0.133913
585.3, 0.133558
587.3, 0.132659
589.3, 0.131886
591.3, 0.131508
593.3, 0.130713
595.3, 0.130155
597.3, 0.128632
599.3, 0.127929
601.1, 0.127077
602.7, 0.126934
604.3, 0.125846
605.9, 0.125438
607.5, 0.124831
609.1, 0.124508
610.7, 0.123568
612.3, 0.122884
613.9, 0.122360
615.5, 0.121389
617.1, 0.120814
618.7, 0.120378
620.3, 0.119887
621.9, 0.118988
623.5, 0.118668
625.1, 0.118076
626.7, 0.117352
628.3, 0.116587
629.9, 0.116119
631.7, 0.115315
633.7, 0.113915
635.7, 0.113884
637.7, 0.113613
639.7, 0.112526
641.7, 0.111398
643.7, 0.111115
645.7, 0.110496
647.7, 0.109714
649.7, 0.109000
651.7, 0.108525
653.7, 0.107705
655.7, 0.107309
657.7, 0.106291
659.7, 0.105971
661.7, 0.105976
663.7, 0.104473
665.7, 0.104331
667.7, 0.103980
670.2, 0.103661
673.2, 0.102107
676.2, 0.101705
679.2, 0.100958
682.2, 0.100142
685.2, 0.0998830
688.2, 0.0991470
691.2, 0.0988590
694.2, 0.0983830
697.2, 0.0979970
700.2, 0.0974750
