Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-03 21:31:13.964270

Data ID,USGS_dum01          
Sample ID, dumotierite_hs190.7191
Mineral Name, dumotierite
Material Class,Nesosilicate

Wavelength
248.1, 0.168934
253.6, 0.180657
258.6, 0.191644
263.6, 0.200045
268.6, 0.215887
273.1, 0.225926
277.1, 0.234848
281.1, 0.244817
285.1, 0.253064
289.1, 0.260926
293.1, 0.269226
297.1, 0.279827
301.1, 0.292007
305.1, 0.303911
309.1, 0.313366
313.1, 0.327753
317.1, 0.336602
321.1, 0.349846
325.1, 0.360784
329.1, 0.369692
333.1, 0.381742
337.1, 0.392987
341.1, 0.402499
345.1, 0.414967
349.1, 0.422799
353.1, 0.435847
357.1, 0.441833
360.6, 0.446602
363.6, 0.450832
366.6, 0.453980
369.6, 0.457860
372.6, 0.459035
375.6, 0.461004
378.6, 0.463332
381.1, 0.465557
383.1, 0.465820
385.1, 0.467402
387.1, 0.469324
389.1, 0.466983
391.1, 0.468884
393.1, 0.468480
395.1, 0.470961
397.1, 0.470238
399.1, 0.470348
401.1, 0.470081
403.1, 0.469308
405.1, 0.468334
407.1, 0.467987
409.1, 0.466431
411.1, 0.465159
412.8, 0.462758
415.8, 0.460696
418.8, 0.457545
421.8, 0.451954
424.8, 0.448429
427.8, 0.444590
430.8, 0.440836
433.8, 0.436952
436.8, 0.432668
439.8, 0.428871
442.8, 0.424964
445.8, 0.420708
448.8, 0.417412
451.3, 0.414528
453.3, 0.411954
455.3, 0.409083
457.3, 0.406666
459.3, 0.405008
461.3, 0.401312
463.3, 0.400615
465.3, 0.398500
467.3, 0.396794
469.3, 0.396050
471.3, 0.393719
473.3, 0.391429
475.3, 0.389929
477.3, 0.389135
479.3, 0.388472
481.3, 0.387395
483.3, 0.386698
485.3, 0.385609
487.3, 0.385690
489.3, 0.384526
491.3, 0.384212
493.3, 0.382456
495.3, 0.382863
497.3, 0.382586
499.3, 0.383489
501.3, 0.383905
503.3, 0.383787
505.3, 0.383598
507.3, 0.385089
509.3, 0.384057
511.3, 0.385187
513.3, 0.386295
515.3, 0.387471
517.3, 0.387578
519.3, 0.389772
521.3, 0.390214
523.3, 0.392477
525.3, 0.393422
527.3, 0.395430
529.3, 0.397035
531.3, 0.398120
533.3, 0.399630
535.3, 0.402135
537.3, 0.404411
539.3, 0.406514
541.3, 0.408479
543.3, 0.410848
545.3, 0.412571
547.3, 0.414952
549.3, 0.416013
551.3, 0.419783
553.3, 0.421780
555.3, 0.424872
557.3, 0.427607
559.3, 0.430569
561.3, 0.432284
563.3, 0.436227
565.3, 0.439920
567.3, 0.441991
569.3, 0.445754
571.3, 0.447475
573.3, 0.451682
575.3, 0.453024
577.3, 0.456902
579.3, 0.460174
581.3, 0.462960
583.3, 0.467485
585.3, 0.470071
587.3, 0.471985
589.3, 0.474351
591.3, 0.478370
593.3, 0.479746
595.3, 0.483908
597.3, 0.487176
599.3, 0.489839
601.1, 0.491982
602.7, 0.494774
604.3, 0.496694
605.9, 0.499466
607.5, 0.501252
609.1, 0.504380
610.7, 0.506651
612.3, 0.509003
613.9, 0.511147
615.5, 0.513892
617.1, 0.517163
618.7, 0.518769
620.3, 0.520091
621.9, 0.522420
623.5, 0.524823
625.1, 0.526729
626.7, 0.529536
628.3, 0.531468
629.9, 0.532789
631.7, 0.535514
633.7, 0.538698
635.7, 0.540389
637.7, 0.543257
639.7, 0.546152
641.7, 0.548713
643.7, 0.551353
645.7, 0.554668
647.7, 0.557083
649.7, 0.558272
651.7, 0.562168
653.7, 0.562090
655.7, 0.565950
657.7, 0.570260
659.7, 0.572245
661.7, 0.574602
663.7, 0.577652
665.7, 0.580287
667.7, 0.582557
670.2, 0.585322
673.2, 0.590298
676.2, 0.591946
679.2, 0.596747
682.2, 0.600673
685.2, 0.604172
688.2, 0.608215
691.2, 0.612303
694.2, 0.616084
697.2, 0.620471
700.2, 0.624008
702.0, 0.625921
704.0, 0.628188
706.0, 0.631700
708.0, 0.633206
710.0, 0.634765
712.0, 0.638243
714.0, 0.640905
716.0, 0.642833
718.0, 0.645360
720.0, 0.647587
722.0, 0.649504
724.0, 0.653524
726.0, 0.655009
728.0, 0.656751
730.0, 0.658579
732.0, 0.661808
734.0, 0.661310
736.0, 0.665215
738.0, 0.668558
740.0, 0.667967
742.0, 0.671514
744.0, 0.673350
746.0, 0.674231
748.0, 0.677202
750.5, 0.679958
753.5, 0.683376
756.5, 0.686264
759.5, 0.689066
762.5, 0.693520
765.5, 0.693999
768.5, 0.697479
771.5, 0.699220
774.5, 0.702425
777.5, 0.705841
781.0, 0.706997
785.0, 0.709679
789.0, 0.712738
793.0, 0.716799
797.0, 0.719570
801.5, 0.722076
806.5, 0.726381
811.5, 0.729620
816.5, 0.733707
822.0, 0.734316
828.0, 0.738603
835.0, 0.740457
851.0, 0.755089
859.0, 0.758312
871.0, 0.762687
883.0, 0.767504
894.0, 0.770300
904.0, 0.773119
914.0, 0.771910
924.0, 0.774640
933.0, 0.780646
941.0, 0.781626
949.0, 0.779284
957.0, 0.784713
964.0, 0.782739
970.0, 0.791483
976.0, 0.793445
982.0, 0.794509
988.0, 0.799087
994.0, 0.797045
1000.0, 0.799118
1006.0, 0.802543
1012.0, 0.801337
1018.0, 0.803780
1023.5, 0.805335
1028.5, 0.805527
1033.5, 0.806850
1038.5, 0.807046
1043.5, 0.810695
1048.5, 0.810570
1053.5, 0.810278
1058.5, 0.812653
1063.5, 0.812160
1068.5, 0.814771
1073.5, 0.813541
1078.5, 0.815996
1083.5, 0.816492
1088.5, 0.821110
1093.5, 0.817551
1098.5, 0.819679
1103.5, 0.818248
1108.5, 0.822086
1113.5, 0.820549
1118.5, 0.820618
1123.5, 0.820842
1128.5, 0.820646
1133.5, 0.823202
1138.5, 0.824419
1143.5, 0.824960
1148.5, 0.824523
1153.5, 0.825680
1158.5, 0.824313
1163.5, 0.825699
1168.5, 0.827290
1173.5, 0.828825
1178.5, 0.826304
1183.5, 0.827891
1188.5, 0.831979
1193.5, 0.830803
1198.5, 0.829583
1203.5, 0.830323
1208.5, 0.830811
1213.5, 0.829791
1218.5, 0.831133
1223.5, 0.830329
1228.5, 0.829603
1233.5, 0.828500
1238.5, 0.829063
1243.5, 0.828642
1248.5, 0.831077
1253.5, 0.832290
1258.5, 0.834116
1263.5, 0.835560
1268.5, 0.833061
1273.5, 0.832080
1278.5, 0.831979
1283.5, 0.830987
1288.5, 0.828285
1293.5, 0.824479
1298.5, 0.825336
1303.5, 0.823407
1308.5, 0.822543
1313.5, 0.823891
1318.5, 0.822202
1323.5, 0.820266
1328.5, 0.819203
1333.5, 0.817541
1338.5, 0.819839
1343.5, 0.819849
1348.5, 0.815669
1353.5, 0.810610
1358.5, 0.805001
1363.5, 0.801791
1368.5, 0.801658
1373.5, 0.794578
1378.5, 0.780107
1383.5, 0.759935
1388.5, 0.706525
1393.5, 0.620071
1398.5, 0.662909
1403.5, 0.678336
1408.5, 0.676136
1413.5, 0.657184
1418.5, 0.722016
1423.5, 0.782242
1428.5, 0.795865
1433.5, 0.806667
1438.5, 0.808415
1443.5, 0.810400
1448.5, 0.809216
1453.5, 0.805670
1458.5, 0.794997
1463.5, 0.791709
1468.5, 0.790613
1473.5, 0.796925
1478.5, 0.805402
1483.5, 0.813817
1488.5, 0.817164
1493.5, 0.819232
1498.5, 0.819559
1503.5, 0.823460
1508.5, 0.823800
1513.5, 0.822292
1518.5, 0.821574
1523.5, 0.822714
1528.5, 0.821956
1534.0, 0.822852
1540.0, 0.823377
1546.0, 0.823324
1552.0, 0.822341
1558.0, 0.821817
1564.0, 0.819960
1570.5, 0.818237
1577.5, 0.818957
1584.5, 0.816452
1591.5, 0.815765
1598.5, 0.815748
1605.5, 0.812348
1612.5, 0.808643
1619.5, 0.807531
1626.5, 0.805489
1633.5, 0.803252
1640.5, 0.800469
1647.5, 0.798679
1654.5, 0.795656
1661.5, 0.793771
1668.5, 0.790183
1676.0, 0.786847
1684.0, 0.782131
1692.0, 0.780695
1700.0, 0.776531
1708.0, 0.770851
1716.0, 0.766533
1724.0, 0.760703
1732.0, 0.757938
1740.0, 0.750504
1748.0, 0.752826
1756.0, 0.749621
1764.0, 0.746779
1772.0, 0.747131
1780.0, 0.745697
1788.0, 0.745359
1796.0, 0.744726
1805.0, 0.739506
1815.0, 0.735857
1825.0, 0.732689
1835.0, 0.727840
1845.0, 0.723748
1855.0, 0.718543
1865.0, 0.714681
1875.0, 0.708158
1885.0, 0.700149
1895.0, 0.689917
1905.0, 0.678936
1915.0, 0.672414
1925.0, 0.669316
1935.0, 0.668258
1945.0, 0.664468
1955.0, 0.661443
1965.0, 0.664230
1975.0, 0.657583
1985.0, 0.657208
1995.0, 0.658101
2005.0, 0.653399
2015.0, 0.650853
2025.0, 0.649847
2035.0, 0.646904
2045.0, 0.639210
2055.0, 0.637432
2065.0, 0.633741
2075.0, 0.622601
2085.0, 0.620115
2095.0, 0.613798
2105.0, 0.614412
2115.0, 0.602431
2125.0, 0.600475
2135.0, 0.589223
2145.0, 0.569685
2155.0, 0.527493
2165.0, 0.476218
2175.0, 0.489079
2185.0, 0.486977
2195.0, 0.473798
2205.0, 0.468311
2215.0, 0.497793
2225.0, 0.525183
2235.0, 0.511770
2245.0, 0.491371
2255.0, 0.479753
2265.0, 0.476817
2275.0, 0.484106
2285.0, 0.489078
2295.0, 0.491221
2305.0, 0.477652
2315.0, 0.464342
2325.0, 0.459893
2335.0, 0.463636
2345.0, 0.453917
2355.0, 0.448947
2365.0, 0.452147
2375.0, 0.446984
2386.0, 0.434791
2400.0, 0.434142
2418.0, 0.423710
2440.0, 0.409061
2466.0, 0.399732
2496.0, 0.387179
2528.0, 0.380641
2560.0, 0.370447
2592.0, 0.344268
2624.0, 0.326193
2656.0, 0.310553
2688.0, 0.190407
2720.0, 0.0897810
2752.0, 0.0799600
2784.0, 0.137454
2816.0, 0.139307
2848.0, 0.0966630
2880.0, 0.116664
2912.0, 0.141551
2944.0, 0.157654
2976.0, 0.168644
