Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 02:44:01.611350

Data ID,USGS_euo01          
Sample ID, euoxide_gds33.7755
Mineral Name, euoxide
Material Class,Oxide

Wavelength
213.1, 0.286311
221.1, 0.225541
229.1, 0.186745
236.1, 0.154007
242.1, 0.134206
248.1, 0.125781
253.6, 0.122973
258.6, 0.122416
263.6, 0.125573
268.6, 0.130028
273.1, 0.144431
277.1, 0.164760
281.1, 0.196363
285.1, 0.242035
289.1, 0.293997
293.1, 0.356974
297.1, 0.418769
301.1, 0.470423
305.1, 0.522908
309.1, 0.567103
313.1, 0.605600
317.1, 0.622765
321.1, 0.616020
325.1, 0.639181
329.1, 0.664629
333.1, 0.681658
337.1, 0.695575
341.1, 0.699613
345.1, 0.704323
349.1, 0.705507
353.1, 0.707364
357.1, 0.709547
360.6, 0.701345
363.6, 0.671844
366.6, 0.688893
369.6, 0.701820
372.6, 0.708232
375.6, 0.700089
378.6, 0.684710
381.1, 0.683790
383.1, 0.677820
385.1, 0.686514
387.1, 0.713363
389.1, 0.736798
391.1, 0.765699
393.1, 0.740975
395.1, 0.636495
397.1, 0.665596
399.1, 0.718213
401.1, 0.749811
403.1, 0.762443
405.1, 0.758303
407.1, 0.802480
409.1, 0.813650
411.1, 0.817960
412.8, 0.819864
415.8, 0.797783
418.8, 0.794084
421.8, 0.836536
424.8, 0.851047
427.8, 0.846938
430.8, 0.852687
433.8, 0.858371
436.8, 0.858314
439.8, 0.857578
442.8, 0.859358
445.8, 0.861825
448.8, 0.861514
451.3, 0.864103
453.3, 0.862771
455.3, 0.862671
457.3, 0.856562
459.3, 0.848414
461.3, 0.849587
463.3, 0.845473
465.3, 0.761137
467.3, 0.708179
469.3, 0.776125
471.3, 0.851022
473.3, 0.838129
475.3, 0.849579
477.3, 0.853514
479.3, 0.857649
481.3, 0.865674
483.3, 0.872444
485.3, 0.871814
487.3, 0.873068
489.3, 0.868343
491.3, 0.875727
493.3, 0.877144
495.3, 0.877107
497.3, 0.877066
499.3, 0.877034
501.3, 0.878973
503.3, 0.878308
505.3, 0.878348
507.3, 0.878890
509.3, 0.879510
511.3, 0.880112
513.3, 0.880063
515.3, 0.881380
517.3, 0.879980
519.3, 0.879133
521.3, 0.878469
523.3, 0.873553
525.3, 0.862445
527.3, 0.841767
529.3, 0.844305
531.3, 0.855436
533.3, 0.820685
535.3, 0.775084
537.3, 0.781013
539.3, 0.812688
541.3, 0.859757
543.3, 0.873507
545.3, 0.879735
547.3, 0.882573
549.3, 0.883199
551.3, 0.877873
553.3, 0.879765
555.3, 0.879095
557.3, 0.886696
559.3, 0.889521
561.3, 0.886150
563.3, 0.888074
565.3, 0.888066
567.3, 0.885986
569.3, 0.883068
571.3, 0.884615
573.3, 0.890005
575.3, 0.887306
577.3, 0.887001
579.3, 0.884156
581.3, 0.854771
583.3, 0.877668
585.3, 0.888111
587.3, 0.885334
589.3, 0.870629
591.3, 0.879076
593.3, 0.864559
595.3, 0.881942
597.3, 0.885509
599.3, 0.886273
601.1, 0.891069
602.7, 0.892534
604.3, 0.893313
605.9, 0.893312
607.5, 0.892747
609.1, 0.891287
610.7, 0.886425
612.3, 0.869862
613.9, 0.883035
615.5, 0.886511
617.1, 0.890677
618.7, 0.894134
620.3, 0.894133
621.9, 0.894828
623.5, 0.892069
625.1, 0.894837
626.7, 0.894847
628.3, 0.896151
629.9, 0.895522
631.7, 0.896150
633.7, 0.896159
635.7, 0.896832
637.7, 0.897396
639.7, 0.898789
641.7, 0.897414
643.7, 0.895374
645.7, 0.897395
647.7, 0.897329
649.7, 0.899412
651.7, 0.897322
653.7, 0.898651
655.7, 0.897947
657.7, 0.897257
659.7, 0.899969
661.7, 0.899910
663.7, 0.899849
665.7, 0.899910
667.7, 0.899212
670.2, 0.900404
673.2, 0.900396
676.2, 0.899555
679.2, 0.899020
682.2, 0.900905
685.2, 0.898799
688.2, 0.901476
691.2, 0.900000
694.2, 0.900570
697.2, 0.900568
700.2, 0.901146
702.0, 0.902300
704.0, 0.902242
706.0, 0.902228
708.0, 0.902799
710.0, 0.901323
712.0, 0.901251
714.0, 0.903248
716.0, 0.902474
718.0, 0.903748
720.0, 0.903765
722.0, 0.901562
724.0, 0.903573
726.0, 0.904213
728.0, 0.902728
730.0, 0.902003
732.0, 0.901939
734.0, 0.903884
736.0, 0.903110
738.0, 0.903826
740.0, 0.902256
742.0, 0.904995
744.0, 0.904154
746.0, 0.901272
748.0, 0.905448
750.5, 0.903884
753.5, 0.903756
756.5, 0.902232
759.5, 0.904266
762.5, 0.904138
765.5, 0.902634
768.5, 0.905269
771.5, 0.905267
774.5, 0.904391
777.5, 0.904205
781.0, 0.903336
785.0, 0.905338
789.0, 0.905935
793.0, 0.907141
797.0, 0.905468
801.5, 0.903060
806.5, 0.905688
811.5, 0.905492
816.5, 0.904476
822.0, 0.905503
828.0, 0.904211
835.0, 0.905807
843.0, 0.907759
851.0, 0.908528
859.0, 0.909146
871.0, 0.910199
883.0, 0.912170
894.0, 0.915817
904.0, 0.910122
914.0, 0.908273
924.0, 0.911910
933.0, 0.912508
941.0, 0.912342
949.0, 0.908209
957.0, 0.912765
964.0, 0.911094
970.0, 0.908724
976.0, 0.910120
982.0, 0.908407
988.0, 0.911493
994.0, 0.910611
1000.0, 0.909686
1006.0, 0.911161
1012.0, 0.911089
1018.0, 0.911851
1023.5, 0.910272
1028.5, 0.911767
1033.5, 0.914969
1038.5, 0.913251
1043.5, 0.911541
1048.5, 0.913124
1053.5, 0.913935
1058.5, 0.912170
1063.5, 0.913772
1068.5, 0.912851
1073.5, 0.914386
1078.5, 0.910375
1083.5, 0.911922
1088.5, 0.913469
1093.5, 0.912651
1098.5, 0.913412
1103.5, 0.911822
1108.5, 0.912590
1113.5, 0.911760
1118.5, 0.914213
1123.5, 0.914022
1128.5, 0.913246
1133.5, 0.911626
1138.5, 0.911542
1143.5, 0.911373
1148.5, 0.911424
1153.5, 0.911207
