Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 02:44:11.410590

Data ID,USGS_fas01          
Sample ID, fassaite_hs118.7767
Mineral Name, fassaite
Material Class,Inosilicate

Wavelength
221.1, 0.0242790
229.1, 0.0226850
236.1, 0.0279940
242.1, 0.0275200
248.1, 0.0272650
253.6, 0.0249210
258.6, 0.0264700
263.6, 0.0273100
268.6, 0.0273670
273.1, 0.0276920
277.1, 0.0286100
281.1, 0.0286000
285.1, 0.0292760
289.1, 0.0310840
293.1, 0.0326300
297.1, 0.0341580
301.1, 0.0357610
305.1, 0.0392520
309.1, 0.0413070
313.1, 0.0449970
317.1, 0.0474500
321.1, 0.0523440
325.1, 0.0568470
329.1, 0.0593060
333.1, 0.0627400
337.1, 0.0672440
341.1, 0.0709490
345.1, 0.0764580
349.1, 0.0820700
353.1, 0.0861410
357.1, 0.0926160
360.6, 0.0991580
363.6, 0.102350
366.6, 0.107128
369.6, 0.110749
372.6, 0.113754
375.6, 0.118435
378.6, 0.119786
381.1, 0.124693
383.1, 0.125337
385.1, 0.129210
387.1, 0.130078
389.1, 0.136758
391.1, 0.139053
393.1, 0.142204
395.1, 0.146315
397.1, 0.148769
399.1, 0.153043
401.1, 0.156104
403.1, 0.158991
405.1, 0.163660
407.1, 0.167874
409.1, 0.170914
411.1, 0.173387
412.8, 0.181661
415.8, 0.184487
418.8, 0.189810
421.8, 0.191327
424.8, 0.192830
427.8, 0.193693
430.8, 0.194213
433.8, 0.193040
436.8, 0.191542
439.8, 0.189271
442.8, 0.185404
445.8, 0.182964
448.8, 0.182685
451.3, 0.183919
453.3, 0.187065
455.3, 0.189788
457.3, 0.197492
459.3, 0.199466
461.3, 0.205819
463.3, 0.209886
465.3, 0.215324
467.3, 0.216899
469.3, 0.222614
471.3, 0.225237
473.3, 0.229418
475.3, 0.231141
477.3, 0.233558
479.3, 0.237312
481.3, 0.239641
483.3, 0.244623
485.3, 0.248379
487.3, 0.248528
489.3, 0.251065
491.3, 0.253094
493.3, 0.258845
495.3, 0.261473
497.3, 0.268522
499.3, 0.267883
501.3, 0.274726
503.3, 0.276416
505.3, 0.280070
507.3, 0.283455
509.3, 0.282842
511.3, 0.288326
513.3, 0.290596
515.3, 0.293000
517.3, 0.296560
519.3, 0.295867
