Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 02:44:48.987850

Data ID,USGS_fer01          
Sample ID, ferrihydrite_gds75.7822
Mineral Name, ferrihydrite
Material Class,Phosphate

Wavelength
221.1, 0.0116510
229.1, 0.00883900
236.1, 0.0104190
242.1, 0.0107700
248.1, 0.0101890
253.6, 0.0107020
258.6, 0.0101330
263.6, 0.0104910
268.6, 0.0105720
273.1, 0.0100900
277.1, 0.0104680
281.1, 0.0102160
285.1, 0.0109530
289.1, 0.0113300
293.1, 0.0111460
297.1, 0.0111430
301.1, 0.0117690
305.1, 0.0121820
309.1, 0.0127930
313.1, 0.0122280
317.1, 0.0125830
321.1, 0.0123450
325.1, 0.0126710
329.1, 0.0133460
333.1, 0.0127660
337.1, 0.0130140
341.1, 0.0131530
345.1, 0.0134340
349.1, 0.0132250
353.1, 0.0129920
357.1, 0.0136560
360.6, 0.0134970
363.6, 0.0135490
366.6, 0.0139280
369.6, 0.0140960
372.6, 0.0136580
375.6, 0.0138810
378.6, 0.0141200
381.1, 0.0147170
383.1, 0.0138440
385.1, 0.0135210
387.1, 0.0142890
389.1, 0.0146410
391.1, 0.0148970
393.1, 0.0140000
395.1, 0.0144900
397.1, 0.0146670
399.1, 0.0150940
401.1, 0.0146450
403.1, 0.0147430
405.1, 0.0146250
407.1, 0.0147910
409.1, 0.0148070
411.1, 0.0153300
412.8, 0.0146750
415.8, 0.0152710
418.8, 0.0152870
421.8, 0.0155460
424.8, 0.0153290
427.8, 0.0156800
430.8, 0.0151120
433.8, 0.0156640
436.8, 0.0158210
439.8, 0.0158420
442.8, 0.0162700
445.8, 0.0162630
448.8, 0.0160930
451.3, 0.0165450
453.3, 0.0173170
455.3, 0.0166370
457.3, 0.0167190
459.3, 0.0159960
461.3, 0.0173470
463.3, 0.0177140
465.3, 0.0168170
467.3, 0.0175310
469.3, 0.0171730
471.3, 0.0176200
473.3, 0.0180960
475.3, 0.0188630
477.3, 0.0176230
479.3, 0.0179840
481.3, 0.0183890
483.3, 0.0185890
485.3, 0.0190870
487.3, 0.0185830
489.3, 0.0182640
491.3, 0.0191170
493.3, 0.0196230
495.3, 0.0197110
497.3, 0.0193360
499.3, 0.0198660
501.3, 0.0201710
503.3, 0.0207700
505.3, 0.0206740
507.3, 0.0203210
509.3, 0.0212930
511.3, 0.0218010
513.3, 0.0214400
515.3, 0.0218610
517.3, 0.0227750
519.3, 0.0226370
521.3, 0.0233490
523.3, 0.0242410
525.3, 0.0239840
527.3, 0.0248510
529.3, 0.0242370
531.3, 0.0255680
533.3, 0.0254410
535.3, 0.0263390
537.3, 0.0286560
539.3, 0.0272340
541.3, 0.0288350
543.3, 0.0291820
545.3, 0.0286630
547.3, 0.0295500
549.3, 0.0308120
551.3, 0.0305450
553.3, 0.0316550
555.3, 0.0324600
557.3, 0.0328720
559.3, 0.0336550
561.3, 0.0345940
563.3, 0.0354160
565.3, 0.0356560
567.3, 0.0375050
569.3, 0.0379190
571.3, 0.0381870
573.3, 0.0393050
575.3, 0.0410270
577.3, 0.0420160
579.3, 0.0430350
581.3, 0.0438690
583.3, 0.0453460
585.3, 0.0463790
587.3, 0.0471210
589.3, 0.0486240
591.3, 0.0501400
593.3, 0.0509200
595.3, 0.0527160
597.3, 0.0539390
599.3, 0.0552990
601.1, 0.0564110
602.7, 0.0569710
604.3, 0.0586310
605.9, 0.0598950
607.5, 0.0615100
609.1, 0.0618890
610.7, 0.0634520
612.3, 0.0644630
613.9, 0.0656840
615.5, 0.0672040
617.1, 0.0683280
618.7, 0.0696240
620.3, 0.0710940
621.9, 0.0719130
623.5, 0.0731430
625.1, 0.0749450
626.7, 0.0761490
628.3, 0.0767350
629.9, 0.0792950
631.7, 0.0794020
633.7, 0.0814330
635.7, 0.0826540
637.7, 0.0849330
639.7, 0.0862860
641.7, 0.0879470
643.7, 0.0898150
645.7, 0.0913750
647.7, 0.0926300
649.7, 0.0941600
651.7, 0.0962420
653.7, 0.0980560
655.7, 0.0989850
657.7, 0.100334
659.7, 0.102898
661.7, 0.104158
663.7, 0.105463
665.7, 0.106818
667.7, 0.108708
670.2, 0.110555
673.2, 0.113544
676.2, 0.116607
679.2, 0.118221
682.2, 0.121360
685.2, 0.123998
688.2, 0.125913
691.2, 0.129242
694.2, 0.131095
697.2, 0.133897
700.2, 0.137118
702.0, 0.138635
704.0, 0.140187
706.0, 0.142233
708.0, 0.144149
710.0, 0.146567
712.0, 0.147568
714.0, 0.149355
716.0, 0.151282
718.0, 0.152632
720.0, 0.154780
722.0, 0.157156
724.0, 0.158774
726.0, 0.159534
728.0, 0.161855
730.0, 0.163550
732.0, 0.165957
734.0, 0.167097
736.0, 0.168195
738.0, 0.169414
740.0, 0.171758
742.0, 0.173772
744.0, 0.174443
746.0, 0.175833
748.0, 0.176884
750.5, 0.178068
753.5, 0.180754
756.5, 0.181764
759.5, 0.183454
762.5, 0.184612
765.5, 0.186528
768.5, 0.186604
771.5, 0.188764
774.5, 0.189415
777.5, 0.190042
781.0, 0.191249
785.0, 0.191496
789.0, 0.192132
793.0, 0.191962
797.0, 0.192507
801.5, 0.192247
806.5, 0.191438
811.5, 0.192010
816.5, 0.191913
822.0, 0.190298
828.0, 0.189773
835.0, 0.188972
843.0, 0.188414
851.0, 0.186495
859.0, 0.185793
871.0, 0.184135
883.0, 0.180720
894.0, 0.181834
904.0, 0.178717
914.0, 0.177080
924.0, 0.178529
933.0, 0.177984
941.0, 0.178451
949.0, 0.175385
957.0, 0.178881
964.0, 0.179313
970.0, 0.179683
976.0, 0.180707
982.0, 0.181701
988.0, 0.183716
994.0, 0.183840
1000.0, 0.183841
1006.0, 0.184535
1012.0, 0.186219
1018.0, 0.187758
1023.5, 0.191557
1028.5, 0.192180
1033.5, 0.195179
1038.5, 0.195955
1043.5, 0.196072
1048.5, 0.199592
1053.5, 0.202155
1058.5, 0.203598
1063.5, 0.204188
1068.5, 0.209110
1073.5, 0.209530
1078.5, 0.213089
1083.5, 0.216704
1088.5, 0.219132
1093.5, 0.220270
1098.5, 0.223179
1103.5, 0.225596
1108.5, 0.229750
1113.5, 0.233573
1118.5, 0.235711
1123.5, 0.239971
1128.5, 0.242425
1133.5, 0.247532
1138.5, 0.250823
1143.5, 0.254568
1148.5, 0.258754
1153.5, 0.262794
1158.5, 0.265537
1163.5, 0.271231
1168.5, 0.275514
1173.5, 0.279606
1178.5, 0.283983
1183.5, 0.289896
1188.5, 0.295108
1193.5, 0.300758
1198.5, 0.306089
1203.5, 0.310197
1208.5, 0.316176
1213.5, 0.320128
1218.5, 0.328079
1223.5, 0.331366
1228.5, 0.338091
1233.5, 0.343837
1238.5, 0.349753
1243.5, 0.355608
1248.5, 0.361662
1253.5, 0.368422
1258.5, 0.372833
1263.5, 0.381906
1268.5, 0.386962
1273.5, 0.392775
1278.5, 0.400210
1283.5, 0.406048
1288.5, 0.413755
1293.5, 0.420215
1298.5, 0.426812
1303.5, 0.433845
1308.5, 0.439659
1313.5, 0.445185
1318.5, 0.452502
1323.5, 0.458351
1328.5, 0.466903
1333.5, 0.472978
1338.5, 0.477732
1343.5, 0.484792
1348.5, 0.491371
1353.5, 0.497597
1358.5, 0.503952
1363.5, 0.510915
1368.5, 0.515563
1373.5, 0.519320
1378.5, 0.521847
1383.5, 0.517732
1388.5, 0.520487
1393.5, 0.518452
1398.5, 0.513223
1403.5, 0.510975
1408.5, 0.505532
1413.5, 0.501292
1418.5, 0.493377
1423.5, 0.492788
1428.5, 0.493282
1433.5, 0.495713
1438.5, 0.499314
1443.5, 0.502867
1448.5, 0.506105
1453.5, 0.510253
1458.5, 0.513409
1463.5, 0.518708
1468.5, 0.521352
1473.5, 0.526851
1478.5, 0.531213
1483.5, 0.536464
1488.5, 0.542550
1493.5, 0.547609
1498.5, 0.554269
1503.5, 0.559177
1508.5, 0.563006
1513.5, 0.568739
1518.5, 0.573080
1523.5, 0.579795
1528.5, 0.585214
1534.0, 0.587043
1540.0, 0.592755
1546.0, 0.598481
1552.0, 0.603245
1558.0, 0.608275
1564.0, 0.611737
1570.5, 0.615507
1577.5, 0.617616
1584.5, 0.622273
1591.5, 0.624706
1598.5, 0.627869
1605.5, 0.628729
1612.5, 0.630011
1619.5, 0.631770
1626.5, 0.632293
1633.5, 0.633165
1640.5, 0.633664
1647.5, 0.633715
1654.5, 0.633868
1661.5, 0.631846
1668.5, 0.631715
1676.0, 0.628468
1684.0, 0.627210
1692.0, 0.627912
1700.0, 0.625619
1708.0, 0.623436
1716.0, 0.618626
1724.0, 0.614373
1732.0, 0.610839
1740.0, 0.610794
1748.0, 0.605486
1756.0, 0.605909
1764.0, 0.602646
1772.0, 0.595360
1780.0, 0.593940
1788.0, 0.595964
1796.0, 0.589517
1805.0, 0.586784
1815.0, 0.584368
1825.0, 0.581506
1835.0, 0.580448
1845.0, 0.576893
1855.0, 0.567848
1865.0, 0.556155
1875.0, 0.524080
1885.0, 0.480701
1895.0, 0.454104
1905.0, 0.427422
1915.0, 0.403933
1925.0, 0.388189
1935.0, 0.384907
1945.0, 0.385769
1955.0, 0.386412
1965.0, 0.393747
1975.0, 0.400459
1985.0, 0.409814
1995.0, 0.414369
2005.0, 0.420379
2015.0, 0.427720
2025.0, 0.434133
2035.0, 0.442298
2045.0, 0.443535
2055.0, 0.451915
2065.0, 0.457398
2075.0, 0.460191
2085.0, 0.466354
2095.0, 0.468967
2105.0, 0.473317
2115.0, 0.476232
2125.0, 0.478686
2135.0, 0.481446
2145.0, 0.483607
2155.0, 0.484128
2165.0, 0.484086
2175.0, 0.481591
2185.0, 0.479216
2195.0, 0.475303
2205.0, 0.472878
2215.0, 0.467053
2225.0, 0.465127
2235.0, 0.452442
2245.0, 0.443898
2255.0, 0.441349
2265.0, 0.430130
2275.0, 0.426808
2285.0, 0.423232
2295.0, 0.412739
2305.0, 0.407242
2315.0, 0.400847
2325.0, 0.398996
2335.0, 0.395507
2345.0, 0.387069
2355.0, 0.376942
2365.0, 0.374115
2375.0, 0.364029
2386.0, 0.359895
2400.0, 0.352142
2418.0, 0.341348
2440.0, 0.330979
2466.0, 0.319440
2496.0, 0.306591
2528.0, 0.296141
2560.0, 0.289648
2592.0, 0.277674
2624.0, 0.258660
2656.0, 0.234089
2688.0, 0.182915
2720.0, 0.113537
2752.0, 0.0610120
2784.0, 0.0181340
2816.0, 0.0216450
2848.0, 0.0201930
2880.0, 0.0153200
2912.0, 0.0219060
2944.0, 0.0197390
2976.0, 0.0145620
