Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 02:45:33.425675

Data ID,USGS_gay01          
Sample ID, gaylussite_nmnh102876-2.8003
Mineral Name, gaylussite
Material Class,Carbonate

Wavelength
221.1, 0.325740
229.1, 0.334435
236.1, 0.337666
242.1, 0.340564
248.1, 0.344306
253.6, 0.348950
258.6, 0.352078
263.6, 0.354465
268.6, 0.357236
273.1, 0.361017
277.1, 0.363440
281.1, 0.364382
285.1, 0.365895
289.1, 0.368058
293.1, 0.369303
297.1, 0.371088
301.1, 0.375806
305.1, 0.379821
309.1, 0.382520
313.1, 0.387172
317.1, 0.391046
321.1, 0.395657
325.1, 0.398196
329.1, 0.400361
333.1, 0.402855
337.1, 0.405357
341.1, 0.406950
345.1, 0.409496
349.1, 0.409326
353.1, 0.413415
357.1, 0.415360
360.6, 0.416985
363.6, 0.416566
366.6, 0.417117
369.6, 0.417094
372.6, 0.417585
375.6, 0.416849
378.6, 0.416758
381.1, 0.417129
383.1, 0.415813
385.1, 0.415447
387.1, 0.415039
389.1, 0.414108
391.1, 0.412812
393.1, 0.411539
395.1, 0.411225
397.1, 0.409783
399.1, 0.408598
401.1, 0.407048
403.1, 0.406778
405.1, 0.407105
407.1, 0.407701
409.1, 0.408583
411.1, 0.411704
412.8, 0.412010
415.8, 0.415210
418.8, 0.418357
421.8, 0.422379
424.8, 0.427775
427.8, 0.433076
430.8, 0.438586
433.8, 0.443687
436.8, 0.448938
439.8, 0.453609
442.8, 0.458405
445.8, 0.462797
448.8, 0.467397
451.3, 0.471940
453.3, 0.473628
455.3, 0.476158
457.3, 0.478389
459.3, 0.481688
461.3, 0.482391
463.3, 0.485321
465.3, 0.486153
467.3, 0.488300
469.3, 0.490974
471.3, 0.491768
473.3, 0.494878
475.3, 0.495745
477.3, 0.498631
479.3, 0.500000
481.3, 0.502381
483.3, 0.503502
485.3, 0.504530
487.3, 0.506365
489.3, 0.507032
491.3, 0.508020
493.3, 0.508698
495.3, 0.510267
497.3, 0.510861
499.3, 0.512079
501.3, 0.513198
503.3, 0.513966
505.3, 0.516190
507.3, 0.517607
509.3, 0.520649
511.3, 0.521677
513.3, 0.524311
515.3, 0.527602
517.3, 0.530186
519.3, 0.532586
521.3, 0.535067
523.3, 0.537571
525.3, 0.540247
527.3, 0.541778
529.3, 0.543904
531.3, 0.545032
533.3, 0.546393
535.3, 0.547915
537.3, 0.549444
539.3, 0.549536
541.3, 0.550840
543.3, 0.551593
545.3, 0.552442
547.3, 0.554950
549.3, 0.554982
551.3, 0.557093
553.3, 0.558289
555.3, 0.559204
557.3, 0.560109
559.3, 0.561463
561.3, 0.559852
563.3, 0.562320
565.3, 0.562070
567.3, 0.563968
569.3, 0.564726
571.3, 0.566050
573.3, 0.566226
575.3, 0.568570
577.3, 0.569593
579.3, 0.571250
581.3, 0.571859
583.3, 0.572640
585.3, 0.572893
587.3, 0.573228
589.3, 0.573033
591.3, 0.571988
593.3, 0.571079
595.3, 0.571267
597.3, 0.570010
599.3, 0.569138
601.1, 0.567857
602.7, 0.568605
604.3, 0.567706
605.9, 0.567522
607.5, 0.567730
609.1, 0.567426
610.7, 0.567869
612.3, 0.567538
613.9, 0.568128
615.5, 0.568433
617.1, 0.569504
618.7, 0.570380
620.3, 0.570478
