Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 02:48:08.885032

Data ID,USGS_gib03          
Sample ID, gibbsite_ws214.8111
Mineral Name, gibbsite
Material Class,Hydroxide

Wavelength
221.1, 0.184672
229.1, 0.193559
236.1, 0.199739
242.1, 0.200812
248.1, 0.200343
253.6, 0.199640
258.6, 0.202395
263.6, 0.202728
268.6, 0.204585
273.1, 0.206509
277.1, 0.207028
281.1, 0.208715
285.1, 0.210354
289.1, 0.209339
293.1, 0.214557
297.1, 0.215843
301.1, 0.215682
305.1, 0.219761
309.1, 0.222484
313.1, 0.224450
317.1, 0.229427
321.1, 0.232990
325.1, 0.234141
329.1, 0.236839
333.1, 0.237184
337.1, 0.238994
341.1, 0.240559
345.1, 0.242287
349.1, 0.240672
353.1, 0.240114
357.1, 0.241689
360.6, 0.238450
363.6, 0.239606
366.6, 0.244399
369.6, 0.244452
372.6, 0.246510
375.6, 0.249028
378.6, 0.251285
381.1, 0.252468
383.1, 0.254530
385.1, 0.256362
387.1, 0.258092
389.1, 0.260161
391.1, 0.262825
393.1, 0.265320
395.1, 0.267506
397.1, 0.270750
399.1, 0.271846
401.1, 0.273122
403.1, 0.276745
405.1, 0.279205
407.1, 0.280625
409.1, 0.282713
411.1, 0.287488
412.8, 0.289183
415.8, 0.290937
418.8, 0.296562
421.8, 0.298495
424.8, 0.302566
427.8, 0.307554
430.8, 0.311798
433.8, 0.315642
436.8, 0.323091
439.8, 0.330330
442.8, 0.333084
445.8, 0.339608
448.8, 0.343234
451.3, 0.345275
453.3, 0.348976
455.3, 0.351250
457.3, 0.354783
459.3, 0.355230
461.3, 0.357872
463.3, 0.358313
465.3, 0.360354
467.3, 0.360719
469.3, 0.364315
471.3, 0.366139
473.3, 0.369088
475.3, 0.366428
477.3, 0.369870
479.3, 0.371989
481.3, 0.374023
483.3, 0.379348
485.3, 0.377194
487.3, 0.381113
489.3, 0.382037
491.3, 0.385077
493.3, 0.389759
495.3, 0.391252
497.3, 0.395057
499.3, 0.396932
501.3, 0.399985
503.3, 0.404306
505.3, 0.404469
507.3, 0.408976
509.3, 0.413112
511.3, 0.416275
513.3, 0.420303
515.3, 0.422594
517.3, 0.428369
519.3, 0.431064
521.3, 0.429673
523.3, 0.435901
525.3, 0.443142
527.3, 0.443170
529.3, 0.448028
531.3, 0.451512
533.3, 0.456842
535.3, 0.461082
537.3, 0.465053
539.3, 0.470058
541.3, 0.472614
543.3, 0.477488
545.3, 0.481833
547.3, 0.484749
549.3, 0.487968
551.3, 0.492218
553.3, 0.496557
555.3, 0.500553
557.3, 0.504563
559.3, 0.506902
561.3, 0.510848
563.3, 0.515004
565.3, 0.519678
567.3, 0.522355
569.3, 0.526408
571.3, 0.528842
573.3, 0.535279
575.3, 0.535686
577.3, 0.540024
579.3, 0.540047
581.3, 0.540562
583.3, 0.545336
585.3, 0.548787
587.3, 0.545186
589.3, 0.552829
591.3, 0.552791
593.3, 0.556695
595.3, 0.555237
597.3, 0.560793
599.3, 0.562465
601.1, 0.563025
602.7, 0.562974
604.3, 0.566953
605.9, 0.562404
607.5, 0.564529
609.1, 0.567535
610.7, 0.569498
612.3, 0.572183
613.9, 0.573361
615.5, 0.573192
617.1, 0.570191
618.7, 0.574942
620.3, 0.577510
621.9, 0.574802
623.5, 0.576126
625.1, 0.576345
626.7, 0.579575
628.3, 0.580485
629.9, 0.580502
631.7, 0.582093
633.7, 0.581882
635.7, 0.587916
637.7, 0.585712
639.7, 0.588109
641.7, 0.587512
643.7, 0.588288
645.7, 0.590243
647.7, 0.594588
649.7, 0.593091
651.7, 0.593496
653.7, 0.599197
655.7, 0.597512
657.7, 0.598061
659.7, 0.601570
661.7, 0.599112
663.7, 0.602866
665.7, 0.603809
667.7, 0.607781
670.2, 0.606801
673.2, 0.611708
676.2, 0.617828
679.2, 0.614518
682.2, 0.617450
685.2, 0.615405
688.2, 0.621531
691.2, 0.625243
694.2, 0.623913
697.2, 0.624589
700.2, 0.629474
702.0, 0.625748
704.0, 0.624803
706.0, 0.628415
708.0, 0.630203
710.0, 0.632392
712.0, 0.635379
714.0, 0.632846
716.0, 0.633613
718.0, 0.636559
720.0, 0.638420
722.0, 0.639886
724.0, 0.638243
726.0, 0.640288
728.0, 0.641751
730.0, 0.645333
732.0, 0.648984
734.0, 0.643974
736.0, 0.646769
738.0, 0.646033
740.0, 0.646224
742.0, 0.648205
744.0, 0.649285
746.0, 0.651833
748.0, 0.652821
750.5, 0.652100
753.5, 0.652581
756.5, 0.652858
759.5, 0.653618
762.5, 0.653823
765.5, 0.658406
768.5, 0.659495
771.5, 0.660279
774.5, 0.664074
777.5, 0.662657
781.0, 0.663683
785.0, 0.665637
789.0, 0.664662
793.0, 0.669344
797.0, 0.669690
801.5, 0.664525
806.5, 0.670953
811.5, 0.671532
816.5, 0.673085
822.0, 0.672068
828.0, 0.672956
835.0, 0.678625
851.0, 0.679660
859.0, 0.678493
871.0, 0.680948
883.0, 0.676584
894.0, 0.680474
904.0, 0.679874
914.0, 0.683362
924.0, 0.685238
933.0, 0.682558
941.0, 0.684693
949.0, 0.686835
957.0, 0.683622
964.0, 0.686623
970.0, 0.683499
976.0, 0.686478
982.0, 0.687990
988.0, 0.688624
994.0, 0.686144
1000.0, 0.690345
1006.0, 0.692880
1012.0, 0.695722
1018.0, 0.696364
1023.5, 0.702140
1028.5, 0.703308
1033.5, 0.705756
1038.5, 0.707848
1043.5, 0.703817
1048.5, 0.709120
1053.5, 0.708377
1058.5, 0.714009
1063.5, 0.712956
1068.5, 0.710904
1073.5, 0.715417
1078.5, 0.715407
1083.5, 0.715253
1088.5, 0.716836
1093.5, 0.719768
1098.5, 0.720503
1103.5, 0.722399
1108.5, 0.722147
1113.5, 0.724414
1118.5, 0.724226
1123.5, 0.725424
1128.5, 0.725384
1133.5, 0.726925
1138.5, 0.726314
1143.5, 0.730416
1148.5, 0.728907
1153.5, 0.727585
1158.5, 0.731519
1163.5, 0.732541
1168.5, 0.730915
1173.5, 0.733498
1178.5, 0.732028
1183.5, 0.732465
1188.5, 0.730853
1193.5, 0.735351
1198.5, 0.736239
1203.5, 0.737318
1208.5, 0.738191
1213.5, 0.735870
1218.5, 0.736539
1223.5, 0.735316
1228.5, 0.735487
1233.5, 0.734561
1238.5, 0.734659
1243.5, 0.734046
1248.5, 0.733334
1253.5, 0.723619
1258.5, 0.722619
1263.5, 0.719890
1268.5, 0.712024
1273.5, 0.709751
1278.5, 0.708320
1283.5, 0.710522
1288.5, 0.709580
1293.5, 0.707607
1298.5, 0.702697
1303.5, 0.705186
1308.5, 0.698990
1313.5, 0.700156
1318.5, 0.701573
1323.5, 0.699775
1328.5, 0.703183
1333.5, 0.705386
1338.5, 0.703019
1343.5, 0.706628
1348.5, 0.705852
1353.5, 0.709736
1358.5, 0.704454
1363.5, 0.699276
1368.5, 0.694456
1373.5, 0.684762
1378.5, 0.669707
1383.5, 0.652101
1388.5, 0.634552
1393.5, 0.593094
1398.5, 0.544127
1403.5, 0.553999
1408.5, 0.548044
1413.5, 0.504199
1418.5, 0.481838
1423.5, 0.493094
1428.5, 0.495041
1433.5, 0.467270
1438.5, 0.452340
1443.5, 0.451412
1448.5, 0.452580
1453.5, 0.434598
1458.5, 0.448648
1463.5, 0.468368
1468.5, 0.513929
1473.5, 0.546028
1478.5, 0.562142
1483.5, 0.576664
1488.5, 0.585324
1493.5, 0.583943
1498.5, 0.583327
1503.5, 0.575556
1508.5, 0.572071
1513.5, 0.563018
1518.5, 0.557308
1523.5, 0.547296
1528.5, 0.549031
1534.0, 0.546179
1540.0, 0.544067
1546.0, 0.536921
1552.0, 0.536270
1558.0, 0.547154
1564.0, 0.564337
1570.5, 0.578179
1577.5, 0.579789
1584.5, 0.592340
1591.5, 0.609896
1598.5, 0.618558
1605.5, 0.627641
1612.5, 0.636609
1619.5, 0.644277
1626.5, 0.646850
1633.5, 0.650230
1640.5, 0.655558
1647.5, 0.655816
1654.5, 0.656941
1661.5, 0.661225
1668.5, 0.664028
1676.0, 0.667695
1684.0, 0.667759
1692.0, 0.667150
1700.0, 0.670194
1708.0, 0.671127
1716.0, 0.667426
1724.0, 0.671142
1732.0, 0.667179
1740.0, 0.666654
1748.0, 0.666559
1756.0, 0.659664
1764.0, 0.653831
1772.0, 0.651778
1780.0, 0.643245
1788.0, 0.632931
1796.0, 0.627810
1805.0, 0.622396
1815.0, 0.610415
1825.0, 0.603494
1835.0, 0.601587
1845.0, 0.596120
1855.0, 0.596021
1865.0, 0.592955
1875.0, 0.585702
1885.0, 0.573852
1895.0, 0.572897
1905.0, 0.550484
1915.0, 0.540603
1925.0, 0.532769
1935.0, 0.525701
1945.0, 0.519591
1955.0, 0.521261
1965.0, 0.519858
1975.0, 0.517666
1985.0, 0.516226
1995.0, 0.510381
2005.0, 0.510637
2015.0, 0.510037
