Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 02:50:07.559832

Data ID,USGS_goe07          
Sample ID, goethite_ws219.8380
Mineral Name, goethite
Material Class,Hydroxide

Wavelength
221.1, 0.0128980
229.1, 0.0151080
236.1, 0.0131130
242.1, 0.0132080
248.1, 0.0130930
253.6, 0.0110730
258.6, 0.0115010
263.6, 0.0119510
268.6, 0.0105320
273.1, 0.0132500
277.1, 0.0120440
281.1, 0.0127680
285.1, 0.0130470
289.1, 0.0129650
293.1, 0.0131670
297.1, 0.0130230
301.1, 0.0135040
305.1, 0.0152340
309.1, 0.0136190
313.1, 0.0126240
317.1, 0.0151190
321.1, 0.0140720
325.1, 0.0145710
329.1, 0.0152450
333.1, 0.0137610
337.1, 0.0150360
341.1, 0.0133490
345.1, 0.0133810
349.1, 0.0120220
353.1, 0.0158000
357.1, 0.0147800
360.6, 0.0157150
363.6, 0.0161570
366.6, 0.0172250
369.6, 0.0174750
372.6, 0.0168120
375.6, 0.0173420
378.6, 0.0177320
381.1, 0.0196200
383.1, 0.0160660
385.1, 0.0203320
387.1, 0.0170270
389.1, 0.0169110
391.1, 0.0201250
393.1, 0.0197880
395.1, 0.0199980
397.1, 0.0209910
399.1, 0.0201270
401.1, 0.0223790
403.1, 0.0217170
405.1, 0.0229890
407.1, 0.0225090
409.1, 0.0226730
411.1, 0.0225990
412.8, 0.0245820
415.8, 0.0238820
418.8, 0.0255890
421.8, 0.0270360
424.8, 0.0270050
427.8, 0.0288430
430.8, 0.0281310
433.8, 0.0310580
436.8, 0.0329860
439.8, 0.0339460
442.8, 0.0359130
445.8, 0.0361830
448.8, 0.0364020
451.3, 0.0367440
453.3, 0.0384070
455.3, 0.0359940
457.3, 0.0363140
459.3, 0.0374370
461.3, 0.0381650
463.3, 0.0376720
465.3, 0.0366510
467.3, 0.0370440
469.3, 0.0384600
471.3, 0.0389410
473.3, 0.0390080
475.3, 0.0400910
477.3, 0.0390860
479.3, 0.0380200
481.3, 0.0395320
483.3, 0.0425000
485.3, 0.0424380
487.3, 0.0434720
489.3, 0.0429580
491.3, 0.0445590
493.3, 0.0466220
495.3, 0.0454770
497.3, 0.0494780
499.3, 0.0491210
501.3, 0.0487430
503.3, 0.0526350
505.3, 0.0551010
507.3, 0.0562910
509.3, 0.0553430
511.3, 0.0592590
513.3, 0.0614320
515.3, 0.0628760
517.3, 0.0639480
519.3, 0.0667980
521.3, 0.0705090
523.3, 0.0724720
525.3, 0.0770320
527.3, 0.0760760
529.3, 0.0823210
531.3, 0.0827040
533.3, 0.0841540
535.3, 0.0895240
537.3, 0.0928290
539.3, 0.0994490
541.3, 0.102005
543.3, 0.104729
545.3, 0.108779
547.3, 0.114299
549.3, 0.118047
551.3, 0.122488
553.3, 0.124108
555.3, 0.131398
557.3, 0.135751
559.3, 0.140928
561.3, 0.146064
563.3, 0.149757
565.3, 0.154255
567.3, 0.158529
569.3, 0.165469
571.3, 0.166947
573.3, 0.171441
575.3, 0.175185
577.3, 0.179573
579.3, 0.180406
581.3, 0.186486
583.3, 0.188738
585.3, 0.189594
587.3, 0.192436
589.3, 0.196629
591.3, 0.200335
593.3, 0.197485
595.3, 0.200848
597.3, 0.201669
599.3, 0.204068
601.1, 0.202370
602.7, 0.203814
604.3, 0.204523
605.9, 0.207284
607.5, 0.205928
609.1, 0.206179
610.7, 0.206695
612.3, 0.207598
613.9, 0.205388
615.5, 0.207089
617.1, 0.205949
618.7, 0.208333
620.3, 0.208204
621.9, 0.208336
623.5, 0.209105
625.1, 0.207920
626.7, 0.210341
628.3, 0.207070
