Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 02:51:31.451657

Data ID,USGS_gro03          
Sample ID, gross_ws483.8629
Mineral Name, gross
Material Class,Nesosilicate

Wavelength
221.1, 0.0243540
229.1, 0.0280030
236.1, 0.0281740
242.1, 0.0264480
248.1, 0.0244550
253.6, 0.0272370
258.6, 0.0258210
263.6, 0.0253030
268.6, 0.0278400
273.1, 0.0272420
277.1, 0.0270400
281.1, 0.0303340
285.1, 0.0314420
289.1, 0.0340410
293.1, 0.0399290
297.1, 0.0460370
301.1, 0.0539730
305.1, 0.0685770
309.1, 0.0834630
313.1, 0.106031
317.1, 0.140135
321.1, 0.178617
325.1, 0.222601
329.1, 0.270904
333.1, 0.321160
337.1, 0.368642
341.1, 0.407658
345.1, 0.440087
349.1, 0.465615
353.1, 0.495580
357.1, 0.515759
360.6, 0.532352
363.6, 0.540765
366.6, 0.553296
369.6, 0.556197
372.6, 0.557087
375.6, 0.566027
378.6, 0.573305
381.1, 0.581118
383.1, 0.591430
385.1, 0.601348
387.1, 0.614889
389.1, 0.626371
391.1, 0.635450
393.1, 0.652035
395.1, 0.660220
397.1, 0.668558
399.1, 0.677180
401.1, 0.688428
403.1, 0.690010
405.1, 0.697296
407.1, 0.700274
409.1, 0.700986
411.1, 0.704330
412.8, 0.713882
415.8, 0.717826
418.8, 0.717780
421.8, 0.720828
424.8, 0.717187
427.8, 0.718002
430.8, 0.715678
433.8, 0.715314
436.8, 0.723317
439.8, 0.729206
442.8, 0.739145
445.8, 0.749971
448.8, 0.758782
451.3, 0.764357
453.3, 0.765883
455.3, 0.769898
457.3, 0.773249
459.3, 0.772870
461.3, 0.778673
463.3, 0.779501
465.3, 0.782504
467.3, 0.786527
469.3, 0.786319
471.3, 0.787174
473.3, 0.790734
475.3, 0.786755
477.3, 0.788611
479.3, 0.791120
481.3, 0.789673
483.3, 0.795849
485.3, 0.793184
487.3, 0.792614
489.3, 0.794807
491.3, 0.795426
493.3, 0.793076
495.3, 0.791631
497.3, 0.794290
499.3, 0.794248
501.3, 0.794940
503.3, 0.792135
505.3, 0.793214
507.3, 0.791392
509.3, 0.794308
511.3, 0.796504
513.3, 0.799018
515.3, 0.797903
517.3, 0.791209
519.3, 0.795990
521.3, 0.792260
523.3, 0.797163
525.3, 0.799028
527.3, 0.798017
529.3, 0.799695
531.3, 0.799153
533.3, 0.798626
535.3, 0.803096
537.3, 0.805891
539.3, 0.803429
541.3, 0.807161
543.3, 0.809210
545.3, 0.805056
547.3, 0.805070
549.3, 0.808169
551.3, 0.810033
553.3, 0.808426
555.3, 0.810376
557.3, 0.810756
559.3, 0.814828
561.3, 0.816830
563.3, 0.813717
565.3, 0.810985
567.3, 0.812138
569.3, 0.817646
571.3, 0.814788
573.3, 0.817824
575.3, 0.815869
577.3, 0.822581
579.3, 0.819288
581.3, 0.819395
583.3, 0.825501
585.3, 0.821294
587.3, 0.817895
589.3, 0.823033
591.3, 0.828214
593.3, 0.831115
595.3, 0.825674
597.3, 0.829922
599.3, 0.833648
601.1, 0.833484
602.7, 0.836467
604.3, 0.835360
605.9, 0.833051
607.5, 0.832039
609.1, 0.838876
610.7, 0.844187
612.3, 0.838719
613.9, 0.843088
615.5, 0.843401
617.1, 0.843566
618.7, 0.846440
620.3, 0.846641
621.9, 0.848140
623.5, 0.844508
625.1, 0.851514
626.7, 0.846859
628.3, 0.847757
629.9, 0.853150
631.7, 0.854342
633.7, 0.853199
635.7, 0.858589
637.7, 0.855846
639.7, 0.858357
641.7, 0.859659
643.7, 0.857534
645.7, 0.859040
647.7, 0.862848
649.7, 0.859426
651.7, 0.861571
653.7, 0.865591
655.7, 0.865347
657.7, 0.863412
659.7, 0.867083
661.7, 0.864355
663.7, 0.867320
665.7, 0.869066
667.7, 0.872017
670.2, 0.870484
673.2, 0.871861
676.2, 0.879331
679.2, 0.872887
682.2, 0.876832
685.2, 0.878465
688.2, 0.879623
691.2, 0.883202
694.2, 0.880145
697.2, 0.877471
700.2, 0.884658
702.0, 0.882753
704.0, 0.882738
706.0, 0.882774
708.0, 0.882319
710.0, 0.882398
712.0, 0.881931
714.0, 0.883584
716.0, 0.886660
718.0, 0.884671
720.0, 0.880509
722.0, 0.888307
