Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 02:52:54.322451

Data ID,USGS_gyp03          
Sample ID, gypsum_su2202.8850
Mineral Name, gypsum
Material Class,Sulfate

Wavelength
221.1, 0.578355
229.1, 0.605213
236.1, 0.612735
242.1, 0.625365
248.1, 0.635167
253.6, 0.643953
258.6, 0.649022
263.6, 0.646927
268.6, 0.655445
273.1, 0.662879
277.1, 0.664765
281.1, 0.670347
285.1, 0.674693
289.1, 0.682772
293.1, 0.692329
297.1, 0.699925
301.1, 0.708012
305.1, 0.713222
309.1, 0.719472
313.1, 0.724860
317.1, 0.729692
321.1, 0.736043
325.1, 0.739208
329.1, 0.744107
333.1, 0.746877
337.1, 0.749818
341.1, 0.753823
345.1, 0.757413
349.1, 0.758773
353.1, 0.761727
357.1, 0.766091
360.6, 0.768334
363.6, 0.770511
366.6, 0.772004
369.6, 0.774217
372.6, 0.775481
375.6, 0.779580
378.6, 0.780821
381.1, 0.782794
383.1, 0.784614
385.1, 0.785908
387.1, 0.787602
389.1, 0.789506
391.1, 0.792464
393.1, 0.791866
395.1, 0.792760
397.1, 0.793699
399.1, 0.797172
401.1, 0.797653
403.1, 0.798516
405.1, 0.799073
407.1, 0.800728
409.1, 0.801272
411.1, 0.802889
412.8, 0.805513
415.8, 0.805471
418.8, 0.806635
421.8, 0.808732
424.8, 0.808656
427.8, 0.810723
430.8, 0.811056
433.8, 0.812742
436.8, 0.812974
439.8, 0.815817
442.8, 0.816109
445.8, 0.819029
448.8, 0.820196
451.3, 0.820079
453.3, 0.823214
455.3, 0.821859
457.3, 0.822722
459.3, 0.825827
461.3, 0.823813
463.3, 0.824970
465.3, 0.826562
467.3, 0.827523
469.3, 0.828388
471.3, 0.828142
473.3, 0.828817
475.3, 0.829804
477.3, 0.830856
479.3, 0.829407
481.3, 0.830851
483.3, 0.832612
485.3, 0.833154
487.3, 0.832627
489.3, 0.834776
491.3, 0.834641
493.3, 0.835336
495.3, 0.834730
497.3, 0.836054
499.3, 0.837926
501.3, 0.840061
503.3, 0.837746
505.3, 0.839785
507.3, 0.840376
509.3, 0.841416
511.3, 0.841190
513.3, 0.844313
515.3, 0.843429
517.3, 0.844543
519.3, 0.844202
521.3, 0.844956
523.3, 0.844438
525.3, 0.846227
527.3, 0.846260
529.3, 0.847639
531.3, 0.847586
533.3, 0.849393
535.3, 0.851457
537.3, 0.849991
539.3, 0.851030
541.3, 0.851167
543.3, 0.855084
545.3, 0.852078
547.3, 0.853050
549.3, 0.854234
551.3, 0.855442
553.3, 0.855999
555.3, 0.857138
557.3, 0.858697
559.3, 0.856090
561.3, 0.860792
563.3, 0.861441
565.3, 0.862452
567.3, 0.864105
569.3, 0.863753
571.3, 0.862150
573.3, 0.865508
575.3, 0.864061
577.3, 0.865424
579.3, 0.865765
581.3, 0.866482
583.3, 0.868947
585.3, 0.868309
587.3, 0.868963
589.3, 0.868997
591.3, 0.869568
593.3, 0.871117
595.3, 0.871328
597.3, 0.871373
599.3, 0.872022
601.1, 0.871149
602.7, 0.872158
604.3, 0.872624
605.9, 0.872838
607.5, 0.872116
609.1, 0.874110
610.7, 0.874234
612.3, 0.872108
613.9, 0.873911
615.5, 0.873646
617.1, 0.874550
618.7, 0.874299
620.3, 0.874122
621.9, 0.873618
623.5, 0.875306
625.1, 0.875686
626.7, 0.875410
628.3, 0.874421
629.9, 0.874904
631.7, 0.875650
633.7, 0.875251
635.7, 0.876870
637.7, 0.875746
639.7, 0.876885
641.7, 0.876820
643.7, 0.876363
645.7, 0.878059
647.7, 0.877436
649.7, 0.878169
651.7, 0.876913
653.7, 0.878787
655.7, 0.880117
657.7, 0.879310
659.7, 0.878794
661.7, 0.880385
663.7, 0.881280
665.7, 0.880552
667.7, 0.880308
670.2, 0.880573
673.2, 0.880134
676.2, 0.881914
679.2, 0.882249
682.2, 0.881816
685.2, 0.882787
688.2, 0.883856
691.2, 0.883057
694.2, 0.882968
697.2, 0.884017
700.2, 0.881552
702.0, 0.882541
704.0, 0.883245
706.0, 0.882698
708.0, 0.882160
710.0, 0.882424
712.0, 0.885165
714.0, 0.882328
716.0, 0.884097
718.0, 0.883629
720.0, 0.883900
722.0, 0.885234
724.0, 0.885047
726.0, 0.884864
728.0, 0.885382
730.0, 0.885550
732.0, 0.885304
734.0, 0.885836
736.0, 0.886715
738.0, 0.885193
740.0, 0.886801
742.0, 0.886081
744.0, 0.886350
746.0, 0.886698
748.0, 0.885782
750.5, 0.886494
753.5, 0.886759
756.5, 0.887201
759.5, 0.885211
762.5, 0.886818
765.5, 0.886436
768.5, 0.887094
771.5, 0.888978
774.5, 0.886813
777.5, 0.888505
781.0, 0.887960
785.0, 0.888483
789.0, 0.889127
793.0, 0.891418
797.0, 0.890570
801.5, 0.889654
806.5, 0.890735
811.5, 0.891734
816.5, 0.891922
822.0, 0.892198
828.0, 0.890695
835.0, 0.890232
843.0, 0.891628
851.0, 0.887127
859.0, 0.889711
871.0, 0.888647
883.0, 0.891475
894.0, 0.887087
904.0, 0.885953
914.0, 0.882844
924.0, 0.881065
933.0, 0.885260
941.0, 0.883030
949.0, 0.879916
957.0, 0.880848
964.0, 0.876189
970.0, 0.876558
976.0, 0.871743
982.0, 0.866441
988.0, 0.864541
994.0, 0.861791
1000.0, 0.860366
1006.0, 0.863223
1012.0, 0.867213
1018.0, 0.870869
1023.5, 0.877083
1028.5, 0.881088
1033.5, 0.881471
1038.5, 0.883288
1043.5, 0.883014
1048.5, 0.885490
1053.5, 0.887469
1058.5, 0.888275
1063.5, 0.889005
1068.5, 0.888165
1073.5, 0.888056
1078.5, 0.887777
1083.5, 0.888230
1088.5, 0.887093
1093.5, 0.886348
1098.5, 0.886174
1103.5, 0.887236
1108.5, 0.885150
1113.5, 0.883486
1118.5, 0.882424
1123.5, 0.881180
1128.5, 0.880445
1133.5, 0.879034
1138.5, 0.876697
1143.5, 0.876605
1148.5, 0.870345
1153.5, 0.864835
1158.5, 0.855927
1163.5, 0.845605
1168.5, 0.834033
1173.5, 0.826737
1178.5, 0.820899
1183.5, 0.820033
1188.5, 0.820755
1193.5, 0.818220
1198.5, 0.815790
1203.5, 0.814433
1208.5, 0.814410
1213.5, 0.819231
1218.5, 0.824591
1223.5, 0.825582
1228.5, 0.826917
1233.5, 0.826468
1238.5, 0.828848
1243.5, 0.834533
1248.5, 0.838261
1253.5, 0.842599
1258.5, 0.846046
1263.5, 0.844798
1268.5, 0.846405
1273.5, 0.847503
1278.5, 0.848211
1283.5, 0.848298
1288.5, 0.848753
1293.5, 0.847764
1298.5, 0.846570
1303.5, 0.846234
1308.5, 0.842680
1313.5, 0.839351
1318.5, 0.836223
1323.5, 0.832673
1328.5, 0.827141
1333.5, 0.820970
1338.5, 0.814029
1343.5, 0.806870
1348.5, 0.798366
1353.5, 0.789542
1358.5, 0.785955
1363.5, 0.778603
1368.5, 0.775859
1373.5, 0.765808
1378.5, 0.763131
1383.5, 0.761833
1388.5, 0.757177
1393.5, 0.753303
1398.5, 0.748505
1403.5, 0.735805
1408.5, 0.722127
1413.5, 0.700758
1418.5, 0.677459
1423.5, 0.654052
1428.5, 0.640163
1433.5, 0.621891
1438.5, 0.587458
1443.5, 0.549123
1448.5, 0.541984
1453.5, 0.567052
1458.5, 0.587767
1463.5, 0.597688
1468.5, 0.604801
1473.5, 0.606662
1478.5, 0.612279
1483.5, 0.607371
1488.5, 0.596828
1493.5, 0.595684
1498.5, 0.609692
1503.5, 0.625879
1508.5, 0.638633
1513.5, 0.646689
1518.5, 0.647563
1523.5, 0.649309
1528.5, 0.642079
1534.0, 0.636094
1540.0, 0.636466
1546.0, 0.647447
1552.0, 0.667719
1558.0, 0.684226
1564.0, 0.694952
1570.5, 0.706554
1577.5, 0.717401
1584.5, 0.725511
1591.5, 0.734723
1598.5, 0.744410
1605.5, 0.755115
1612.5, 0.762208
1619.5, 0.771049
1626.5, 0.779068
1633.5, 0.784163
1640.5, 0.790789
1647.5, 0.798463
1654.5, 0.802734
1661.5, 0.806655
1668.5, 0.805583
1676.0, 0.804253
1684.0, 0.801179
1692.0, 0.795548
1700.0, 0.787035
1708.0, 0.763998
1716.0, 0.734802
1724.0, 0.702800
1732.0, 0.677749
1740.0, 0.652569
1748.0, 0.637159
1756.0, 0.643481
1764.0, 0.651572
1772.0, 0.661461
1780.0, 0.662553
1788.0, 0.680453
1796.0, 0.695920
1805.0, 0.706814
1815.0, 0.716723
1825.0, 0.719232
1835.0, 0.720152
1845.0, 0.715892
1855.0, 0.702518
1865.0, 0.666389
1875.0, 0.619150
1885.0, 0.564589
1895.0, 0.507679
1905.0, 0.452529
1915.0, 0.396671
1925.0, 0.333066
1935.0, 0.268146
1945.0, 0.243382
1955.0, 0.271005
1965.0, 0.315353
1975.0, 0.327606
1985.0, 0.347922
1995.0, 0.396127
2005.0, 0.474780
2015.0, 0.524438
2025.0, 0.555688
2035.0, 0.575613
2045.0, 0.587759
2055.0, 0.596794
2065.0, 0.592587
2075.0, 0.593359
2085.0, 0.588949
2095.0, 0.580320
2105.0, 0.569703
2115.0, 0.557076
2125.0, 0.546792
2135.0, 0.539887
2145.0, 0.533018
2155.0, 0.517861
2165.0, 0.505080
2175.0, 0.491831
2185.0, 0.489436
2195.0, 0.484373
2205.0, 0.469969
2215.0, 0.456615
2225.0, 0.465208
2235.0, 0.483918
2245.0, 0.489777
2255.0, 0.493511
2265.0, 0.481407
2275.0, 0.488638
2285.0, 0.497767
2295.0, 0.515293
2305.0, 0.512624
2315.0, 0.514234
2325.0, 0.516007
2335.0, 0.503979
2345.0, 0.495600
2355.0, 0.481150
2365.0, 0.467569
2375.0, 0.438001
2386.0, 0.408026
2400.0, 0.360089
2418.0, 0.311062
2440.0, 0.287455
2466.0, 0.273858
2496.0, 0.263305
2528.0, 0.271564
2560.0, 0.265078
2592.0, 0.252114
2624.0, 0.242014
2656.0, 0.222341
2688.0, 0.159201
2720.0, 0.0859210
2752.0, 0.0425710
2784.0, 0.0144880
2816.0, 0.00509100
2848.0, 0.00351600
2880.0, 0.0166330
2912.0, 0.0174600
2944.0, 0.0234660
2976.0, 0.0113430
