Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 02:54:35.165641

Data ID,USGS_hed03          
Sample ID, hedenbergite_nmnh119197.9218
Mineral Name, hedenbergite
Material Class,Inosilicate

Wavelength
213.1, 0.0203140
221.1, 0.0281930
229.1, 0.0315610
236.1, 0.0329580
242.1, 0.0330180
248.1, 0.0334170
253.6, 0.0352260
258.6, 0.0344370
263.6, 0.0355790
268.6, 0.0357700
273.1, 0.0375030
277.1, 0.0382520
281.1, 0.0404190
285.1, 0.0421170
289.1, 0.0462380
293.1, 0.0506510
297.1, 0.0559690
301.1, 0.0626720
305.1, 0.0708940
309.1, 0.0793750
313.1, 0.0915920
317.1, 0.105818
321.1, 0.118738
325.1, 0.134817
329.1, 0.151270
333.1, 0.166006
337.1, 0.181193
341.1, 0.195542
345.1, 0.207327
349.1, 0.218141
353.1, 0.229294
357.1, 0.239988
360.6, 0.248380
363.6, 0.256091
366.6, 0.261238
369.6, 0.266028
372.6, 0.269535
375.6, 0.273334
378.6, 0.277837
381.1, 0.280175
383.1, 0.282193
385.1, 0.284913
387.1, 0.288025
389.1, 0.290244
391.1, 0.291921
393.1, 0.295115
395.1, 0.297140
397.1, 0.299091
399.1, 0.302105
401.1, 0.304439
403.1, 0.307505
405.1, 0.309329
407.1, 0.311579
409.1, 0.314068
411.1, 0.317683
412.8, 0.319729
415.8, 0.324776
418.8, 0.328069
421.8, 0.331776
424.8, 0.336149
427.8, 0.340251
430.8, 0.344809
433.8, 0.348715
436.8, 0.350592
439.8, 0.353514
442.8, 0.355258
445.8, 0.358227
448.8, 0.360888
451.3, 0.362696
453.3, 0.366100
455.3, 0.367963
457.3, 0.370801
459.3, 0.373186
461.3, 0.375434
463.3, 0.378624
465.3, 0.380923
467.3, 0.382306
469.3, 0.385587
471.3, 0.388434
473.3, 0.390153
475.3, 0.392667
477.3, 0.396434
479.3, 0.397384
481.3, 0.399831
483.3, 0.401946
485.3, 0.404384
487.3, 0.406125
489.3, 0.407204
491.3, 0.408248
493.3, 0.410822
495.3, 0.413666
497.3, 0.417113
499.3, 0.420576
501.3, 0.422120
503.3, 0.423687
505.3, 0.426320
507.3, 0.429845
509.3, 0.429440
511.3, 0.431570
513.3, 0.433612
515.3, 0.435789
517.3, 0.436615
519.3, 0.437605
521.3, 0.439771
523.3, 0.441834
525.3, 0.441529
527.3, 0.444298
529.3, 0.445985
531.3, 0.446842
533.3, 0.448230
535.3, 0.448663
537.3, 0.449610
539.3, 0.449785
541.3, 0.450086
543.3, 0.451571
545.3, 0.452379
547.3, 0.452204
549.3, 0.453332
551.3, 0.452387
553.3, 0.452773
555.3, 0.453817
557.3, 0.454234
559.3, 0.454178
561.3, 0.453014
563.3, 0.452591
565.3, 0.452308
567.3, 0.453286
569.3, 0.450957
571.3, 0.451056
573.3, 0.451079
575.3, 0.450882
577.3, 0.450166
579.3, 0.449519
581.3, 0.448755
583.3, 0.447738
585.3, 0.446853
587.3, 0.446465
589.3, 0.445580
591.3, 0.444481
593.3, 0.443614
595.3, 0.442219
597.3, 0.441292
599.3, 0.440271
601.1, 0.439206
602.7, 0.438897
604.3, 0.437436
605.9, 0.435857
607.5, 0.435331
609.1, 0.435902
610.7, 0.433095
612.3, 0.432335
613.9, 0.431534
615.5, 0.429299
617.1, 0.428690
618.7, 0.428058
620.3, 0.427491
621.9, 0.426616
623.5, 0.425717
625.1, 0.424700
626.7, 0.423874
628.3, 0.424091
629.9, 0.421459
631.7, 0.420671
633.7, 0.419853
635.7, 0.417545
637.7, 0.417135
639.7, 0.416166
641.7, 0.413573
643.7, 0.413266
645.7, 0.412126
647.7, 0.410133
649.7, 0.409679
651.7, 0.408377
653.7, 0.407487
655.7, 0.406253
657.7, 0.405074
659.7, 0.403032
661.7, 0.402281
663.7, 0.401155
665.7, 0.399966
667.7, 0.397953
670.2, 0.396010
673.2, 0.394487
676.2, 0.392900
679.2, 0.391383
682.2, 0.389501
685.2, 0.387760
688.2, 0.385260
691.2, 0.383983
694.2, 0.383083
697.2, 0.380790
700.2, 0.377961
702.0, 0.377268
704.0, 0.375951
706.0, 0.374854
708.0, 0.372940
710.0, 0.372044
712.0, 0.371133
714.0, 0.369211
716.0, 0.368656
718.0, 0.368114
720.0, 0.366440
722.0, 0.364866
724.0, 0.364214
726.0, 0.363210
728.0, 0.361201
730.0, 0.360101
732.0, 0.359675
734.0, 0.357688
736.0, 0.356833
738.0, 0.355512
740.0, 0.355686
742.0, 0.354869
744.0, 0.353187
746.0, 0.352063
748.0, 0.351482
750.5, 0.349939
753.5, 0.347974
756.5, 0.347598
759.5, 0.346335
762.5, 0.344739
765.5, 0.343556
768.5, 0.343098
771.5, 0.342602
774.5, 0.341071
777.5, 0.341233
781.0, 0.339654
785.0, 0.339637
789.0, 0.338063
793.0, 0.337486
797.0, 0.338437
801.5, 0.339210
806.5, 0.338285
811.5, 0.340259
816.5, 0.341533
822.0, 0.342839
828.0, 0.345028
835.0, 0.346629
843.0, 0.349551
851.0, 0.353159
859.0, 0.356073
871.0, 0.358810
883.0, 0.360167
894.0, 0.359559
904.0, 0.356441
914.0, 0.352005
924.0, 0.348957
933.0, 0.346396
941.0, 0.343918
949.0, 0.340223
957.0, 0.337876
964.0, 0.337775
970.0, 0.335650
976.0, 0.336572
982.0, 0.335425
988.0, 0.333567
994.0, 0.333473
1000.0, 0.333729
1006.0, 0.336173
1012.0, 0.335310
1018.0, 0.334290
1023.5, 0.335763
1028.5, 0.335666
1033.5, 0.333562
1038.5, 0.334063
1043.5, 0.333640
1048.5, 0.334175
1053.5, 0.334230
1058.5, 0.335052
1063.5, 0.334484
1068.5, 0.335710
1073.5, 0.335870
1078.5, 0.337079
1083.5, 0.336308
1088.5, 0.337716
1093.5, 0.337547
1098.5, 0.340498
1103.5, 0.340137
1108.5, 0.340404
1113.5, 0.339353
1118.5, 0.340478
1123.5, 0.340699
1128.5, 0.341704
1133.5, 0.343281
1138.5, 0.342635
1143.5, 0.342808
1148.5, 0.342858
1153.5, 0.344567
1158.5, 0.344920
1163.5, 0.343153
1168.5, 0.346939
1173.5, 0.346134
1178.5, 0.346632
1183.5, 0.348280
1188.5, 0.349372
1193.5, 0.350892
1198.5, 0.353108
1203.5, 0.352698
1208.5, 0.355530
1213.5, 0.356518
1218.5, 0.357515
1223.5, 0.359967
1228.5, 0.360686
1233.5, 0.362239
1238.5, 0.364330
1243.5, 0.366366
1248.5, 0.368509
1253.5, 0.369519
1258.5, 0.371507
1263.5, 0.374310
1268.5, 0.376943
1273.5, 0.378672
1278.5, 0.382052
1283.5, 0.381971
1288.5, 0.385059
1293.5, 0.386937
1298.5, 0.389551
1303.5, 0.391182
1308.5, 0.395088
1313.5, 0.395451
1318.5, 0.399376
1323.5, 0.400899
1328.5, 0.404053
1333.5, 0.405375
1338.5, 0.407803
1343.5, 0.410734
1348.5, 0.412718
1353.5, 0.415164
1358.5, 0.416035
1363.5, 0.419920
1368.5, 0.421536
1373.5, 0.423651
1378.5, 0.426327
1383.5, 0.429104
1388.5, 0.430667
1393.5, 0.433752
1398.5, 0.435762
1403.5, 0.437765
1408.5, 0.438817
1413.5, 0.440899
1418.5, 0.443405
1423.5, 0.445421
1428.5, 0.447769
1433.5, 0.449918
1438.5, 0.450565
1443.5, 0.452944
1448.5, 0.454733
1453.5, 0.457443
1458.5, 0.459896
1463.5, 0.461171
1468.5, 0.462876
1473.5, 0.465418
1478.5, 0.467137
1483.5, 0.468739
1488.5, 0.470580
1493.5, 0.473190
1498.5, 0.473253
1503.5, 0.475327
1508.5, 0.476353
1513.5, 0.480310
1518.5, 0.481795
1523.5, 0.482879
1528.5, 0.485211
1534.0, 0.487071
1540.0, 0.488056
1546.0, 0.492163
1552.0, 0.493244
1558.0, 0.497501
1564.0, 0.496319
1570.5, 0.499339
1577.5, 0.502165
1584.5, 0.503587
1591.5, 0.507407
1598.5, 0.507905
1605.5, 0.510157
1612.5, 0.512661
1619.5, 0.513728
1626.5, 0.516537
1633.5, 0.518322
1640.5, 0.520551
1647.5, 0.524625
1654.5, 0.526114
1661.5, 0.529057
1668.5, 0.530111
1676.0, 0.531134
1684.0, 0.532238
1692.0, 0.537095
1700.0, 0.541307
1708.0, 0.543097
1716.0, 0.542042
1724.0, 0.546809
1732.0, 0.548485
1740.0, 0.552880
1748.0, 0.554943
1756.0, 0.557738
1764.0, 0.558059
1772.0, 0.559439
1780.0, 0.562277
1788.0, 0.567829
1796.0, 0.568494
1805.0, 0.567891
1815.0, 0.568981
1825.0, 0.570939
1835.0, 0.574864
1845.0, 0.577610
1855.0, 0.581265
1865.0, 0.580383
1875.0, 0.585292
1885.0, 0.585684
1895.0, 0.587584
1905.0, 0.587358
1915.0, 0.588438
1925.0, 0.592858
1935.0, 0.593811
1945.0, 0.594233
1955.0, 0.596953
1965.0, 0.601659
1975.0, 0.605151
1985.0, 0.605295
1995.0, 0.608508
2005.0, 0.609311
2015.0, 0.613901
2025.0, 0.616542
2035.0, 0.618255
2045.0, 0.619403
2055.0, 0.621130
2065.0, 0.623361
2075.0, 0.625261
2085.0, 0.624354
2095.0, 0.627543
2105.0, 0.628618
2115.0, 0.630846
2125.0, 0.634537
2135.0, 0.635192
2145.0, 0.636253
