Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 02:56:10.040737

Data ID,USGS_hem19          
Sample ID, hematite_ws161.9776
Mineral Name, hematite
Material Class,Oxide

Wavelength
221.1, 0.0288040
229.1, 0.0287700
236.1, 0.0267150
242.1, 0.0268020
248.1, 0.0257590
253.6, 0.0261500
258.6, 0.0264180
263.6, 0.0253680
268.6, 0.0248790
273.1, 0.0238160
277.1, 0.0236220
281.1, 0.0250210
285.1, 0.0247300
289.1, 0.0237300
293.1, 0.0238920
297.1, 0.0246810
301.1, 0.0249750
305.1, 0.0251710
309.1, 0.0254250
313.1, 0.0260210
317.1, 0.0246570
321.1, 0.0257720
325.1, 0.0250640
329.1, 0.0245580
333.1, 0.0234440
337.1, 0.0222690
341.1, 0.0224090
345.1, 0.0218600
349.1, 0.0214590
353.1, 0.0233630
357.1, 0.0232060
360.6, 0.0232010
363.6, 0.0226770
366.6, 0.0249150
369.6, 0.0246600
372.6, 0.0228450
375.6, 0.0256020
378.6, 0.0268060
381.1, 0.0246040
383.1, 0.0260330
385.1, 0.0275190
387.1, 0.0267040
389.1, 0.0248920
391.1, 0.0257770
393.1, 0.0269990
395.1, 0.0269000
397.1, 0.0269200
399.1, 0.0270540
401.1, 0.0256200
403.1, 0.0267780
405.1, 0.0256910
407.1, 0.0262430
409.1, 0.0263460
411.1, 0.0282650
412.8, 0.0284690
415.8, 0.0253690
418.8, 0.0284580
421.8, 0.0285420
424.8, 0.0284410
427.8, 0.0266280
430.8, 0.0279310
433.8, 0.0285340
436.8, 0.0284900
439.8, 0.0288310
442.8, 0.0255100
445.8, 0.0284890
448.8, 0.0286840
451.3, 0.0275190
453.3, 0.0269060
455.3, 0.0261600
457.3, 0.0257440
459.3, 0.0250680
461.3, 0.0276090
463.3, 0.0244980
465.3, 0.0269050
467.3, 0.0287390
469.3, 0.0263970
471.3, 0.0261320
473.3, 0.0246410
475.3, 0.0242520
477.3, 0.0273030
479.3, 0.0271670
481.3, 0.0271630
483.3, 0.0277570
485.3, 0.0266040
487.3, 0.0274630
489.3, 0.0258290
491.3, 0.0256130
493.3, 0.0268480
495.3, 0.0271660
497.3, 0.0260750
499.3, 0.0277560
501.3, 0.0270030
503.3, 0.0244260
505.3, 0.0253700
507.3, 0.0260690
509.3, 0.0270500
511.3, 0.0272460
513.3, 0.0250710
515.3, 0.0251150
517.3, 0.0268030
519.3, 0.0269330
521.3, 0.0267330
523.3, 0.0268670
525.3, 0.0264710
527.3, 0.0271000
529.3, 0.0258730
531.3, 0.0262780
533.3, 0.0275180
535.3, 0.0281350
537.3, 0.0256810
539.3, 0.0281900
541.3, 0.0277860
543.3, 0.0268100
545.3, 0.0286010
547.3, 0.0282560
549.3, 0.0295700
551.3, 0.0287350
553.3, 0.0298050
555.3, 0.0306030
557.3, 0.0330890
559.3, 0.0330510
561.3, 0.0322750
563.3, 0.0339950
565.3, 0.0341570
567.3, 0.0366990
569.3, 0.0384470
571.3, 0.0390360
573.3, 0.0413120
575.3, 0.0441980
577.3, 0.0453010
579.3, 0.0462810
581.3, 0.0525860
583.3, 0.0535940
585.3, 0.0568850
587.3, 0.0586080
589.3, 0.0617640
591.3, 0.0664490
593.3, 0.0699960
595.3, 0.0731750
597.3, 0.0752560
599.3, 0.0772040
601.1, 0.0794140
602.7, 0.0829250
604.3, 0.0841350
605.9, 0.0825320
607.5, 0.0864480
609.1, 0.0872380
610.7, 0.0903010
612.3, 0.0915420
613.9, 0.0903650
615.5, 0.0947160
617.1, 0.0962650
618.7, 0.0966320
620.3, 0.0950710
621.9, 0.0973860
623.5, 0.0986270
625.1, 0.0989150
626.7, 0.0998620
628.3, 0.0997130
629.9, 0.100113
631.7, 0.102350
633.7, 0.103081
635.7, 0.102629
637.7, 0.104802
639.7, 0.104050
641.7, 0.106797
643.7, 0.106172
645.7, 0.106017
647.7, 0.108161
649.7, 0.108919
651.7, 0.109384
653.7, 0.111181
655.7, 0.112796
657.7, 0.112598
659.7, 0.113615
661.7, 0.114908
663.7, 0.117644
665.7, 0.117564
667.7, 0.118921
670.2, 0.119341
673.2, 0.124395
676.2, 0.126748
679.2, 0.127899
682.2, 0.131498
685.2, 0.134340
688.2, 0.138280
691.2, 0.140687
694.2, 0.144872
697.2, 0.148200
700.2, 0.152678
702.0, 0.153985
704.0, 0.157473
706.0, 0.157830
708.0, 0.159667
710.0, 0.164909
712.0, 0.167002
714.0, 0.166643
716.0, 0.168230
718.0, 0.172457
720.0, 0.174529
722.0, 0.176679
724.0, 0.177232
726.0, 0.178712
728.0, 0.180097
730.0, 0.181830
732.0, 0.184048
734.0, 0.186419
736.0, 0.185479
738.0, 0.185652
740.0, 0.187458
742.0, 0.188559
744.0, 0.188816
746.0, 0.187724
748.0, 0.188412
750.5, 0.188152
753.5, 0.185027
756.5, 0.186036
759.5, 0.184167
762.5, 0.184240
765.5, 0.182585
768.5, 0.180337
771.5, 0.177323
774.5, 0.177071
777.5, 0.175551
781.0, 0.172208
785.0, 0.168442
789.0, 0.165485
793.0, 0.162634
797.0, 0.160862
801.5, 0.158349
806.5, 0.154415
811.5, 0.150804
816.5, 0.149836
822.0, 0.146788
828.0, 0.144740
835.0, 0.142285
843.0, 0.141518
851.0, 0.141936
859.0, 0.141828
871.0, 0.146422
883.0, 0.145831
894.0, 0.156214
904.0, 0.161407
914.0, 0.167857
924.0, 0.175960
933.0, 0.182694
941.0, 0.196120
949.0, 0.202717
957.0, 0.213641
964.0, 0.224118
970.0, 0.233895
976.0, 0.240450
982.0, 0.247067
988.0, 0.255680
994.0, 0.262745
1000.0, 0.268480
1006.0, 0.275116
1012.0, 0.279171
1018.0, 0.288127
1023.5, 0.291045
1028.5, 0.294184
1033.5, 0.295798
1038.5, 0.301690
1043.5, 0.302968
1048.5, 0.303950
1053.5, 0.308806
1058.5, 0.312562
1063.5, 0.315725
1068.5, 0.317040
1073.5, 0.320883
1078.5, 0.322530
1083.5, 0.323821
1088.5, 0.327868
1093.5, 0.328470
1098.5, 0.329595
1103.5, 0.333542
1108.5, 0.335434
1113.5, 0.340770
1118.5, 0.340031
1123.5, 0.342319
1128.5, 0.345839
1133.5, 0.347747
1138.5, 0.344934
1143.5, 0.350108
1148.5, 0.351837
1153.5, 0.352393
1158.5, 0.353041
1163.5, 0.354201
1168.5, 0.353623
1173.5, 0.357628
1178.5, 0.361908
1183.5, 0.360386
1188.5, 0.361889
1193.5, 0.360104
1198.5, 0.361521
1203.5, 0.363042
1208.5, 0.364927
1213.5, 0.363911
1218.5, 0.362903
1223.5, 0.361639
1228.5, 0.365411
1233.5, 0.367813
1238.5, 0.367881
1243.5, 0.368628
1248.5, 0.365116
1253.5, 0.368670
1258.5, 0.370451
1263.5, 0.372192
1268.5, 0.368326
1273.5, 0.371713
1278.5, 0.372675
1283.5, 0.372036
1288.5, 0.374448
1293.5, 0.372811
1298.5, 0.373999
1303.5, 0.372304
1308.5, 0.374264
1313.5, 0.375424
1318.5, 0.376541
1323.5, 0.374853
1328.5, 0.374305
1333.5, 0.375913
1338.5, 0.376236
1343.5, 0.377594
1348.5, 0.378659
1353.5, 0.381358
1358.5, 0.378270
1363.5, 0.379118
1368.5, 0.379519
1373.5, 0.379650
1378.5, 0.382399
1383.5, 0.384144
1388.5, 0.382992
1393.5, 0.386920
1398.5, 0.387203
1403.5, 0.384866
1408.5, 0.383259
1413.5, 0.387301
1418.5, 0.385384
1423.5, 0.386679
1428.5, 0.388223
1433.5, 0.387916
1438.5, 0.389834
1443.5, 0.388874
1448.5, 0.388284
1453.5, 0.389604
1458.5, 0.391170
1463.5, 0.392163
1468.5, 0.394357
1473.5, 0.394026
1478.5, 0.391525
1483.5, 0.396117
1488.5, 0.396601
1493.5, 0.394276
1498.5, 0.399608
1503.5, 0.396736
1508.5, 0.395564
1513.5, 0.400256
1518.5, 0.397399
1523.5, 0.398904
1528.5, 0.398768
1534.0, 0.401048
1540.0, 0.400796
1546.0, 0.402937
1552.0, 0.401129
1558.0, 0.404850
1564.0, 0.406011
1570.5, 0.405310
1577.5, 0.404952
1584.5, 0.406594
1591.5, 0.409692
1598.5, 0.411970
1605.5, 0.409938
1612.5, 0.411281
1619.5, 0.411086
1626.5, 0.412263
1633.5, 0.414915
1640.5, 0.414948
1647.5, 0.416577
1654.5, 0.413023
1661.5, 0.417560
1668.5, 0.418624
1676.0, 0.417270
1684.0, 0.420445
1692.0, 0.418642
1700.0, 0.419718
1708.0, 0.423751
1716.0, 0.423279
1724.0, 0.423481
1732.0, 0.424964
1740.0, 0.426617
1748.0, 0.426927
1756.0, 0.429085
1764.0, 0.430094
1772.0, 0.431147
1780.0, 0.433926
1788.0, 0.429036
1796.0, 0.432783
1805.0, 0.433783
1815.0, 0.433542
1825.0, 0.435783
1835.0, 0.436287
1845.0, 0.442258
1855.0, 0.438215
1865.0, 0.439952
1875.0, 0.439819
1885.0, 0.440650
1895.0, 0.444214
1905.0, 0.441495
1915.0, 0.444203
1925.0, 0.444731
1935.0, 0.441489
1945.0, 0.443372
1955.0, 0.446372
1965.0, 0.452175
1975.0, 0.452578
1985.0, 0.453603
1995.0, 0.452545
2005.0, 0.451769
2015.0, 0.459698
2025.0, 0.456185
2035.0, 0.460890
2045.0, 0.466225
2055.0, 0.459984
2065.0, 0.461798
2075.0, 0.465226
2085.0, 0.461038
2095.0, 0.467440
2105.0, 0.468836
2115.0, 0.474755
2125.0, 0.477718
2135.0, 0.473949
2145.0, 0.475861
2155.0, 0.476717
2165.0, 0.476729
2175.0, 0.478019
2185.0, 0.479948
2195.0, 0.477257
2205.0, 0.479319
2215.0, 0.476883
2225.0, 0.485825
2235.0, 0.486518
2245.0, 0.480427
2255.0, 0.484270
2265.0, 0.485127
2275.0, 0.485988
2285.0, 0.489397
2295.0, 0.484005
2305.0, 0.490519
2315.0, 0.491589
2325.0, 0.489168
2335.0, 0.493885
2345.0, 0.488942
2355.0, 0.494045
2365.0, 0.495507
2375.0, 0.496421
2386.0, 0.498696
2400.0, 0.499686
2418.0, 0.498005
2440.0, 0.498715
2466.0, 0.503268
2496.0, 0.506239
2528.0, 0.507377
2560.0, 0.504367
2592.0, 0.507460
2624.0, 0.508541
2656.0, 0.508564
2688.0, 0.495585
2720.0, 0.465349
2752.0, 0.365513
2784.0, 0.334125
2816.0, 0.305717
2848.0, 0.303419
2880.0, 0.295107
2912.0, 0.293596
2944.0, 0.290708
2976.0, 0.305562
