Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 02:57:01.749479

Data ID,USGS_hol01          
Sample ID, holmquistite_hs291.9899
Mineral Name, holmquistite
Material Class,Inosilicate

Wavelength
221.1, 0.0608490
229.1, 0.0577420
236.1, 0.0556280
242.1, 0.0539670
248.1, 0.0521520
253.6, 0.0545150
258.6, 0.0549370
263.6, 0.0541640
268.6, 0.0551370
273.1, 0.0569280
277.1, 0.0593430
281.1, 0.0592530
285.1, 0.0633330
289.1, 0.0619040
293.1, 0.0658870
297.1, 0.0687910
301.1, 0.0711790
305.1, 0.0763410
309.1, 0.0803010
313.1, 0.0805210
317.1, 0.0838520
321.1, 0.0860390
325.1, 0.0904560
329.1, 0.0931350
333.1, 0.0966830
337.1, 0.0984410
341.1, 0.0993740
345.1, 0.100880
349.1, 0.101347
353.1, 0.105256
357.1, 0.107573
360.6, 0.108161
363.6, 0.109717
366.6, 0.113412
369.6, 0.109142
372.6, 0.113921
375.6, 0.116240
378.6, 0.117921
381.1, 0.118923
383.1, 0.120374
385.1, 0.119647
387.1, 0.122858
389.1, 0.122981
391.1, 0.123753
393.1, 0.125075
395.1, 0.124324
397.1, 0.125095
399.1, 0.127089
401.1, 0.127181
403.1, 0.126762
405.1, 0.130215
407.1, 0.129687
409.1, 0.131077
411.1, 0.128603
412.8, 0.132378
415.8, 0.134299
418.8, 0.135490
421.8, 0.135764
424.8, 0.138665
427.8, 0.141102
430.8, 0.141833
433.8, 0.142791
436.8, 0.145127
439.8, 0.144599
442.8, 0.147405
445.8, 0.150047
448.8, 0.148351
451.3, 0.150304
453.3, 0.150173
455.3, 0.148479
457.3, 0.150837
459.3, 0.150514
461.3, 0.149440
463.3, 0.153484
465.3, 0.153691
467.3, 0.151506
469.3, 0.151871
471.3, 0.153933
473.3, 0.153955
475.3, 0.154534
477.3, 0.155472
479.3, 0.154886
481.3, 0.156888
483.3, 0.155867
485.3, 0.157678
487.3, 0.158992
489.3, 0.160608
491.3, 0.159726
493.3, 0.162570
495.3, 0.164533
497.3, 0.163031
499.3, 0.164499
501.3, 0.165921
503.3, 0.165736
505.3, 0.164969
507.3, 0.165095
509.3, 0.168593
