Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 02:57:59.809291

Data ID,USGS_how01          
Sample ID, howlite_gds155.10180
Mineral Name, howlite
Material Class,Borate

Wavelength
213.1, 0.486945
221.1, 0.514806
229.1, 0.529619
236.1, 0.539760
242.1, 0.547071
248.1, 0.555499
253.6, 0.562628
258.6, 0.567356
263.6, 0.572396
268.6, 0.576482
273.1, 0.584132
277.1, 0.588308
281.1, 0.593488
285.1, 0.600254
289.1, 0.606280
293.1, 0.613092
297.1, 0.621490
301.1, 0.624503
305.1, 0.631606
309.1, 0.637533
313.1, 0.645075
317.1, 0.651418
321.1, 0.657539
325.1, 0.663037
329.1, 0.668994
333.1, 0.674228
337.1, 0.681233
341.1, 0.687688
345.1, 0.693166
349.1, 0.697069
353.1, 0.702877
357.1, 0.710707
360.6, 0.716073
363.6, 0.718622
366.6, 0.721446
369.6, 0.725995
372.6, 0.730462
375.6, 0.732592
378.6, 0.737245
381.1, 0.742537
383.1, 0.746184
385.1, 0.747053
387.1, 0.749916
389.1, 0.752816
391.1, 0.756478
393.1, 0.757154
395.1, 0.760347
397.1, 0.762554
399.1, 0.764778
401.1, 0.767155
403.1, 0.769051
405.1, 0.771943
407.1, 0.773340
409.1, 0.776348
411.1, 0.781470
412.8, 0.780528
415.8, 0.783059
418.8, 0.786173
421.8, 0.789014
424.8, 0.793494
427.8, 0.796303
430.8, 0.798369
433.8, 0.800053
436.8, 0.803550
439.8, 0.807646
442.8, 0.808563
445.8, 0.811380
448.8, 0.814204
451.3, 0.817623
453.3, 0.818909
455.3, 0.820854
457.3, 0.822043
459.3, 0.822862
461.3, 0.824627
463.3, 0.827636
465.3, 0.828723
467.3, 0.829080
469.3, 0.832457
471.3, 0.832465
473.3, 0.833654
475.3, 0.835171
477.3, 0.836541
479.3, 0.837851
481.3, 0.839497
483.3, 0.841411
485.3, 0.842390
487.3, 0.843342
489.3, 0.845015
491.3, 0.847234
493.3, 0.848217
495.3, 0.849636
497.3, 0.850478
499.3, 0.852366
501.3, 0.853045
503.3, 0.854528
505.3, 0.856160
507.3, 0.858717
509.3, 0.857363
511.3, 0.860124
513.3, 0.860545
515.3, 0.861764
517.3, 0.862714
519.3, 0.863988
521.3, 0.866460
523.3, 0.867073
525.3, 0.868766
527.3, 0.868524
529.3, 0.869816
531.3, 0.871683
533.3, 0.872165
535.3, 0.873658
537.3, 0.874148
539.3, 0.875084
541.3, 0.875386
543.3, 0.875843
545.3, 0.877118
547.3, 0.879182
549.3, 0.879003
551.3, 0.880695
553.3, 0.880681
555.3, 0.881913
557.3, 0.883397
559.3, 0.882688
561.3, 0.880577
563.3, 0.881335
565.3, 0.882191
567.3, 0.883316
569.3, 0.884655
571.3, 0.884289
573.3, 0.884876
575.3, 0.886368
577.3, 0.886395
579.3, 0.887344
581.3, 0.887986
583.3, 0.889859
585.3, 0.890437
587.3, 0.891733
589.3, 0.892666
591.3, 0.892572
593.3, 0.893139
595.3, 0.895839
597.3, 0.894621
599.3, 0.896563
601.1, 0.896682
602.7, 0.899537
604.3, 0.897244
605.9, 0.897802
607.5, 0.899447
609.1, 0.899094
610.7, 0.899359
612.3, 0.899825
615.5, 0.901216
617.1, 0.902499
618.7, 0.901873
620.3, 0.903504
621.9, 0.902975
623.5, 0.902868
625.1, 0.903609
626.7, 0.902792
628.3, 0.905809
629.9, 0.903510
631.7, 0.905337
633.7, 0.903878
635.7, 0.905998
637.7, 0.907638
639.7, 0.906517
641.7, 0.907448
643.7, 0.905605
645.7, 0.908985
647.7, 0.909072
649.7, 0.909074
651.7, 0.908252
653.7, 0.910991
655.7, 0.910069
657.7, 0.910140
659.7, 0.911061
661.7, 0.911982
663.7, 0.912881
665.7, 0.913793
667.7, 0.912043
670.2, 0.912969
673.2, 0.912983
676.2, 0.913874
679.2, 0.914801
682.2, 0.913882
685.2, 0.913878
688.2, 0.917462
691.2, 0.918272
694.2, 0.917372
697.2, 0.917331
700.2, 0.920569
702.0, 0.921461
704.0, 0.923208
706.0, 0.923138
708.0, 0.923134
710.0, 0.922303
712.0, 0.923980
714.0, 0.923912
716.0, 0.923913
718.0, 0.923905
720.0, 0.923841
722.0, 0.925587
724.0, 0.924678
726.0, 0.925527
728.0, 0.923767
730.0, 0.925449
732.0, 0.925456
734.0, 0.926296
736.0, 0.924464
738.0, 0.927141
740.0, 0.926235
742.0, 0.926167
744.0, 0.927935
746.0, 0.927012
748.0, 0.926026
750.5, 0.925099
753.5, 0.925039
756.5, 0.925039
759.5, 0.924905
762.5, 0.924896
765.5, 0.926674
768.5, 0.927522
771.5, 0.928387
774.5, 0.929235
777.5, 0.930155
781.0, 0.931025
785.0, 0.930023
789.0, 0.930828
793.0, 0.931686
797.0, 0.931567
801.5, 0.932364
806.5, 0.932294
811.5, 0.933108
816.5, 0.933916
822.0, 0.934657
828.0, 0.934026
835.0, 0.930835
843.0, 0.932546
851.0, 0.932782
859.0, 0.932865
871.0, 0.930843
883.0, 0.932275
894.0, 0.931164
904.0, 0.931859
914.0, 0.926822
924.0, 0.927675
933.0, 0.926442
941.0, 0.924329
949.0, 0.916296
957.0, 0.911178
964.0, 0.909874
970.0, 0.907615
976.0, 0.896345
982.0, 0.893425
988.0, 0.894024
994.0, 0.898183
1000.0, 0.912457
1006.0, 0.916285
1012.0, 0.922164
1018.0, 0.922956
1023.5, 0.926470
1028.5, 0.925807
1033.5, 0.924178
1038.5, 0.926232
1043.5, 0.927578
1048.5, 0.929443
1053.5, 0.930040
1058.5, 0.931229
1063.5, 0.930684
1068.5, 0.930272
1073.5, 0.929396
1078.5, 0.928000
1083.5, 0.931648
1088.5, 0.931558
1093.5, 0.931187
1098.5, 0.930995
1103.5, 0.929479
1108.5, 0.930265
1113.5, 0.929354
1118.5, 0.929803
1123.5, 0.931776
1128.5, 0.931808
1133.5, 0.931643
1138.5, 0.931882
1143.5, 0.930119
1148.5, 0.933521
1153.5, 0.930387
1158.5, 0.930108
1163.5, 0.928649
1168.5, 0.927485
1173.5, 0.929493
1178.5, 0.927652
1183.5, 0.925817
1188.5, 0.924448
1193.5, 0.923593
1198.5, 0.924434
1203.5, 0.918643
1208.5, 0.914869
1213.5, 0.913189
1218.5, 0.907652
1223.5, 0.905656
1228.5, 0.897519
1233.5, 0.891831
1238.5, 0.889705
1243.5, 0.889427
1248.5, 0.887288
1253.5, 0.888886
1258.5, 0.889428
1263.5, 0.891244
1268.5, 0.893431
1273.5, 0.894545
1278.5, 0.895282
1283.5, 0.896097
1288.5, 0.896054
1293.5, 0.897735
1298.5, 0.895815
1303.5, 0.895436
1308.5, 0.886212
1313.5, 0.884566
1318.5, 0.877305
1323.5, 0.869975
1328.5, 0.856053
1333.5, 0.829799
1338.5, 0.823497
1343.5, 0.828880
1348.5, 0.829388
1353.5, 0.835080
1358.5, 0.843255
1363.5, 0.843585
1368.5, 0.841238
1373.5, 0.832074
1378.5, 0.824051
1383.5, 0.813728
1388.5, 0.797265
1393.5, 0.783997
1398.5, 0.762948
1403.5, 0.743587
1408.5, 0.727527
1413.5, 0.719395
1418.5, 0.715305
1423.5, 0.702373
1428.5, 0.664135
1433.5, 0.626893
1438.5, 0.644297
1443.5, 0.584075
1448.5, 0.612556
1453.5, 0.693374
1458.5, 0.706529
1463.5, 0.709309
1468.5, 0.705817
1473.5, 0.704388
1478.5, 0.705954
1483.5, 0.712863
1488.5, 0.718244
1493.5, 0.720109
1498.5, 0.714691
1503.5, 0.712403
1508.5, 0.713344
1513.5, 0.704036
1518.5, 0.700830
1523.5, 0.703872
1528.5, 0.718480
1534.0, 0.736166
1540.0, 0.747124
1546.0, 0.752910
1552.0, 0.754688
1558.0, 0.756087
1564.0, 0.752085
1570.5, 0.747403
1577.5, 0.744392
1584.5, 0.735989
1591.5, 0.729528
1598.5, 0.722667
1605.5, 0.720616
1612.5, 0.715214
1619.5, 0.710215
1626.5, 0.708730
1633.5, 0.706029
1640.5, 0.705705
1647.5, 0.706927
1654.5, 0.707807
1661.5, 0.709052
1668.5, 0.707534
1676.0, 0.714085
1684.0, 0.717069
1692.0, 0.722116
1700.0, 0.723534
1708.0, 0.726196
1716.0, 0.727298
1724.0, 0.730504
1732.0, 0.734547
1740.0, 0.738547
1748.0, 0.740299
1756.0, 0.743049
1764.0, 0.746631
1772.0, 0.745127
1780.0, 0.748286
1788.0, 0.752362
1796.0, 0.752883
1805.0, 0.753385
1815.0, 0.752883
1825.0, 0.753244
1835.0, 0.755966
1845.0, 0.754400
1855.0, 0.754530
1865.0, 0.749312
1875.0, 0.749940
1885.0, 0.743841
1895.0, 0.741321
1905.0, 0.738914
1915.0, 0.736712
1925.0, 0.732400
1935.0, 0.728051
1945.0, 0.726799
1955.0, 0.723058
1965.0, 0.718812
1975.0, 0.717243
1985.0, 0.712887
1995.0, 0.703332
2005.0, 0.690856
2015.0, 0.686250
2025.0, 0.673919
2035.0, 0.660533
2045.0, 0.673137
2055.0, 0.668650
2065.0, 0.647620
2075.0, 0.606411
2085.0, 0.549500
2095.0, 0.496378
2105.0, 0.461178
2115.0, 0.432130
2125.0, 0.383663
2135.0, 0.370381
2145.0, 0.395774
2155.0, 0.386601
2165.0, 0.371698
2175.0, 0.393905
2185.0, 0.420457
2195.0, 0.448933
2205.0, 0.459916
2215.0, 0.455582
2225.0, 0.446737
