Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 03:01:11.856298

Data ID,USGS_hyp09          
Sample ID, hypersthene_pyx02.10595
Mineral Name, hypersthene
Material Class,Inosilicate

Wavelength
229.1, 0.0399540
236.1, 0.0376630
242.1, 0.0422110
248.1, 0.0517820
253.6, 0.0578970
258.6, 0.0665530
263.6, 0.0768020
268.6, 0.0845840
273.1, 0.0913620
277.1, 0.0966460
281.1, 0.102880
285.1, 0.108951
289.1, 0.113806
293.1, 0.119649
297.1, 0.126021
301.1, 0.132656
305.1, 0.140769
309.1, 0.148966
313.1, 0.155924
317.1, 0.165357
321.1, 0.175670
325.1, 0.185129
329.1, 0.196794
333.1, 0.207948
337.1, 0.220233
341.1, 0.230740
345.1, 0.241626
349.1, 0.254058
353.1, 0.267698
357.1, 0.279393
360.6, 0.291016
363.6, 0.300064
366.6, 0.307309
369.6, 0.315655
372.6, 0.322474
375.6, 0.329332
378.6, 0.336477
381.1, 0.341971
383.1, 0.346089
385.1, 0.350513
387.1, 0.354404
389.1, 0.359088
391.1, 0.362863
393.1, 0.367475
395.1, 0.370852
397.1, 0.374131
399.1, 0.378909
401.1, 0.382360
403.1, 0.386243
405.1, 0.390348
407.1, 0.394136
409.1, 0.396818
411.1, 0.402335
412.8, 0.405075
415.8, 0.408416
418.8, 0.413106
421.8, 0.415849
424.8, 0.416421
427.8, 0.418789
430.8, 0.424650
433.8, 0.431430
436.8, 0.436155
439.8, 0.439970
442.8, 0.442450
445.8, 0.444091
448.8, 0.446520
451.3, 0.449467
453.3, 0.451656
455.3, 0.451852
457.3, 0.454393
459.3, 0.456741
461.3, 0.457866
463.3, 0.460744
465.3, 0.462598
467.3, 0.462340
469.3, 0.464718
471.3, 0.465641
473.3, 0.468810
475.3, 0.469947
477.3, 0.471887
479.3, 0.472672
481.3, 0.474279
483.3, 0.477752
485.3, 0.479958
487.3, 0.482639
489.3, 0.483839
491.3, 0.485987
493.3, 0.487510
495.3, 0.490092
497.3, 0.491603
499.3, 0.494064
501.3, 0.493458
503.3, 0.495134
505.3, 0.485254
507.3, 0.483182
509.3, 0.499761
511.3, 0.503168
513.3, 0.506521
515.3, 0.508645
517.3, 0.509821
519.3, 0.511254
521.3, 0.512940
523.3, 0.514299
525.3, 0.514775
527.3, 0.516412
529.3, 0.517008
531.3, 0.517694
533.3, 0.517616
535.3, 0.519219
537.3, 0.518614
539.3, 0.518705
541.3, 0.519068
543.3, 0.518283
545.3, 0.518178
547.3, 0.517143
549.3, 0.516783
551.3, 0.519012
553.3, 0.519632
555.3, 0.522025
557.3, 0.524142
559.3, 0.526381
561.3, 0.526559
563.3, 0.528668
565.3, 0.529230
567.3, 0.530002
569.3, 0.531096
571.3, 0.531505
573.3, 0.531689
575.3, 0.532667
577.3, 0.534250
579.3, 0.533279
581.3, 0.535936
583.3, 0.535636
585.3, 0.536129
587.3, 0.536566
589.3, 0.536765
591.3, 0.539029
593.3, 0.537746
595.3, 0.538915
597.3, 0.539049
599.3, 0.539892
601.1, 0.540487
602.7, 0.540323
604.3, 0.540593
605.9, 0.540507
607.5, 0.540860
609.1, 0.541272
610.7, 0.541574
612.3, 0.541690
613.9, 0.543143
615.5, 0.542310
617.1, 0.543174
618.7, 0.543688
620.3, 0.543879
621.9, 0.543648
623.5, 0.544427
625.1, 0.544815
626.7, 0.544357
628.3, 0.545671
629.9, 0.545854
631.7, 0.545892
633.7, 0.546128
635.7, 0.547605
637.7, 0.547348
639.7, 0.547925
641.7, 0.548734
643.7, 0.548644
645.7, 0.549420
647.7, 0.550101
649.7, 0.550346
651.7, 0.550858
653.7, 0.552201
655.7, 0.551473
657.7, 0.551231
659.7, 0.551869
661.7, 0.553012
663.7, 0.552021
665.7, 0.553195
667.7, 0.553959
670.2, 0.554103
673.2, 0.554553
676.2, 0.554675
679.2, 0.555244
682.2, 0.554879
685.2, 0.556744
688.2, 0.556962
691.2, 0.557161
694.2, 0.555952
697.2, 0.556219
700.2, 0.555922
702.0, 0.556275
704.0, 0.556546
706.0, 0.556033
708.0, 0.556136
710.0, 0.556355
712.0, 0.555095
714.0, 0.554884
716.0, 0.553228
718.0, 0.553944
720.0, 0.552477
722.0, 0.552902
724.0, 0.550669
726.0, 0.549692
728.0, 0.549156
730.0, 0.547349
732.0, 0.545148
734.0, 0.542919
736.0, 0.541830
738.0, 0.540114
740.0, 0.538600
742.0, 0.535734
744.0, 0.533292
746.0, 0.531857
748.0, 0.528897
750.5, 0.524033
753.5, 0.519297
756.5, 0.514826
759.5, 0.508580
762.5, 0.502597
765.5, 0.495907
768.5, 0.490060
771.5, 0.483602
774.5, 0.474918
777.5, 0.466737
781.0, 0.456823
785.0, 0.445368
789.0, 0.433791
793.0, 0.420704
797.0, 0.409360
801.5, 0.396073
806.5, 0.379529
811.5, 0.363604
816.5, 0.347547
822.0, 0.332148
828.0, 0.314217
835.0, 0.295811
843.0, 0.275073
851.0, 0.253492
859.0, 0.238553
871.0, 0.218106
883.0, 0.202337
894.0, 0.197429
904.0, 0.190691
914.0, 0.188968
924.0, 0.190003
933.0, 0.193348
941.0, 0.202475
949.0, 0.209711
957.0, 0.222359
964.0, 0.237035
970.0, 0.248450
976.0, 0.263156
982.0, 0.278684
988.0, 0.294476
994.0, 0.312394
1000.0, 0.331422
1006.0, 0.350645
1012.0, 0.370462
1018.0, 0.390601
1023.5, 0.407846
1028.5, 0.421858
1033.5, 0.437260
1038.5, 0.451656
1043.5, 0.467688
1048.5, 0.479719
1053.5, 0.491669
1058.5, 0.503148
1063.5, 0.511412
1068.5, 0.521616
1073.5, 0.529709
1078.5, 0.536617
1083.5, 0.543461
1088.5, 0.548479
1093.5, 0.555892
1098.5, 0.558478
1103.5, 0.563745
1108.5, 0.565632
1113.5, 0.569028
1118.5, 0.570328
1123.5, 0.574310
1128.5, 0.575927
1133.5, 0.577282
1138.5, 0.580143
1143.5, 0.579966
1148.5, 0.582137
1153.5, 0.581945
1158.5, 0.583073
1163.5, 0.583701
1168.5, 0.585138
1173.5, 0.586194
1178.5, 0.586999
1183.5, 0.585957
1188.5, 0.587675
1193.5, 0.590255
1198.5, 0.589446
1203.5, 0.589400
1208.5, 0.589636
1213.5, 0.590443
1218.5, 0.591852
1223.5, 0.592188
1228.5, 0.592781
1233.5, 0.592472
1238.5, 0.591646
1243.5, 0.592588
1248.5, 0.592910
1253.5, 0.593478
1258.5, 0.593972
1263.5, 0.593761
1268.5, 0.593882
1273.5, 0.593769
1278.5, 0.594184
1283.5, 0.594689
1288.5, 0.594370
1293.5, 0.594181
1298.5, 0.592915
1303.5, 0.592688
1308.5, 0.591879
1313.5, 0.591265
1318.5, 0.591289
1323.5, 0.590726
1328.5, 0.589475
1333.5, 0.588563
1338.5, 0.587615
1343.5, 0.586984
1348.5, 0.584700
1353.5, 0.583599
1358.5, 0.583989
1363.5, 0.581652
1368.5, 0.579960
1373.5, 0.576833
1378.5, 0.575524
1383.5, 0.570067
1388.5, 0.557816
1393.5, 0.550640
1398.5, 0.558717
1403.5, 0.562329
1408.5, 0.561459
1413.5, 0.559487
1418.5, 0.556767
1423.5, 0.555768
1428.5, 0.551364
1433.5, 0.548748
1438.5, 0.546902
1443.5, 0.544893
1448.5, 0.541000
1453.5, 0.538448
1458.5, 0.535822
1463.5, 0.531122
1468.5, 0.528906
1473.5, 0.524793
1478.5, 0.522180
1483.5, 0.519223
1488.5, 0.514911
1493.5, 0.511012
1498.5, 0.505716
1503.5, 0.502065
1508.5, 0.498330
1513.5, 0.494350
1518.5, 0.490532
1523.5, 0.484979
1528.5, 0.483829
1534.0, 0.477611
1540.0, 0.473124
1546.0, 0.468606
1552.0, 0.462743
1558.0, 0.458486
1564.0, 0.452985
1570.5, 0.446807
1577.5, 0.441269
1584.5, 0.435836
1591.5, 0.431085
1598.5, 0.423348
1605.5, 0.418721
1612.5, 0.413848
1619.5, 0.405968
1626.5, 0.400413
1633.5, 0.397091
1640.5, 0.391050
1647.5, 0.385491
1654.5, 0.381240
1661.5, 0.375354
1668.5, 0.371895
1676.0, 0.366167
1684.0, 0.362176
1692.0, 0.356449
1700.0, 0.352680
1708.0, 0.347452
1716.0, 0.341827
1724.0, 0.336640
1732.0, 0.334680
1740.0, 0.331340
1748.0, 0.328984
1756.0, 0.324087
1764.0, 0.320624
1772.0, 0.317476
1780.0, 0.317048
1788.0, 0.316078
1796.0, 0.313045
1805.0, 0.310369
1815.0, 0.307176
1825.0, 0.305872
1835.0, 0.306245
1845.0, 0.304215
1855.0, 0.304442
1865.0, 0.304675
1875.0, 0.304829
1885.0, 0.304504
1895.0, 0.308018
1905.0, 0.309967
1915.0, 0.309910
1925.0, 0.313693
1935.0, 0.316317
1945.0, 0.320588
1955.0, 0.324214
1965.0, 0.329958
1975.0, 0.333092
1985.0, 0.336855
1995.0, 0.343300
2005.0, 0.347503
2015.0, 0.357764
2025.0, 0.362792
2035.0, 0.371081
2045.0, 0.374792
2055.0, 0.383477
2065.0, 0.392874
2075.0, 0.399293
2085.0, 0.406898
2095.0, 0.416311
2105.0, 0.423320
2115.0, 0.434132
2125.0, 0.442972
2135.0, 0.450783
2145.0, 0.457483
2155.0, 0.464448
2165.0, 0.470467
2175.0, 0.480362
2185.0, 0.486248
2195.0, 0.491802
2205.0, 0.495558
2215.0, 0.500478
2225.0, 0.506124
2235.0, 0.511123
2245.0, 0.517494
2255.0, 0.522052
2265.0, 0.526440
2275.0, 0.526878
2285.0, 0.525981
2295.0, 0.521906
2305.0, 0.515232
2315.0, 0.518230
2325.0, 0.532134
2335.0, 0.540534
2345.0, 0.547445
2355.0, 0.552106
2365.0, 0.554196
2375.0, 0.555773
2386.0, 0.552214
2400.0, 0.556507
2418.0, 0.563167
2440.0, 0.561191
2466.0, 0.563892
2496.0, 0.567445
2528.0, 0.566883
2560.0, 0.562211
2592.0, 0.564520
2624.0, 0.568537
2656.0, 0.559221
2688.0, 0.461133
2720.0, 0.253659
2752.0, 0.254639
2784.0, 0.278337
2816.0, 0.302086
2848.0, 0.308408
2880.0, 0.330914
2912.0, 0.321209
2944.0, 0.325652
2976.0, 0.335101
