Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 04:59:00.265034

Data ID,USGS_kao01          
Sample ID, kaolinite_cm3.11788
Mineral Name, kaolinite
Material Class,Phyllosilicate

Wavelength
221.1, 0.201341
229.1, 0.207368
236.1, 0.194488
242.1, 0.182497
248.1, 0.182522
253.6, 0.177303
258.6, 0.179270
263.6, 0.179937
268.6, 0.188227
273.1, 0.191547
277.1, 0.201354
281.1, 0.207912
285.1, 0.226577
289.1, 0.221990
293.1, 0.227044
297.1, 0.230905
301.1, 0.236645
305.1, 0.238754
309.1, 0.241554
313.1, 0.255076
317.1, 0.246407
321.1, 0.252776
325.1, 0.260292
329.1, 0.268154
333.1, 0.277064
337.1, 0.294372
341.1, 0.308791
345.1, 0.324583
349.1, 0.343918
353.1, 0.366531
357.1, 0.387982
360.6, 0.409607
363.6, 0.430309
366.6, 0.448382
369.6, 0.467045
372.6, 0.486651
375.6, 0.499673
378.6, 0.513879
381.1, 0.524976
383.1, 0.532054
385.1, 0.539522
387.1, 0.549058
389.1, 0.558470
391.1, 0.562101
393.1, 0.569781
395.1, 0.576582
397.1, 0.581400
399.1, 0.587688
401.1, 0.594772
403.1, 0.599322
405.1, 0.603596
407.1, 0.609640
409.1, 0.613900
411.1, 0.624583
412.8, 0.622955
415.8, 0.630051
418.8, 0.637550
421.8, 0.643853
424.8, 0.649443
427.8, 0.654185
430.8, 0.662180
433.8, 0.667391
436.8, 0.674962
439.8, 0.679175
442.8, 0.683615
445.8, 0.688735
448.8, 0.692502
451.3, 0.699494
453.3, 0.701453
455.3, 0.702696
457.3, 0.707960
459.3, 0.708895
461.3, 0.712623
463.3, 0.712941
465.3, 0.714931
467.3, 0.718116
469.3, 0.719856
471.3, 0.723357
473.3, 0.723583
475.3, 0.725549
477.3, 0.727112
479.3, 0.729541
481.3, 0.730058
483.3, 0.733550
485.3, 0.735404
487.3, 0.737308
489.3, 0.740208
491.3, 0.741934
493.3, 0.744031
495.3, 0.747055
497.3, 0.748383
499.3, 0.750859
501.3, 0.755215
503.3, 0.756326
505.3, 0.757501
507.3, 0.760231
509.3, 0.762525
511.3, 0.763636
513.3, 0.766590
515.3, 0.769782
517.3, 0.770308
519.3, 0.774113
521.3, 0.775561
523.3, 0.777291
525.3, 0.779202
527.3, 0.782028
529.3, 0.783740
531.3, 0.786057
533.3, 0.788903
535.3, 0.789663
537.3, 0.793453
539.3, 0.793959
541.3, 0.793433
543.3, 0.797902
545.3, 0.796081
547.3, 0.799684
549.3, 0.801220
551.3, 0.802669
553.3, 0.804191
555.3, 0.804884
557.3, 0.805998
559.3, 0.809349
561.3, 0.811078
563.3, 0.811481
565.3, 0.812607
567.3, 0.816797
569.3, 0.816119
571.3, 0.815763
573.3, 0.819641
575.3, 0.819632
577.3, 0.821728
579.3, 0.823719
581.3, 0.825243
583.3, 0.824613
585.3, 0.826476
587.3, 0.829316
589.3, 0.829640
591.3, 0.831505
593.3, 0.833572
595.3, 0.831697
597.3, 0.835205
599.3, 0.834045
601.1, 0.837346
602.7, 0.837010
604.3, 0.838822
605.9, 0.841410
607.5, 0.839886
609.1, 0.840550
610.7, 0.839830
612.3, 0.841734
613.9, 0.842120
615.5, 0.842161
617.1, 0.845528
618.7, 0.845293
620.3, 0.844143
621.9, 0.847700
623.5, 0.849768
625.1, 0.847802
626.7, 0.848443
628.3, 0.848528
629.9, 0.850645
631.7, 0.850450
633.7, 0.852432
635.7, 0.851884
637.7, 0.853402
639.7, 0.854070
641.7, 0.854737
643.7, 0.855586
645.7, 0.858504
647.7, 0.856919
649.7, 0.858687
651.7, 0.857651
653.7, 0.858135
655.7, 0.860502
657.7, 0.861238
659.7, 0.860501
661.7, 0.862386
663.7, 0.863124
665.7, 0.867752
667.7, 0.864160
670.2, 0.866419
673.2, 0.866900
676.2, 0.868682
679.2, 0.868496
682.2, 0.870655
685.2, 0.871322
688.2, 0.875009
691.2, 0.872049
694.2, 0.873365
697.2, 0.876024
700.2, 0.876592
702.0, 0.876666
704.0, 0.875339
706.0, 0.879822
708.0, 0.881061
710.0, 0.877707
712.0, 0.881440
714.0, 0.880481
716.0, 0.881534
718.0, 0.883074
720.0, 0.878842
722.0, 0.882496
724.0, 0.883073
726.0, 0.884428
728.0, 0.885009
730.0, 0.885592
732.0, 0.885398
734.0, 0.885786
736.0, 0.887149
738.0, 0.888414
740.0, 0.886765
742.0, 0.889011
744.0, 0.892428
746.0, 0.889507
748.0, 0.888825
750.5, 0.890899
753.5, 0.890610
756.5, 0.895129
759.5, 0.893384
762.5, 0.893692
765.5, 0.892517
768.5, 0.891523
771.5, 0.894600
774.5, 0.895687
777.5, 0.901773
781.0, 0.898037
785.0, 0.899450
789.0, 0.900175
793.0, 0.901597
797.0, 0.898298
801.5, 0.905479
806.5, 0.903513
811.5, 0.900793
816.5, 0.905362
822.0, 0.905599
828.0, 0.905091
835.0, 0.906752
843.0, 0.907400
851.0, 0.908930
859.0, 0.905866
871.0, 0.914799
883.0, 0.909801
894.0, 0.910165
904.0, 0.910609
914.0, 0.909803
924.0, 0.908579
933.0, 0.907928
941.0, 0.904283
949.0, 0.895307
957.0, 0.897062
964.0, 0.886672
970.0, 0.891385
976.0, 0.904363
982.0, 0.911442
988.0, 0.912397
994.0, 0.912210
1000.0, 0.912490
1006.0, 0.911761
1012.0, 0.912381
1018.0, 0.909968
1023.5, 0.915575
1028.5, 0.915082
1033.5, 0.913208
1038.5, 0.914111
1043.5, 0.911479
1048.5, 0.912744
1053.5, 0.916269
1058.5, 0.912250
1063.5, 0.914721
1068.5, 0.914843
1073.5, 0.914107
1078.5, 0.913711
1083.5, 0.913848
1088.5, 0.914108
1093.5, 0.913794
1098.5, 0.913487
1103.5, 0.912579
1108.5, 0.913919
1113.5, 0.912240
1118.5, 0.912110
1123.5, 0.913236
1128.5, 0.912368
1133.5, 0.914290
1138.5, 0.910917
1143.5, 0.912269
1148.5, 0.910623
1153.5, 0.910114
1158.5, 0.910306
1163.5, 0.909450
1168.5, 0.910169
1173.5, 0.911163
1178.5, 0.908536
1183.5, 0.910317
1188.5, 0.911687
1193.5, 0.910585
1198.5, 0.906657
1203.5, 0.908265
1208.5, 0.908114
1213.5, 0.905150
1218.5, 0.900643
1223.5, 0.901564
1228.5, 0.897018
1233.5, 0.891113
1238.5, 0.884429
1243.5, 0.888279
1248.5, 0.890656
1253.5, 0.893331
1258.5, 0.892615
1263.5, 0.896934
1268.5, 0.896717
1273.5, 0.894514
1278.5, 0.891518
1283.5, 0.886363
1288.5, 0.873808
1293.5, 0.868819
1298.5, 0.861113
1303.5, 0.854599
1308.5, 0.846008
1313.5, 0.846275
1318.5, 0.842790
1323.5, 0.836347
1328.5, 0.832283
1333.5, 0.831137
1338.5, 0.829419
1343.5, 0.829813
1348.5, 0.815701
1353.5, 0.788906
1358.5, 0.780853
1363.5, 0.780477
1368.5, 0.779090
1373.5, 0.766616
1378.5, 0.729721
1383.5, 0.699852
1388.5, 0.654917
1393.5, 0.622402
1398.5, 0.628540
1403.5, 0.644935
1408.5, 0.656438
1413.5, 0.569908
1418.5, 0.666723
1423.5, 0.772162
1428.5, 0.805449
1433.5, 0.832289
1438.5, 0.843064
1443.5, 0.854628
1448.5, 0.855140
1453.5, 0.859505
1458.5, 0.862137
1463.5, 0.866419
1468.5, 0.867315
1473.5, 0.870652
1478.5, 0.877879
1483.5, 0.876847
1488.5, 0.878436
1493.5, 0.882665
1498.5, 0.881577
1503.5, 0.886441
1508.5, 0.888863
1513.5, 0.887399
1518.5, 0.889982
1523.5, 0.888869
1528.5, 0.891417
1534.0, 0.890841
1540.0, 0.895420
1546.0, 0.893878
1552.0, 0.895055
1558.0, 0.892827
1564.0, 0.896002
1570.5, 0.895719
1577.5, 0.895126
1584.5, 0.897794
1591.5, 0.895361
1598.5, 0.896597
1605.5, 0.898941
1612.5, 0.899496
1619.5, 0.899313
1626.5, 0.898926
1633.5, 0.897903
1640.5, 0.899541
1647.5, 0.897249
1654.5, 0.895888
1661.5, 0.896945
1668.5, 0.894969
1676.0, 0.894177
1684.0, 0.895007
1692.0, 0.894468
1700.0, 0.888565
1708.0, 0.883947
1716.0, 0.886970
1724.0, 0.882864
1732.0, 0.881830
1740.0, 0.879625
1748.0, 0.875723
1756.0, 0.875547
1764.0, 0.873671
1772.0, 0.864613
1780.0, 0.861116
1788.0, 0.846607
1796.0, 0.842900
1805.0, 0.840247
1815.0, 0.837193
1825.0, 0.832836
1835.0, 0.837352
1845.0, 0.833427
1855.0, 0.845263
1865.0, 0.842742
1875.0, 0.824296
1885.0, 0.802041
1895.0, 0.773855
1905.0, 0.746688
1915.0, 0.737859
1925.0, 0.747709
1935.0, 0.752249
1945.0, 0.758233
1955.0, 0.762154
1965.0, 0.770086
1975.0, 0.772702
1985.0, 0.776524
1995.0, 0.774335
2005.0, 0.778467
2015.0, 0.775875
2025.0, 0.773574
2035.0, 0.766374
2045.0, 0.763226
2055.0, 0.757892
2065.0, 0.744969
2075.0, 0.737832
2085.0, 0.719061
2095.0, 0.710102
2105.0, 0.700907
2115.0, 0.676176
2125.0, 0.670210
2135.0, 0.639410
2145.0, 0.574317
2155.0, 0.505764
2165.0, 0.479927
2175.0, 0.487713
2185.0, 0.481506
2195.0, 0.461686
2205.0, 0.401631
2215.0, 0.469295
2225.0, 0.577655
2235.0, 0.597740
2245.0, 0.594628
2255.0, 0.592052
2265.0, 0.580045
2275.0, 0.563042
2285.0, 0.539464
2295.0, 0.529705
2305.0, 0.523160
2315.0, 0.493234
2325.0, 0.494644
2335.0, 0.499396
2345.0, 0.487637
2355.0, 0.472363
2365.0, 0.467029
2375.0, 0.447506
2386.0, 0.438401
2400.0, 0.457948
2418.0, 0.455674
2440.0, 0.419883
2466.0, 0.392356
2496.0, 0.369812
2528.0, 0.345709
2560.0, 0.329663
2592.0, 0.303726
2624.0, 0.278031
2656.0, 0.213749
2688.0, 0.0900840
2720.0, 0.0184490
2752.0, 0.0182660
2784.0, 0.0737180
2816.0, 0.107229
2848.0, 0.106618
2880.0, 0.133096
2912.0, 0.136692
2944.0, 0.150553
2976.0, 0.167500
