Database of Origin,USGS Spectral Database
Sample Description,See USGS database for additional info
Date Added,2016-11-20 03:59:39.354497

Data ID,USGS_liz06          
Sample ID,lizard_nmnhr4687.13068
Mineral Name,Lizardite
Material Class,Phyllosilicate

Wavelength
258.6, 0.0794730
263.6, 0.0921540
268.6, 0.0980620
273.1, 0.116791
277.1, 0.105682
281.1, 0.111506
285.1, 0.121966
289.1, 0.117577
293.1, 0.122784
297.1, 0.135139
301.1, 0.135396
305.1, 0.147790
309.1, 0.159053
313.1, 0.179635
317.1, 0.191180
321.1, 0.186193
325.1, 0.200946
329.1, 0.207414
333.1, 0.222688
337.1, 0.231534
341.1, 0.236564
345.1, 0.247208
349.1, 0.254194
353.1, 0.268100
357.1, 0.277036
360.6, 0.286041
363.6, 0.290067
366.6, 0.298560
369.6, 0.305870
372.6, 0.312767
375.6, 0.319318
378.6, 0.328294
381.1, 0.332589
383.1, 0.332962
385.1, 0.334242
387.1, 0.341088
389.1, 0.351210
391.1, 0.354722
393.1, 0.360550
395.1, 0.365027
397.1, 0.370690
399.1, 0.374790
401.1, 0.373373
403.1, 0.374479
405.1, 0.378770
407.1, 0.379816
409.1, 0.381869
411.1, 0.381739
412.8, 0.381270
415.8, 0.383936
418.8, 0.386666
421.8, 0.391027
424.8, 0.390036
427.8, 0.388432
430.8, 0.392665
433.8, 0.395826
436.8, 0.399423
439.8, 0.404001
442.8, 0.402715
445.8, 0.409579
448.8, 0.415959
451.3, 0.413791
453.3, 0.422063
455.3, 0.424986
457.3, 0.425885
459.3, 0.426586
461.3, 0.425713
463.3, 0.437672
465.3, 0.447732
467.3, 0.456811
469.3, 0.459191
471.3, 0.469155
473.3, 0.475300
475.3, 0.483646
477.3, 0.491346
479.3, 0.497343
481.3, 0.499699
483.3, 0.503990
485.3, 0.512288
487.3, 0.514896
489.3, 0.509530
491.3, 0.520003
493.3, 0.528652
495.3, 0.530051
497.3, 0.531333
499.3, 0.526830
501.3, 0.539875
