Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:04:53.762017

Data ID,USGS_mag05          
Sample ID, magnetite_hs78.13233
Mineral Name, magnetite
Material Class,Oxide

Wavelength
253.6, 0.0375300
258.6, 0.0394580
263.6, 0.0420670
268.6, 0.0434780
273.1, 0.0422350
277.1, 0.0461180
281.1, 0.0447870
285.1, 0.0413970
289.1, 0.0430500
293.1, 0.0418350
297.1, 0.0438320
301.1, 0.0453220
305.1, 0.0462710
309.1, 0.0461370
313.1, 0.0455400
317.1, 0.0471580
321.1, 0.0461740
325.1, 0.0440140
329.1, 0.0466500
333.1, 0.0482150
337.1, 0.0468440
341.1, 0.0470180
345.1, 0.0470060
349.1, 0.0471740
353.1, 0.0478220
357.1, 0.0481440
360.6, 0.0475130
363.6, 0.0480710
366.6, 0.0473840
369.6, 0.0474140
372.6, 0.0468100
375.6, 0.0473530
378.6, 0.0475940
381.1, 0.0474130
383.1, 0.0470290
385.1, 0.0468880
387.1, 0.0476440
389.1, 0.0477270
391.1, 0.0480910
393.1, 0.0471460
395.1, 0.0467600
397.1, 0.0468770
399.1, 0.0469050
401.1, 0.0469390
403.1, 0.0470750
405.1, 0.0464790
407.1, 0.0469550
409.1, 0.0470150
411.1, 0.0471050
412.8, 0.0475440
415.8, 0.0463220
418.8, 0.0476040
421.8, 0.0464580
424.8, 0.0469690
427.8, 0.0463720
430.8, 0.0465530
433.8, 0.0452010
436.8, 0.0469190
439.8, 0.0466750
442.8, 0.0467450
445.8, 0.0462280
448.8, 0.0464140
451.3, 0.0462810
453.3, 0.0455740
455.3, 0.0471300
457.3, 0.0457690
459.3, 0.0460290
461.3, 0.0452080
463.3, 0.0456800
465.3, 0.0461250
467.3, 0.0455250
469.3, 0.0456820
471.3, 0.0462070
473.3, 0.0452970
475.3, 0.0448090
477.3, 0.0454130
479.3, 0.0452300
481.3, 0.0461710
483.3, 0.0454900
485.3, 0.0457320
487.3, 0.0452360
489.3, 0.0459350
491.3, 0.0450440
493.3, 0.0453190
495.3, 0.0461930
497.3, 0.0455200
499.3, 0.0459090
501.3, 0.0449760
503.3, 0.0463570
505.3, 0.0455800
507.3, 0.0456730
509.3, 0.0459390
511.3, 0.0461350
513.3, 0.0454040
515.3, 0.0458020
517.3, 0.0453170
519.3, 0.0458110
521.3, 0.0464520
523.3, 0.0454480
525.3, 0.0460170
527.3, 0.0455920
529.3, 0.0453620
531.3, 0.0454310
533.3, 0.0463800
535.3, 0.0448840
537.3, 0.0459820
539.3, 0.0465450
541.3, 0.0459680
543.3, 0.0459690
545.3, 0.0455960
547.3, 0.0452220
549.3, 0.0454130
551.3, 0.0455730
553.3, 0.0463140
555.3, 0.0460790
557.3, 0.0468590
559.3, 0.0459090
561.3, 0.0460220
563.3, 0.0456250
565.3, 0.0464270
567.3, 0.0460970
569.3, 0.0463030
571.3, 0.0463930
573.3, 0.0458400
575.3, 0.0464500
577.3, 0.0469590
579.3, 0.0470230
581.3, 0.0463970
583.3, 0.0463640
585.3, 0.0469780
587.3, 0.0465130
589.3, 0.0466480
591.3, 0.0460160
593.3, 0.0477710
595.3, 0.0470210
597.3, 0.0469070
599.3, 0.0471060
601.1, 0.0467390
602.7, 0.0477810
604.3, 0.0465040
605.9, 0.0471820
607.5, 0.0469590
609.1, 0.0472880
610.7, 0.0467440
612.3, 0.0470660
613.9, 0.0464220
615.5, 0.0473000
617.1, 0.0470980
618.7, 0.0474100
620.3, 0.0478680
621.9, 0.0470980
623.5, 0.0475870
625.1, 0.0471260
626.7, 0.0476990
628.3, 0.0473900
629.9, 0.0471640
631.7, 0.0475720
633.7, 0.0474620
635.7, 0.0477710
637.7, 0.0471100
639.7, 0.0478150
641.7, 0.0472980
643.7, 0.0472280
645.7, 0.0488600
647.7, 0.0479400
649.7, 0.0474830
651.7, 0.0485720
653.7, 0.0473470
655.7, 0.0478540
657.7, 0.0480710
659.7, 0.0483120
661.7, 0.0480680
663.7, 0.0476230
665.7, 0.0481550
667.7, 0.0491550
670.2, 0.0477500
673.2, 0.0479690
676.2, 0.0481540
679.2, 0.0490690
682.2, 0.0479640
685.2, 0.0490930
688.2, 0.0488660
691.2, 0.0475170
694.2, 0.0491180
697.2, 0.0478270
700.2, 0.0474870
702.0, 0.0487350
704.0, 0.0481350
706.0, 0.0477770
708.0, 0.0482890
710.0, 0.0485920
712.0, 0.0488750
714.0, 0.0485460
716.0, 0.0490570
718.0, 0.0485660
720.0, 0.0488080
722.0, 0.0488080
724.0, 0.0492550
726.0, 0.0488370
728.0, 0.0494380
730.0, 0.0489410
732.0, 0.0486750
734.0, 0.0487560
736.0, 0.0485210
738.0, 0.0487070
740.0, 0.0488370
742.0, 0.0498210
744.0, 0.0492120
746.0, 0.0492520
748.0, 0.0490890
750.5, 0.0486660
753.5, 0.0492740
756.5, 0.0485990
759.5, 0.0493360
762.5, 0.0488340
765.5, 0.0489920
768.5, 0.0490590
771.5, 0.0493750
774.5, 0.0491120
777.5, 0.0489930
781.0, 0.0489640
785.0, 0.0485630
789.0, 0.0489780
793.0, 0.0485610
797.0, 0.0485920
801.5, 0.0491220
806.5, 0.0489250
811.5, 0.0484790
816.5, 0.0493230
822.0, 0.0483230
828.0, 0.0478760
835.0, 0.0472280
843.0, 0.0477880
851.0, 0.0492620
859.0, 0.0476170
871.0, 0.0473230
883.0, 0.0466560
894.0, 0.0486340
904.0, 0.0474860
914.0, 0.0455770
924.0, 0.0466350
933.0, 0.0474740
941.0, 0.0447610
949.0, 0.0441320
957.0, 0.0447830
964.0, 0.0434220
970.0, 0.0466670
976.0, 0.0452040
982.0, 0.0437920
988.0, 0.0446290
994.0, 0.0426020
