Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:07:10.269685

Data ID,USGS_mar03          
Sample ID, marialite_nmnh126018.13400
Mineral Name, marialite
Material Class,Tectosilicate

Wavelength
229.1, 0.247334
236.1, 0.253416
242.1, 0.322980
248.1, 0.343270
253.6, 0.353480
258.6, 0.366116
263.6, 0.373653
268.6, 0.386486
273.1, 0.396389
277.1, 0.414208
281.1, 0.433495
285.1, 0.448234
289.1, 0.460538
293.1, 0.478203
297.1, 0.488905
301.1, 0.495898
305.1, 0.505091
309.1, 0.518527
313.1, 0.527249
317.1, 0.539797
321.1, 0.551472
325.1, 0.561332
329.1, 0.573816
333.1, 0.587852
337.1, 0.599394
341.1, 0.613368
345.1, 0.628944
349.1, 0.642642
353.1, 0.660082
357.1, 0.670748
360.6, 0.684487
363.6, 0.694838
366.6, 0.705082
369.6, 0.718492
372.6, 0.725797
375.6, 0.736640
378.6, 0.745579
381.1, 0.755751
383.1, 0.758140
385.1, 0.764492
387.1, 0.771127
389.1, 0.775473
391.1, 0.780782
393.1, 0.785753
395.1, 0.791802
397.1, 0.794821
399.1, 0.800123
401.1, 0.803129
403.1, 0.806996
405.1, 0.811339
407.1, 0.815082
409.1, 0.816666
411.1, 0.821295
412.8, 0.823494
415.8, 0.828116
418.8, 0.828752
421.8, 0.833808
424.8, 0.836708
427.8, 0.840884
430.8, 0.843780
433.8, 0.846546
436.8, 0.849438
439.8, 0.851460
442.8, 0.853708
445.8, 0.853554
448.8, 0.855702
451.3, 0.858655
453.3, 0.859980
455.3, 0.860096
457.3, 0.859241
459.3, 0.859147
461.3, 0.863457
463.3, 0.860428
465.3, 0.862529
467.3, 0.861024
469.3, 0.861751
471.3, 0.861683
473.3, 0.862274
475.3, 0.862332
477.3, 0.860722
479.3, 0.860769
481.3, 0.860057
483.3, 0.862114
485.3, 0.862151
487.3, 0.859879
489.3, 0.861380
491.3, 0.859883
493.3, 0.861364
495.3, 0.860520
497.3, 0.860567
499.3, 0.861263
501.3, 0.861314
503.3, 0.861886
505.3, 0.860361
507.3, 0.861028
509.3, 0.860277
511.3, 0.860174
513.3, 0.857961
515.3, 0.860090
517.3, 0.858531
519.3, 0.857761
521.3, 0.858418
523.3, 0.858309
525.3, 0.855954
527.3, 0.858185
529.3, 0.856600
531.3, 0.856490
533.3, 0.855009
535.3, 0.856366
537.3, 0.855550
539.3, 0.856996
541.3, 0.857003
543.3, 0.855541
545.3, 0.856974
547.3, 0.855631
549.3, 0.854185
551.3, 0.854959
553.3, 0.853635
555.3, 0.854388
557.3, 0.853609
559.3, 0.853605
561.3, 0.853713
563.3, 0.854502
565.3, 0.853724
567.3, 0.853723
569.3, 0.855823
571.3, 0.855831
573.3, 0.855841
575.3, 0.855731
577.3, 0.857846
579.3, 0.857074
581.3, 0.857742
583.3, 0.861558
585.3, 0.858419
587.3, 0.860112
589.3, 0.861578
591.3, 0.863160
593.3, 0.861823
595.3, 0.864972
597.3, 0.865090
599.3, 0.865875
601.1, 0.865990
602.7, 0.868439
604.3, 0.868547
605.9, 0.867881
607.5, 0.868773
609.1, 0.867313
610.7, 0.868213
612.3, 0.869882
613.9, 0.869879
615.5, 0.871539
617.1, 0.872324
618.7, 0.872317
620.3, 0.873201
621.9, 0.875539
623.5, 0.873983
625.1, 0.876323
626.7, 0.875544
628.3, 0.877884
629.9, 0.878071
631.7, 0.880417
633.7, 0.880418
635.7, 0.881092
637.7, 0.881971
639.7, 0.883431
641.7, 0.884221
643.7, 0.884974
645.7, 0.888009
647.7, 0.886446
649.7, 0.887988
651.7, 0.891120
653.7, 0.890329
655.7, 0.891119
657.7, 0.889659
659.7, 0.891881
661.7, 0.894919
663.7, 0.894240
665.7, 0.898066
667.7, 0.898731
670.2, 0.897263
673.2, 0.899525
676.2, 0.899441
