Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:07:20.277249

Data ID,USGS_mei02          
Sample ID, meionite_ws701.13581
Mineral Name, meionite
Material Class,Tectosilicate

Wavelength
221.1, 0.112881
229.1, 0.150860
236.1, 0.205020
242.1, 0.252220
248.1, 0.283177
253.6, 0.301134
258.6, 0.313842
263.6, 0.324304
268.6, 0.328633
273.1, 0.341174
277.1, 0.349334
281.1, 0.361094
285.1, 0.371176
289.1, 0.384393
293.1, 0.396857
297.1, 0.408961
301.1, 0.421550
305.1, 0.436961
309.1, 0.446915
313.1, 0.457070
317.1, 0.465942
321.1, 0.479346
325.1, 0.486904
329.1, 0.497606
333.1, 0.502627
337.1, 0.514675
341.1, 0.518905
345.1, 0.531339
349.1, 0.537323
353.1, 0.545497
357.1, 0.553160
360.6, 0.559043
363.6, 0.563085
366.6, 0.567999
369.6, 0.569986
372.6, 0.574702
375.6, 0.573597
378.6, 0.575904
381.1, 0.578519
383.1, 0.578089
385.1, 0.577852
387.1, 0.577974
389.1, 0.580777
391.1, 0.579764
393.1, 0.584418
395.1, 0.582587
397.1, 0.581142
399.1, 0.585122
401.1, 0.589102
403.1, 0.588324
405.1, 0.591471
407.1, 0.590090
409.1, 0.591675
411.1, 0.590618
412.8, 0.596045
415.8, 0.597807
418.8, 0.604297
421.8, 0.608180
424.8, 0.608311
427.8, 0.617804
430.8, 0.621374
433.8, 0.626306
436.8, 0.630902
439.8, 0.639269
442.8, 0.642400
445.8, 0.643047
448.8, 0.647432
451.3, 0.655021
453.3, 0.655098
455.3, 0.655427
457.3, 0.662224
459.3, 0.661294
461.3, 0.664118
463.3, 0.664041
465.3, 0.666528
467.3, 0.668654
469.3, 0.666632
471.3, 0.666799
473.3, 0.670561
475.3, 0.671658
477.3, 0.672786
479.3, 0.674735
481.3, 0.672338
483.3, 0.676895
485.3, 0.672276
487.3, 0.674495
489.3, 0.679926
491.3, 0.682160
493.3, 0.680509
495.3, 0.679055
497.3, 0.687785
499.3, 0.682651
501.3, 0.679390
503.3, 0.685134
505.3, 0.687732
507.3, 0.685428
509.3, 0.687032
511.3, 0.691220
513.3, 0.693430
515.3, 0.695260
517.3, 0.688932
519.3, 0.695257
521.3, 0.693124
523.3, 0.698066
525.3, 0.695987
527.3, 0.699998
529.3, 0.694388
531.3, 0.697233
533.3, 0.699313
535.3, 0.701259
537.3, 0.699601
