Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:09:25.223684

Data ID,USGS_miz01          
Sample ID, mizzonite_bm931-12.14023
Mineral Name, mizzonite
Material Class,Tectosilicate

Wavelength
229.1, 0.148231
236.1, 0.194330
242.1, 0.243189
248.1, 0.284618
253.6, 0.305592
258.6, 0.317415
263.6, 0.334680
268.6, 0.346659
273.1, 0.361922
277.1, 0.379492
281.1, 0.394197
285.1, 0.408270
289.1, 0.418242
293.1, 0.430861
297.1, 0.438996
301.1, 0.450073
305.1, 0.462623
309.1, 0.473333
313.1, 0.481962
317.1, 0.492581
321.1, 0.502209
325.1, 0.506187
329.1, 0.515786
333.1, 0.523222
337.1, 0.533112
341.1, 0.536470
345.1, 0.543304
349.1, 0.556444
353.1, 0.566484
357.1, 0.571209
360.6, 0.577320
363.6, 0.580876
366.6, 0.585469
369.6, 0.587252
372.6, 0.591877
375.6, 0.593047
378.6, 0.595184
381.1, 0.597230
383.1, 0.597452
385.1, 0.598933
387.1, 0.600008
389.1, 0.599101
391.1, 0.601702
393.1, 0.603239
395.1, 0.604153
397.1, 0.606399
399.1, 0.606656
401.1, 0.609428
403.1, 0.612349
405.1, 0.614350
407.1, 0.616142
409.1, 0.617876
411.1, 0.621271
412.8, 0.624638
415.8, 0.629286
418.8, 0.636780
421.8, 0.643154
424.8, 0.648982
427.8, 0.660486
430.8, 0.669162
433.8, 0.677048
436.8, 0.686424
439.8, 0.696132
442.8, 0.704911
445.8, 0.711800
448.8, 0.723672
451.3, 0.731607
453.3, 0.739448
455.3, 0.742887
457.3, 0.748573
459.3, 0.751784
461.3, 0.758852
463.3, 0.762713
465.3, 0.767735
467.3, 0.773190
469.3, 0.775408
471.3, 0.779142
473.3, 0.782700
475.3, 0.786636
477.3, 0.789624
479.3, 0.792770
481.3, 0.795165
483.3, 0.800184
485.3, 0.800212
487.3, 0.802610
489.3, 0.805623
491.3, 0.806465
493.3, 0.808677
495.3, 0.811692
497.3, 0.810180
499.3, 0.813174
501.3, 0.814791
503.3, 0.817632
505.3, 0.817674
507.3, 0.820649
509.3, 0.820684
511.3, 0.821333
513.3, 0.823846
515.3, 0.825923
517.3, 0.825931
519.3, 0.825948
521.3, 0.827363
523.3, 0.829585
525.3, 0.830370
527.3, 0.831796
529.3, 0.832566
531.3, 0.834012
533.3, 0.832547
535.3, 0.833874
537.3, 0.834629
539.3, 0.837631
541.3, 0.838428
543.3, 0.836982
545.3, 0.839185
547.3, 0.837870
549.3, 0.838011
551.3, 0.839568
553.3, 0.839053
555.3, 0.841370
557.3, 0.840594
559.3, 0.842940
561.3, 0.842272
563.3, 0.843061
565.3, 0.846198
567.3, 0.845415
569.3, 0.846717
571.3, 0.848293
573.3, 0.847520
575.3, 0.849758
577.3, 0.851863
579.3, 0.851091
581.3, 0.851754
583.3, 0.851628
585.3, 0.853214
587.3, 0.854124
589.3, 0.857159
591.3, 0.857952
593.3, 0.858196
595.3, 0.857414
597.3, 0.858322
599.3, 0.859892
601.1, 0.858442
602.7, 0.860110
604.3, 0.861007
605.9, 0.859565
607.5, 0.862027
609.1, 0.862135
610.7, 0.863039
612.3, 0.863150
613.9, 0.863928
615.5, 0.864030
617.1, 0.864816
618.7, 0.866368
620.3, 0.865697
621.9, 0.866476
623.5, 0.866479
625.1, 0.867259
626.7, 0.865701
628.3, 0.868820
629.9, 0.867462
631.7, 0.869030
633.7, 0.869809
635.7, 0.869695
637.7, 0.872139
639.7, 0.873591
641.7, 0.872824
643.7, 0.872796
645.7, 0.874263
647.7, 0.877376
649.7, 0.875799
651.7, 0.878151
653.7, 0.877359
655.7, 0.877371
657.7, 0.875145
659.7, 0.877351
661.7, 0.880377
663.7, 0.877373
665.7, 0.881187
667.7, 0.882614
670.2, 0.881161
673.2, 0.881849
676.2, 0.883314
679.2, 0.884082
682.2, 0.884088
685.2, 0.887724
688.2, 0.886154
691.2, 0.885470
694.2, 0.886936
697.2, 0.889891
700.2, 0.887521
702.0, 0.888233
704.0, 0.888902
706.0, 0.889591
708.0, 0.891191
710.0, 0.890981
712.0, 0.890977
714.0, 0.892476
716.0, 0.892470
718.0, 0.892209
720.0, 0.891505
722.0, 0.892890
724.0, 0.893588
726.0, 0.893497
728.0, 0.894905
730.0, 0.894111
732.0, 0.894108
734.0, 0.893226
736.0, 0.894815
738.0, 0.897007
740.0, 0.896925
742.0, 0.894450
744.0, 0.897465
746.0, 0.895068
748.0, 0.898970
750.5, 0.898176
753.5, 0.898899
756.5, 0.899507
759.5, 0.898616
762.5, 0.900049
765.5, 0.902362
768.5, 0.901395
771.5, 0.903639
774.5, 0.902748
777.5, 0.902750
781.0, 0.902584
785.0, 0.903302
789.0, 0.903944
793.0, 0.905393
797.0, 0.904415
801.5, 0.905876
806.5, 0.904899
811.5, 0.906280
816.5, 0.906941
822.0, 0.907431
828.0, 0.904890
835.0, 0.908336
843.0, 0.907198
851.0, 0.907202
859.0, 0.909778
871.0, 0.911358
883.0, 0.907032
894.0, 0.911976
904.0, 0.913874
914.0, 0.911968
924.0, 0.910170
933.0, 0.910252
941.0, 0.913616
949.0, 0.912562
957.0, 0.910787
964.0, 0.909091
970.0, 0.912541
976.0, 0.912479
982.0, 0.911659
988.0, 0.915092
994.0, 0.915052
1000.0, 0.913261
1006.0, 0.914151
1012.0, 0.916566
1018.0, 0.916525
1023.5, 0.918173
1028.5, 0.917458
1033.5, 0.916706
1038.5, 0.919995
1043.5, 0.921635
1048.5, 0.918181
1053.5, 0.917364
1058.5, 0.919019
1063.5, 0.921623
1068.5, 0.920723
1073.5, 0.919022
1078.5, 0.920621
1083.5, 0.921544
1088.5, 0.920673
1093.5, 0.921470
1098.5, 0.920661
1103.5, 0.923152
1108.5, 0.922377
1113.5, 0.923251
1118.5, 0.922363
1123.5, 0.922394
1128.5, 0.924069
1133.5, 0.925015
1138.5, 0.925669
1143.5, 0.923999
1148.5, 0.925718
1153.5, 0.923897
1158.5, 0.923778
1163.5, 0.922874
1168.5, 0.924384
1173.5, 0.924273
1178.5, 0.925101
1183.5, 0.925048
1188.5, 0.926587
1193.5, 0.926424
1198.5, 0.926346
1203.5, 0.925435
1208.5, 0.925455
1213.5, 0.923711
1218.5, 0.927909
1223.5, 0.927125
1228.5, 0.927154
1233.5, 0.926238
1238.5, 0.923789
1243.5, 0.921981
1248.5, 0.927930
1253.5, 0.927013
1258.5, 0.926167
1263.5, 0.926909
1268.5, 0.925972
1273.5, 0.925840
1278.5, 0.925699
1283.5, 0.922171
1288.5, 0.920245
1293.5, 0.921020
1298.5, 0.918367
1303.5, 0.919058
1308.5, 0.920671
1313.5, 0.922247
1318.5, 0.921274
1323.5, 0.923766
1328.5, 0.922734
1333.5, 0.923517
1338.5, 0.922518
1343.5, 0.923318
1348.5, 0.922446
1353.5, 0.923196
1358.5, 0.924828
1363.5, 0.923073
1368.5, 0.915285
1373.5, 0.914421
1378.5, 0.912634
1383.5, 0.907504
1388.5, 0.889191
1393.5, 0.862108
1398.5, 0.827957
1403.5, 0.796947
1408.5, 0.772566
1413.5, 0.769976
1418.5, 0.797138
1423.5, 0.835075
1428.5, 0.868730
1433.5, 0.882863
1438.5, 0.892460
1443.5, 0.896036
1448.5, 0.895230
1453.5, 0.892578
1458.5, 0.889910
1463.5, 0.879622
1468.5, 0.859303
1473.5, 0.824228
1478.5, 0.812383
1483.5, 0.838471
1488.5, 0.872701
1493.5, 0.893291
1498.5, 0.904857
1503.5, 0.907668
1508.5, 0.910221
1513.5, 0.915313
1518.5, 0.914560
1523.5, 0.917207
1528.5, 0.918881
1534.0, 0.920572
1540.0, 0.920515
1546.0, 0.923087
1552.0, 0.920603
1558.0, 0.922445
1564.0, 0.923265
1570.5, 0.924842
1577.5, 0.923233
1584.5, 0.924035
1591.5, 0.924842
1598.5, 0.925738
1605.5, 0.924736
1612.5, 0.922059
1619.5, 0.922804
1626.5, 0.925246
1633.5, 0.925104
1640.5, 0.924090
1647.5, 0.923107
1654.5, 0.923772
1661.5, 0.922796
1668.5, 0.922590
1676.0, 0.921512
1684.0, 0.919700
1692.0, 0.924806
1700.0, 0.922969
1708.0, 0.921843
1716.0, 0.921895
1724.0, 0.918438
1732.0, 0.914909
1740.0, 0.917619
1748.0, 0.918503
1756.0, 0.918638
1764.0, 0.918633
1772.0, 0.915238
1780.0, 0.919545
1788.0, 0.920517
1796.0, 0.916732
1805.0, 0.913699
1815.0, 0.910334
1825.0, 0.905220
1835.0, 0.906043
1845.0, 0.900063
1855.0, 0.896828
1865.0, 0.892156
1875.0, 0.883304
1885.0, 0.874497
1895.0, 0.861659
1905.0, 0.839283
1915.0, 0.835662
1925.0, 0.837225
1935.0, 0.842356
1945.0, 0.846413
1955.0, 0.850065
1965.0, 0.855527
1975.0, 0.857529
1985.0, 0.856136
1995.0, 0.857546
2005.0, 0.862468
2015.0, 0.866777
2025.0, 0.868922
2035.0, 0.871092
2045.0, 0.871455
2055.0, 0.874340
2065.0, 0.873496
2075.0, 0.872514
2085.0, 0.864141
2095.0, 0.855430
2105.0, 0.845074
2115.0, 0.844427
2125.0, 0.841851
2135.0, 0.844262
2145.0, 0.836039
2155.0, 0.828969
2165.0, 0.809182
2175.0, 0.776954
2185.0, 0.735403
2195.0, 0.693959
2205.0, 0.665188
2215.0, 0.665045
2225.0, 0.671475
2235.0, 0.693482
2245.0, 0.722998
2255.0, 0.751747
2265.0, 0.757313
2275.0, 0.741847
2285.0, 0.731038
2295.0, 0.720221
2305.0, 0.732913
2315.0, 0.702549
2325.0, 0.622216
2335.0, 0.574102
2345.0, 0.558058
2355.0, 0.538166
2365.0, 0.550934
2375.0, 0.588500
2386.0, 0.593732
2400.0, 0.610932
2418.0, 0.630132
2440.0, 0.629994
2466.0, 0.623678
2496.0, 0.627991
2528.0, 0.615525
2560.0, 0.602548
2592.0, 0.592318
2624.0, 0.605527
2656.0, 0.603102
2688.0, 0.496964
2720.0, 0.267166
2752.0, 0.100744
2784.0, 0.146394
2816.0, 0.208074
2848.0, 0.139864
2880.0, 0.142736
2912.0, 0.197423
2944.0, 0.228210
2976.0, 0.230835
