Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:11:05.044657

Data ID,USGS_mon07          
Sample ID, montmorillonite_cm26.14382
Mineral Name, montmorillonite
Material Class,Phyllosilicate

Wavelength
229.1, 0.0659230
236.1, 0.0650140
242.1, 0.0515720
248.1, 0.0542980
253.6, 0.0532860
258.6, 0.0544910
263.6, 0.0537220
268.6, 0.0579970
273.1, 0.0674590
277.1, 0.0692300
281.1, 0.0763300
285.1, 0.0849310
289.1, 0.0962710
293.1, 0.106453
297.1, 0.122308
301.1, 0.135191
305.1, 0.150478
309.1, 0.166016
313.1, 0.181896
317.1, 0.193024
321.1, 0.208878
325.1, 0.220273
329.1, 0.232514
333.1, 0.242581
337.1, 0.256021
341.1, 0.263373
345.1, 0.278362
349.1, 0.293238
353.1, 0.302329
357.1, 0.313514
360.6, 0.322283
363.6, 0.328300
366.6, 0.335669
369.6, 0.344659
372.6, 0.352920
375.6, 0.362282
378.6, 0.370723
381.1, 0.378153
383.1, 0.383683
385.1, 0.392458
387.1, 0.399222
389.1, 0.407280
391.1, 0.411751
393.1, 0.416405
395.1, 0.422335
397.1, 0.425959
399.1, 0.430399
401.1, 0.434141
403.1, 0.437466
405.1, 0.440660
407.1, 0.445135
409.1, 0.446285
411.1, 0.446943
412.8, 0.453481
415.8, 0.456018
418.8, 0.461948
421.8, 0.467229
424.8, 0.474063
427.8, 0.479569
430.8, 0.485633
433.8, 0.490714
436.8, 0.495633
439.8, 0.503060
442.8, 0.508635
445.8, 0.515086
448.8, 0.523059
451.3, 0.525828
453.3, 0.532670
455.3, 0.530340
457.3, 0.534654
459.3, 0.537086
461.3, 0.542708
463.3, 0.543796
465.3, 0.547726
467.3, 0.550918
469.3, 0.554598
471.3, 0.558731
473.3, 0.563984
475.3, 0.567735
477.3, 0.573619
479.3, 0.575195
481.3, 0.578304
483.3, 0.583511
485.3, 0.584236
487.3, 0.585400
489.3, 0.590510
491.3, 0.595289
493.3, 0.596312
495.3, 0.599749
497.3, 0.602020
499.3, 0.605534
501.3, 0.609892
503.3, 0.612568
505.3, 0.614898
507.3, 0.619339
509.3, 0.620662
511.3, 0.625303
513.3, 0.628747
515.3, 0.632253
517.3, 0.635741
519.3, 0.638915
521.3, 0.642576
523.3, 0.645658
525.3, 0.649694
527.3, 0.652667
529.3, 0.656395
531.3, 0.659176
533.3, 0.661816
535.3, 0.665634
537.3, 0.667114
539.3, 0.669981
541.3, 0.672976
543.3, 0.677023
545.3, 0.679738
547.3, 0.680565
549.3, 0.684304
551.3, 0.684885
553.3, 0.685522
555.3, 0.688294
557.3, 0.691358
559.3, 0.693372
561.3, 0.696033
563.3, 0.695150
565.3, 0.697662
567.3, 0.698088
569.3, 0.700193
571.3, 0.701113
573.3, 0.702255
575.3, 0.702725
577.3, 0.703982
579.3, 0.706008
581.3, 0.707118
583.3, 0.707988
585.3, 0.707894
587.3, 0.709336
589.3, 0.713165
591.3, 0.711422
593.3, 0.713805
595.3, 0.714922
597.3, 0.713557
599.3, 0.714262
601.1, 0.716467
602.7, 0.715170
604.3, 0.714540
605.9, 0.716094
607.5, 0.717186
609.1, 0.717902
610.7, 0.717202
612.3, 0.715960
613.9, 0.718071
615.5, 0.717324
617.1, 0.719560
618.7, 0.719317
620.3, 0.720743
621.9, 0.720818
623.5, 0.721723
625.1, 0.719296
626.7, 0.721445
628.3, 0.721445
629.9, 0.722567
631.7, 0.722087
633.7, 0.721970
635.7, 0.724910
637.7, 0.723903
639.7, 0.724088
641.7, 0.727419
643.7, 0.725037
645.7, 0.726283
647.7, 0.726086
649.7, 0.726267
651.7, 0.728408
653.7, 0.728947
655.7, 0.728535
657.7, 0.732222
659.7, 0.729470
661.7, 0.731157
663.7, 0.731698
665.7, 0.733203
667.7, 0.736707
670.2, 0.734454
673.2, 0.737206
676.2, 0.736462
679.2, 0.736730
682.2, 0.740227
685.2, 0.738191
688.2, 0.741707
691.2, 0.742311
694.2, 0.743775
697.2, 0.748867
700.2, 0.746004
702.0, 0.747836
704.0, 0.744898
706.0, 0.748581
708.0, 0.748556
710.0, 0.747734
712.0, 0.751388
714.0, 0.750830
716.0, 0.752554
718.0, 0.752045
720.0, 0.751129
722.0, 0.753289
724.0, 0.757441
726.0, 0.756338
728.0, 0.755004
730.0, 0.756287
732.0, 0.755772
734.0, 0.754882
736.0, 0.755519
738.0, 0.756726
740.0, 0.756683
742.0, 0.757237
744.0, 0.757028
746.0, 0.759023
748.0, 0.758136
750.5, 0.760480
753.5, 0.758429
756.5, 0.758830
759.5, 0.761234
762.5, 0.765174
765.5, 0.762052
768.5, 0.760052
771.5, 0.760765
774.5, 0.760579
777.5, 0.765794
781.0, 0.762260
785.0, 0.765874
789.0, 0.762059
793.0, 0.761558
797.0, 0.759788
801.5, 0.760783
806.5, 0.761081
811.5, 0.759490
816.5, 0.760054
822.0, 0.758127
828.0, 0.760916
835.0, 0.754769
843.0, 0.754904
851.0, 0.753074
859.0, 0.749770
871.0, 0.743252
883.0, 0.741586
894.0, 0.744590
904.0, 0.745010
914.0, 0.742412
924.0, 0.743125
933.0, 0.741707
941.0, 0.735966
949.0, 0.736797
957.0, 0.733371
964.0, 0.734794
970.0, 0.737669
976.0, 0.735836
982.0, 0.738945
988.0, 0.740524
994.0, 0.738972
1000.0, 0.744268
1006.0, 0.746733
1012.0, 0.745206
1018.0, 0.746190
1023.5, 0.746912
1028.5, 0.753479
1033.5, 0.745575
1038.5, 0.749930
1043.5, 0.748438
1048.5, 0.751968
1053.5, 0.751578
1058.5, 0.750416
1063.5, 0.752352
1068.5, 0.752093
1073.5, 0.753919
1078.5, 0.749810
1083.5, 0.751956
1088.5, 0.751998
1093.5, 0.754428
1098.5, 0.754302
1103.5, 0.753555
1108.5, 0.753043
1113.5, 0.752349
1118.5, 0.755953
1123.5, 0.755902
1128.5, 0.754463
1133.5, 0.755195
1138.5, 0.753986
1143.5, 0.752704
1148.5, 0.747770
1153.5, 0.746206
1158.5, 0.747421
1163.5, 0.751292
1168.5, 0.752580
1173.5, 0.755265
1178.5, 0.754669
1183.5, 0.758322
1188.5, 0.757875
1193.5, 0.759616
1198.5, 0.758678
1203.5, 0.758002
1208.5, 0.760204
1213.5, 0.759989
1218.5, 0.761927
1223.5, 0.762255
1228.5, 0.762355
1233.5, 0.761436
1238.5, 0.761385
1243.5, 0.764386
1248.5, 0.760274
1253.5, 0.763875
1258.5, 0.764850
1263.5, 0.763331
1268.5, 0.766187
1273.5, 0.767002
1278.5, 0.766928
1283.5, 0.763372
1288.5, 0.766259
1293.5, 0.763552
1298.5, 0.762873
1303.5, 0.761524
1308.5, 0.758227
1313.5, 0.757677
1318.5, 0.755630
1323.5, 0.753925
1328.5, 0.751304
1333.5, 0.750734
1338.5, 0.748545
1343.5, 0.746188
1348.5, 0.743643
1353.5, 0.742668
1358.5, 0.738418
1363.5, 0.734540
1368.5, 0.724385
1373.5, 0.714336
1378.5, 0.697238
1383.5, 0.677659
1388.5, 0.649498
1393.5, 0.620564
1398.5, 0.592839
1403.5, 0.561729
1408.5, 0.538191
1413.5, 0.534784
1418.5, 0.554280
1423.5, 0.581012
1428.5, 0.609342
1433.5, 0.637221
1438.5, 0.651697
1443.5, 0.667721
1448.5, 0.669184
1453.5, 0.672584
1458.5, 0.670736
1463.5, 0.675061
1468.5, 0.679642
1473.5, 0.691981
