Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:12:31.247284

Data ID,USGS_mor03          
Sample ID, mordenite_gds18.14743
Mineral Name, mordenite
Material Class,Tectosilicate

Wavelength
229.1, 0.126307
236.1, 0.163805
242.1, 0.178647
248.1, 0.180474
253.6, 0.188591
258.6, 0.193601
263.6, 0.197809
268.6, 0.205691
273.1, 0.216054
277.1, 0.223019
281.1, 0.233530
285.1, 0.243680
289.1, 0.250932
293.1, 0.262248
297.1, 0.270385
301.1, 0.281656
305.1, 0.292847
309.1, 0.300079
313.1, 0.309321
317.1, 0.318241
321.1, 0.327867
325.1, 0.337477
329.1, 0.347773
333.1, 0.355766
337.1, 0.363546
341.1, 0.372544
345.1, 0.380754
349.1, 0.386876
353.1, 0.396126
357.1, 0.403517
360.6, 0.409029
363.6, 0.415676
366.6, 0.421161
369.6, 0.428135
372.6, 0.434251
375.6, 0.441904
378.6, 0.448213
381.1, 0.452168
383.1, 0.457127
385.1, 0.463550
387.1, 0.466318
389.1, 0.470832
391.1, 0.474096
393.1, 0.478596
395.1, 0.481529
397.1, 0.485730
399.1, 0.488481
401.1, 0.490643
403.1, 0.493638
405.1, 0.497449
407.1, 0.500546
409.1, 0.502522
411.1, 0.505398
412.8, 0.510785
415.8, 0.511884
418.8, 0.518583
421.8, 0.520988
424.8, 0.526934
427.8, 0.532644
430.8, 0.538229
433.8, 0.544833
436.8, 0.549337
439.8, 0.554992
442.8, 0.559680
445.8, 0.563976
448.8, 0.569325
451.3, 0.575122
453.3, 0.577211
455.3, 0.579723
457.3, 0.583172
459.3, 0.583952
461.3, 0.587866
463.3, 0.588526
465.3, 0.593041
467.3, 0.592620
469.3, 0.597386
471.3, 0.599051
473.3, 0.600926
475.3, 0.602554
477.3, 0.605023
479.3, 0.608571
481.3, 0.610287
483.3, 0.614045
485.3, 0.616631
487.3, 0.619680
489.3, 0.621944
491.3, 0.624996
493.3, 0.627215
495.3, 0.630109
497.3, 0.634402
499.3, 0.636478
501.3, 0.640879
503.3, 0.643524
505.3, 0.646889
507.3, 0.650905
509.3, 0.652611
511.3, 0.656677
513.3, 0.659668
515.3, 0.663633
517.3, 0.666330
519.3, 0.668650
521.3, 0.671283
523.3, 0.674831
525.3, 0.677921
527.3, 0.679631
529.3, 0.681272
531.3, 0.685873
533.3, 0.686716
535.3, 0.689989
537.3, 0.692478
539.3, 0.693884
541.3, 0.697958
543.3, 0.697810
545.3, 0.702761
547.3, 0.704039
549.3, 0.707468
551.3, 0.708324
553.3, 0.709295
555.3, 0.711767
557.3, 0.714548
559.3, 0.716913
561.3, 0.716808
563.3, 0.720452
565.3, 0.722200
567.3, 0.724645
569.3, 0.726933
571.3, 0.729792
573.3, 0.730758
575.3, 0.733319
577.3, 0.733736
579.3, 0.736849
581.3, 0.739639
583.3, 0.740047
585.3, 0.742682
587.3, 0.741551
589.3, 0.745470
591.3, 0.748652
593.3, 0.747816
595.3, 0.750276
597.3, 0.750649
599.3, 0.750645
601.1, 0.752280
602.7, 0.753088
604.3, 0.753763
605.9, 0.754612
607.5, 0.754342
609.1, 0.756111
610.7, 0.756407
612.3, 0.757944
613.9, 0.759117
615.5, 0.758672
617.1, 0.759860
618.7, 0.761654
620.3, 0.761220
621.9, 0.762869
623.5, 0.764995
625.1, 0.765154
626.7, 0.766805
628.3, 0.766337
629.9, 0.767165
631.7, 0.768832
633.7, 0.768678
635.7, 0.771692
637.7, 0.772907
639.7, 0.773032
641.7, 0.773839
643.7, 0.773397
645.7, 0.776610
647.7, 0.776604
649.7, 0.778926
651.7, 0.779739
653.7, 0.779716
655.7, 0.781308
657.7, 0.782290
659.7, 0.783630
661.7, 0.784249
663.7, 0.785239
665.7, 0.785875
667.7, 0.786418
670.2, 0.787399
673.2, 0.787233
676.2, 0.791780
679.2, 0.791755
682.2, 0.792553
685.2, 0.794417
688.2, 0.798355
691.2, 0.795377
694.2, 0.797563
697.2, 0.798025
700.2, 0.799574
702.0, 0.797861
704.0, 0.800024
706.0, 0.801432
708.0, 0.802275
710.0, 0.801097
712.0, 0.803469
714.0, 0.803330
716.0, 0.803318
718.0, 0.806021
720.0, 0.805380
722.0, 0.806619
724.0, 0.805651
726.0, 0.807878
728.0, 0.807555
730.0, 0.808351
732.0, 0.808346
734.0, 0.808185
736.0, 0.808188
738.0, 0.808634
740.0, 0.809283
742.0, 0.809123
744.0, 0.811214
746.0, 0.811206
748.0, 0.811045
750.5, 0.810249
753.5, 0.813327
756.5, 0.814582
759.5, 0.815221
762.5, 0.817332
765.5, 0.816348
768.5, 0.817660
771.5, 0.817339
774.5, 0.819614
777.5, 0.820429
781.0, 0.819307
785.0, 0.820768
789.0, 0.820456
793.0, 0.820132
797.0, 0.823086
801.5, 0.821140
806.5, 0.824112
811.5, 0.823643
816.5, 0.824171
822.0, 0.826023
828.0, 0.823392
835.0, 0.822276
843.0, 0.821425
851.0, 0.821425
859.0, 0.824620
871.0, 0.820793
883.0, 0.821002
894.0, 0.826449
