Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:13:10.066764

Data ID,USGS_mus06          
Sample ID, muscovite_gds111.15002
Mineral Name, muscovite
Material Class,Phyllosilicate

Wavelength
213.1, 0.0236890
221.1, 0.0254510
229.1, 0.0263760
236.1, 0.0258820
242.1, 0.0269360
248.1, 0.0266540
253.6, 0.0264440
258.6, 0.0267800
263.6, 0.0276970
268.6, 0.0295920
273.1, 0.0303790
277.1, 0.0321690
281.1, 0.0352800
285.1, 0.0380460
289.1, 0.0414390
293.1, 0.0462140
297.1, 0.0526030
301.1, 0.0602070
305.1, 0.0694520
309.1, 0.0803580
313.1, 0.0949150
317.1, 0.108818
321.1, 0.124191
325.1, 0.140718
329.1, 0.156298
333.1, 0.174666
337.1, 0.188695
341.1, 0.202595
345.1, 0.217744
349.1, 0.230675
353.1, 0.244026
357.1, 0.257739
360.6, 0.267248
363.6, 0.274592
366.6, 0.279142
369.6, 0.285320
372.6, 0.290650
375.6, 0.297102
378.6, 0.302876
381.1, 0.306986
383.1, 0.310866
385.1, 0.314541
387.1, 0.319076
389.1, 0.323131
391.1, 0.328485
393.1, 0.333638
395.1, 0.338214
397.1, 0.343385
399.1, 0.344677
401.1, 0.347716
403.1, 0.351032
405.1, 0.353336
407.1, 0.355667
409.1, 0.359254
411.1, 0.363330
412.8, 0.366434
415.8, 0.370263
418.8, 0.374992
421.8, 0.379856
424.8, 0.383240
427.8, 0.387540
430.8, 0.390172
433.8, 0.393494
436.8, 0.394722
439.8, 0.396169
442.8, 0.396725
445.8, 0.396284
448.8, 0.398989
451.3, 0.402009
453.3, 0.405481
455.3, 0.408591
457.3, 0.412176
459.3, 0.413651
461.3, 0.417242
463.3, 0.418630
465.3, 0.421380
467.3, 0.423843
469.3, 0.424537
471.3, 0.427005
473.3, 0.428133
475.3, 0.430759
477.3, 0.432458
479.3, 0.436019
481.3, 0.437823
483.3, 0.438866
485.3, 0.439372
487.3, 0.442663
489.3, 0.444129
491.3, 0.445241
493.3, 0.446241
495.3, 0.449348
497.3, 0.450239
499.3, 0.452983
501.3, 0.453728
503.3, 0.455868
505.3, 0.456768
507.3, 0.458776
509.3, 0.458666
511.3, 0.460661
513.3, 0.461945
515.3, 0.463126
517.3, 0.462137
519.3, 0.464445
521.3, 0.464127
523.3, 0.464858
525.3, 0.464791
527.3, 0.466755
529.3, 0.466769
531.3, 0.467674
533.3, 0.467435
535.3, 0.468498
537.3, 0.469559
539.3, 0.469270
541.3, 0.472491
543.3, 0.470541
545.3, 0.470164
547.3, 0.473490
549.3, 0.471955
551.3, 0.473313
553.3, 0.472247
555.3, 0.473760
557.3, 0.474557
559.3, 0.475559
561.3, 0.477052
563.3, 0.476373
565.3, 0.474869
567.3, 0.476123
569.3, 0.477249
571.3, 0.475476
573.3, 0.476942
575.3, 0.475860
577.3, 0.475674
579.3, 0.475934
581.3, 0.475632
583.3, 0.476361
585.3, 0.476590
587.3, 0.477298
589.3, 0.475793
591.3, 0.476305
593.3, 0.477040
595.3, 0.476292
597.3, 0.476614
599.3, 0.476004
601.1, 0.475828
602.7, 0.476667
604.3, 0.477567
605.9, 0.476034
607.5, 0.476079
609.1, 0.476427
610.7, 0.477655
612.3, 0.477039
613.9, 0.476959
615.5, 0.476556
617.1, 0.475926
618.7, 0.476846
620.3, 0.477344
621.9, 0.476870
623.5, 0.478095
625.1, 0.476451
626.7, 0.476366
628.3, 0.476416
629.9, 0.475384
631.7, 0.475544
633.7, 0.475949
635.7, 0.476404
637.7, 0.474916
639.7, 0.474612
641.7, 0.476811
643.7, 0.477469
645.7, 0.474665
647.7, 0.475582
649.7, 0.475407
651.7, 0.474967
653.7, 0.474482
655.7, 0.474957
657.7, 0.474508
659.7, 0.475200
661.7, 0.473793
663.7, 0.475201
665.7, 0.475094
667.7, 0.474433
670.2, 0.474991
673.2, 0.475213
676.2, 0.473037
679.2, 0.473119
682.2, 0.472838
685.2, 0.473136
688.2, 0.473602
691.2, 0.474774
694.2, 0.474399
697.2, 0.473342
700.2, 0.471418
702.0, 0.472642
704.0, 0.470226
706.0, 0.471382
708.0, 0.471830
710.0, 0.470951
712.0, 0.471489
714.0, 0.471227
716.0, 0.471198
718.0, 0.472298
720.0, 0.471906
722.0, 0.471697
724.0, 0.471826
726.0, 0.471494
728.0, 0.471077
730.0, 0.472317
732.0, 0.471754
734.0, 0.471031
736.0, 0.472289
738.0, 0.471593
740.0, 0.471911
742.0, 0.472736
744.0, 0.472407
746.0, 0.471552
748.0, 0.472587
750.5, 0.472427
753.5, 0.473012
756.5, 0.473188
759.5, 0.474072
762.5, 0.474449
765.5, 0.474999
768.5, 0.476020
771.5, 0.476767
774.5, 0.477705
777.5, 0.478400
781.0, 0.479991
785.0, 0.481733
789.0, 0.482563
793.0, 0.484732
797.0, 0.486930
801.5, 0.489092
806.5, 0.491556
811.5, 0.493832
816.5, 0.495739
822.0, 0.496413
828.0, 0.500519
835.0, 0.500753
843.0, 0.503112
851.0, 0.504157
859.0, 0.502933
871.0, 0.502236
883.0, 0.500682
894.0, 0.500525
904.0, 0.499694
914.0, 0.498390
924.0, 0.500000
933.0, 0.501934
941.0, 0.502000
949.0, 0.502819
957.0, 0.505089
964.0, 0.506418
970.0, 0.508293
976.0, 0.509127
982.0, 0.510724
988.0, 0.513739
994.0, 0.514457
1000.0, 0.514393
1006.0, 0.517183
1012.0, 0.516844
1018.0, 0.518074
1023.5, 0.520146
1028.5, 0.518519
1033.5, 0.518633
1038.5, 0.519309
1043.5, 0.519584
1048.5, 0.521144
1053.5, 0.520474
1058.5, 0.519760
1063.5, 0.519788
1068.5, 0.519014
1073.5, 0.521402
1078.5, 0.523928
1083.5, 0.522085
1088.5, 0.522466
1093.5, 0.522605
1098.5, 0.522457
1103.5, 0.522921
1108.5, 0.525295
1113.5, 0.526073
1118.5, 0.526231
1123.5, 0.528954
1128.5, 0.529479
1133.5, 0.530401
1138.5, 0.532529
1143.5, 0.533860
1148.5, 0.537271
1153.5, 0.536209
1158.5, 0.537132
1163.5, 0.540016
1168.5, 0.543910
1173.5, 0.545916
1178.5, 0.546483
1183.5, 0.548884
1188.5, 0.552355
1193.5, 0.554398
1198.5, 0.555611
1203.5, 0.560509
1208.5, 0.561929
1213.5, 0.565895
1218.5, 0.567608
1223.5, 0.572181
1228.5, 0.573390
1233.5, 0.577897
1238.5, 0.577670
1243.5, 0.580284
1248.5, 0.583023
1253.5, 0.587383
1258.5, 0.587823
1263.5, 0.593429
1268.5, 0.595510
1273.5, 0.597905
1278.5, 0.601789
1283.5, 0.602791
1288.5, 0.606142
1293.5, 0.608665
1298.5, 0.609594
1303.5, 0.609275
1308.5, 0.615322
1313.5, 0.617015
1318.5, 0.620568
1323.5, 0.622994
1328.5, 0.624809
1333.5, 0.628075
1338.5, 0.629399
1343.5, 0.632251
1348.5, 0.634707
1353.5, 0.636101
1358.5, 0.641056
1363.5, 0.641190
1368.5, 0.645184
1373.5, 0.646142
1378.5, 0.643556
1383.5, 0.645840
1388.5, 0.641832
1393.5, 0.636831
1398.5, 0.625522
1403.5, 0.603219
1408.5, 0.575679
1413.5, 0.550668
1418.5, 0.543914
1423.5, 0.562175
1428.5, 0.587787
1433.5, 0.615339
1438.5, 0.636439
1443.5, 0.652603
1448.5, 0.663489
1453.5, 0.667641
1458.5, 0.669556
1463.5, 0.674723
1468.5, 0.677596
1473.5, 0.680422
1478.5, 0.679967
1483.5, 0.685223
1488.5, 0.685656
1493.5, 0.688513
1498.5, 0.689927
1503.5, 0.692653
1508.5, 0.695988
1513.5, 0.695777
1518.5, 0.699377
1523.5, 0.701675
1528.5, 0.702948
1534.0, 0.704051
1540.0, 0.707356
1546.0, 0.708904
1552.0, 0.709139
1558.0, 0.715152
1564.0, 0.716136
1570.5, 0.718036
1577.5, 0.718715
1584.5, 0.721641
1591.5, 0.724188
1598.5, 0.724137
1605.5, 0.727075
1612.5, 0.728774
1619.5, 0.730104
1626.5, 0.731422
1633.5, 0.733882
1640.5, 0.735093
1647.5, 0.735700
1654.5, 0.738999
1661.5, 0.739712
1668.5, 0.742299
1676.0, 0.744353
1684.0, 0.744480
1692.0, 0.749309
1700.0, 0.748280
1708.0, 0.754607
1716.0, 0.749573
1724.0, 0.753408
1732.0, 0.751869
1740.0, 0.755321
1748.0, 0.756492
1756.0, 0.758072
1764.0, 0.755939
1772.0, 0.760430
1780.0, 0.758660
1788.0, 0.761691
1796.0, 0.763416
1805.0, 0.760739
1815.0, 0.763424
1825.0, 0.763497
1835.0, 0.764518
1845.0, 0.762111
1855.0, 0.758934
1865.0, 0.758210
1875.0, 0.751094
1885.0, 0.730894
1895.0, 0.716782
1905.0, 0.695299
1915.0, 0.684180
1925.0, 0.682681
1935.0, 0.690666
1945.0, 0.698095
1955.0, 0.703491
1965.0, 0.709372
1975.0, 0.719004
1985.0, 0.724586
1995.0, 0.728205
