Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:14:51.727923

Data ID,USGS_nac01          
Sample ID, nacrite_gds88.15578
Mineral Name, nacrite
Material Class,Phyllosilicate

Wavelength
221.1, 0.350228
229.1, 0.370128
236.1, 0.378277
242.1, 0.388502
248.1, 0.396281
253.6, 0.405435
258.6, 0.417556
263.6, 0.431795
268.6, 0.443419
273.1, 0.458863
277.1, 0.473211
281.1, 0.485936
285.1, 0.499954
289.1, 0.515288
293.1, 0.521326
297.1, 0.535604
301.1, 0.532472
305.1, 0.540892
309.1, 0.547669
313.1, 0.553362
317.1, 0.561151
321.1, 0.566317
325.1, 0.571368
329.1, 0.575024
333.1, 0.579187
337.1, 0.582137
341.1, 0.586304
345.1, 0.588364
349.1, 0.591130
353.1, 0.595399
357.1, 0.599142
360.6, 0.603681
363.6, 0.609980
366.6, 0.617626
369.6, 0.629674
372.6, 0.640791
375.6, 0.655259
378.6, 0.669904
381.1, 0.683392
383.1, 0.690361
385.1, 0.696913
387.1, 0.702963
389.1, 0.704826
391.1, 0.709598
393.1, 0.712430
395.1, 0.714529
397.1, 0.716471
399.1, 0.717814
401.1, 0.721527
403.1, 0.723540
405.1, 0.723471
407.1, 0.724514
409.1, 0.726235
411.1, 0.727980
412.8, 0.728574
415.8, 0.730856
418.8, 0.732275
421.8, 0.733959
424.8, 0.736705
427.8, 0.739001
430.8, 0.741077
433.8, 0.743917
436.8, 0.746876
439.8, 0.748884
442.8, 0.752426
445.8, 0.754673
448.8, 0.757480
451.3, 0.761021
453.3, 0.761905
455.3, 0.765068
457.3, 0.764784
459.3, 0.766187
461.3, 0.767278
463.3, 0.768003
465.3, 0.768865
467.3, 0.769008
469.3, 0.771937
471.3, 0.771904
473.3, 0.771490
475.3, 0.775900
477.3, 0.773808
479.3, 0.774709
481.3, 0.776792
483.3, 0.777653
485.3, 0.779037
487.3, 0.778500
489.3, 0.779109
491.3, 0.781165
493.3, 0.780813
495.3, 0.781513
497.3, 0.783266
499.3, 0.783810
501.3, 0.784444
503.3, 0.786352
505.3, 0.787755
507.3, 0.787154
509.3, 0.788791
511.3, 0.789193
513.3, 0.789851
515.3, 0.791620
517.3, 0.791868
519.3, 0.793162
521.3, 0.793561
523.3, 0.794095
525.3, 0.794190
527.3, 0.794365
529.3, 0.794760
531.3, 0.795754
533.3, 0.796474
535.3, 0.797107
537.3, 0.797027
539.3, 0.797738
541.3, 0.797728
543.3, 0.798163
545.3, 0.799556
547.3, 0.798850
549.3, 0.799100
551.3, 0.797517
553.3, 0.796402
555.3, 0.798237
557.3, 0.796857
559.3, 0.798769
561.3, 0.798638
563.3, 0.795810
565.3, 0.796314
567.3, 0.797972
569.3, 0.797357
571.3, 0.796220
573.3, 0.797807
575.3, 0.798744
577.3, 0.798542
579.3, 0.798197
581.3, 0.799088
583.3, 0.799660
585.3, 0.798573
587.3, 0.800703
589.3, 0.799772
591.3, 0.799759
593.3, 0.799665
595.3, 0.799213
597.3, 0.798308
599.3, 0.799298
601.1, 0.799187
602.7, 0.799217
604.3, 0.799578
605.9, 0.799475
607.5, 0.800579
609.1, 0.800999
610.7, 0.800653
612.3, 0.800932
613.9, 0.800114
615.5, 0.801465
617.1, 0.801085
618.7, 0.801830
620.3, 0.802108
621.9, 0.803166
623.5, 0.803635
625.1, 0.804648
626.7, 0.804620
628.3, 0.804795
629.9, 0.806711
631.7, 0.805868
633.7, 0.805430
635.7, 0.805407
637.7, 0.807675
639.7, 0.808224
641.7, 0.808841
643.7, 0.808570
645.7, 0.809178
647.7, 0.810204
649.7, 0.810984
651.7, 0.811883
653.7, 0.811874
655.7, 0.813166
657.7, 0.814498
659.7, 0.813411
661.7, 0.814408
663.7, 0.816109
665.7, 0.815755
667.7, 0.816357
670.2, 0.815931
673.2, 0.817633
676.2, 0.818541
679.2, 0.819546
682.2, 0.818901
685.2, 0.820991
688.2, 0.821615
691.2, 0.822183
694.2, 0.824823
697.2, 0.825487
700.2, 0.825309
702.0, 0.825291
704.0, 0.826410
706.0, 0.826439
708.0, 0.827728
710.0, 0.827277
712.0, 0.828750
714.0, 0.830130
716.0, 0.829511
718.0, 0.830315
720.0, 0.829530
722.0, 0.830736
724.0, 0.829540
726.0, 0.831391
728.0, 0.831989
730.0, 0.833473
732.0, 0.831568
734.0, 0.832130
736.0, 0.833680
738.0, 0.833635
740.0, 0.834721
742.0, 0.833014
744.0, 0.835166
746.0, 0.836102
748.0, 0.835841
750.5, 0.835782
753.5, 0.837172
756.5, 0.836126
759.5, 0.838566
762.5, 0.839656
765.5, 0.837614
768.5, 0.839656
771.5, 0.840062
774.5, 0.841026
777.5, 0.841277
781.0, 0.842068
785.0, 0.842674
789.0, 0.843873
793.0, 0.842725
797.0, 0.842600
801.5, 0.844184
806.5, 0.845396
811.5, 0.843739
816.5, 0.843658
822.0, 0.846546
828.0, 0.845967
835.0, 0.847097
843.0, 0.847194
851.0, 0.849891
859.0, 0.849507
871.0, 0.846512
883.0, 0.847259
894.0, 0.849608
904.0, 0.847932
914.0, 0.845562
924.0, 0.846620
933.0, 0.844441
941.0, 0.838335
949.0, 0.831240
957.0, 0.838925
964.0, 0.825579
970.0, 0.831364
976.0, 0.839155
982.0, 0.845269
988.0, 0.846927
994.0, 0.847230
1000.0, 0.849154
1006.0, 0.849150
1012.0, 0.846927
1018.0, 0.846304
1023.5, 0.848419
1028.5, 0.847250
1033.5, 0.848640
1038.5, 0.847049
1043.5, 0.848142
1048.5, 0.848957
1053.5, 0.846567
1058.5, 0.847490
1063.5, 0.846780
1068.5, 0.845540
1073.5, 0.845722
1078.5, 0.844986
1083.5, 0.845826
1088.5, 0.846091
1093.5, 0.845104
1098.5, 0.844719
1103.5, 0.845241
1108.5, 0.844391
1113.5, 0.842518
1118.5, 0.843440
1123.5, 0.842941
1128.5, 0.843943
1133.5, 0.843039
1138.5, 0.842564
1143.5, 0.842251
1148.5, 0.841297
1153.5, 0.839506
1158.5, 0.840590
1163.5, 0.838932
1168.5, 0.839277
1173.5, 0.838337
1178.5, 0.839480
1183.5, 0.838219
1188.5, 0.839274
1193.5, 0.837607
1198.5, 0.836357
1203.5, 0.835382
1208.5, 0.833919
1213.5, 0.833611
1218.5, 0.830638
1223.5, 0.830843
1228.5, 0.827265
1233.5, 0.825340
1238.5, 0.819871
1243.5, 0.820902
1248.5, 0.819665
1253.5, 0.821667
1258.5, 0.820503
1263.5, 0.822235
1268.5, 0.822896
1273.5, 0.821487
1278.5, 0.817571
1283.5, 0.814676
1288.5, 0.807878
1293.5, 0.804205
1298.5, 0.796419
1303.5, 0.784111
1308.5, 0.776931
1313.5, 0.782769
1318.5, 0.780757
1323.5, 0.780668
1328.5, 0.778389
1333.5, 0.779279
1338.5, 0.776478
1343.5, 0.771916
1348.5, 0.765466
1353.5, 0.753766
1358.5, 0.736605
1363.5, 0.718939
1368.5, 0.712611
1373.5, 0.680667
1378.5, 0.623013
1383.5, 0.555158
1388.5, 0.598678
1393.5, 0.669375
1398.5, 0.697048
1403.5, 0.691551
1408.5, 0.606166
1413.5, 0.491675
1418.5, 0.543948
1423.5, 0.641009
1428.5, 0.734513
1433.5, 0.769316
1438.5, 0.786173
1443.5, 0.791581
1448.5, 0.798044
1453.5, 0.803605
1458.5, 0.809878
1463.5, 0.811346
1468.5, 0.810116
1473.5, 0.812727
1478.5, 0.814430
1483.5, 0.814293
1488.5, 0.815071
1493.5, 0.816557
1498.5, 0.815231
1503.5, 0.815804
1508.5, 0.816176
1513.5, 0.816469
1518.5, 0.817358
1523.5, 0.817890
1528.5, 0.820068
1534.0, 0.818725
1540.0, 0.817523
1546.0, 0.817229
1552.0, 0.816621
1558.0, 0.817167
1564.0, 0.819393
1570.5, 0.817276
1577.5, 0.816275
1584.5, 0.816807
1591.5, 0.818020
1598.5, 0.816372
1605.5, 0.815369
1612.5, 0.815973
1619.5, 0.815098
1626.5, 0.815295
1633.5, 0.815641
1640.5, 0.813613
1647.5, 0.813280
1654.5, 0.812905
1661.5, 0.812909
1668.5, 0.813070
1676.0, 0.809768
1684.0, 0.808830
1692.0, 0.813282
1700.0, 0.809594
1708.0, 0.809826
1716.0, 0.806596
1724.0, 0.806115
1732.0, 0.802674
1740.0, 0.797779
1748.0, 0.797351
1756.0, 0.798460
1764.0, 0.795189
1772.0, 0.787358
1780.0, 0.782693
1788.0, 0.777067
1796.0, 0.772963
1805.0, 0.771276
1815.0, 0.768742
1825.0, 0.765703
1835.0, 0.765178
1845.0, 0.771133
1855.0, 0.781227
1865.0, 0.781520
1875.0, 0.778721
1885.0, 0.772935
1895.0, 0.760364
1905.0, 0.745663
1915.0, 0.741092
1925.0, 0.738854
1935.0, 0.737077
1945.0, 0.736049
1955.0, 0.737941
1965.0, 0.741692
1975.0, 0.742221
1985.0, 0.742970
1995.0, 0.741312
2005.0, 0.741256
2015.0, 0.742067
2025.0, 0.736424
2035.0, 0.732614
2045.0, 0.725989
2055.0, 0.717808
2065.0, 0.710703
2075.0, 0.703884
2085.0, 0.689144
2095.0, 0.680645
2105.0, 0.665959
2115.0, 0.651507
2125.0, 0.652652
2135.0, 0.625221
2145.0, 0.578064
2155.0, 0.545043
2165.0, 0.498477
2175.0, 0.431718
2185.0, 0.411520
2195.0, 0.455455
2205.0, 0.386124
2215.0, 0.477273
2225.0, 0.571825
2235.0, 0.602586
2245.0, 0.608485
2255.0, 0.580129
2265.0, 0.586367
2275.0, 0.583583
2285.0, 0.568245
2295.0, 0.529879
2305.0, 0.511775
2315.0, 0.509522
2325.0, 0.512749
2335.0, 0.509536
2345.0, 0.478827
2355.0, 0.457089
2365.0, 0.461892
2375.0, 0.443102
2386.0, 0.421767
2400.0, 0.442084
2418.0, 0.454646
2440.0, 0.433586
2466.0, 0.416906
2496.0, 0.382103
2528.0, 0.349144
2560.0, 0.314001
2592.0, 0.237049
2624.0, 0.218932
2656.0, 0.193645
2688.0, 0.0903110
2720.0, 0.0301240
2752.0, 0.0209890
2784.0, 0.0897630
2816.0, 0.149270
