Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:16:13.842898

Data ID,USGS_nep03          
Sample ID, nephrite_hs296.15827
Mineral Name, nephrite
Material Class,Inosilicate

Wavelength
221.1, 0.0794090
229.1, 0.0893660
236.1, 0.0952040
242.1, 0.0961790
248.1, 0.0927680
253.6, 0.0904600
258.6, 0.0887680
263.6, 0.0913960
268.6, 0.0941500
273.1, 0.102853
277.1, 0.108620
281.1, 0.120675
285.1, 0.130325
289.1, 0.143671
293.1, 0.154993
297.1, 0.165217
301.1, 0.178918
305.1, 0.193523
309.1, 0.202807
313.1, 0.213545
317.1, 0.223979
321.1, 0.230678
325.1, 0.234216
329.1, 0.239853
333.1, 0.243226
337.1, 0.247491
341.1, 0.250679
345.1, 0.253989
349.1, 0.259692
353.1, 0.266731
357.1, 0.273563
360.6, 0.279927
363.6, 0.282271
366.6, 0.283935
369.6, 0.286277
372.6, 0.287229
375.6, 0.288710
378.6, 0.291041
381.1, 0.292612
383.1, 0.291487
385.1, 0.291375
387.1, 0.292935
389.1, 0.292684
391.1, 0.295096
393.1, 0.296890
395.1, 0.300425
397.1, 0.301380
399.1, 0.299517
401.1, 0.301291
403.1, 0.303059
405.1, 0.302765
407.1, 0.303970
409.1, 0.303238
411.1, 0.302287
412.8, 0.306531
415.8, 0.305988
418.8, 0.308302
421.8, 0.311960
424.8, 0.312812
427.8, 0.315877
430.8, 0.317146
433.8, 0.317839
436.8, 0.320734
439.8, 0.324018
442.8, 0.324174
445.8, 0.323849
448.8, 0.321990
451.3, 0.328198
453.3, 0.327562
455.3, 0.331631
457.3, 0.331451
459.3, 0.333612
461.3, 0.334564
463.3, 0.336362
465.3, 0.340271
467.3, 0.342493
469.3, 0.344129
471.3, 0.345692
473.3, 0.351429
475.3, 0.350451
477.3, 0.355601
479.3, 0.354815
481.3, 0.359525
483.3, 0.361497
485.3, 0.361701
487.3, 0.363851
489.3, 0.364425
491.3, 0.367319
493.3, 0.367486
495.3, 0.367169
497.3, 0.369476
499.3, 0.370834
501.3, 0.374387
503.3, 0.375495
505.3, 0.374571
507.3, 0.374350
509.3, 0.379623
511.3, 0.378099
513.3, 0.380939
515.3, 0.379907
517.3, 0.379766
519.3, 0.382107
521.3, 0.379622
523.3, 0.377490
525.3, 0.379205
527.3, 0.374339
529.3, 0.377260
531.3, 0.378240
533.3, 0.377553
535.3, 0.377496
537.3, 0.375483
539.3, 0.376679
541.3, 0.377917
543.3, 0.375227
545.3, 0.376428
547.3, 0.373312
549.3, 0.375497
551.3, 0.376113
553.3, 0.375078
555.3, 0.372395
557.3, 0.374016
559.3, 0.374081
561.3, 0.370677
563.3, 0.372019
565.3, 0.371767
567.3, 0.369965
569.3, 0.368294
571.3, 0.369004
573.3, 0.368919
575.3, 0.368982
577.3, 0.367102
579.3, 0.366097
581.3, 0.362440
583.3, 0.363662
585.3, 0.360326
587.3, 0.361124
589.3, 0.360704
591.3, 0.362033
593.3, 0.360438
595.3, 0.358167
597.3, 0.358584
