Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:16:53.667705

Data ID,USGS_nit01          
Sample ID, niter_gds43.15935
Mineral Name, niter
Material Class,Nitrate

Wavelength
213.1, 0.0162330
221.1, 0.0206410
229.1, 0.0207870
236.1, 0.0188260
242.1, 0.0185380
248.1, 0.0195060
253.6, 0.0297090
258.6, 0.0776260
263.6, 0.149727
268.6, 0.156775
273.1, 0.119099
277.1, 0.0848360
281.1, 0.0605100
285.1, 0.0441120
289.1, 0.0344280
293.1, 0.0283350
297.1, 0.0255080
301.1, 0.0223170
305.1, 0.0233720
309.1, 0.0241460
313.1, 0.0293330
317.1, 0.0384540
321.1, 0.0580910
325.1, 0.104330
329.1, 0.172198
333.1, 0.252581
337.1, 0.358420
341.1, 0.481095
345.1, 0.590577
349.1, 0.675395
353.1, 0.736010
357.1, 0.773433
360.6, 0.793796
363.6, 0.804220
366.6, 0.809748
369.6, 0.813103
372.6, 0.816073
375.6, 0.817227
378.6, 0.818849
381.1, 0.820630
383.1, 0.819787
385.1, 0.820216
387.1, 0.820697
389.1, 0.821372
391.1, 0.820753
393.1, 0.821056
395.1, 0.820355
397.1, 0.821155
399.1, 0.822065
401.1, 0.820884
403.1, 0.820620
405.1, 0.823056
407.1, 0.824141
409.1, 0.822053
411.1, 0.823574
412.8, 0.822215
415.8, 0.822378
418.8, 0.821523
421.8, 0.823550
424.8, 0.822127
427.8, 0.824059
430.8, 0.825927
433.8, 0.826460
436.8, 0.828040
439.8, 0.829104
442.8, 0.828952
445.8, 0.830696
448.8, 0.830090
451.3, 0.830108
453.3, 0.830903
455.3, 0.832041
457.3, 0.832811
459.3, 0.834119
461.3, 0.833588
463.3, 0.835097
465.3, 0.834899
467.3, 0.834302
469.3, 0.835470
471.3, 0.835661
473.3, 0.836432
475.3, 0.836016
477.3, 0.836987
479.3, 0.836874
481.3, 0.837294
483.3, 0.837623
485.3, 0.837349
487.3, 0.838406
489.3, 0.837568
491.3, 0.839131
493.3, 0.838952
495.3, 0.839302
497.3, 0.838303
499.3, 0.840578
501.3, 0.838968
503.3, 0.839455
505.3, 0.837978
507.3, 0.840975
509.3, 0.840761
511.3, 0.840407
513.3, 0.839661
515.3, 0.839981
517.3, 0.839977
519.3, 0.839655
521.3, 0.842210
523.3, 0.842301
525.3, 0.840345
527.3, 0.841796
529.3, 0.841059
531.3, 0.840503
533.3, 0.841461
535.3, 0.841469
537.3, 0.841060
539.3, 0.840548
541.3, 0.840427
543.3, 0.841329
545.3, 0.841596
547.3, 0.840976
549.3, 0.840245
551.3, 0.839054
553.3, 0.840857
555.3, 0.841426
557.3, 0.841076
559.3, 0.841221
561.3, 0.838784
563.3, 0.838615
565.3, 0.839784
567.3, 0.839770
569.3, 0.840475
571.3, 0.840031
573.3, 0.839614
575.3, 0.840080
577.3, 0.840840
579.3, 0.841311
581.3, 0.842739
583.3, 0.842676
585.3, 0.841167
587.3, 0.842689
589.3, 0.842397
591.3, 0.842231
593.3, 0.842973
595.3, 0.840866
597.3, 0.841376
599.3, 0.840325
601.1, 0.839677
602.7, 0.840507
604.3, 0.840739
605.9, 0.838827
607.5, 0.839154
609.1, 0.839412
610.7, 0.838011
612.3, 0.838878
613.9, 0.840035
615.5, 0.839563
617.1, 0.837277
618.7, 0.838295
620.3, 0.839094
621.9, 0.841042
623.5, 0.838780
625.1, 0.839842
626.7, 0.841534
628.3, 0.840899
629.9, 0.840321
631.7, 0.840397
633.7, 0.841352
635.7, 0.841854
637.7, 0.842174
639.7, 0.842500
641.7, 0.842261
643.7, 0.841243
645.7, 0.841921
647.7, 0.842138
649.7, 0.842320
651.7, 0.844271
653.7, 0.843805
655.7, 0.845414
657.7, 0.844066
659.7, 0.842645
661.7, 0.844399
663.7, 0.843841
665.7, 0.844137
667.7, 0.843926
670.2, 0.843003
673.2, 0.843449
676.2, 0.844301
679.2, 0.844102
682.2, 0.844059
685.2, 0.845063
688.2, 0.844044
691.2, 0.843995
694.2, 0.845027
697.2, 0.844635
700.2, 0.847033
702.0, 0.846607
704.0, 0.846803
706.0, 0.846984
708.0, 0.847783
710.0, 0.846919
712.0, 0.847286
714.0, 0.847444
716.0, 0.847629
718.0, 0.847519
720.0, 0.849926
722.0, 0.847944
724.0, 0.847051
726.0, 0.846959
728.0, 0.846296
730.0, 0.847814
732.0, 0.847413
734.0, 0.848094
736.0, 0.850227
738.0, 0.847270
740.0, 0.848642
742.0, 0.847537
744.0, 0.848783
746.0, 0.847762
748.0, 0.849472
750.5, 0.847976
753.5, 0.848463
756.5, 0.849443
759.5, 0.847132
762.5, 0.849812
765.5, 0.847495
768.5, 0.851169
771.5, 0.849494
774.5, 0.850177
777.5, 0.850094
781.0, 0.849291
785.0, 0.851904
789.0, 0.849828
793.0, 0.849415
797.0, 0.850960
801.5, 0.848715
806.5, 0.850447
811.5, 0.850227
816.5, 0.848407
822.0, 0.847975
828.0, 0.847138
835.0, 0.846468
843.0, 0.845838
851.0, 0.847424
859.0, 0.847727
871.0, 0.846602
883.0, 0.847059
894.0, 0.845844
904.0, 0.845976
914.0, 0.847894
924.0, 0.846805
933.0, 0.846137
941.0, 0.846799
949.0, 0.846148
957.0, 0.846957
964.0, 0.849502
970.0, 0.847216
976.0, 0.847849
982.0, 0.849162
988.0, 0.847643
994.0, 0.848137
1000.0, 0.849876
1006.0, 0.850071
1012.0, 0.850935
1018.0, 0.847681
1023.5, 0.849199
1028.5, 0.849908
1033.5, 0.850123
1038.5, 0.850579
1043.5, 0.850002
1048.5, 0.849860
1053.5, 0.850523
1058.5, 0.852534
1063.5, 0.850987
1068.5, 0.850901
1073.5, 0.852758
1078.5, 0.851092
1083.5, 0.849814
1088.5, 0.852244
1093.5, 0.851933
1098.5, 0.852031
1103.5, 0.851665
1108.5, 0.851872
1113.5, 0.851775
1118.5, 0.851249
1123.5, 0.853081
1128.5, 0.852058
1133.5, 0.851682
1138.5, 0.853025
1143.5, 0.852427
1148.5, 0.852378
1153.5, 0.851920
1158.5, 0.852574
1163.5, 0.851198
1168.5, 0.852635
1173.5, 0.851699
1178.5, 0.852468
1183.5, 0.852322
1188.5, 0.854345
1193.5, 0.852729
1198.5, 0.850986
1203.5, 0.851822
1208.5, 0.850615
1213.5, 0.851622
1218.5, 0.852215
1223.5, 0.850955
1228.5, 0.852349
1233.5, 0.852291
1238.5, 0.852894
1243.5, 0.851551
1248.5, 0.853781
1253.5, 0.852019
1258.5, 0.852546
1263.5, 0.854160
1268.5, 0.853595
1273.5, 0.853900
1278.5, 0.853215
1283.5, 0.852488
1288.5, 0.852452
1293.5, 0.852758
1298.5, 0.851448
1303.5, 0.851973
1308.5, 0.853541
1313.5, 0.851656
1318.5, 0.851712
1323.5, 0.853006
1328.5, 0.851663
1333.5, 0.851952
1338.5, 0.853000
1343.5, 0.851957
1348.5, 0.851535
1353.5, 0.851751
1358.5, 0.853691
1363.5, 0.852995
1368.5, 0.853909
1373.5, 0.852906
1378.5, 0.851987
1383.5, 0.850697
1388.5, 0.850797
1393.5, 0.849627
1398.5, 0.849773
1403.5, 0.851532
1408.5, 0.851720
1413.5, 0.850131
1418.5, 0.849203
1423.5, 0.847889
1428.5, 0.848292
1433.5, 0.847521
1438.5, 0.848295
1443.5, 0.848677
1448.5, 0.849261
1453.5, 0.847949
1458.5, 0.847936
1463.5, 0.849190
1468.5, 0.846534
1473.5, 0.845711
1478.5, 0.848869
1483.5, 0.848653
1488.5, 0.850130
1493.5, 0.848501
1498.5, 0.849274
1503.5, 0.850168
1508.5, 0.851674
1513.5, 0.851702
1518.5, 0.851182
1523.5, 0.854598
1528.5, 0.849403
1534.0, 0.851467
1540.0, 0.847610
1546.0, 0.849070
1552.0, 0.847161
1558.0, 0.849412
1564.0, 0.849476
1570.5, 0.852742
1577.5, 0.854981
1584.5, 0.853700
1591.5, 0.854764
1598.5, 0.854885
1605.5, 0.855420
1612.5, 0.853049
1619.5, 0.852435
1626.5, 0.850908
1633.5, 0.851719
1640.5, 0.849719
1647.5, 0.845016
1654.5, 0.848462
1661.5, 0.855923
1668.5, 0.853116
1676.0, 0.855077
1684.0, 0.852963
1692.0, 0.855644
1700.0, 0.854882
1708.0, 0.853216
1716.0, 0.847779
1724.0, 0.844792
1732.0, 0.835135
1740.0, 0.841451
1748.0, 0.848875
1756.0, 0.851676
1764.0, 0.847604
1772.0, 0.846020
1780.0, 0.844168
1788.0, 0.846146
1796.0, 0.839268
1805.0, 0.829523
1815.0, 0.821105
1825.0, 0.814004
1835.0, 0.807930
1845.0, 0.812320
1855.0, 0.820325
1865.0, 0.831503
1875.0, 0.842780
1885.0, 0.843210
1895.0, 0.836692
1905.0, 0.826452
1915.0, 0.811772
1925.0, 0.795353
1935.0, 0.779414
1945.0, 0.765833
1955.0, 0.763171
1965.0, 0.747088
1975.0, 0.721970
1985.0, 0.757676
1995.0, 0.801082
2005.0, 0.818328
2015.0, 0.827788
2025.0, 0.827905
2035.0, 0.826979
2045.0, 0.822114
2055.0, 0.804989
2065.0, 0.789495
2075.0, 0.778571
2085.0, 0.762413
2095.0, 0.725869
2105.0, 0.727410
2115.0, 0.784390
2125.0, 0.826971
2135.0, 0.841252
2145.0, 0.846288
2155.0, 0.848008
2165.0, 0.845921
2175.0, 0.844983
2185.0, 0.837785
2195.0, 0.820491
2205.0, 0.801666
2215.0, 0.791657
2225.0, 0.787535
2235.0, 0.772316
2245.0, 0.713477
2255.0, 0.667785
2265.0, 0.734574
2275.0, 0.790661
2285.0, 0.802601
2295.0, 0.798163
2305.0, 0.786529
2315.0, 0.770714
2325.0, 0.771515
2335.0, 0.758130
2345.0, 0.731436
2355.0, 0.695788
2365.0, 0.671543
2375.0, 0.641172
2386.0, 0.604513
2400.0, 0.566435
2418.0, 0.492071
2440.0, 0.451980
2466.0, 0.392479
2496.0, 0.571776
2528.0, 0.692956
2560.0, 0.659185
2592.0, 0.535933
2624.0, 0.390878
2656.0, 0.306395
2688.0, 0.352125
2720.0, 0.599970
2752.0, 0.523252
2784.0, 0.433891
2816.0, 0.372280
2848.0, 0.301829
2880.0, 0.273903
2912.0, 0.174525
2944.0, 0.222094
2976.0, 0.308241
