Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:17:24.564561

Data ID,USGS_non05          
Sample ID, nontronite_swa1.16109
Mineral Name, nontronite
Material Class,Phyllosilicate

Wavelength
258.6, 0.0358530
263.6, 0.0406060
268.6, 0.0351310
273.1, 0.0349790
277.1, 0.0345850
281.1, 0.0364740
285.1, 0.0344120
289.1, 0.0348090
293.1, 0.0358550
297.1, 0.0337000
301.1, 0.0372420
305.1, 0.0411250
309.1, 0.0406570
313.1, 0.0356800
317.1, 0.0387240
321.1, 0.0389740
325.1, 0.0352750
329.1, 0.0379010
333.1, 0.0354130
337.1, 0.0358000
341.1, 0.0380190
345.1, 0.0355630
349.1, 0.0397370
353.1, 0.0407310
357.1, 0.0454270
360.6, 0.0445860
363.6, 0.0452240
366.6, 0.0456700
369.6, 0.0470300
372.6, 0.0487790
375.6, 0.0490030
378.6, 0.0503760
381.1, 0.0536260
383.1, 0.0529500
385.1, 0.0543400
387.1, 0.0564610
389.1, 0.0575630
391.1, 0.0606440
393.1, 0.0617450
395.1, 0.0668550
397.1, 0.0662850
399.1, 0.0673520
401.1, 0.0691020
403.1, 0.0728020
405.1, 0.0727390
407.1, 0.0761680
409.1, 0.0758390
411.1, 0.0768370
412.8, 0.0788950
415.8, 0.0802860
418.8, 0.0833220
421.8, 0.0839460
424.8, 0.0860110
427.8, 0.0873590
430.8, 0.0883650
433.8, 0.0903510
436.8, 0.0905690
439.8, 0.0928970
442.8, 0.0944140
445.8, 0.0976280
448.8, 0.0988150
451.3, 0.103204
453.3, 0.103884
455.3, 0.107724
457.3, 0.108391
459.3, 0.113903
461.3, 0.113640
463.3, 0.117459
465.3, 0.121125
467.3, 0.125792
469.3, 0.127952
471.3, 0.133104
473.3, 0.138013
475.3, 0.141919
477.3, 0.145500
479.3, 0.148447
481.3, 0.151376
483.3, 0.153209
485.3, 0.156474
487.3, 0.159481
489.3, 0.158194
491.3, 0.165005
493.3, 0.163539
495.3, 0.165592
497.3, 0.167369
499.3, 0.167735
501.3, 0.170316
503.3, 0.171470
505.3, 0.171982
507.3, 0.177390
509.3, 0.179326
511.3, 0.182861
513.3, 0.186145
515.3, 0.186693
517.3, 0.187120
519.3, 0.190259
521.3, 0.192200
523.3, 0.195947
525.3, 0.200225
527.3, 0.205193
529.3, 0.208471
531.3, 0.212944
533.3, 0.216689
535.3, 0.217335
537.3, 0.224115
539.3, 0.229840
541.3, 0.232857
543.3, 0.235057
545.3, 0.236330
547.3, 0.239362
549.3, 0.244124
551.3, 0.246937
553.3, 0.248952
555.3, 0.253901
557.3, 0.257376
559.3, 0.258803
561.3, 0.266471
563.3, 0.264654
565.3, 0.266267
567.3, 0.268481
569.3, 0.271001
571.3, 0.273004
573.3, 0.274399
575.3, 0.278881
577.3, 0.280109
579.3, 0.278466
581.3, 0.280264
583.3, 0.281647
585.3, 0.281562
587.3, 0.282713
589.3, 0.284770
591.3, 0.284378
593.3, 0.284206
595.3, 0.284956
597.3, 0.284991
599.3, 0.282799
601.1, 0.284344
602.7, 0.284748
604.3, 0.283550
605.9, 0.282916
607.5, 0.286911
609.1, 0.283795
610.7, 0.283550
612.3, 0.288366
613.9, 0.285741
615.5, 0.285030
617.1, 0.284538
618.7, 0.282262
620.3, 0.284918
621.9, 0.283979
623.5, 0.288032
625.1, 0.284394
626.7, 0.284161
628.3, 0.285964
629.9, 0.286210
631.7, 0.285687
633.7, 0.286458
635.7, 0.288343
637.7, 0.287933
639.7, 0.291171
641.7, 0.286845
643.7, 0.290254
645.7, 0.289110
647.7, 0.293641
649.7, 0.292218
651.7, 0.293394
653.7, 0.295265
655.7, 0.296114
657.7, 0.301351
659.7, 0.298881
661.7, 0.299818
663.7, 0.304502
665.7, 0.303444
667.7, 0.307676
670.2, 0.309688
673.2, 0.314610
676.2, 0.317161
679.2, 0.321118
682.2, 0.325486
685.2, 0.328951
688.2, 0.332241
691.2, 0.340117
694.2, 0.341565
697.2, 0.348455
700.2, 0.351671
702.0, 0.355526
704.0, 0.359419
706.0, 0.364753
708.0, 0.367101
710.0, 0.369066
712.0, 0.368526
714.0, 0.375206
716.0, 0.377204
718.0, 0.378470
720.0, 0.384042
722.0, 0.387323
724.0, 0.391101
726.0, 0.394306
728.0, 0.392143
730.0, 0.399164
732.0, 0.400724
734.0, 0.404464
736.0, 0.406550
738.0, 0.407605
740.0, 0.414967
742.0, 0.413710
744.0, 0.416197
746.0, 0.419243
748.0, 0.420844
750.5, 0.421761
753.5, 0.426476
756.5, 0.430513
759.5, 0.429313
762.5, 0.430763
765.5, 0.431333
768.5, 0.441807
771.5, 0.441228
774.5, 0.439160
777.5, 0.445390
781.0, 0.447278
785.0, 0.443327
789.0, 0.444492
793.0, 0.447501
797.0, 0.445283
801.5, 0.448220
806.5, 0.450446
811.5, 0.448357
816.5, 0.450258
822.0, 0.448113
828.0, 0.447527
835.0, 0.447871
843.0, 0.441393
851.0, 0.447529
859.0, 0.444087
871.0, 0.440714
883.0, 0.436869
894.0, 0.433795
904.0, 0.436886
914.0, 0.432763
924.0, 0.433233
933.0, 0.432076
941.0, 0.433622
949.0, 0.434257
957.0, 0.434066
964.0, 0.435656
970.0, 0.439810
976.0, 0.440970
982.0, 0.440812
988.0, 0.446437
994.0, 0.451398
1000.0, 0.454969
1006.0, 0.456316
1012.0, 0.461515
1018.0, 0.461784
1023.5, 0.467251
1028.5, 0.467827
1033.5, 0.475694
1038.5, 0.478064
1043.5, 0.482349
1048.5, 0.488623
1053.5, 0.490384
1058.5, 0.492882
1063.5, 0.499754
1068.5, 0.503736
1073.5, 0.508473
1078.5, 0.513566
1083.5, 0.516484
1088.5, 0.522345
1093.5, 0.526588
1098.5, 0.531459
1103.5, 0.537111
1108.5, 0.539349
1113.5, 0.545738
1118.5, 0.548897
1123.5, 0.549312
1128.5, 0.555378
1133.5, 0.558204
1138.5, 0.560952
1143.5, 0.562942
1148.5, 0.561963
1153.5, 0.563946
1158.5, 0.566806
1163.5, 0.571339
1168.5, 0.577160
1173.5, 0.580296
1178.5, 0.585538
1183.5, 0.584496
1188.5, 0.588026
1193.5, 0.594225
1198.5, 0.595176
1203.5, 0.595511
1208.5, 0.603741
1213.5, 0.603010
1218.5, 0.605918
1223.5, 0.611720
1228.5, 0.612041
1233.5, 0.612559
1238.5, 0.612921
1243.5, 0.617790
1248.5, 0.620483
1253.5, 0.622015
1258.5, 0.622699
1263.5, 0.625718
1268.5, 0.625182
1273.5, 0.627487
1278.5, 0.630166
1283.5, 0.630650
1288.5, 0.630810
1293.5, 0.632665
1298.5, 0.630663
1303.5, 0.629404
1308.5, 0.630356
1313.5, 0.626414
