Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:21:47.847993

Data ID,USGS_pal01          
Sample ID, palygorskite_cm46.17404
Mineral Name, palygorskite
Material Class,Phyllosilicate

Wavelength
229.1, 0.0701200
236.1, 0.0834560
242.1, 0.0717660
248.1, 0.0753990
253.6, 0.0647270
258.6, 0.0638470
263.6, 0.0664490
268.6, 0.0670450
273.1, 0.0737870
277.1, 0.0771000
281.1, 0.0891540
285.1, 0.0867740
289.1, 0.0928200
293.1, 0.0982120
297.1, 0.108440
301.1, 0.114820
305.1, 0.135438
309.1, 0.127667
313.1, 0.141643
317.1, 0.144048
321.1, 0.153856
325.1, 0.160331
329.1, 0.167575
333.1, 0.177497
337.1, 0.186142
341.1, 0.195979
345.1, 0.206474
349.1, 0.211922
353.1, 0.221736
357.1, 0.229440
360.6, 0.235044
363.6, 0.239467
366.6, 0.244494
369.6, 0.250312
372.6, 0.258763
375.6, 0.267447
378.6, 0.279662
381.1, 0.284511
383.1, 0.291281
385.1, 0.297208
387.1, 0.302153
389.1, 0.308540
391.1, 0.314400
393.1, 0.317898
395.1, 0.322992
397.1, 0.326597
399.1, 0.329947
401.1, 0.333134
403.1, 0.336963
405.1, 0.339974
407.1, 0.344418
409.1, 0.347455
411.1, 0.353643
412.8, 0.355310
415.8, 0.361075
418.8, 0.365780
421.8, 0.371195
424.8, 0.378353
427.8, 0.377832
430.8, 0.383467
433.8, 0.386639
436.8, 0.391435
439.8, 0.395114
442.8, 0.398107
445.8, 0.401705
448.8, 0.406250
451.3, 0.410310
453.3, 0.412726
455.3, 0.416240
457.3, 0.418313
459.3, 0.425164
461.3, 0.425520
463.3, 0.427472
465.3, 0.431889
467.3, 0.431663
469.3, 0.434018
471.3, 0.439033
473.3, 0.437926
475.3, 0.441639
477.3, 0.440993
479.3, 0.445696
481.3, 0.443794
483.3, 0.446752
485.3, 0.447124
487.3, 0.449433
489.3, 0.450648
491.3, 0.451402
493.3, 0.453680
495.3, 0.455033
497.3, 0.455744
499.3, 0.456328
501.3, 0.459644
503.3, 0.460871
505.3, 0.461174
507.3, 0.463166
509.3, 0.465518
511.3, 0.466949
513.3, 0.468477
515.3, 0.470997
517.3, 0.472709
519.3, 0.473884
521.3, 0.476711
523.3, 0.478831
525.3, 0.480463
527.3, 0.483032
529.3, 0.486343
531.3, 0.488966
533.3, 0.489982
535.3, 0.495428
537.3, 0.493808
539.3, 0.496688
541.3, 0.498016
543.3, 0.500573
545.3, 0.500281
547.3, 0.501415
549.3, 0.503858
551.3, 0.504987
553.3, 0.505203
555.3, 0.507828
557.3, 0.507935
559.3, 0.510214
561.3, 0.511943
563.3, 0.511769
565.3, 0.513388
567.3, 0.513974
569.3, 0.514711
571.3, 0.514636
573.3, 0.515571
575.3, 0.514920
577.3, 0.516019
579.3, 0.515555
581.3, 0.518719
583.3, 0.516102
585.3, 0.519345
587.3, 0.516286
589.3, 0.517839
591.3, 0.517678
593.3, 0.518648
595.3, 0.517620
597.3, 0.517451
599.3, 0.516956
601.1, 0.518479
602.7, 0.519953
604.3, 0.517361
605.9, 0.517292
607.5, 0.517063
609.1, 0.517353
610.7, 0.516059
612.3, 0.516306
613.9, 0.517056
615.5, 0.517584
617.1, 0.517176
618.7, 0.517363
620.3, 0.516494
621.9, 0.517158
623.5, 0.516698
625.1, 0.517941
626.7, 0.516084
628.3, 0.516936
629.9, 0.516144
631.7, 0.517369
633.7, 0.516058
635.7, 0.517513
637.7, 0.516806
639.7, 0.516440
641.7, 0.518625
643.7, 0.516158
645.7, 0.517145
647.7, 0.517212
649.7, 0.516403
651.7, 0.517143
653.7, 0.517347
655.7, 0.517151
657.7, 0.517934
659.7, 0.517576
661.7, 0.518452
663.7, 0.518811
665.7, 0.518777
667.7, 0.517900
670.2, 0.519852
673.2, 0.519374
676.2, 0.519163
679.2, 0.519904
682.2, 0.521881
685.2, 0.521513
688.2, 0.522100
691.2, 0.521775
694.2, 0.523076
697.2, 0.524499
700.2, 0.523723
702.0, 0.524364
704.0, 0.525376
706.0, 0.524791
708.0, 0.527945
710.0, 0.524553
712.0, 0.524275
714.0, 0.525694
716.0, 0.526320
718.0, 0.527239
720.0, 0.525400
722.0, 0.526634
724.0, 0.526799
726.0, 0.527258
728.0, 0.527082
730.0, 0.527516
732.0, 0.527749
734.0, 0.527370
736.0, 0.528531
738.0, 0.529813
740.0, 0.529608
742.0, 0.529286
744.0, 0.530718
746.0, 0.530455
748.0, 0.531275
750.5, 0.532513
753.5, 0.532602
756.5, 0.536371
759.5, 0.533819
762.5, 0.536127
765.5, 0.535244
768.5, 0.535002
771.5, 0.536760
774.5, 0.537146
777.5, 0.539014
781.0, 0.539625
785.0, 0.540832
789.0, 0.544942
793.0, 0.541855
797.0, 0.541579
801.5, 0.544008
806.5, 0.545087
811.5, 0.543332
816.5, 0.546087
822.0, 0.550355
828.0, 0.545523
835.0, 0.544161
843.0, 0.548063
851.0, 0.548178
859.0, 0.547790
871.0, 0.542215
883.0, 0.540692
894.0, 0.536596
904.0, 0.535872
914.0, 0.533173
924.0, 0.534367
933.0, 0.535115
941.0, 0.531014
949.0, 0.529920
957.0, 0.527276
964.0, 0.527156
970.0, 0.528886
976.0, 0.525337
982.0, 0.526789
988.0, 0.527577
994.0, 0.525272
1000.0, 0.526026
1006.0, 0.523471
1012.0, 0.528581
1018.0, 0.524711
1023.5, 0.524832
1028.5, 0.525806
1033.5, 0.524745
1038.5, 0.524466
1043.5, 0.525569
1048.5, 0.525747
1053.5, 0.523791
1058.5, 0.521325
1063.5, 0.522619
1068.5, 0.522010
1073.5, 0.522739
1078.5, 0.519965
1083.5, 0.520289
1088.5, 0.518989
1093.5, 0.517209
1098.5, 0.518268
1103.5, 0.521016
1108.5, 0.517036
1113.5, 0.516537
1118.5, 0.517501
1123.5, 0.515962
1128.5, 0.515547
1133.5, 0.516094
1138.5, 0.517581
1143.5, 0.515467
1148.5, 0.517046
1153.5, 0.512077
1158.5, 0.513222
1163.5, 0.512224
1168.5, 0.512806
1173.5, 0.514949
1178.5, 0.516034
1183.5, 0.520430
1188.5, 0.517167
1193.5, 0.516928
1198.5, 0.515223
1203.5, 0.519597
1208.5, 0.519381
1213.5, 0.519062
1218.5, 0.517938
1223.5, 0.519978
1228.5, 0.522220
1233.5, 0.523574
1238.5, 0.523188
