Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:22:00.517567

Data ID,USGS_par01          
Sample ID, paragonite_gds109.17429
Mineral Name, paragonite
Material Class,Phyllosilicate

Wavelength
221.1, 0.0546440
229.1, 0.0570010
236.1, 0.0576550
242.1, 0.0575050
248.1, 0.0581360
253.6, 0.0592700
258.6, 0.0616490
263.6, 0.0641390
268.6, 0.0681440
273.1, 0.0736620
277.1, 0.0793670
281.1, 0.0864300
285.1, 0.0954300
289.1, 0.105392
293.1, 0.118249
297.1, 0.132010
301.1, 0.147675
305.1, 0.164755
309.1, 0.182686
313.1, 0.201221
317.1, 0.217354
321.1, 0.234562
325.1, 0.247981
329.1, 0.261295
333.1, 0.272012
337.1, 0.281821
341.1, 0.289777
345.1, 0.297354
349.1, 0.303263
353.1, 0.309382
357.1, 0.314003
360.6, 0.316591
363.6, 0.318255
366.6, 0.318795
369.6, 0.319723
372.6, 0.320406
375.6, 0.321171
378.6, 0.322438
381.1, 0.324206
383.1, 0.323969
385.1, 0.323549
387.1, 0.324499
389.1, 0.323222
391.1, 0.322877
393.1, 0.322286
395.1, 0.319760
397.1, 0.319029
399.1, 0.319128
401.1, 0.317079
403.1, 0.316883
405.1, 0.316109
407.1, 0.316666
409.1, 0.317453
411.1, 0.317419
412.8, 0.317189
415.8, 0.315945
418.8, 0.315653
421.8, 0.314442
424.8, 0.315251
427.8, 0.318068
430.8, 0.324134
433.8, 0.334015
436.8, 0.343837
439.8, 0.358077
442.8, 0.371828
445.8, 0.387434
448.8, 0.402872
451.3, 0.414555
453.3, 0.423502
455.3, 0.431426
457.3, 0.438778
459.3, 0.445774
461.3, 0.451140
463.3, 0.455759
465.3, 0.460502
467.3, 0.464621
469.3, 0.468153
471.3, 0.470589
473.3, 0.474328
475.3, 0.476775
477.3, 0.478932
479.3, 0.480731
481.3, 0.483867
483.3, 0.487706
485.3, 0.489518
487.3, 0.492001
489.3, 0.494433
491.3, 0.496721
493.3, 0.498523
495.3, 0.500848
497.3, 0.504708
499.3, 0.505924
501.3, 0.509891
503.3, 0.510828
505.3, 0.515110
507.3, 0.515028
509.3, 0.518504
511.3, 0.521444
513.3, 0.524119
515.3, 0.526938
517.3, 0.528845
519.3, 0.530651
521.3, 0.534915
523.3, 0.536745
525.3, 0.538804
527.3, 0.539965
529.3, 0.544291
531.3, 0.544718
533.3, 0.547720
535.3, 0.550710
537.3, 0.551210
539.3, 0.553579
541.3, 0.557018
543.3, 0.558529
545.3, 0.560518
547.3, 0.563011
549.3, 0.564657
551.3, 0.566384
553.3, 0.568360
555.3, 0.571758
557.3, 0.573246
559.3, 0.575435
561.3, 0.579452
563.3, 0.580705
565.3, 0.582700
567.3, 0.585910
569.3, 0.585442
571.3, 0.587134
573.3, 0.589774
575.3, 0.590795
577.3, 0.592149
579.3, 0.592696
581.3, 0.595274
583.3, 0.596124
585.3, 0.597749
587.3, 0.598832
589.3, 0.600201
591.3, 0.601904
593.3, 0.603320
595.3, 0.605718
597.3, 0.606095
599.3, 0.607825
601.1, 0.608105
602.7, 0.609713
604.3, 0.611033
605.9, 0.612504
607.5, 0.613171
609.1, 0.612892
610.7, 0.614955
612.3, 0.615279
613.9, 0.616138
615.5, 0.616806
617.1, 0.618531
618.7, 0.619911
620.3, 0.619663
621.9, 0.620842
623.5, 0.621783
625.1, 0.622138
626.7, 0.623837
628.3, 0.624091
629.9, 0.624988
631.7, 0.626666
633.7, 0.627020
635.7, 0.627623
637.7, 0.628618
639.7, 0.630642
641.7, 0.630504
643.7, 0.631845
