Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:22:56.796997

Data ID,USGS_pec03          
Sample ID, pectolite_nmnh94865.17501
Mineral Name, pectolite
Material Class,Inosilicate

Wavelength
221.1, 0.204838
229.1, 0.207103
236.1, 0.212191
242.1, 0.217251
248.1, 0.224637
253.6, 0.227710
258.6, 0.229789
263.6, 0.230489
268.6, 0.234104
273.1, 0.237112
277.1, 0.239982
281.1, 0.245404
285.1, 0.252160
289.1, 0.259469
293.1, 0.267767
297.1, 0.275296
301.1, 0.283101
305.1, 0.293231
309.1, 0.302059
313.1, 0.311958
317.1, 0.323608
321.1, 0.336520
325.1, 0.351703
329.1, 0.366569
333.1, 0.385090
337.1, 0.401278
341.1, 0.418542
345.1, 0.438055
349.1, 0.455684
353.1, 0.476324
357.1, 0.491990
360.6, 0.508340
363.6, 0.520566
366.6, 0.535028
369.6, 0.546162
372.6, 0.557326
375.6, 0.570173
378.6, 0.580298
381.1, 0.586696
383.1, 0.594060
385.1, 0.603761
387.1, 0.606303
389.1, 0.612647
391.1, 0.617838
393.1, 0.620938
395.1, 0.627840
397.1, 0.633356
399.1, 0.635632
401.1, 0.641274
403.1, 0.643612
405.1, 0.648594
407.1, 0.650039
409.1, 0.653807
411.1, 0.654664
412.8, 0.659797
415.8, 0.663680
418.8, 0.667250
421.8, 0.670369
424.8, 0.673921
427.8, 0.676314
430.8, 0.679453
433.8, 0.681232
436.8, 0.683654
439.8, 0.687404
442.8, 0.689188
445.8, 0.690980
448.8, 0.693469
451.3, 0.696582
453.3, 0.696789
455.3, 0.700272
457.3, 0.701339
459.3, 0.700651
461.3, 0.701402
463.3, 0.703268
465.3, 0.703635
467.3, 0.706106
469.3, 0.705972
471.3, 0.707669
473.3, 0.707677
475.3, 0.709368
477.3, 0.710777
479.3, 0.710382
481.3, 0.712521
483.3, 0.713019
485.3, 0.715457
487.3, 0.715478
489.3, 0.716669
491.3, 0.716765
493.3, 0.719113
495.3, 0.720290
497.3, 0.720875
499.3, 0.721531
501.3, 0.722801
503.3, 0.723137
505.3, 0.723850
507.3, 0.725715
509.3, 0.727578
511.3, 0.726906
513.3, 0.726688
515.3, 0.729315
517.3, 0.729323
519.3, 0.729146
521.3, 0.732439
523.3, 0.732216
525.3, 0.734074
527.3, 0.733407
529.3, 0.733897
531.3, 0.737341
533.3, 0.737655
535.3, 0.738825
537.3, 0.740701
539.3, 0.740045
541.3, 0.741449
543.3, 0.741352
545.3, 0.741901
547.3, 0.741948
549.3, 0.742039
551.3, 0.742772
553.3, 0.744133
555.3, 0.744290
557.3, 0.744138
559.3, 0.744306
561.3, 0.743556
563.3, 0.745814
565.3, 0.746358
567.3, 0.746577
569.3, 0.746357
571.3, 0.749085
573.3, 0.748902
575.3, 0.749433
577.3, 0.750481
579.3, 0.750841
581.3, 0.752042
583.3, 0.753279
585.3, 0.753953
587.3, 0.753279
589.3, 0.752446
591.3, 0.753984
593.3, 0.754005
595.3, 0.755319
597.3, 0.753433
599.3, 0.756180
601.1, 0.752916
602.7, 0.755022
604.3, 0.755695
605.9, 0.754028
607.5, 0.755498
609.1, 0.754127
610.7, 0.754818
612.3, 0.755558
613.9, 0.755240
615.5, 0.755674
617.1, 0.755848
618.7, 0.755850
620.3, 0.755980
621.9, 0.757226
623.5, 0.757137
625.1, 0.756745
626.7, 0.757949
628.3, 0.758571
629.9, 0.758392
631.7, 0.759776
633.7, 0.757367
635.7, 0.758614
637.7, 0.759280
639.7, 0.760649
641.7, 0.759674
643.7, 0.762387
645.7, 0.761501
647.7, 0.760105
649.7, 0.761371
651.7, 0.761361
653.7, 0.761346
655.7, 0.762575
657.7, 0.763090
659.7, 0.763085
661.7, 0.763074
663.7, 0.764327
665.7, 0.765506
667.7, 0.762803
670.2, 0.762803
673.2, 0.764619
676.2, 0.765751
679.2, 0.765594
682.2, 0.767404
685.2, 0.766502
688.2, 0.766162
691.2, 0.767208
694.2, 0.767595
697.2, 0.767447
700.2, 0.768730
702.0, 0.769892
704.0, 0.769072
706.0, 0.770293
708.0, 0.772072
710.0, 0.771761
712.0, 0.770362
714.0, 0.770215
716.0, 0.773251
718.0, 0.770578
720.0, 0.771131
722.0, 0.771369
724.0, 0.771885
726.0, 0.771735
728.0, 0.772676
730.0, 0.773899
732.0, 0.773802
734.0, 0.775570
736.0, 0.773294
738.0, 0.773952
740.0, 0.772388
742.0, 0.773489
744.0, 0.774642
746.0, 0.776609
748.0, 0.777901
750.5, 0.775563
753.5, 0.775992
756.5, 0.776558
759.5, 0.776215
762.5, 0.776755
765.5, 0.778466
768.5, 0.777015
771.5, 0.779383
774.5, 0.780557
777.5, 0.780401
781.0, 0.777932
785.0, 0.779741
789.0, 0.779437
793.0, 0.780247
797.0, 0.779376
801.5, 0.781848
806.5, 0.780452
811.5, 0.781435
816.5, 0.780810
822.0, 0.780931
828.0, 0.778158
835.0, 0.777375
843.0, 0.776440
851.0, 0.778997
859.0, 0.783968
871.0, 0.779706
883.0, 0.777801
894.0, 0.782094
904.0, 0.780086
914.0, 0.775393
924.0, 0.776100
933.0, 0.780401
941.0, 0.777090
949.0, 0.775409
957.0, 0.781036
964.0, 0.775600
970.0, 0.775604
976.0, 0.777737
982.0, 0.778422
988.0, 0.776667
994.0, 0.775790
1000.0, 0.777113
1006.0, 0.776342
1012.0, 0.776013
1018.0, 0.778466
1023.5, 0.776047
1028.5, 0.776909
1033.5, 0.778259
1038.5, 0.777331
1043.5, 0.778872
1048.5, 0.777907
1053.5, 0.777811
1058.5, 0.779172
1063.5, 0.777474
1068.5, 0.777667
1073.5, 0.776864
1078.5, 0.778179
1083.5, 0.776397
1088.5, 0.778733
1093.5, 0.776354
1098.5, 0.775621
1103.5, 0.774110
1108.5, 0.775301
1113.5, 0.776943
1118.5, 0.776014
1123.5, 0.776441
1128.5, 0.776529
1133.5, 0.776496
1138.5, 0.778987
1143.5, 0.776759
1148.5, 0.775704
1153.5, 0.775940
1158.5, 0.779214
1163.5, 0.777326
1168.5, 0.777109
1173.5, 0.775850
1178.5, 0.776732
1183.5, 0.778198
1188.5, 0.778717
1193.5, 0.777714
1198.5, 0.778746
1203.5, 0.778221
1208.5, 0.778609
1213.5, 0.780325
1218.5, 0.779816
1223.5, 0.779739
1228.5, 0.780327
1233.5, 0.779587
1238.5, 0.782631
1243.5, 0.782551
1248.5, 0.781518
1253.5, 0.782607
1258.5, 0.784298
1263.5, 0.783192
1268.5, 0.785941
1273.5, 0.784877
1278.5, 0.785869
1283.5, 0.784121
1288.5, 0.785447
1293.5, 0.786776
1298.5, 0.787634
1303.5, 0.785901
1308.5, 0.788611
1313.5, 0.787103
1318.5, 0.789228
1323.5, 0.786786
1328.5, 0.787467
1333.5, 0.788920
1338.5, 0.789599
1343.5, 0.786960
1348.5, 0.789516
1353.5, 0.789160
1358.5, 0.787681
1363.5, 0.789091
1368.5, 0.786071
1373.5, 0.788865
1378.5, 0.789064
1383.5, 0.791354
1388.5, 0.787428
1393.5, 0.788935
1398.5, 0.786861
1403.5, 0.790710
1408.5, 0.789891
1413.5, 0.787763
1418.5, 0.787433
1423.5, 0.789148
