Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:24:53.865045

Data ID,USGS_pin01          
Sample ID, pinnoite_nmnh123943.17898
Mineral Name, pinnoite
Material Class,Borate

Wavelength
213.1, 0.474212
221.1, 0.512977
229.1, 0.540839
236.1, 0.557874
242.1, 0.565717
248.1, 0.575321
253.6, 0.582625
258.6, 0.583786
263.6, 0.575590
268.6, 0.557820
273.1, 0.546820
277.1, 0.555744
281.1, 0.576106
285.1, 0.600192
289.1, 0.619620
293.1, 0.633337
297.1, 0.644331
301.1, 0.654437
305.1, 0.662296
309.1, 0.669243
313.1, 0.675733
317.1, 0.681953
321.1, 0.689011
325.1, 0.694910
329.1, 0.700066
333.1, 0.705524
337.1, 0.710675
341.1, 0.715649
345.1, 0.720756
349.1, 0.722103
353.1, 0.726735
357.1, 0.732038
360.6, 0.734586
363.6, 0.737403
366.6, 0.738704
369.6, 0.741080
372.6, 0.742992
375.6, 0.744518
378.6, 0.746985
381.1, 0.748960
383.1, 0.750227
385.1, 0.750713
387.1, 0.753748
389.1, 0.754563
391.1, 0.755085
393.1, 0.756702
395.1, 0.757894
397.1, 0.759238
399.1, 0.759934
401.1, 0.761442
403.1, 0.761432
405.1, 0.763164
407.1, 0.764268
409.1, 0.764787
411.1, 0.767311
412.8, 0.766761
415.8, 0.767388
418.8, 0.768117
421.8, 0.769425
424.8, 0.773106
427.8, 0.772786
430.8, 0.775126
433.8, 0.776726
436.8, 0.779733
439.8, 0.781625
442.8, 0.783599
445.8, 0.784723
448.8, 0.787718
451.3, 0.789892
453.3, 0.790905
455.3, 0.792467
457.3, 0.792912
459.3, 0.794202
461.3, 0.794280
463.3, 0.796684
465.3, 0.796275
467.3, 0.797792
469.3, 0.798111
471.3, 0.799084
473.3, 0.800078
475.3, 0.799731
477.3, 0.800903
479.3, 0.802020
481.3, 0.802526
483.3, 0.803614
485.3, 0.804863
487.3, 0.804337
489.3, 0.805908
491.3, 0.806424
493.3, 0.807586
495.3, 0.807905
497.3, 0.807838
499.3, 0.809213
501.3, 0.811569
503.3, 0.811205
505.3, 0.812172
507.3, 0.813025
509.3, 0.813494
511.3, 0.812691
513.3, 0.812960
515.3, 0.815103
517.3, 0.816235
519.3, 0.816331
521.3, 0.817585
523.3, 0.817808
525.3, 0.818933
527.3, 0.819205
529.3, 0.820579
531.3, 0.820197
533.3, 0.820067
535.3, 0.820714
537.3, 0.822052
539.3, 0.822649
541.3, 0.822625
543.3, 0.823545
545.3, 0.824060
547.3, 0.824446
549.3, 0.823756
551.3, 0.824741
553.3, 0.826024
555.3, 0.825445
557.3, 0.826958
559.3, 0.824370
561.3, 0.822940
563.3, 0.823274
565.3, 0.824916
567.3, 0.824456
569.3, 0.824822
571.3, 0.825896
573.3, 0.826627
575.3, 0.827459
577.3, 0.827449
579.3, 0.829139
581.3, 0.829771
583.3, 0.828766
585.3, 0.829718
587.3, 0.830168
589.3, 0.830124
591.3, 0.830491
593.3, 0.830367
595.3, 0.829538
597.3, 0.829850
599.3, 0.829243
601.1, 0.828601
602.7, 0.830134
604.3, 0.828389
605.9, 0.829312
607.5, 0.827861
609.1, 0.828715
610.7, 0.829122
612.3, 0.827533
613.9, 0.827376
615.5, 0.828063
617.1, 0.828780
618.7, 0.828053
620.3, 0.829168
621.9, 0.828632
623.5, 0.829705
625.1, 0.829778
626.7, 0.830344
628.3, 0.831293
629.9, 0.831201
631.7, 0.833255
633.7, 0.831967
635.7, 0.833078
637.7, 0.833310
639.7, 0.833248
641.7, 0.834004
643.7, 0.833957
645.7, 0.834496
647.7, 0.834647
649.7, 0.834742
651.7, 0.835717
653.7, 0.836081
655.7, 0.835249
657.7, 0.835556
659.7, 0.836478
661.7, 0.835950
663.7, 0.837830
665.7, 0.836832
667.7, 0.836512
670.2, 0.838167
673.2, 0.837377
676.2, 0.837884
679.2, 0.838274
682.2, 0.838714
685.2, 0.838434
688.2, 0.839133
691.2, 0.839396
694.2, 0.839782
697.2, 0.838525
700.2, 0.842103
702.0, 0.841170
704.0, 0.842026
706.0, 0.842884
708.0, 0.842153
710.0, 0.841583
712.0, 0.842297
714.0, 0.843428
716.0, 0.842978
718.0, 0.840971
720.0, 0.842837
722.0, 0.842859
724.0, 0.842595
726.0, 0.842739
728.0, 0.841602
730.0, 0.842582
732.0, 0.842414
734.0, 0.843352
736.0, 0.842623
738.0, 0.842752
740.0, 0.842683
742.0, 0.841723
744.0, 0.842040
746.0, 0.842213
748.0, 0.842257
750.5, 0.840324
753.5, 0.840018
756.5, 0.839561
759.5, 0.840385
762.5, 0.840366
765.5, 0.841423
768.5, 0.843010
771.5, 0.843071
774.5, 0.843186
777.5, 0.842716
781.0, 0.842687
785.0, 0.841786
789.0, 0.844381
793.0, 0.843672
797.0, 0.843598
801.5, 0.841447
806.5, 0.842219
811.5, 0.842319
816.5, 0.842493
822.0, 0.841387
828.0, 0.840235
835.0, 0.836635
843.0, 0.836586
851.0, 0.840760
859.0, 0.839767
871.0, 0.843617
883.0, 0.844358
894.0, 0.843021
904.0, 0.840859
914.0, 0.840518
924.0, 0.840136
933.0, 0.839690
941.0, 0.838032
949.0, 0.832835
957.0, 0.828645
964.0, 0.823639
970.0, 0.815090
976.0, 0.808285
982.0, 0.792851
988.0, 0.785512
994.0, 0.811767
1000.0, 0.824006
1006.0, 0.827822
1012.0, 0.828072
1018.0, 0.829278
1023.5, 0.829096
1028.5, 0.830498
1033.5, 0.832383
1038.5, 0.835066
1043.5, 0.832011
1048.5, 0.834189
1053.5, 0.832908
1058.5, 0.834452
1063.5, 0.832858
1068.5, 0.835241
1073.5, 0.834160
1078.5, 0.834511
1083.5, 0.834617
1088.5, 0.834339
1093.5, 0.833401
1098.5, 0.834241
1103.5, 0.833013
1108.5, 0.834655
1113.5, 0.835791
1118.5, 0.832856
1123.5, 0.834643
1128.5, 0.835763
1133.5, 0.833053
1138.5, 0.831895
1143.5, 0.831943
1148.5, 0.829496
1153.5, 0.827424
1158.5, 0.824660
1163.5, 0.823431
1168.5, 0.820840
1173.5, 0.820970
1178.5, 0.818654
1183.5, 0.818256
1188.5, 0.817484
1193.5, 0.815961
1198.5, 0.813419
1203.5, 0.808251
1208.5, 0.803588
1213.5, 0.802928
1218.5, 0.803109
1223.5, 0.798908
1228.5, 0.795538
1233.5, 0.790175
1238.5, 0.788114
1243.5, 0.786597
1248.5, 0.786070
1253.5, 0.785277
1258.5, 0.783063
1263.5, 0.779868
1268.5, 0.779754
1273.5, 0.778522
1278.5, 0.779530
1283.5, 0.782252
1288.5, 0.783533
1293.5, 0.784341
1298.5, 0.781591
1303.5, 0.781523
1308.5, 0.776806
