Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:25:04.940945

Data ID,USGS_pit01          
Sample ID, pitchlimon_gds104.17952
Mineral Name, pitchlimon
Material Class,Hydroxide

Wavelength
221.1, 0.00531900
229.1, 0.00852600
236.1, 0.0103160
242.1, 0.0102670
248.1, 0.0106270
253.6, 0.0102660
258.6, 0.0108020
263.6, 0.0101680
268.6, 0.0119250
273.1, 0.0108480
277.1, 0.0122990
281.1, 0.0110980
285.1, 0.0117310
289.1, 0.0142880
293.1, 0.0133980
297.1, 0.0139130
301.1, 0.0157100
305.1, 0.0166000
309.1, 0.0161910
313.1, 0.0181300
317.1, 0.0177490
321.1, 0.0180650
325.1, 0.0189500
329.1, 0.0212550
333.1, 0.0218920
337.1, 0.0234320
341.1, 0.0240740
345.1, 0.0250860
349.1, 0.0263230
353.1, 0.0282050
357.1, 0.0289860
360.6, 0.0313570
363.6, 0.0324180
366.6, 0.0345870
369.6, 0.0360080
372.6, 0.0373950
375.6, 0.0390280
378.6, 0.0409140
381.1, 0.0412370
383.1, 0.0424440
385.1, 0.0434180
387.1, 0.0451040
389.1, 0.0457670
391.1, 0.0465970
393.1, 0.0474840
395.1, 0.0489420
397.1, 0.0498360
399.1, 0.0501680
401.1, 0.0515680
403.1, 0.0523410
405.1, 0.0532930
407.1, 0.0544510
409.1, 0.0548140
411.1, 0.0560470
412.8, 0.0563410
415.8, 0.0582070
418.8, 0.0601670
421.8, 0.0609620
424.8, 0.0628070
427.8, 0.0641310
430.8, 0.0658390
433.8, 0.0670910
436.8, 0.0687310
439.8, 0.0700390
442.8, 0.0719360
445.8, 0.0725870
448.8, 0.0747260
451.3, 0.0752630
453.3, 0.0760460
455.3, 0.0772280
457.3, 0.0774780
459.3, 0.0787250
461.3, 0.0796200
463.3, 0.0787960
465.3, 0.0806250
467.3, 0.0811160
469.3, 0.0810940
471.3, 0.0811850
473.3, 0.0822020
475.3, 0.0828520
477.3, 0.0828620
479.3, 0.0841870
481.3, 0.0848210
483.3, 0.0860150
485.3, 0.0857900
487.3, 0.0866060
489.3, 0.0880910
491.3, 0.0893600
493.3, 0.0896770
495.3, 0.0902960
497.3, 0.0913800
499.3, 0.0934970
501.3, 0.0935020
503.3, 0.0951900
505.3, 0.0957570
507.3, 0.0982010
509.3, 0.0994800
511.3, 0.101008
513.3, 0.102727
515.3, 0.105069
517.3, 0.106660
519.3, 0.108569
521.3, 0.111087
523.3, 0.114099
525.3, 0.115077
527.3, 0.116368
529.3, 0.121150
531.3, 0.122195
533.3, 0.124979
535.3, 0.127461
537.3, 0.129009
539.3, 0.132654
541.3, 0.134373
543.3, 0.136844
545.3, 0.138335
547.3, 0.141768
549.3, 0.143489
551.3, 0.146580
553.3, 0.149069
555.3, 0.151738
557.3, 0.153711
559.3, 0.155529
561.3, 0.159048
563.3, 0.160827
565.3, 0.163448
567.3, 0.166285
569.3, 0.167378
571.3, 0.169937
573.3, 0.172186
575.3, 0.174422
577.3, 0.174927
579.3, 0.177380
581.3, 0.178937
583.3, 0.180542
585.3, 0.181325
587.3, 0.182660
589.3, 0.183559
