Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:30:24.908663

Data ID,USGS_pyr16          
Sample ID, pyrophyllite_su1421.18941
Mineral Name, pyrophyllite
Material Class,Phyllosilicate

Wavelength
242.1, 0.115832
248.1, 0.116381
253.6, 0.116729
258.6, 0.121520
263.6, 0.131523
268.6, 0.146359
273.1, 0.162223
277.1, 0.185499
281.1, 0.205670
285.1, 0.229364
289.1, 0.259269
293.1, 0.285432
297.1, 0.314664
301.1, 0.344760
305.1, 0.368975
309.1, 0.389520
313.1, 0.411627
317.1, 0.441327
321.1, 0.459272
325.1, 0.480813
329.1, 0.500993
333.1, 0.520419
337.1, 0.533387
341.1, 0.548444
345.1, 0.558456
349.1, 0.566859
353.1, 0.614456
357.1, 0.617997
360.6, 0.619342
363.6, 0.618651
366.6, 0.621731
369.6, 0.624815
372.6, 0.628351
375.6, 0.630122
378.6, 0.635560
381.1, 0.638587
383.1, 0.641790
385.1, 0.644636
387.1, 0.648024
389.1, 0.649803
391.1, 0.652985
393.1, 0.653375
395.1, 0.658418
397.1, 0.658063
399.1, 0.659808
401.1, 0.662977
403.1, 0.660460
405.1, 0.662460
407.1, 0.664667
409.1, 0.665024
411.1, 0.667718
412.8, 0.666733
415.8, 0.667538
418.8, 0.665930
421.8, 0.668120
424.8, 0.665154
427.8, 0.665590
430.8, 0.663530
433.8, 0.665137
436.8, 0.666463
439.8, 0.671480
442.8, 0.673699
445.8, 0.676631
448.8, 0.681898
451.3, 0.684401
453.3, 0.686926
455.3, 0.687408
457.3, 0.689500
459.3, 0.692250
461.3, 0.692184
463.3, 0.691292
465.3, 0.693789
467.3, 0.692917
469.3, 0.696222
471.3, 0.695994
473.3, 0.696601
475.3, 0.697803
477.3, 0.699492
479.3, 0.700108
481.3, 0.701491
483.3, 0.700213
485.3, 0.702541
487.3, 0.703145
489.3, 0.703169
491.3, 0.705078
493.3, 0.706326
495.3, 0.707504
497.3, 0.708062
