Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:33:58.376743

Data ID,USGS_riv01          
Sample ID, rivadavite_nmnh170164.19626
Mineral Name, rivadavite
Material Class,Borate

Wavelength
213.1, 0.443849
221.1, 0.466832
229.1, 0.484614
236.1, 0.497461
242.1, 0.503679
248.1, 0.507891
253.6, 0.512234
258.6, 0.515722
263.6, 0.517977
268.6, 0.522127
273.1, 0.526915
277.1, 0.530687
281.1, 0.535158
285.1, 0.541421
289.1, 0.548916
293.1, 0.556511
297.1, 0.562753
301.1, 0.565051
305.1, 0.569375
309.1, 0.573586
313.1, 0.580302
317.1, 0.584603
321.1, 0.590168
325.1, 0.596198
329.1, 0.599247
333.1, 0.604515
337.1, 0.610456
341.1, 0.613959
345.1, 0.619119
349.1, 0.621399
353.1, 0.626265
357.1, 0.631172
360.6, 0.635453
363.6, 0.636849
366.6, 0.639935
369.6, 0.641083
372.6, 0.644790
375.6, 0.645611
378.6, 0.647641
381.1, 0.651387
383.1, 0.650387
385.1, 0.652005
387.1, 0.653990
389.1, 0.654780
391.1, 0.656056
393.1, 0.656151
395.1, 0.657900
397.1, 0.659225
399.1, 0.659524
401.1, 0.661114
403.1, 0.661938
405.1, 0.663785
407.1, 0.664782
409.1, 0.666095
411.1, 0.668493
412.8, 0.667736
415.8, 0.668838
418.8, 0.669215
421.8, 0.670050
424.8, 0.672331
427.8, 0.673244
430.8, 0.674369
433.8, 0.675047
436.8, 0.677134
439.8, 0.677220
442.8, 0.679789
445.8, 0.679991
448.8, 0.682052
451.3, 0.683484
453.3, 0.683833
455.3, 0.685140
457.3, 0.686138
459.3, 0.685477
461.3, 0.686859
463.3, 0.688702
465.3, 0.688922
467.3, 0.688605
469.3, 0.690038
471.3, 0.690637
473.3, 0.692478
475.3, 0.691376
477.3, 0.693105
479.3, 0.694332
481.3, 0.694261
483.3, 0.695360
485.3, 0.696592
487.3, 0.696538
489.3, 0.697461
491.3, 0.698067
493.3, 0.698845
495.3, 0.699079
497.3, 0.698270
499.3, 0.700953
501.3, 0.703671
503.3, 0.703311
505.3, 0.703813
507.3, 0.704754
509.3, 0.705605
511.3, 0.706686
513.3, 0.706678
515.3, 0.707599
517.3, 0.709110
519.3, 0.708946
521.3, 0.710227
523.3, 0.710324
525.3, 0.712296
527.3, 0.711749
529.3, 0.713021
531.3, 0.714410
533.3, 0.717450
535.3, 0.716241
537.3, 0.717328
539.3, 0.718758
541.3, 0.719397
543.3, 0.720878
545.3, 0.722490
547.3, 0.724005
549.3, 0.724244
551.3, 0.725323
553.3, 0.727714
555.3, 0.727975
557.3, 0.729841
559.3, 0.731434
561.3, 0.734216
563.3, 0.736302
565.3, 0.736166
567.3, 0.739054
569.3, 0.740533
571.3, 0.741958
573.3, 0.743979
575.3, 0.745274
577.3, 0.746368
579.3, 0.747791
581.3, 0.749338
583.3, 0.751485
585.3, 0.751707
587.3, 0.752982
589.3, 0.754575
591.3, 0.755956
593.3, 0.756362
595.3, 0.758674
597.3, 0.757933
599.3, 0.757935
601.1, 0.759124
602.7, 0.758338
604.3, 0.759344
605.9, 0.759622
607.5, 0.760427
609.1, 0.761200
610.7, 0.761660
612.3, 0.761053
613.9, 0.760850
615.5, 0.762106
617.1, 0.762999
618.7, 0.761340
620.3, 0.762498
621.9, 0.761675
623.5, 0.763562
625.1, 0.762878
626.7, 0.765463
628.3, 0.763175
629.9, 0.764635
