Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-07-25 19:20:17.557705

Data ID,USGS_sid03          
Sample ID, siderophyllite_nmnh104998
Mineral Name, siderophyllite
Material Class,Phyllosilicate

Wavelength
205.1, 0.0112130
213.1, 0.0266690
221.1, 0.0324320
229.1, 0.0345870
236.1, 0.0367170
242.1, 0.0356490
248.1, 0.0360290
253.6, 0.0368540
258.6, 0.0372520
263.6, 0.0372750
268.6, 0.0376620
273.1, 0.0386990
281.1, 0.0355220
285.1, 0.0351200
289.1, 0.0343820
293.1, 0.0355890
297.1, 0.0356490
301.1, 0.0384740
305.1, 0.0399130
309.1, 0.0399540
313.1, 0.0406670
317.1, 0.0418440
321.1, 0.0421340
325.1, 0.0440940
329.1, 0.0439730
333.1, 0.0457530
337.1, 0.0466960
341.1, 0.0480730
345.1, 0.0496680
349.1, 0.0503320
353.1, 0.0520760
357.1, 0.0538320
360.6, 0.0549720
363.6, 0.0560790
366.6, 0.0573330
369.6, 0.0584300
372.6, 0.0597810
375.6, 0.0605990
378.6, 0.0626010
381.1, 0.0630570
383.1, 0.0637320
385.1, 0.0643360
387.1, 0.0656740
389.1, 0.0658850
391.1, 0.0671660
393.1, 0.0680740
395.1, 0.0680220
397.1, 0.0689160
399.1, 0.0696430
401.1, 0.0701830
403.1, 0.0708530
405.1, 0.0717960
407.1, 0.0723730
409.1, 0.0725390
411.1, 0.0734140
412.8, 0.0735310
415.8, 0.0747580
418.8, 0.0756480
421.8, 0.0772550
424.8, 0.0779450
427.8, 0.0795290
430.8, 0.0810040
433.8, 0.0823460
436.8, 0.0841180
439.8, 0.0856690
442.8, 0.0868850
445.8, 0.0882640
448.8, 0.0894680
451.3, 0.0910550
453.3, 0.0908060
455.3, 0.0925320
457.3, 0.0926590
459.3, 0.0925650
461.3, 0.0935710
463.3, 0.0947920
465.3, 0.0957530
467.3, 0.0957910
469.3, 0.0961870
471.3, 0.0970440
473.3, 0.0981550
475.3, 0.0988150
477.3, 0.0992400
479.3, 0.100277
481.3, 0.101004
483.3, 0.101381
485.3, 0.102718
487.3, 0.103905
489.3, 0.102952
491.3, 0.104313
493.3, 0.103967
495.3, 0.104773
497.3, 0.106043
499.3, 0.106304
501.3, 0.107051
503.3, 0.107892
505.3, 0.107439
507.3, 0.108575
509.3, 0.108372
511.3, 0.109625
513.3, 0.109767
515.3, 0.110991
517.3, 0.110917
519.3, 0.111528
521.3, 0.111550
523.3, 0.111510
525.3, 0.113044
527.3, 0.112951
529.3, 0.112744
531.3, 0.112682
533.3, 0.112695
535.3, 0.113516
537.3, 0.112401
539.3, 0.113278
541.3, 0.113527
543.3, 0.113801
545.3, 0.113290
547.3, 0.113685
549.3, 0.113622
551.3, 0.114534
553.3, 0.114916
555.3, 0.114038
557.3, 0.114030
559.3, 0.114051
561.3, 0.114311
563.3, 0.114194
565.3, 0.113465
567.3, 0.114279
569.3, 0.113490
571.3, 0.114127
573.3, 0.112885
575.3, 0.113158
577.3, 0.112376
579.3, 0.111925
581.3, 0.112504
583.3, 0.111355
585.3, 0.111921
587.3, 0.111600
589.3, 0.111670
591.3, 0.110771
593.3, 0.110104
595.3, 0.110442
597.3, 0.110816
599.3, 0.109998
601.1, 0.109841
602.7, 0.109781
604.3, 0.108513
605.9, 0.109386
607.5, 0.109787
609.1, 0.108036
610.7, 0.108370
612.3, 0.108823
613.9, 0.107473
615.5, 0.107551
617.1, 0.107870
618.7, 0.106746
620.3, 0.106721
621.9, 0.106818
623.5, 0.106230
625.1, 0.106216
626.7, 0.105324
628.3, 0.105466
629.9, 0.105090
631.7, 0.104754
633.7, 0.105046
635.7, 0.103987
637.7, 0.104201
639.7, 0.103640
641.7, 0.103057
643.7, 0.103662
645.7, 0.102453
647.7, 0.103022
649.7, 0.103197
651.7, 0.101838
653.7, 0.101387
655.7, 0.101496
657.7, 0.101488
659.7, 0.101038
661.7, 0.101066
663.7, 0.100886
665.7, 0.100827
667.7, 0.0999410
670.2, 0.100437
673.2, 0.0998330
676.2, 0.100022
679.2, 0.0991450
682.2, 0.0988000
685.2, 0.0987070
688.2, 0.0982940
691.2, 0.0985130
694.2, 0.0978980
697.2, 0.0983160
700.2, 0.0967560
702.0, 0.0971530
704.0, 0.0972290
706.0, 0.0973910
708.0, 0.0973760
710.0, 0.0971060
712.0, 0.0974430
714.0, 0.0971840
716.0, 0.0972740
718.0, 0.0969440
720.0, 0.0972880
722.0, 0.0970150
724.0, 0.0970490
726.0, 0.0975950
728.0, 0.0976070
730.0, 0.0974120
732.0, 0.0973370
734.0, 0.0977960
736.0, 0.0982580
738.0, 0.0979680
740.0, 0.0989970
742.0, 0.0983650
744.0, 0.0986170
746.0, 0.0985860
748.0, 0.0994880
750.5, 0.0990730
753.5, 0.0996740
756.5, 0.0993620
759.5, 0.0997240
762.5, 0.101079
765.5, 0.101200
768.5, 0.102245
771.5, 0.102289
774.5, 0.102815
777.5, 0.103340
781.0, 0.103747
785.0, 0.104265
789.0, 0.104800
793.0, 0.105147
797.0, 0.105437
801.5, 0.105669
806.5, 0.106893
811.5, 0.106417
816.5, 0.106775
822.0, 0.107125
828.0, 0.106685
835.0, 0.107007
843.0, 0.105887
851.0, 0.106270
859.0, 0.106877
871.0, 0.104726
883.0, 0.102036
894.0, 0.103694
904.0, 0.104423
914.0, 0.102226
924.0, 0.102655
933.0, 0.104071
941.0, 0.103933
949.0, 0.102082
957.0, 0.104382
964.0, 0.105723
970.0, 0.105038
976.0, 0.106013
982.0, 0.104769
988.0, 0.107381
994.0, 0.106562
1000.0, 0.106490
1006.0, 0.107716
1012.0, 0.107685
1018.0, 0.106751
1023.5, 0.109791
1028.5, 0.109071
1033.5, 0.109263
1038.5, 0.109265
1043.5, 0.108580
1048.5, 0.108707
1053.5, 0.107267
1058.5, 0.106882
1063.5, 0.108174
1068.5, 0.107322
1073.5, 0.109230
1078.5, 0.108613
1083.5, 0.108354
1088.5, 0.107092
1093.5, 0.107766
1098.5, 0.108347
1103.5, 0.107937
1108.5, 0.108198
1113.5, 0.108797
1118.5, 0.107539
1123.5, 0.108244
1128.5, 0.109701
1133.5, 0.108923
1138.5, 0.108273
1143.5, 0.109257
1148.5, 0.109742
1153.5, 0.107931
1158.5, 0.109594
1163.5, 0.109974
1168.5, 0.109590
1173.5, 0.111739
1178.5, 0.110457
1183.5, 0.111692
1188.5, 0.112699
1193.5, 0.113820
1198.5, 0.113545
1203.5, 0.114842
1208.5, 0.115403
1213.5, 0.116114
1218.5, 0.115781
1223.5, 0.117233
1228.5, 0.119006
1233.5, 0.118754
1238.5, 0.119236
1243.5, 0.119229
1248.5, 0.121472
1253.5, 0.121498
1258.5, 0.122033
1263.5, 0.123378
1268.5, 0.124474
1273.5, 0.126362
1278.5, 0.125837
1283.5, 0.129552
1288.5, 0.128356
1293.5, 0.129983
1298.5, 0.130231
1303.5, 0.132116
1308.5, 0.132977
1313.5, 0.133912
1318.5, 0.135072
1323.5, 0.136151
1328.5, 0.137741
1333.5, 0.139333
1338.5, 0.139443
1343.5, 0.141517
1348.5, 0.142552
