Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:38:14.248142

Data ID,USGS_sil01          
Sample ID, sillimanite_hs186.20572
Mineral Name, sillimanite
Material Class,Nesosilicate

Wavelength
221.1, 0.164007
229.1, 0.153016
236.1, 0.138895
242.1, 0.130139
248.1, 0.124821
253.6, 0.121195
258.6, 0.120278
263.6, 0.123038
268.6, 0.127005
273.1, 0.131408
277.1, 0.138101
281.1, 0.144505
285.1, 0.153522
289.1, 0.163497
293.1, 0.179323
297.1, 0.195989
301.1, 0.218097
305.1, 0.241719
309.1, 0.272366
313.1, 0.301252
317.1, 0.337530
321.1, 0.372112
325.1, 0.407807
329.1, 0.441463
333.1, 0.464549
337.1, 0.485287
341.1, 0.501066
345.1, 0.510038
349.1, 0.532431
353.1, 0.536459
357.1, 0.540333
360.6, 0.551089
363.6, 0.556939
366.6, 0.563055
369.6, 0.574449
372.6, 0.583740
375.6, 0.590987
378.6, 0.598604
381.1, 0.603355
383.1, 0.607589
385.1, 0.612926
387.1, 0.620085
389.1, 0.621505
391.1, 0.632180
393.1, 0.635067
395.1, 0.640401
397.1, 0.645770
399.1, 0.649081
401.1, 0.656711
403.1, 0.662040
405.1, 0.664618
407.1, 0.664810
409.1, 0.668255
411.1, 0.675229
412.8, 0.679580
415.8, 0.687350
418.8, 0.690895
421.8, 0.696202
424.8, 0.702753
427.8, 0.709885
430.8, 0.716591
433.8, 0.720053
436.8, 0.721505
439.8, 0.730186
442.8, 0.732571
445.8, 0.738445
448.8, 0.740521
451.3, 0.742949
453.3, 0.745410
455.3, 0.746983
457.3, 0.749197
459.3, 0.749114
461.3, 0.749949
463.3, 0.754265
465.3, 0.753893
467.3, 0.753966
469.3, 0.756203
471.3, 0.759706
473.3, 0.762208
475.3, 0.762036
477.3, 0.766509
479.3, 0.769223
481.3, 0.769414
483.3, 0.772617
485.3, 0.774366
487.3, 0.772582
489.3, 0.781107
491.3, 0.780106
493.3, 0.781811
495.3, 0.783949
497.3, 0.792100
499.3, 0.785123
501.3, 0.789985
503.3, 0.791891
505.3, 0.798999
507.3, 0.794663
509.3, 0.795283
511.3, 0.794349
513.3, 0.801584
515.3, 0.802394
517.3, 0.804289
519.3, 0.805411
521.3, 0.802864
523.3, 0.812139
525.3, 0.812865
527.3, 0.810918
529.3, 0.814466
531.3, 0.809312
533.3, 0.813702
535.3, 0.818424
537.3, 0.821459
539.3, 0.820947
541.3, 0.819535
543.3, 0.824017
545.3, 0.823076
547.3, 0.825156
549.3, 0.823582
551.3, 0.827565
553.3, 0.825264
555.3, 0.827022
557.3, 0.828809
559.3, 0.831499
561.3, 0.832771
563.3, 0.836543
565.3, 0.835011
567.3, 0.835548
569.3, 0.833071
571.3, 0.834887
573.3, 0.835084
575.3, 0.831499
577.3, 0.836406
579.3, 0.837087
581.3, 0.837011
583.3, 0.835835
585.3, 0.839287
587.3, 0.839395
589.3, 0.836952
591.3, 0.839645
593.3, 0.840241
595.3, 0.840555
597.3, 0.840518
599.3, 0.839249
601.1, 0.833726
602.7, 0.842104
604.3, 0.841062
605.9, 0.843199
607.5, 0.839751
609.1, 0.841398
610.7, 0.844180
612.3, 0.842838
613.9, 0.844426
615.5, 0.840168
617.1, 0.843548
618.7, 0.841513
620.3, 0.842094
621.9, 0.841289
623.5, 0.842644
625.1, 0.840305
626.7, 0.847544
628.3, 0.843899
629.9, 0.844229
631.7, 0.847584
633.7, 0.843688
635.7, 0.847210
637.7, 0.845818
639.7, 0.847468
641.7, 0.848482
643.7, 0.846253
645.7, 0.848585
647.7, 0.847996
649.7, 0.853056
651.7, 0.852040
653.7, 0.853863
655.7, 0.855109
657.7, 0.852710
