Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:40:04.370961

Data ID,USGS_sph04          
Sample ID, sphalerite_s102-8.21026
Mineral Name, sphalerite
Material Class,Sulfide

Wavelength
248.1, 0.0347500
253.6, 0.0312400
258.6, 0.0309260
263.6, 0.0344820
268.6, 0.0325070
273.1, 0.0331890
277.1, 0.0316490
281.1, 0.0319400
285.1, 0.0352500
289.1, 0.0307370
293.1, 0.0319060
297.1, 0.0305710
301.1, 0.0299210
305.1, 0.0314420
309.1, 0.0316400
313.1, 0.0330900
317.1, 0.0323220
321.1, 0.0332300
325.1, 0.0316620
329.1, 0.0322260
333.1, 0.0316630
337.1, 0.0327520
341.1, 0.0332650
345.1, 0.0331030
349.1, 0.0322220
353.1, 0.0365550
357.1, 0.0373790
360.6, 0.0390760
363.6, 0.0403870
366.6, 0.0415400
369.6, 0.0438770
372.6, 0.0442580
375.6, 0.0462740
378.6, 0.0472460
381.1, 0.0489680
383.1, 0.0493030
385.1, 0.0513360
387.1, 0.0515360
389.1, 0.0525850
391.1, 0.0533750
393.1, 0.0550070
395.1, 0.0569810
397.1, 0.0570160
399.1, 0.0581290
401.1, 0.0594190
403.1, 0.0599970
405.1, 0.0607560
407.1, 0.0619140
409.1, 0.0630730
411.1, 0.0638520
412.8, 0.0646850
415.8, 0.0653990
418.8, 0.0665610
421.8, 0.0680180
424.8, 0.0677250
427.8, 0.0690310
430.8, 0.0686310
433.8, 0.0685630
436.8, 0.0687210
439.8, 0.0691270
442.8, 0.0693270
445.8, 0.0703050
448.8, 0.0714580
451.3, 0.0708130
453.3, 0.0716860
455.3, 0.0727580
457.3, 0.0727780
459.3, 0.0729980
461.3, 0.0739260
463.3, 0.0745510
465.3, 0.0752420
467.3, 0.0761000
469.3, 0.0762950
471.3, 0.0771370
473.3, 0.0771100
475.3, 0.0782780
477.3, 0.0785020
479.3, 0.0800860
481.3, 0.0799370
483.3, 0.0809450
485.3, 0.0811110
487.3, 0.0827220
489.3, 0.0832760
491.3, 0.0841200
493.3, 0.0853330
495.3, 0.0855900
497.3, 0.0862420
499.3, 0.0873470
501.3, 0.0887290
503.3, 0.0897020
505.3, 0.0903770
507.3, 0.0915470
509.3, 0.0924690
511.3, 0.0936980
513.3, 0.0944840
515.3, 0.0962610
517.3, 0.0965340
519.3, 0.0977990
521.3, 0.100021
523.3, 0.100489
525.3, 0.101653
527.3, 0.102638
529.3, 0.104505
531.3, 0.106555
533.3, 0.106969
535.3, 0.108459
537.3, 0.109427
539.3, 0.111791
541.3, 0.112389
543.3, 0.114922
545.3, 0.115625
547.3, 0.117065
549.3, 0.118484
551.3, 0.119682
553.3, 0.121236
555.3, 0.122195
557.3, 0.124167
559.3, 0.124969
561.3, 0.126647
563.3, 0.128242
565.3, 0.129824
567.3, 0.131198
569.3, 0.132708
571.3, 0.133318
573.3, 0.135065
575.3, 0.135555
577.3, 0.137502
579.3, 0.138348
581.3, 0.140795
583.3, 0.142290
585.3, 0.143208
587.3, 0.144995
589.3, 0.144635
591.3, 0.145866
593.3, 0.147857
595.3, 0.150064
597.3, 0.150340
599.3, 0.151685
601.1, 0.151487
602.7, 0.153057
604.3, 0.154610
605.9, 0.154681
607.5, 0.155912
609.1, 0.157023
610.7, 0.157776
612.3, 0.158720
613.9, 0.159341
615.5, 0.159125
617.1, 0.159819
618.7, 0.160814
620.3, 0.160007
621.9, 0.161235
623.5, 0.161348
625.1, 0.162262
626.7, 0.161891
628.3, 0.162417
629.9, 0.162419
631.7, 0.163277
633.7, 0.163908
635.7, 0.164242
637.7, 0.164421
639.7, 0.164945
641.7, 0.166348
643.7, 0.166300
645.7, 0.166944
647.7, 0.167919
649.7, 0.168945
651.7, 0.170620
653.7, 0.169446
655.7, 0.170665
657.7, 0.170935
659.7, 0.172265
661.7, 0.173015
663.7, 0.173194
665.7, 0.174050
667.7, 0.174452
670.2, 0.174116
673.2, 0.175688
676.2, 0.176902
679.2, 0.178394
682.2, 0.179190
685.2, 0.179708
688.2, 0.181853
691.2, 0.181956
694.2, 0.183210
697.2, 0.184091
700.2, 0.185417
702.0, 0.185761
704.0, 0.185928
706.0, 0.186982
708.0, 0.188341
710.0, 0.189392
712.0, 0.189542
714.0, 0.191419
716.0, 0.190824
718.0, 0.192701
720.0, 0.193280
722.0, 0.194209
724.0, 0.194990
726.0, 0.195481
728.0, 0.196879
730.0, 0.197351
732.0, 0.199047
734.0, 0.200949
736.0, 0.201648
738.0, 0.203908
740.0, 0.206229
742.0, 0.207468
744.0, 0.209945
746.0, 0.212203
748.0, 0.213159
750.5, 0.216879
753.5, 0.219056
756.5, 0.221872
759.5, 0.224395
762.5, 0.226122
765.5, 0.228282
768.5, 0.230172
771.5, 0.231271
774.5, 0.232899
777.5, 0.234283
781.0, 0.235016
785.0, 0.236758
789.0, 0.237690
793.0, 0.239590
797.0, 0.239239
801.5, 0.240251
806.5, 0.241482
811.5, 0.241605
816.5, 0.242329
822.0, 0.242591
828.0, 0.243863
835.0, 0.243519
843.0, 0.245222
851.0, 0.247400
859.0, 0.247690
871.0, 0.252483
883.0, 0.254411
894.0, 0.258755
904.0, 0.256994
914.0, 0.261312
924.0, 0.263996
933.0, 0.266259
941.0, 0.267444
949.0, 0.266593
957.0, 0.267490
964.0, 0.268742
970.0, 0.269426
976.0, 0.268824
982.0, 0.269372
988.0, 0.270138
994.0, 0.271306
1000.0, 0.270819
1006.0, 0.272447
1012.0, 0.273070
1018.0, 0.271445
1023.5, 0.272434
1028.5, 0.270793
1033.5, 0.272614
1038.5, 0.273768
1043.5, 0.274465
1048.5, 0.272529
1053.5, 0.272909
1058.5, 0.272180
1063.5, 0.273937
1068.5, 0.274512
1073.5, 0.274296
1078.5, 0.273928
1083.5, 0.275609
1088.5, 0.275599
1093.5, 0.275576
1098.5, 0.275917
1103.5, 0.277162
1108.5, 0.276302
1113.5, 0.274980
1118.5, 0.275778
1123.5, 0.277311
1128.5, 0.277569
1133.5, 0.276245
1138.5, 0.277994
1143.5, 0.277480
1148.5, 0.277762
1153.5, 0.278705
1158.5, 0.279002
1163.5, 0.278851
1168.5, 0.279212
1173.5, 0.279485
1178.5, 0.278983
1183.5, 0.278877
1188.5, 0.281874
1193.5, 0.279914
1198.5, 0.280360
1203.5, 0.279931
1208.5, 0.280465
1213.5, 0.279970
1218.5, 0.280082
1223.5, 0.280416
1228.5, 0.281132
1233.5, 0.281566
1238.5, 0.280075
1243.5, 0.281574
1248.5, 0.281864
1253.5, 0.280870
1258.5, 0.280414
1263.5, 0.282403
1268.5, 0.280606
1273.5, 0.280168
1278.5, 0.280530
1283.5, 0.280908
1288.5, 0.280476
1293.5, 0.280036
1298.5, 0.278619
1303.5, 0.280132
1308.5, 0.279811
1313.5, 0.280089
1318.5, 0.279478
1323.5, 0.280514
1328.5, 0.278734
1333.5, 0.278922
1338.5, 0.278884
1343.5, 0.278359
1348.5, 0.278579
1353.5, 0.279003
1358.5, 0.278548
1363.5, 0.279487
1368.5, 0.280467
1373.5, 0.278508
1378.5, 0.280311
1383.5, 0.279203
1388.5, 0.281473
1393.5, 0.279441
1398.5, 0.278210
1403.5, 0.281258
1408.5, 0.280487
1413.5, 0.281380
1418.5, 0.279681
1423.5, 0.281676
1428.5, 0.280840
1433.5, 0.283192
1438.5, 0.282001
1443.5, 0.281806
1448.5, 0.283778
1453.5, 0.283306
1458.5, 0.282020
1463.5, 0.283147
1468.5, 0.283939
1473.5, 0.283876
1478.5, 0.285096
1483.5, 0.283888
1488.5, 0.285815
1493.5, 0.285732
1498.5, 0.284984
1503.5, 0.285099
1508.5, 0.284192
1513.5, 0.285844
1518.5, 0.285029
1523.5, 0.286347
1528.5, 0.289013
1534.0, 0.287125
1540.0, 0.287857
1546.0, 0.287718
1552.0, 0.288648
1558.0, 0.290421
1564.0, 0.289907
1570.5, 0.288797
1577.5, 0.290441
1584.5, 0.291216
1591.5, 0.290839
1598.5, 0.292332
1605.5, 0.291734
1612.5, 0.293475
1619.5, 0.293921
1626.5, 0.293706
1633.5, 0.294552
1640.5, 0.297042
1647.5, 0.296546
1654.5, 0.298208
1661.5, 0.297582
1668.5, 0.298000
1676.0, 0.299077
1684.0, 0.303906
1692.0, 0.303980
1700.0, 0.306294
1708.0, 0.308477
1716.0, 0.311166
1724.0, 0.311009
1732.0, 0.312607
1740.0, 0.317020
1748.0, 0.318944
1756.0, 0.317963
1764.0, 0.322581
1772.0, 0.324929
1780.0, 0.325160
1788.0, 0.328247
1796.0, 0.329309
1805.0, 0.326961
1815.0, 0.326703
1825.0, 0.329078
1835.0, 0.328307
1845.0, 0.331424
1855.0, 0.325515
1865.0, 0.327347
1875.0, 0.322961
1885.0, 0.321670
1895.0, 0.316117
1905.0, 0.314432
1915.0, 0.310638
1925.0, 0.307384
1935.0, 0.298837
1945.0, 0.293008
1955.0, 0.287047
1965.0, 0.281179
1975.0, 0.272210
1985.0, 0.267033
1995.0, 0.260813
2005.0, 0.253657
2015.0, 0.242586
2025.0, 0.239709
2035.0, 0.230173
2045.0, 0.223785
2055.0, 0.214129
2065.0, 0.207833
2075.0, 0.200295
2085.0, 0.192477
2095.0, 0.185900
2105.0, 0.174958
2115.0, 0.173546
2125.0, 0.167560
2135.0, 0.159121
2145.0, 0.155578
2155.0, 0.147283
2165.0, 0.140922
2175.0, 0.135078
2185.0, 0.128943
2195.0, 0.125919
2205.0, 0.120747
2215.0, 0.114768
2225.0, 0.111038
2235.0, 0.106794
2245.0, 0.100118
2255.0, 0.101427
2265.0, 0.0964620
2275.0, 0.0940530
2285.0, 0.0900990
2295.0, 0.0914380
2305.0, 0.0864250
2315.0, 0.0859940
2325.0, 0.0794600
2335.0, 0.0775520
2345.0, 0.0743020
2355.0, 0.0746880
2365.0, 0.0730200
2375.0, 0.0717320
2386.0, 0.0704710
2400.0, 0.0677910
2418.0, 0.0645670
2440.0, 0.0609030
2466.0, 0.0577760
2496.0, 0.0540830
2528.0, 0.0515360
2560.0, 0.0540090
2592.0, 0.0493200
2624.0, 0.0506440
2656.0, 0.0465980
2688.0, 0.0486360
2720.0, 0.0464310
2752.0, 0.0518360
2784.0, 0.0424090
2816.0, 0.0409490
2848.0, 0.0442010
2880.0, 0.0446480
2912.0, 0.0476520
2944.0, 0.0308020
2976.0, 0.0495990
