Database of Origin,USGS Spectral Database
Sample Description,See USGS database for additional info
Date Added,2017-02-22 02:49:17.542355

Data ID,USGS_str01          
Sample ID,strontianite_hs272.21334
Mineral Name,strontianite

Wavelength
248.1, 0.511765
253.6, 0.524806
258.6, 0.531335
263.6, 0.537643
268.6, 0.541045
273.1, 0.553378
277.1, 0.558437
281.1, 0.568333
285.1, 0.576031
289.1, 0.584657
293.1, 0.594783
297.1, 0.602855
301.1, 0.616952
305.1, 0.629463
309.1, 0.637670
313.1, 0.649869
317.1, 0.664930
321.1, 0.675947
325.1, 0.680395
329.1, 0.693482
333.1, 0.707442
337.1, 0.717375
341.1, 0.724061
345.1, 0.732138
349.1, 0.740301
353.1, 0.742700
357.1, 0.751685
360.6, 0.758266
363.6, 0.765369
366.6, 0.772677
369.6, 0.777426
372.6, 0.780902
375.6, 0.788665
378.6, 0.791768
381.1, 0.797462
383.1, 0.801290
385.1, 0.806943
387.1, 0.808390
389.1, 0.812019
391.1, 0.814331
393.1, 0.819337
395.1, 0.821625
397.1, 0.824638
399.1, 0.828407
401.1, 0.827678
403.1, 0.830753
405.1, 0.832103
407.1, 0.835816
409.1, 0.837378
411.1, 0.842817
412.8, 0.843506
415.8, 0.847309
418.8, 0.847958
421.8, 0.852235
424.8, 0.855114
427.8, 0.859295
430.8, 0.862167
433.8, 0.864936
436.8, 0.868562
439.8, 0.870596
442.8, 0.872053
445.8, 0.874191
448.8, 0.874061
451.3, 0.878509
453.3, 0.881379
455.3, 0.881467
457.3, 0.882923
459.3, 0.884377
461.3, 0.886430
463.3, 0.886481
465.3, 0.888619
467.3, 0.890186
469.3, 0.890165
471.3, 0.890894
473.3, 0.892309
475.3, 0.893131
477.3, 0.894639
479.3, 0.893924
481.3, 0.895517
483.3, 0.897653
485.3, 0.898465
487.3, 0.898525
489.3, 0.900813
491.3, 0.900871
493.3, 0.902377
495.3, 0.904663
497.3, 0.904709
499.3, 0.905443
501.3, 0.907028
503.3, 0.906145
505.3, 0.909263
507.3, 0.911521
509.3, 0.910003
511.3, 0.912267
513.3, 0.911574
515.3, 0.913001
517.3, 0.913780
519.3, 0.913015
521.3, 0.916813
523.3, 0.916755
525.3, 0.918299
527.3, 0.919782
529.3, 0.922094
531.3, 0.922036
533.3, 0.920524
535.3, 0.923516
537.3, 0.922720
539.3, 0.924981
541.3, 0.927306
543.3, 0.927348
545.3, 0.928831
547.3, 0.927373
549.3, 0.925873
551.3, 0.927411
553.3, 0.926740
555.3, 0.928268
557.3, 0.928267
559.3, 0.930582
561.3, 0.928306
563.3, 0.929852
565.3, 0.928309
567.3, 0.929080
569.3, 0.931294
571.3, 0.932071
573.3, 0.932076
575.3, 0.930484
577.3, 0.931934
579.3, 0.933492
581.3, 0.934222
583.3, 0.934175
585.3, 0.934182
587.3, 0.934232
589.3, 0.934190
591.3, 0.935748
593.3, 0.933519
595.3, 0.936624
597.3, 0.934349
599.3, 0.938223
601.1, 0.935174
602.7, 0.937535
604.3, 0.935261
605.9, 0.935311
607.5, 0.936901
609.1, 0.933859
610.7, 0.933911
612.3, 0.931648
613.9, 0.933186
615.5, 0.933999
617.1, 0.934771
618.7, 0.935538
620.3, 0.933276
621.9, 0.932507
623.5, 0.933277
625.1, 0.934046
626.7, 0.934815
628.3, 0.935584
629.9, 0.935667
631.7, 0.934904
633.7, 0.934904
635.7, 0.934855
637.7, 0.933366
639.7, 0.935623
641.7, 0.932555
643.7, 0.935615
645.7, 0.934806
647.7, 0.937110
649.7, 0.937102
651.7, 0.937108
653.7, 0.938640
655.7, 0.935569
657.7, 0.934850
659.7, 0.934022
661.7, 0.936287
663.7, 0.936338
665.7, 0.933223
667.7, 0.937009
670.2, 0.934749
673.2, 0.936246
676.2, 0.935431
679.2, 0.935425
682.2, 0.936199
685.2, 0.938386
688.2, 0.937612
691.2, 0.936114
694.2, 0.938384
697.2, 0.936753
700.2, 0.934424
702.0, 0.935936
704.0, 0.938204
706.0, 0.937383
708.0, 0.935070
710.0, 0.936518
712.0, 0.936516
714.0, 0.934923
716.0, 0.936475
718.0, 0.939461
720.0, 0.935608
722.0, 0.937070
724.0, 0.938584
726.0, 0.938540
728.0, 0.938454
730.0, 0.936888
732.0, 0.936887
734.0, 0.937625
736.0, 0.936060
738.0, 0.937529
740.0, 0.936702
742.0, 0.938229
744.0, 0.938142
746.0, 0.938140
748.0, 0.939671
750.5, 0.936524
753.5, 0.937272
756.5, 0.938750
759.5, 0.937914
762.5, 0.938617
765.5, 0.939360
768.5, 0.939275
771.5, 0.939981
774.5, 0.941527
777.5, 0.936758
781.0, 0.939056
785.0, 0.937415
789.0, 0.938123
793.0, 0.938030
797.0, 0.937138
801.5, 0.937849
806.5, 0.937759
811.5, 0.938426
816.5, 0.937534
822.0, 0.938158
851.0, 0.941360
859.0, 0.944230
871.0, 0.944600
883.0, 0.942842
894.0, 0.946270
904.0, 0.946265
914.0, 0.947002
924.0, 0.943531
933.0, 0.943581
941.0, 0.942692
949.0, 0.942566
957.0, 0.944244
964.0, 0.945113
970.0, 0.942552
976.0, 0.945944
982.0, 0.941679
988.0, 0.942537
