Database of Origin,USGS Spectral Database
Sample Description,See USGS database for additional info
Date Added,2017-02-22 02:49:17.229922

Data ID,USGS_syn01          
Sample ID,syngenite_gds139.21444
Mineral Name,syngenite

Wavelength
213.1, 0.248486
221.1, 0.295100
229.1, 0.346031
236.1, 0.387324
242.1, 0.411794
248.1, 0.430649
253.6, 0.446490
258.6, 0.457382
263.6, 0.467415
268.6, 0.475948
273.1, 0.486426
277.1, 0.494712
281.1, 0.502397
285.1, 0.511302
289.1, 0.517551
293.1, 0.527531
297.1, 0.535661
301.1, 0.552351
305.1, 0.559465
309.1, 0.566861
313.1, 0.577183
317.1, 0.584087
321.1, 0.593080
325.1, 0.600562
329.1, 0.607956
333.1, 0.613681
337.1, 0.620474
341.1, 0.626311
345.1, 0.632517
349.1, 0.636549
353.1, 0.644348
357.1, 0.653931
360.6, 0.659159
363.6, 0.664306
366.6, 0.666678
369.6, 0.671879
372.6, 0.677291
375.6, 0.678763
378.6, 0.684571
381.1, 0.689846
383.1, 0.692375
385.1, 0.694594
387.1, 0.696327
389.1, 0.698319
391.1, 0.700575
393.1, 0.702595
395.1, 0.703256
397.1, 0.707911
399.1, 0.708318
401.1, 0.709975
403.1, 0.709471
405.1, 0.713688
407.1, 0.715284
409.1, 0.716256
411.1, 0.721213
412.8, 0.721182
415.8, 0.720913
418.8, 0.724846
421.8, 0.726656
424.8, 0.729104
427.8, 0.730277
430.8, 0.733722
433.8, 0.734931
436.8, 0.737519
439.8, 0.740013
442.8, 0.741411
445.8, 0.742997
448.8, 0.747292
451.3, 0.748740
453.3, 0.749049
455.3, 0.751225
457.3, 0.750953
459.3, 0.754573
461.3, 0.754596
463.3, 0.756324
465.3, 0.758617
467.3, 0.757933
469.3, 0.760689
471.3, 0.760577
473.3, 0.763402
475.3, 0.762423
477.3, 0.764660
479.3, 0.767233
481.3, 0.766501
483.3, 0.768131
485.3, 0.768629
487.3, 0.769092
489.3, 0.769358
491.3, 0.771881
493.3, 0.773058
495.3, 0.774473
497.3, 0.774163
499.3, 0.774472
501.3, 0.776099
503.3, 0.777580
505.3, 0.777613
507.3, 0.778097
509.3, 0.778808
511.3, 0.779423
513.3, 0.781067
515.3, 0.779920
517.3, 0.782781
519.3, 0.783022
521.3, 0.784593
523.3, 0.783667
525.3, 0.783108
527.3, 0.784572
529.3, 0.785680
531.3, 0.787565
533.3, 0.786623
535.3, 0.787852
537.3, 0.786575
539.3, 0.788924
541.3, 0.786871
543.3, 0.787052
545.3, 0.788227
547.3, 0.787776
549.3, 0.786934
551.3, 0.786945
553.3, 0.787587
555.3, 0.787332
557.3, 0.786369
559.3, 0.786245
561.3, 0.782269
563.3, 0.783600
565.3, 0.783807
567.3, 0.784285
569.3, 0.784903
571.3, 0.786135
573.3, 0.785801
575.3, 0.788341
577.3, 0.786975
579.3, 0.788794
581.3, 0.790369
583.3, 0.788505
585.3, 0.788446
587.3, 0.789461
589.3, 0.788052
591.3, 0.787672
593.3, 0.787785
595.3, 0.789289
597.3, 0.786927
599.3, 0.786635
601.1, 0.787169
602.7, 0.787498
604.3, 0.785413
605.9, 0.787380
607.5, 0.785196
609.1, 0.785419
610.7, 0.784103
612.3, 0.784036
613.9, 0.783729
615.5, 0.784256
617.1, 0.784699
618.7, 0.785144
620.3, 0.785941
621.9, 0.785091
623.5, 0.786824
625.1, 0.786862
626.7, 0.786979
628.3, 0.788916
629.9, 0.788265
631.7, 0.788824
633.7, 0.788503
635.7, 0.789546
637.7, 0.791960
639.7, 0.791384
641.7, 0.790776
643.7, 0.792161
645.7, 0.792983
647.7, 0.793281
649.7, 0.792457
651.7, 0.792951
653.7, 0.794335
655.7, 0.794498
657.7, 0.794669
659.7, 0.795151
661.7, 0.794528
663.7, 0.794864
665.7, 0.796521
667.7, 0.795966
670.2, 0.796275
673.2, 0.795573
676.2, 0.796259
679.2, 0.797125
682.2, 0.796371
685.2, 0.796912
688.2, 0.799147
691.2, 0.798886
694.2, 0.799748
697.2, 0.798444
700.2, 0.803694
702.0, 0.803927
704.0, 0.805394
706.0, 0.806220
708.0, 0.806669
710.0, 0.806506
712.0, 0.806774
714.0, 0.808063
716.0, 0.807055
718.0, 0.808414
720.0, 0.808063
722.0, 0.808956
724.0, 0.808413
726.0, 0.810456
728.0, 0.809157
730.0, 0.811449
732.0, 0.810176
734.0, 0.810250
736.0, 0.810433
738.0, 0.812187
740.0, 0.811660
742.0, 0.811385
744.0, 0.811573
746.0, 0.811376
748.0, 0.812678
750.5, 0.809225
753.5, 0.809529
756.5, 0.809807
759.5, 0.809917
762.5, 0.811008
765.5, 0.809717
768.5, 0.810165
771.5, 0.811775
774.5, 0.810444
777.5, 0.810243
781.0, 0.809429
785.0, 0.808556
789.0, 0.808393
793.0, 0.809123
797.0, 0.809528
801.5, 0.808472
806.5, 0.808361
811.5, 0.807622
816.5, 0.806098
822.0, 0.804920
828.0, 0.801841
835.0, 0.801428
843.0, 0.800479
851.0, 0.799596
859.0, 0.799331
871.0, 0.799619
883.0, 0.801315
894.0, 0.803088
904.0, 0.799977
914.0, 0.807265
924.0, 0.802414
933.0, 0.806294
941.0, 0.807473
949.0, 0.803864
957.0, 0.804461
964.0, 0.809154
970.0, 0.806067
976.0, 0.809052
982.0, 0.808110
988.0, 0.809018
994.0, 0.809849
1000.0, 0.811727
1006.0, 0.812183
1012.0, 0.809657
1018.0, 0.809335
1023.5, 0.810965
1028.5, 0.813927
1033.5, 0.810129
1038.5, 0.812059
1043.5, 0.811307
1048.5, 0.812990
1053.5, 0.815553
1058.5, 0.814043
1063.5, 0.816266
1068.5, 0.814070
1073.5, 0.815286
1078.5, 0.817539
1083.5, 0.816495
1088.5, 0.816602
1093.5, 0.818062
1098.5, 0.817844
1103.5, 0.816999
1108.5, 0.817202
1113.5, 0.816522
1118.5, 0.816762
1123.5, 0.817192
1128.5, 0.818893
1133.5, 0.816286
1138.5, 0.818762
1143.5, 0.817849
1148.5, 0.817416
1153.5, 0.818508
1158.5, 0.819675
1163.5, 0.816538
1168.5, 0.817681
1173.5, 0.818195
1178.5, 0.816548
1183.5, 0.816917
1188.5, 0.818153
1193.5, 0.815961
1198.5, 0.814377
1203.5, 0.812173
1208.5, 0.812773
1213.5, 0.809718
1218.5, 0.809140
1223.5, 0.808578
1228.5, 0.808082
1233.5, 0.810085
1238.5, 0.808049
1243.5, 0.809672
1248.5, 0.808573
1253.5, 0.807301
1258.5, 0.809990
1263.5, 0.809198
1268.5, 0.808460
1273.5, 0.812438
1278.5, 0.809618
1283.5, 0.810115
1288.5, 0.811974
1293.5, 0.811636
1298.5, 0.812421
1303.5, 0.815726
1308.5, 0.816816
1313.5, 0.817183
1318.5, 0.816447
1323.5, 0.817176
1328.5, 0.816727
1333.5, 0.816312
1338.5, 0.816124
1343.5, 0.813290
1348.5, 0.813876
1353.5, 0.813346
1358.5, 0.810645
1363.5, 0.809228
1368.5, 0.809384
1373.5, 0.808657
1378.5, 0.809219
1383.5, 0.805413
1388.5, 0.806252
1393.5, 0.805713
1398.5, 0.802626
1403.5, 0.803638
1408.5, 0.798981
1413.5, 0.800092
1418.5, 0.801197
1423.5, 0.798072
1428.5, 0.792802
1433.5, 0.794599
1438.5, 0.791684
1443.5, 0.790963
1448.5, 0.790714
1453.5, 0.786575
1458.5, 0.783333
1463.5, 0.780174
1468.5, 0.773049
1473.5, 0.765576
1478.5, 0.758022
1483.5, 0.745570
1488.5, 0.737822
1493.5, 0.726926
1498.5, 0.716323
1503.5, 0.712787
1508.5, 0.717762
1513.5, 0.716128
1518.5, 0.712637
1523.5, 0.711461
1528.5, 0.708017
1534.0, 0.702284
1540.0, 0.695294
1546.0, 0.693309
1552.0, 0.689791
1558.0, 0.686054
1564.0, 0.682207
1570.5, 0.678623
1577.5, 0.677617
1584.5, 0.679698
1591.5, 0.680729
1598.5, 0.687279
1605.5, 0.691868
1612.5, 0.696978
1619.5, 0.701277
1626.5, 0.705560
1633.5, 0.712851
1640.5, 0.717426
1647.5, 0.724200
1654.5, 0.730580
1661.5, 0.737575
1668.5, 0.740059
1676.0, 0.747485
1684.0, 0.751684
1692.0, 0.759622
1700.0, 0.763174
1708.0, 0.766481
1716.0, 0.767299
1724.0, 0.769455
1732.0, 0.772974
1740.0, 0.774247
1748.0, 0.772644
1756.0, 0.772109
1764.0, 0.766036
1772.0, 0.758581
1780.0, 0.755207
1788.0, 0.761767
1796.0, 0.767677
1805.0, 0.775778
1815.0, 0.774038
1825.0, 0.772844
1835.0, 0.770456
1845.0, 0.766183
1855.0, 0.763047
1865.0, 0.761394
1875.0, 0.754923
1885.0, 0.737130
1895.0, 0.709417
1905.0, 0.670585
1915.0, 0.631092
1925.0, 0.599334
1935.0, 0.569549
1945.0, 0.537006
1955.0, 0.494993
1965.0, 0.445303
1975.0, 0.397345
1985.0, 0.357109
1995.0, 0.338861
2005.0, 0.375459
2015.0, 0.444848
2025.0, 0.494167
2035.0, 0.522619
2045.0, 0.519800
2055.0, 0.495517
2065.0, 0.462260
2075.0, 0.425787
2085.0, 0.405724
2095.0, 0.440734
2105.0, 0.495760
2115.0, 0.535224
2125.0, 0.578705
2135.0, 0.614409
2145.0, 0.631211
2155.0, 0.628875
2165.0, 0.615385
2175.0, 0.594681
2185.0, 0.579718
2195.0, 0.576980
2205.0, 0.597488
2215.0, 0.625179
2225.0, 0.649525
2235.0, 0.664318
2245.0, 0.673571
2255.0, 0.684922
2265.0, 0.687480
2275.0, 0.687470
2285.0, 0.680954
2295.0, 0.680082
2305.0, 0.666478
2315.0, 0.662350
2325.0, 0.647897
2335.0, 0.644626
2345.0, 0.652211
2355.0, 0.660653
2365.0, 0.665146
2375.0, 0.660163
2386.0, 0.647695
2400.0, 0.622412
2418.0, 0.536749
2440.0, 0.540993
2466.0, 0.592584
2496.0, 0.539943
2528.0, 0.467989
2560.0, 0.488143
2592.0, 0.542472
2624.0, 0.557980
2656.0, 0.540567
2688.0, 0.464988
2720.0, 0.406370
2752.0, 0.262851
2784.0, 0.172324
2816.0, 0.113440
2848.0, 0.0799100
2880.0, 0.0576110
2912.0, 0.0333770
2944.0, 0.0309790
2976.0, 0.0161010
