Database of Origin,USGS Spectral Database
Sample Description,See USGS database for additional info
Date Added,2017-02-22 02:49:16.725525

Data ID,USGS_tal06          
Sample ID,talc_ws659.21626
Mineral Name,talc

Wavelength
221.1, 0.446011
229.1, 0.453745
236.1, 0.449676
242.1, 0.456493
248.1, 0.457777
253.6, 0.464377
258.6, 0.466314
263.6, 0.471700
268.6, 0.479744
273.1, 0.492808
277.1, 0.504189
281.1, 0.517792
285.1, 0.535050
289.1, 0.552008
293.1, 0.569155
297.1, 0.591178
301.1, 0.611205
305.1, 0.638026
309.1, 0.647605
313.1, 0.672752
317.1, 0.691489
321.1, 0.710487
325.1, 0.728651
329.1, 0.741943
333.1, 0.753646
337.1, 0.767067
341.1, 0.778761
345.1, 0.787347
349.1, 0.798619
353.1, 0.799605
357.1, 0.808606
360.6, 0.815639
363.6, 0.819149
366.6, 0.824639
369.6, 0.827945
372.6, 0.832817
375.6, 0.835776
378.6, 0.839973
381.1, 0.841179
383.1, 0.842457
385.1, 0.845133
387.1, 0.844286
389.1, 0.850033
391.1, 0.851569
393.1, 0.854964
395.1, 0.855728
397.1, 0.856197
399.1, 0.859596
401.1, 0.865042
403.1, 0.864739
405.1, 0.867347
407.1, 0.868507
409.1, 0.869462
411.1, 0.872017
412.8, 0.871649
415.8, 0.869975
418.8, 0.872274
421.8, 0.874183
424.8, 0.874244
427.8, 0.878820
430.8, 0.880927
433.8, 0.878338
436.8, 0.880484
439.8, 0.883123
442.8, 0.883513
445.8, 0.883922
448.8, 0.884820
451.3, 0.883892
453.3, 0.887099
455.3, 0.886585
457.3, 0.889432
459.3, 0.888881
461.3, 0.889978
463.3, 0.890445
465.3, 0.892289
467.3, 0.895247
469.3, 0.895833
471.3, 0.895774
473.3, 0.899003
475.3, 0.895176
477.3, 0.898538
479.3, 0.900396
481.3, 0.897130
483.3, 0.903917
485.3, 0.901793
487.3, 0.901384
489.3, 0.904484
491.3, 0.905812
493.3, 0.907325
495.3, 0.905888
497.3, 0.912700
499.3, 0.907927
501.3, 0.910570
503.3, 0.908020
505.3, 0.905109
507.3, 0.910741
509.3, 0.907994
511.3, 0.910549
513.3, 0.918320
515.3, 0.917088
517.3, 0.916099
519.3, 0.915244
521.3, 0.915295
523.3, 0.916402
525.3, 0.919564
527.3, 0.919757
529.3, 0.918850
531.3, 0.921489
533.3, 0.920224
535.3, 0.919389
537.3, 0.923003
539.3, 0.922173
541.3, 0.923413
543.3, 0.925434
545.3, 0.925127
547.3, 0.923261
549.3, 0.928557
551.3, 0.928639
553.3, 0.925960
555.3, 0.929819
557.3, 0.925921
559.3, 0.927799
561.3, 0.933302
563.3, 0.928235
565.3, 0.928669
567.3, 0.929051
569.3, 0.932492
571.3, 0.932078
573.3, 0.933362
575.3, 0.928943
577.3, 0.932784
579.3, 0.933314
581.3, 0.929058
583.3, 0.933225
585.3, 0.928364
587.3, 0.927494
589.3, 0.937808
591.3, 0.937381
593.3, 0.937812
595.3, 0.935202
597.3, 0.934736
599.3, 0.940279
601.1, 0.938344
602.7, 0.937193
604.3, 0.935218
605.9, 0.936867
607.5, 0.936535
609.1, 0.939611
610.7, 0.941107
612.3, 0.941171
613.9, 0.938873
615.5, 0.941116
617.1, 0.938499
618.7, 0.939727
620.3, 0.937640
621.9, 0.936547
623.5, 0.939354
625.1, 0.940071
626.7, 0.939331
628.3, 0.939366
629.9, 0.937424
631.7, 0.941281
633.7, 0.938488
635.7, 0.941613
637.7, 0.936974
639.7, 0.940470
641.7, 0.941714
643.7, 0.938612
645.7, 0.940981
647.7, 0.940896
649.7, 0.939769
651.7, 0.942880
653.7, 0.942072
655.7, 0.940930
657.7, 0.940558
659.7, 0.942023
661.7, 0.941657
663.7, 0.939707
665.7, 0.941606
667.7, 0.943912
670.2, 0.939683
673.2, 0.943611
676.2, 0.949022
679.2, 0.943131
682.2, 0.942283
685.2, 0.942291
688.2, 0.943479
691.2, 0.945703
694.2, 0.944973
697.2, 0.943018
700.2, 0.944004
702.0, 0.943655
704.0, 0.941211
706.0, 0.943664
708.0, 0.943236
710.0, 0.942680
712.0, 0.945505
714.0, 0.943886
716.0, 0.944616
718.0, 0.942600
720.0, 0.943378
722.0, 0.946479
724.0, 0.942560
726.0, 0.944395
728.0, 0.945111
730.0, 0.942255
732.0, 0.946986
734.0, 0.946711
736.0, 0.946553
738.0, 0.944643
740.0, 0.945297
742.0, 0.944130
744.0, 0.947752
746.0, 0.944339
748.0, 0.946396
750.5, 0.945038
753.5, 0.947054
756.5, 0.943380
759.5, 0.944530
762.5, 0.944488
765.5, 0.946392
768.5, 0.945951
771.5, 0.942247
774.5, 0.943744
777.5, 0.946101
781.0, 0.943621
785.0, 0.943852
789.0, 0.942567
793.0, 0.944437
797.0, 0.942348
801.5, 0.938157
806.5, 0.939578
811.5, 0.937785
816.5, 0.936282
822.0, 0.932863
828.0, 0.930512
835.0, 0.932800
851.0, 0.925202
859.0, 0.922193
871.0, 0.912439
883.0, 0.905433
894.0, 0.899194
904.0, 0.892080
914.0, 0.889532
924.0, 0.886749
933.0, 0.884442
941.0, 0.878791
949.0, 0.866037
957.0, 0.883163
964.0, 0.890432
970.0, 0.892885
976.0, 0.900198
982.0, 0.901935
988.0, 0.903391
994.0, 0.904772
1000.0, 0.909602
1006.0, 0.914925
1012.0, 0.918871
1018.0, 0.919932
1023.5, 0.927756
1028.5, 0.929208
1033.5, 0.925248
1038.5, 0.932739
1043.5, 0.929979
1048.5, 0.934069
1053.5, 0.933591
1058.5, 0.936131
1063.5, 0.937561
1068.5, 0.935848
1073.5, 0.937235
1078.5, 0.938925
1083.5, 0.937704
1088.5, 0.935430
1093.5, 0.940745
1098.5, 0.942043
1103.5, 0.941155
1108.5, 0.942081
1113.5, 0.942536
1118.5, 0.939426
1123.5, 0.943476
1128.5, 0.943008
1133.5, 0.943828
1138.5, 0.941193
1143.5, 0.942878
1148.5, 0.940598
1153.5, 0.943246
1158.5, 0.944839
1163.5, 0.939389
1168.5, 0.943810
1173.5, 0.941839
1178.5, 0.942156
1183.5, 0.942096
1188.5, 0.939954
1193.5, 0.943679
1198.5, 0.942748
1203.5, 0.943092
1208.5, 0.942595
1213.5, 0.941728
1218.5, 0.943502
1223.5, 0.944048
1228.5, 0.940725
1233.5, 0.941700
1238.5, 0.943476
