Database of Origin,USGS Spectral Database
Sample Description,See USGS database for additional info
Date Added,2017-02-22 02:49:16.193230

Data ID,USGS_thu03          
Sample ID,thuringite_smr15.21810
Mineral Name,thuringite

Wavelength
268.6, 0.0575930
273.1, 0.0583080
277.1, 0.0604980
281.1, 0.0594170
285.1, 0.0618430
289.1, 0.0603320
293.1, 0.0614330
297.1, 0.0629940
301.1, 0.0639210
305.1, 0.0634930
309.1, 0.0639660
313.1, 0.0654640
317.1, 0.0635550
321.1, 0.0634180
325.1, 0.0617800
329.1, 0.0617890
333.1, 0.0621190
337.1, 0.0641050
341.1, 0.0637790
345.1, 0.0634670
349.1, 0.0696490
353.1, 0.0642660
357.1, 0.0646120
360.6, 0.0656140
363.6, 0.0657520
366.6, 0.0668950
369.6, 0.0675140
372.6, 0.0680520
375.6, 0.0686440
378.6, 0.0710540
381.1, 0.0712180
383.1, 0.0723100
385.1, 0.0707360
387.1, 0.0740420
389.1, 0.0752170
391.1, 0.0744170
393.1, 0.0768380
395.1, 0.0777830
397.1, 0.0771630
399.1, 0.0777220
401.1, 0.0793480
403.1, 0.0784680
405.1, 0.0777250
407.1, 0.0799260
409.1, 0.0797360
411.1, 0.0819830
412.8, 0.0817330
415.8, 0.0827450
418.8, 0.0831440
421.8, 0.0851640
424.8, 0.0878940
427.8, 0.0888400
430.8, 0.0906150
433.8, 0.0922980
436.8, 0.0951680
439.8, 0.0953770
442.8, 0.0976790
445.8, 0.0983340
448.8, 0.0997880
451.3, 0.100719
453.3, 0.101150
455.3, 0.102078
457.3, 0.102477
459.3, 0.104816
461.3, 0.106362
463.3, 0.102743
465.3, 0.105380
467.3, 0.104680
469.3, 0.105063
471.3, 0.106255
473.3, 0.106238
475.3, 0.109026
477.3, 0.107062
479.3, 0.110501
481.3, 0.113620
483.3, 0.112710
485.3, 0.115186
487.3, 0.117771
489.3, 0.114222
491.3, 0.116258
493.3, 0.116563
495.3, 0.116729
497.3, 0.118484
499.3, 0.120923
501.3, 0.121492
503.3, 0.123427
505.3, 0.123193
507.3, 0.125433
509.3, 0.126604
511.3, 0.125892
513.3, 0.127800
515.3, 0.129410
517.3, 0.130136
519.3, 0.129901
521.3, 0.130780
523.3, 0.131825
525.3, 0.135926
527.3, 0.133860
529.3, 0.133477
531.3, 0.134234
533.3, 0.136673
535.3, 0.135356
537.3, 0.136789
539.3, 0.135286
541.3, 0.140444
543.3, 0.136653
545.3, 0.138141
547.3, 0.137746
549.3, 0.139091
551.3, 0.139645
553.3, 0.140225
555.3, 0.139278
557.3, 0.139173
559.3, 0.138957
561.3, 0.139683
563.3, 0.137247
565.3, 0.139189
567.3, 0.138342
569.3, 0.137009
571.3, 0.137539
573.3, 0.139448
575.3, 0.138704
577.3, 0.139103
579.3, 0.135210
581.3, 0.139095
583.3, 0.136245
585.3, 0.137455
587.3, 0.136527
589.3, 0.134424
591.3, 0.134719
593.3, 0.135431
595.3, 0.134911
597.3, 0.132590
599.3, 0.131961
601.1, 0.130503
602.7, 0.133505
604.3, 0.132164
605.9, 0.129801
607.5, 0.129170
609.1, 0.129627
610.7, 0.130421
612.3, 0.129256
613.9, 0.127881
615.5, 0.129683
617.1, 0.126774
618.7, 0.127875
