Database of Origin,USGS Spectral Database
Sample Description,See USGS database for additional info
Date Added,2017-02-22 02:49:14.588896

Data ID,USGS_top11          
Sample ID,topaz_16.22884
Mineral Name,topaz

Wavelength
221.1, 0.0519790
229.1, 0.196076
236.1, 0.399099
242.1, 0.465005
248.1, 0.507433
253.6, 0.539713
258.6, 0.581675
263.6, 0.601033
268.6, 0.639749
273.1, 0.666506
277.1, 0.690701
281.1, 0.713522
285.1, 0.720848
289.1, 0.747618
293.1, 0.757598
297.1, 0.765160
301.1, 0.770164
305.1, 0.779543
309.1, 0.783646
313.1, 0.790281
317.1, 0.794429
321.1, 0.807037
325.1, 0.810328
329.1, 0.829145
333.1, 0.831230
337.1, 0.835925
341.1, 0.845407
345.1, 0.854179
349.1, 0.863438
353.1, 0.865484
357.1, 0.869844
360.6, 0.876420
363.6, 0.874569
366.6, 0.877599
369.6, 0.879750
372.6, 0.882263
375.6, 0.886870
378.6, 0.885360
381.1, 0.884619
383.1, 0.883259
385.1, 0.882781
387.1, 0.883502
389.1, 0.886541
391.1, 0.884484
393.1, 0.887850
395.1, 0.883914
397.1, 0.883383
399.1, 0.886798
401.1, 0.882779
403.1, 0.886456
405.1, 0.885865
407.1, 0.885871
409.1, 0.883222
411.1, 0.889430
412.8, 0.886214
415.8, 0.888830
418.8, 0.888765
421.8, 0.889425
424.8, 0.889335
427.8, 0.893251
430.8, 0.893733
433.8, 0.896356
436.8, 0.896916
439.8, 0.900914
442.8, 0.900146
445.8, 0.901273
448.8, 0.904562
451.3, 0.903919
453.3, 0.905149
455.3, 0.907233
457.3, 0.905181
459.3, 0.909277
461.3, 0.906392
463.3, 0.912599
465.3, 0.909789
467.3, 0.913171
469.3, 0.912526
471.3, 0.912495
473.3, 0.914584
475.3, 0.915200
477.3, 0.914409
479.3, 0.916575
481.3, 0.913065
483.3, 0.915860
485.3, 0.915862
487.3, 0.915851
489.3, 0.914564
491.3, 0.915183
493.3, 0.916636
495.3, 0.916628
497.3, 0.915138
499.3, 0.916526
501.3, 0.917880
503.3, 0.915809
505.3, 0.917188
507.3, 0.917215
509.3, 0.916459
511.3, 0.915720
513.3, 0.914928
515.3, 0.917000
517.3, 0.912767
519.3, 0.913420
521.3, 0.912774
523.3, 0.913338
525.3, 0.913363
527.3, 0.912578
529.3, 0.912494
531.3, 0.910370
533.3, 0.909656
535.3, 0.908863
537.3, 0.905964
539.3, 0.907302
541.3, 0.906637
543.3, 0.905862
545.3, 0.906469
547.3, 0.906546
549.3, 0.907862
551.3, 0.905821
553.3, 0.907222
555.3, 0.906600
557.3, 0.908012
559.3, 0.905934
561.3, 0.904533
563.3, 0.906637
565.3, 0.905921
567.3, 0.906573
569.3, 0.906502
571.3, 0.907199
573.3, 0.904373
575.3, 0.904367
577.3, 0.906364
579.3, 0.904878
581.3, 0.906236
583.3, 0.906091
585.3, 0.908299
587.3, 0.908232
589.3, 0.908237
591.3, 0.908262
593.3, 0.911748
595.3, 0.911877
597.3, 0.911886
599.3, 0.916148
601.1, 0.914720
602.7, 0.914779
604.3, 0.914130
605.9, 0.917055
607.5, 0.915622
609.1, 0.916328
610.7, 0.918531
612.3, 0.916404
613.9, 0.916400
615.5, 0.917819
617.1, 0.917817
618.7, 0.916480
620.3, 0.915116
621.9, 0.916467
623.5, 0.918654
625.1, 0.914425
626.7, 0.915832
628.3, 0.916521
629.9, 0.916456
631.7, 0.915811
633.7, 0.914398
635.7, 0.915816
637.7, 0.915045
639.7, 0.917106
641.7, 0.919233
643.7, 0.914333
645.7, 0.917098
647.7, 0.919147
649.7, 0.917740
651.7, 0.917031
653.7, 0.916321
655.7, 0.918384
657.7, 0.917605
659.7, 0.919034
661.7, 0.917665
663.7, 0.919736
665.7, 0.916126
667.7, 0.918259
670.2, 0.919598
673.2, 0.919494
676.2, 0.919448
679.2, 0.920203
682.2, 0.923599
685.2, 0.919354
688.2, 0.921372
691.2, 0.924757
694.2, 0.920407
697.2, 0.921713
700.2, 0.925907
702.0, 0.918859
704.0, 0.920286
706.0, 0.918648
708.0, 0.922963
710.0, 0.920681
712.0, 0.917019
714.0, 0.919124
716.0, 0.921091
718.0, 0.919645
720.0, 0.920300
722.0, 0.918796
724.0, 0.920834
726.0, 0.920776
728.0, 0.924223
730.0, 0.921303
732.0, 0.921963
734.0, 0.921176
736.0, 0.921783
738.0, 0.919524
740.0, 0.922385
742.0, 0.919326
744.0, 0.922191
746.0, 0.923524
748.0, 0.927199
750.5, 0.924936
753.5, 0.922668
756.5, 0.921807
759.5, 0.923950
762.5, 0.924569
765.5, 0.924427
768.5, 0.924370
771.5, 0.924249
774.5, 0.926406
777.5, 0.926165
781.0, 0.926104
785.0, 0.923000
789.0, 0.925851
793.0, 0.924985
797.0, 0.924796
801.5, 0.926107
806.5, 0.926729
811.5, 0.930995
816.5, 0.929263
822.0, 0.927450
828.0, 0.925560
835.0, 0.930946
843.0, 0.932855
851.0, 0.933814
859.0, 0.935251
871.0, 0.936569
883.0, 0.934170
894.0, 0.937222
904.0, 0.938644
914.0, 0.937835
924.0, 0.936210
933.0, 0.941547
941.0, 0.946228
949.0, 0.941451
957.0, 0.939787
964.0, 0.941417
970.0, 0.942923
976.0, 0.945278
982.0, 0.948340
988.0, 0.945958
994.0, 0.949107
1000.0, 0.952972
1006.0, 0.948245
1012.0, 0.949796
1018.0, 0.952933
1023.5, 0.950540
1028.5, 0.948145
1033.5, 0.952061
1038.5, 0.954420
1043.5, 0.947294
1048.5, 0.954400
1053.5, 0.955938
1058.5, 0.955152
1063.5, 0.956724
1068.5, 0.950394
1073.5, 0.955121
1078.5, 0.952706
1083.5, 0.954239
1088.5, 0.958198
1093.5, 0.959010
1098.5, 0.956629
1103.5, 0.955032
1108.5, 0.958261
1113.5, 0.960644
1118.5, 0.958243
1123.5, 0.954268
1128.5, 0.957434
1133.5, 0.959063
1138.5, 0.959025
1143.5, 0.954975
1148.5, 0.958920
1153.5, 0.955672
1158.5, 0.954753
1163.5, 0.962624
1168.5, 0.957726
1173.5, 0.958379
1178.5, 0.959060
1183.5, 0.956582
1188.5, 0.955647
1193.5, 0.953119
1198.5, 0.957010
1203.5, 0.955371
1208.5, 0.958562
1213.5, 0.956909
1218.5, 0.957734
1223.5, 0.959364
1228.5, 0.955372
1233.5, 0.957796
1238.5, 0.959368
1243.5, 0.960189
1248.5, 0.958541
1253.5, 0.959312
1258.5, 0.962462
1263.5, 0.961547
1268.5, 0.963086
1273.5, 0.963777
1278.5, 0.964476
1283.5, 0.962770
1288.5, 0.961799
1293.5, 0.960057
1298.5, 0.962371
1303.5, 0.961444
1308.5, 0.961275
1313.5, 0.967590
1318.5, 0.961853
1323.5, 0.960153
1328.5, 0.963240
1333.5, 0.955105
1338.5, 0.959808
1343.5, 0.956563
1348.5, 0.948424
1353.5, 0.949174
1358.5, 0.953956
1363.5, 0.954719
1368.5, 0.953887
1373.5, 0.947417
1378.5, 0.953846
1383.5, 0.955464
1388.5, 0.953047
1393.5, 0.949885
1398.5, 0.925803
1403.5, 0.835735
1408.5, 0.880815
1413.5, 0.931588
1418.5, 0.947818
1423.5, 0.952763
1428.5, 0.960118
1433.5, 0.954595
1438.5, 0.958747
1443.5, 0.961222
1448.5, 0.958069
1453.5, 0.961362
1458.5, 0.964599
1463.5, 0.958156
1468.5, 0.962201
1473.5, 0.959788
1478.5, 0.960565
1483.5, 0.960533
1488.5, 0.962142
1493.5, 0.962898
1498.5, 0.962074
1503.5, 0.958980
1508.5, 0.965362
1513.5, 0.962943
1518.5, 0.968586
1523.5, 0.966161
1528.5, 0.969395
1534.0, 0.965331
1540.0, 0.966127
1546.0, 0.964550
1552.0, 0.963760
1558.0, 0.968599
1564.0, 0.964600
1570.5, 0.965404
1577.5, 0.966213
1584.5, 0.967009
1591.5, 0.966175
1598.5, 0.966142
1605.5, 0.963583
1612.5, 0.967535
1619.5, 0.972272
1626.5, 0.968919
1633.5, 0.965494
1640.5, 0.964526
1647.5, 0.966787
1654.5, 0.966609
1661.5, 0.965628
1668.5, 0.964661
1676.0, 0.963715
1684.0, 0.947352
1692.0, 0.954533
1700.0, 0.954401
1708.0, 0.959218
1716.0, 0.959123
1724.0, 0.960692
1732.0, 0.959103
1740.0, 0.961540
1748.0, 0.952716
1756.0, 0.965805
1764.0, 0.959423
1772.0, 0.958752
1780.0, 0.957992
1788.0, 0.962779
1796.0, 0.961752
1805.0, 0.966163
1815.0, 0.965421
1825.0, 0.968603
1835.0, 0.960387
1845.0, 0.960422
1855.0, 0.956589
1865.0, 0.959500
1875.0, 0.956055
1885.0, 0.955171
1895.0, 0.955889
1905.0, 0.946825
1915.0, 0.952296
1925.0, 0.943900
1935.0, 0.942038
1945.0, 0.947574
1955.0, 0.945101
1965.0, 0.945069
1975.0, 0.949768
1985.0, 0.955633
1995.0, 0.948763
2005.0, 0.950804
2015.0, 0.951124
2025.0, 0.956065
2035.0, 0.955380
2045.0, 0.945949
2055.0, 0.940348
2065.0, 0.901011
2075.0, 0.788114
2085.0, 0.628147
2095.0, 0.811164
2105.0, 0.890893
2115.0, 0.921177
2125.0, 0.921970
2135.0, 0.908086
2145.0, 0.878533
2155.0, 0.876638
2165.0, 0.891697
2175.0, 0.896987
2185.0, 0.903161
2195.0, 0.896243
2205.0, 0.891482
2215.0, 0.890922
2225.0, 0.916712
2235.0, 0.921654
2245.0, 0.915581
2255.0, 0.919196
2265.0, 0.896195
2275.0, 0.915000
2285.0, 0.919178
2295.0, 0.914000
2305.0, 0.895700
2315.0, 0.884800
2325.0, 0.876071
2335.0, 0.875872
2345.0, 0.877783
2355.0, 0.880231
2365.0, 0.869702
2375.0, 0.851659
2386.0, 0.862130
2400.0, 0.863302
2418.0, 0.839215
2440.0, 0.833437
2466.0, 0.796013
2496.0, 0.747416
2528.0, 0.677670
2560.0, 0.664310
2592.0, 0.744826
2624.0, 0.742004
2656.0, 0.764860
2688.0, 0.742171
2720.0, 0.578660
2752.0, 0.220241
2784.0, 0.556067
2816.0, 0.525732
2848.0, 0.537373
2880.0, 0.508684
2912.0, 0.555437
2944.0, 0.589489
2976.0, 0.576599
