Database of Origin,USGS Spectral Database
Sample Description,See USGS database for additional info
Date Added,2017-02-22 02:48:42.855372

Data ID,USGS_ule03          
Sample ID,ulexite_hs4413b.23270
Mineral Name,ulexite

Wavelength
213.1, 0.554174
221.1, 0.586015
229.1, 0.599928
236.1, 0.608487
242.1, 0.609869
248.1, 0.616165
253.6, 0.622582
258.6, 0.628424
263.6, 0.636573
268.6, 0.644226
273.1, 0.651319
277.1, 0.656370
281.1, 0.658898
285.1, 0.662775
289.1, 0.669762
293.1, 0.674747
297.1, 0.681716
301.1, 0.685371
305.1, 0.690959
309.1, 0.694871
313.1, 0.699288
317.1, 0.702942
321.1, 0.706198
325.1, 0.708946
329.1, 0.713641
333.1, 0.715559
337.1, 0.720687
341.1, 0.723708
345.1, 0.726807
349.1, 0.728809
353.1, 0.732290
357.1, 0.735377
360.6, 0.740063
363.6, 0.741965
366.6, 0.744068
369.6, 0.747211
372.6, 0.749125
375.6, 0.751702
378.6, 0.756867
381.1, 0.760809
383.1, 0.762795
385.1, 0.764742
387.1, 0.766343
389.1, 0.768361
391.1, 0.771176
393.1, 0.772951
395.1, 0.773697
397.1, 0.775235
399.1, 0.777362
401.1, 0.779376
403.1, 0.780548
405.1, 0.781505
407.1, 0.781931
409.1, 0.783437
411.1, 0.787228
412.8, 0.786933
415.8, 0.790332
418.8, 0.792241
421.8, 0.793946
424.8, 0.796196
427.8, 0.798755
430.8, 0.799515
433.8, 0.802201
436.8, 0.803646
439.8, 0.805255
442.8, 0.808763
445.8, 0.808040
448.8, 0.810617
451.3, 0.812461
453.3, 0.813696
455.3, 0.814655
457.3, 0.815385
459.3, 0.818371
461.3, 0.817283
463.3, 0.819246
465.3, 0.820885
467.3, 0.820504
469.3, 0.821227
471.3, 0.823154
473.3, 0.824614
475.3, 0.824356
477.3, 0.824690
479.3, 0.826547
481.3, 0.827324
483.3, 0.827008
485.3, 0.828617
487.3, 0.829886
489.3, 0.830237
491.3, 0.831811
493.3, 0.830769
495.3, 0.832140
497.3, 0.832252
499.3, 0.834254
501.3, 0.834673
503.3, 0.834481
505.3, 0.835894
507.3, 0.836394
509.3, 0.837915
511.3, 0.839502
513.3, 0.838938
515.3, 0.840270
517.3, 0.840700
519.3, 0.842736
521.3, 0.841324
523.3, 0.842567
525.3, 0.843633
527.3, 0.843700
529.3, 0.844734
531.3, 0.845176
533.3, 0.846213
535.3, 0.848081
537.3, 0.851243
539.3, 0.849538
541.3, 0.848689
543.3, 0.850689
545.3, 0.849023
547.3, 0.849753
549.3, 0.850800
551.3, 0.850173
553.3, 0.850935
555.3, 0.851340
557.3, 0.850930
559.3, 0.852165
561.3, 0.848880
563.3, 0.850167
565.3, 0.850492
567.3, 0.849602
569.3, 0.852023
571.3, 0.851991
573.3, 0.852509
575.3, 0.852606
577.3, 0.854370
579.3, 0.853674
581.3, 0.853600
583.3, 0.853086
585.3, 0.854079
587.3, 0.852975
589.3, 0.853998
591.3, 0.853587
593.3, 0.853239
595.3, 0.852927
597.3, 0.853671
599.3, 0.851905
601.1, 0.852812
602.7, 0.853057
604.3, 0.853056
605.9, 0.852236
607.5, 0.851655
609.1, 0.851516
610.7, 0.851441
612.3, 0.852298
613.9, 0.851646
615.5, 0.852325
617.1, 0.852925
618.7, 0.851270
620.3, 0.852965
621.9, 0.852699
623.5, 0.853312
625.1, 0.853151
626.7, 0.853723
628.3, 0.854709
629.9, 0.852077
631.7, 0.854048
633.7, 0.853186
635.7, 0.854572
637.7, 0.853328
639.7, 0.852962
641.7, 0.853808
643.7, 0.853456
645.7, 0.854656
647.7, 0.853790
649.7, 0.854465
651.7, 0.854264
653.7, 0.853833
655.7, 0.855931
657.7, 0.855007
659.7, 0.853933
661.7, 0.854363
663.7, 0.856838
665.7, 0.855348
667.7, 0.854724
670.2, 0.854613
673.2, 0.855033
676.2, 0.854995
679.2, 0.856370
682.2, 0.854201
685.2, 0.855507
688.2, 0.854088
691.2, 0.856955
694.2, 0.854721
697.2, 0.857609
700.2, 0.857611
702.0, 0.857717
704.0, 0.856932
706.0, 0.857062
708.0, 0.857161
710.0, 0.857863
712.0, 0.857513
714.0, 0.858343
716.0, 0.857366
718.0, 0.857438
720.0, 0.856248
722.0, 0.858809
724.0, 0.857639
726.0, 0.857849
728.0, 0.856320
730.0, 0.857458
732.0, 0.859117
734.0, 0.856709
736.0, 0.857983
738.0, 0.857045
740.0, 0.858026
742.0, 0.855614
744.0, 0.854839
746.0, 0.854021
748.0, 0.853554
750.5, 0.852868
753.5, 0.852947
756.5, 0.853742
759.5, 0.853774
762.5, 0.853501
765.5, 0.854812
768.5, 0.855078
771.5, 0.856207
774.5, 0.856661
777.5, 0.856934
781.0, 0.855180
785.0, 0.857096
789.0, 0.858577
793.0, 0.859248
797.0, 0.858840
801.5, 0.858869
806.5, 0.861045
811.5, 0.859898
816.5, 0.860630
822.0, 0.859448
828.0, 0.860801
835.0, 0.859796
843.0, 0.859783
851.0, 0.863735
859.0, 0.859834
871.0, 0.856279
883.0, 0.855470
894.0, 0.853177
904.0, 0.852751
914.0, 0.849895
924.0, 0.849125
933.0, 0.843455
941.0, 0.840959
949.0, 0.831794
957.0, 0.821461
964.0, 0.807925
970.0, 0.791510
976.0, 0.776383
982.0, 0.776398
988.0, 0.785369
994.0, 0.791511
1000.0, 0.795259
1006.0, 0.798492
1012.0, 0.800453
1018.0, 0.805644
1023.5, 0.812393
1028.5, 0.813705
1033.5, 0.817522
1038.5, 0.821717
1043.5, 0.823309
1048.5, 0.827844
1053.5, 0.830854
1058.5, 0.832060
1063.5, 0.831232
1068.5, 0.832911
1073.5, 0.834049
1078.5, 0.834627
1083.5, 0.834162
1088.5, 0.833005
1093.5, 0.832678
1098.5, 0.831693
1103.5, 0.830603
1108.5, 0.828814
1113.5, 0.826629
1118.5, 0.825920
1123.5, 0.826075
1128.5, 0.822080
1133.5, 0.819281
1138.5, 0.815014
1143.5, 0.810808
1148.5, 0.806343
1153.5, 0.797210
1158.5, 0.788413
1163.5, 0.777094
1168.5, 0.764127
1173.5, 0.750902
1178.5, 0.739421
1183.5, 0.731211
1188.5, 0.724515
1193.5, 0.715896
1198.5, 0.712789
1203.5, 0.710392
1208.5, 0.707487
1213.5, 0.706202
1218.5, 0.704899
1223.5, 0.702242
1228.5, 0.700865
1233.5, 0.700441
1238.5, 0.700549
1243.5, 0.698531
1248.5, 0.698718
1253.5, 0.700672
1258.5, 0.701392
1263.5, 0.702371
1268.5, 0.703346
1273.5, 0.705536
1278.5, 0.706081
1283.5, 0.707346
1288.5, 0.704670
1293.5, 0.701063
1298.5, 0.697760
1303.5, 0.692101
1308.5, 0.685717
1313.5, 0.677619
1318.5, 0.667619
1323.5, 0.657475
1328.5, 0.645997
1333.5, 0.633735
1338.5, 0.625032
1343.5, 0.614272
1348.5, 0.608011
1353.5, 0.601166
1358.5, 0.599992
1363.5, 0.595238
1368.5, 0.590346
1373.5, 0.582894
1378.5, 0.572920
1383.5, 0.562644
1388.5, 0.543145
1393.5, 0.516652
1398.5, 0.489127
1403.5, 0.459340
1408.5, 0.420220
1413.5, 0.378399
1418.5, 0.336566
1423.5, 0.295625
1428.5, 0.269411
1433.5, 0.264708
1438.5, 0.276085
1443.5, 0.287066
1448.5, 0.286998
1453.5, 0.280231
1458.5, 0.272066
1463.5, 0.267891
1468.5, 0.268039
1473.5, 0.272313
1478.5, 0.277123
1483.5, 0.285404
1488.5, 0.289542
1493.5, 0.294434
1498.5, 0.298402
1503.5, 0.302820
1508.5, 0.307043
1513.5, 0.310647
1518.5, 0.317612
1523.5, 0.320053
1528.5, 0.325366
1534.0, 0.325773
1540.0, 0.327801
1546.0, 0.332137
1552.0, 0.336216
1558.0, 0.342407
1564.0, 0.339783
1570.5, 0.340316
1577.5, 0.340941
1584.5, 0.339371
1591.5, 0.338522
1598.5, 0.335834
1605.5, 0.332184
1612.5, 0.328520
1619.5, 0.325606
1626.5, 0.322895
1633.5, 0.319740
1640.5, 0.317908
1647.5, 0.317682
1654.5, 0.315797
1661.5, 0.312618
1668.5, 0.309291
1676.0, 0.309707
1684.0, 0.308190
1692.0, 0.307377
1700.0, 0.307615
1708.0, 0.308002
1716.0, 0.304298
1724.0, 0.302935
1732.0, 0.302165
1740.0, 0.299722
1748.0, 0.296399
1756.0, 0.297458
1764.0, 0.295202
1772.0, 0.294263
1780.0, 0.292524
1788.0, 0.296465
1796.0, 0.301367
1805.0, 0.301802
1815.0, 0.302884
1825.0, 0.303462
1835.0, 0.300239
1845.0, 0.293881
1855.0, 0.288781
1865.0, 0.275325
1875.0, 0.257251
1885.0, 0.232867
1895.0, 0.204522
1905.0, 0.173840
1915.0, 0.142791
1925.0, 0.114799
1935.0, 0.0862150
1945.0, 0.0676880
1955.0, 0.0588250
1965.0, 0.0637130
1975.0, 0.0734120
1985.0, 0.0800420
1995.0, 0.0894290
2005.0, 0.100163
2015.0, 0.109539
2025.0, 0.110159
2035.0, 0.112104
2045.0, 0.111805
2055.0, 0.112323
2065.0, 0.110060
2075.0, 0.108022
2085.0, 0.105607
2095.0, 0.102035
2105.0, 0.0959560
2115.0, 0.0906530
2125.0, 0.0857280
2135.0, 0.0904410
2145.0, 0.0916540
2155.0, 0.0890960
2165.0, 0.0824120
2175.0, 0.0809150
2185.0, 0.0866570
2195.0, 0.0962780
2205.0, 0.103330
2215.0, 0.112748
2225.0, 0.117080
2235.0, 0.118451
2245.0, 0.117474
2255.0, 0.123657
2265.0, 0.136157
2275.0, 0.141076
2285.0, 0.144954
2295.0, 0.146395
2305.0, 0.147223
2315.0, 0.142387
2325.0, 0.136413
2335.0, 0.131765
2345.0, 0.128523
2355.0, 0.119701
2365.0, 0.113268
2375.0, 0.104171
2386.0, 0.0946240
2400.0, 0.0853000
2418.0, 0.0751970
2440.0, 0.0645420
2466.0, 0.0562220
2496.0, 0.0503090
