Database of Origin,USGS Spectral Database
Sample Description,See USGS database for additional info
Date Added,2017-02-22 02:48:43.014977

Data ID,USGS_ura01          
Sample ID,uralite_hs345.23325
Mineral Name,uralite

Wavelength
221.1, 0.0549960
229.1, 0.0602690
236.1, 0.0620060
242.1, 0.0619700
248.1, 0.0592450
253.6, 0.0591050
258.6, 0.0600030
263.6, 0.0597890
268.6, 0.0602050
273.1, 0.0615450
277.1, 0.0624560
281.1, 0.0643420
285.1, 0.0654590
289.1, 0.0663660
293.1, 0.0718810
297.1, 0.0749270
301.1, 0.0777990
305.1, 0.0839790
309.1, 0.0891840
313.1, 0.0938740
317.1, 0.0991700
321.1, 0.105938
325.1, 0.112618
329.1, 0.119539
333.1, 0.126806
337.1, 0.133956
341.1, 0.141504
345.1, 0.148980
349.1, 0.153498
353.1, 0.163270
357.1, 0.169610
360.6, 0.175062
363.6, 0.180774
366.6, 0.184286
369.6, 0.188302
372.6, 0.193824
375.6, 0.196497
378.6, 0.200333
381.1, 0.203916
383.1, 0.206571
385.1, 0.209988
387.1, 0.211670
389.1, 0.214249
391.1, 0.219968
393.1, 0.220007
395.1, 0.220432
397.1, 0.225237
399.1, 0.224285
401.1, 0.229624
403.1, 0.230423
405.1, 0.232381
407.1, 0.233911
409.1, 0.237022
411.1, 0.237159
412.8, 0.240390
415.8, 0.244879
418.8, 0.247543
421.8, 0.251975
424.8, 0.254092
427.8, 0.258270
430.8, 0.262725
433.8, 0.266346
436.8, 0.270941
439.8, 0.271018
442.8, 0.269469
445.8, 0.271418
448.8, 0.273472
451.3, 0.276257
453.3, 0.277380
455.3, 0.279054
457.3, 0.282473
459.3, 0.282448
461.3, 0.288824
463.3, 0.290598
465.3, 0.291871
467.3, 0.292051
469.3, 0.296475
471.3, 0.299284
473.3, 0.302936
475.3, 0.302936
477.3, 0.305611
479.3, 0.310834
481.3, 0.312227
483.3, 0.315124
485.3, 0.315785
487.3, 0.317128
489.3, 0.319656
491.3, 0.322213
493.3, 0.323408
495.3, 0.323861
497.3, 0.324430
499.3, 0.330255
501.3, 0.333004
503.3, 0.334546
505.3, 0.335378
507.3, 0.338858
509.3, 0.337565
511.3, 0.341006
513.3, 0.339757
515.3, 0.341627
517.3, 0.343255
519.3, 0.345031
521.3, 0.345344
523.3, 0.348128
525.3, 0.349895
527.3, 0.347317
529.3, 0.349719
531.3, 0.350178
533.3, 0.349373
535.3, 0.353891
537.3, 0.354833
539.3, 0.354749
541.3, 0.350978
543.3, 0.354960
545.3, 0.355419
547.3, 0.356053
549.3, 0.356794
551.3, 0.356830
553.3, 0.355834
555.3, 0.351906
557.3, 0.354445
559.3, 0.356711
561.3, 0.355497
563.3, 0.354717
565.3, 0.353670
567.3, 0.355575
569.3, 0.353013
571.3, 0.352320
573.3, 0.354029
575.3, 0.353814
577.3, 0.353045
579.3, 0.352223
581.3, 0.350482
583.3, 0.350433
585.3, 0.347282
587.3, 0.349471
589.3, 0.344765
591.3, 0.349307
593.3, 0.346279
595.3, 0.345924
