Database of Origin,USGS Spectral Database
Sample Description,See USGS database for additional info
Date Added,2017-02-22 02:48:43.344319

Data ID,USGS_ver01          
Sample ID,vermiculite_gds13.23435
Mineral Name,vermiculite

Wavelength
236.1, 0.118239
242.1, 0.127000
248.1, 0.140489
253.6, 0.129294
258.6, 0.151042
263.6, 0.146301
268.6, 0.140293
273.1, 0.141567
277.1, 0.157801
281.1, 0.169168
285.1, 0.184699
289.1, 0.198389
293.1, 0.218847
297.1, 0.241324
301.1, 0.263484
305.1, 0.293445
309.1, 0.327268
313.1, 0.352090
317.1, 0.375212
321.1, 0.402320
325.1, 0.426892
329.1, 0.443504
333.1, 0.458065
337.1, 0.478620
341.1, 0.489447
345.1, 0.501763
349.1, 0.514787
353.1, 0.534095
357.1, 0.548285
360.6, 0.556302
363.6, 0.562155
366.6, 0.569918
369.6, 0.575921
372.6, 0.586264
375.6, 0.590632
378.6, 0.596603
381.1, 0.604297
383.1, 0.606230
385.1, 0.610516
387.1, 0.611638
389.1, 0.616061
391.1, 0.618025
393.1, 0.623553
395.1, 0.628105
397.1, 0.623467
399.1, 0.630108
401.1, 0.632113
403.1, 0.632350
405.1, 0.633491
407.1, 0.636464
409.1, 0.637993
411.1, 0.643580
412.8, 0.642913
415.8, 0.644772
418.8, 0.644812
421.8, 0.648099
424.8, 0.650907
427.8, 0.652757
430.8, 0.653783
433.8, 0.654942
436.8, 0.658220
439.8, 0.661386
442.8, 0.662355
445.8, 0.664791
448.8, 0.668830
451.3, 0.668861
453.3, 0.671498
455.3, 0.671977
457.3, 0.673576
459.3, 0.671983
461.3, 0.676096
463.3, 0.679256
465.3, 0.677760
467.3, 0.679553
469.3, 0.679004
471.3, 0.675804
473.3, 0.680509
475.3, 0.682566
477.3, 0.682000
479.3, 0.683928
481.3, 0.686944
483.3, 0.687697
485.3, 0.688585
487.3, 0.691055
489.3, 0.692702
491.3, 0.692463
493.3, 0.693867
495.3, 0.694572
497.3, 0.700540
499.3, 0.701894
501.3, 0.702039
503.3, 0.703698
505.3, 0.704603
507.3, 0.707950
509.3, 0.708508
511.3, 0.708211
513.3, 0.712060
515.3, 0.714260
517.3, 0.716945
