Database of Origin,USGS Spectral Database
Sample Description,See USGS database for additional info
Date Added,2017-02-22 02:48:43.717124

Data ID,USGS_wit01          
Sample ID,witherite_hs273.23583
Mineral Name,witherite

Wavelength
253.6, 0.489055
258.6, 0.483939
263.6, 0.479642
268.6, 0.483065
273.1, 0.487325
277.1, 0.485638
281.1, 0.488931
285.1, 0.491314
289.1, 0.493869
293.1, 0.494826
297.1, 0.501867
301.1, 0.510058
305.1, 0.517837
309.1, 0.529311
313.1, 0.537520
317.1, 0.547667
321.1, 0.553900
325.1, 0.564385
329.1, 0.566749
333.1, 0.573053
337.1, 0.582327
341.1, 0.589030
345.1, 0.588033
349.1, 0.595420
353.1, 0.603854
357.1, 0.610378
360.6, 0.615810
363.6, 0.622285
366.6, 0.627958
369.6, 0.632221
372.6, 0.637062
375.6, 0.643189
378.6, 0.645598
381.1, 0.652867
383.1, 0.654772
385.1, 0.655542
387.1, 0.660491
389.1, 0.663128
391.1, 0.665260
393.1, 0.669142
395.1, 0.672751
397.1, 0.676548
399.1, 0.680472
401.1, 0.683434
403.1, 0.687088
405.1, 0.689547
407.1, 0.692266
409.1, 0.695580
411.1, 0.697211
412.8, 0.698500
415.8, 0.704482
418.8, 0.706357
421.8, 0.710769
424.8, 0.714257
427.8, 0.717378
430.8, 0.721395
433.8, 0.723946
436.8, 0.727237
439.8, 0.729916
442.8, 0.731678
445.8, 0.733749
448.8, 0.737334
451.3, 0.741599
453.3, 0.744286
455.3, 0.744988
457.3, 0.745793
459.3, 0.748960
461.3, 0.750480
463.3, 0.752458
465.3, 0.754789
467.3, 0.756792
469.3, 0.758052
471.3, 0.760696
473.3, 0.761373
475.3, 0.761101
477.3, 0.764002
479.3, 0.765786
481.3, 0.766100
483.3, 0.769580
485.3, 0.771310
487.3, 0.772103
489.3, 0.773410
491.3, 0.774258
493.3, 0.776915
495.3, 0.775548
497.3, 0.777654
499.3, 0.780793
501.3, 0.780927
503.3, 0.782896
505.3, 0.782988
507.3, 0.785401
509.3, 0.786233
511.3, 0.788220
513.3, 0.789657
515.3, 0.790986
517.3, 0.794601
519.3, 0.794491
521.3, 0.797151
523.3, 0.797178
525.3, 0.798474
527.3, 0.800493
529.3, 0.801877
531.3, 0.802651
533.3, 0.802482
535.3, 0.806006
537.3, 0.804355
539.3, 0.806249
541.3, 0.809920
543.3, 0.809324
545.3, 0.809254
547.3, 0.812130
549.3, 0.810316
551.3, 0.811553
553.3, 0.813195
555.3, 0.813080
557.3, 0.813933
559.3, 0.815414
561.3, 0.813892
563.3, 0.815243
565.3, 0.815995
567.3, 0.816699
569.3, 0.817227
571.3, 0.817849
573.3, 0.817883
575.3, 0.818657
577.3, 0.818499
579.3, 0.819590
581.3, 0.821729
583.3, 0.822886
585.3, 0.823051
587.3, 0.823627
589.3, 0.823185
591.3, 0.825112
593.3, 0.822642
595.3, 0.823955
597.3, 0.825430
599.3, 0.824236
601.1, 0.825757
602.7, 0.825577
604.3, 0.825674
605.9, 0.823811
607.5, 0.823800
609.1, 0.827235
610.7, 0.826691
612.3, 0.828823
613.9, 0.827392
615.5, 0.827485
617.1, 0.828112
618.7, 0.828217
620.3, 0.827590
621.9, 0.827649
623.5, 0.829132
625.1, 0.829085
626.7, 0.829820
628.3, 0.830526
629.9, 0.827705
631.7, 0.830645
633.7, 0.830529
635.7, 0.831941
637.7, 0.829785
