Database of Origin,USGS Spectral Database
Sample Description,See USGS database for additional info
Date Added,2017-05-12 01:53:09.362284

Data ID,USGS_zun01          
Sample ID,zunyite_gds241b.23761
Mineral Name,zunyite

Wavelength
205.1, 0.497100
213.1, 0.428000
221.1, 0.383800
229.1, 0.387200
236.1, 0.417400
242.1, 0.453600
248.1, 0.489300
253.6, 0.516600
258.6, 0.534200
263.6, 0.542100
268.6, 0.543700
273.1, 0.544600
277.1, 0.539300
281.1, 0.532500
285.1, 0.521200
289.1, 0.509100
293.1, 0.496100
297.1, 0.485600
301.1, 0.484000
305.1, 0.476800
309.1, 0.471200
313.1, 0.466500
317.1, 0.462900
321.1, 0.460900
325.1, 0.458100
329.1, 0.455100
333.1, 0.454300
337.1, 0.452400
341.1, 0.451500
345.1, 0.451100
349.1, 0.449700
353.1, 0.450900
357.1, 0.450400
360.6, 0.449700
363.6, 0.450500
366.6, 0.450500
369.6, 0.450500
372.6, 0.451400
375.6, 0.451900
378.6, 0.454100
381.1, 0.455200
383.1, 0.456500
385.1, 0.458400
387.1, 0.460200
389.1, 0.463300
391.1, 0.465500
393.1, 0.468700
395.1, 0.472500
397.1, 0.476500
399.1, 0.481200
401.1, 0.485500
403.1, 0.490300
405.1, 0.494000
407.1, 0.497200
409.1, 0.500400
411.1, 0.505000
412.8, 0.506200
415.8, 0.509500
418.8, 0.512300
421.8, 0.514400
424.8, 0.516100
427.8, 0.517800
430.8, 0.519400
433.8, 0.520700
436.8, 0.522100
439.8, 0.523100
442.8, 0.524800
445.8, 0.525500
448.8, 0.528000
451.3, 0.528800
453.3, 0.529800
455.3, 0.530200
457.3, 0.530200
459.3, 0.531500
461.3, 0.531900
463.3, 0.532500
465.3, 0.533500
467.3, 0.533100
469.3, 0.533800
471.3, 0.534600
473.3, 0.534500
475.3, 0.535300
477.3, 0.535500
479.3, 0.536100
481.3, 0.536500
483.3, 0.537500
485.3, 0.537300
487.3, 0.538300
489.3, 0.538300
491.3, 0.538400
493.3, 0.539200
495.3, 0.539600
