Database of Origin,Western Washington University
Sample Description,Namibia Sands
Date Added,2018-02-05 20:26:03.189219

Data ID,WWU_NMB_01          
Sample ID,NMB_01
Mineral Name,Coarse inter-barchan ripple crest
Locality,"Lat: -24.1000459716, Long: 14.6472020354"
Viewing Geometry,0/23
Composition,Quartz sand w/ ferric coatings

Wavelength
351.0,0.122932218
352.0,0.124315977
353.0,0.12218298
354.0,0.117220819
355.0,0.116274312
356.0,0.118095867
357.0,0.117681801
358.0,0.113179326
359.0,0.114821009
360.0,0.114690274
361.0,0.11182335
362.0,0.109498806
363.0,0.111528374
364.0,0.1129812
365.0,0.111831993
366.0,0.111528136
367.0,0.112882942
368.0,0.113535948
369.0,0.111667089
370.0,0.111417532
371.0,0.111166269
372.0,0.110688657
373.0,0.110899784
374.0,0.111305274
375.0,0.11221239
376.0,0.113111146
377.0,0.111114159
378.0,0.112065487
379.0,0.11431364
380.0,0.114345938
381.0,0.114780203
382.0,0.114309132
383.0,0.113434814
384.0,0.114533484
385.0,0.11464256
386.0,0.1143471
387.0,0.114570387
388.0,0.115141816
389.0,0.116172105
390.0,0.116715603
391.0,0.115805984
392.0,0.11606741
393.0,0.117191665
394.0,0.118138358
395.0,0.117309362
396.0,0.118016489
397.0,0.11911656
398.0,0.119071484
399.0,0.119098015
400.0,0.119736239
401.0,0.120535918
402.0,0.120524041
403.0,0.120632209
404.0,0.121271349
405.0,0.122200683
406.0,0.122107044
407.0,0.122162409
408.0,0.122773014
409.0,0.123739727
410.0,0.12319117
411.0,0.123092912
412.0,0.123944186
413.0,0.124666408
414.0,0.125010803
415.0,0.125294596
416.0,0.125808969
417.0,0.126468807
418.0,0.126929566
419.0,0.127279848
420.0,0.12780261
421.0,0.128455877
422.0,0.129109338
423.0,0.129700765
424.0,0.130277261
425.0,0.130790576
426.0,0.13135393
427.0,0.13201353
428.0,0.132335722
429.0,0.132888705
430.0,0.133703604
431.0,0.134370744
432.0,0.134803817
433.0,0.135343477
434.0,0.136163324
435.0,0.1369216
436.0,0.137605995
437.0,0.138304964
438.0,0.139098242
439.0,0.139649272
440.0,0.140127823
441.0,0.140724629
442.0,0.141606271
443.0,0.142394841
444.0,0.143052191
445.0,0.143642083
446.0,0.144179136
447.0,0.144927114
448.0,0.145732686
449.0,0.146176264
450.0,0.146797717
451.0,0.147632122
452.0,0.148521289
453.0,0.149058655
454.0,0.149614766
455.0,0.150230691
456.0,0.150814414
457.0,0.151331976
458.0,0.151877657
459.0,0.152500033
460.0,0.153179675
461.0,0.153691307
462.0,0.15419136
463.0,0.154815212
464.0,0.155205697
465.0,0.15572305
466.0,0.156357348
467.0,0.156839177
468.0,0.157419682
469.0,0.158019364
470.0,0.158549279
471.0,0.158991396
472.0,0.15952301
473.0,0.160033435
474.0,0.160369992
475.0,0.160932705
476.0,0.161448076
477.0,0.161858633
478.0,0.162438408
479.0,0.162865162
480.0,0.163289621
481.0,0.163896814
482.0,0.164564788
483.0,0.165161535
484.0,0.165669084
485.0,0.166162491
486.0,0.16671975
487.0,0.167262927
488.0,0.167788446
489.0,0.168529332
490.0,0.169240013
491.0,0.169862866
492.0,0.170429707
493.0,0.170985207
494.0,0.171702057
495.0,0.172501117
496.0,0.1729808
497.0,0.173631921
498.0,0.174308807
499.0,0.174826205
500.0,0.175466388
501.0,0.17621991
502.0,0.176972881
503.0,0.177563325
504.0,0.178250745
505.0,0.178975523
506.0,0.179662243
507.0,0.180313259
508.0,0.180977196
509.0,0.181695148
510.0,0.182470173
511.0,0.183077112
512.0,0.183759049
513.0,0.18455638
514.0,0.185197353
515.0,0.185862929
516.0,0.186566249
517.0,0.187289372
518.0,0.188073307
519.0,0.1888583
520.0,0.189582676
521.0,0.190202132
522.0,0.190928847
523.0,0.191716254
524.0,0.192499503
525.0,0.193278924
526.0,0.194061607
527.0,0.194851279
528.0,0.195650399
529.0,0.196456984
530.0,0.197265416
531.0,0.198097944
532.0,0.199020967
533.0,0.199842587
534.0,0.200657725
535.0,0.201576874
536.0,0.202417612
537.0,0.203278765
538.0,0.204199761
539.0,0.205161184
540.0,0.20612444
541.0,0.20709978
542.0,0.208097965
543.0,0.209105521
544.0,0.210109755
545.0,0.211128891
546.0,0.21218881
547.0,0.213243112
548.0,0.214304939
549.0,0.215377659
550.0,0.216438949
551.0,0.217556641
552.0,0.218702897
553.0,0.219826311
554.0,0.220916435
555.0,0.221968055
556.0,0.22301124
557.0,0.224102005
558.0,0.225203142
559.0,0.226303577
560.0,0.227411613
561.0,0.228580594
562.0,0.229744479
563.0,0.230887786
564.0,0.23201862
565.0,0.233122483
566.0,0.234127507
567.0,0.235061258
568.0,0.236116588
569.0,0.237245351
570.0,0.23838976
571.0,0.239471599
572.0,0.240375713
573.0,0.241266638
574.0,0.242194295
575.0,0.24308911
576.0,0.243953317
577.0,0.244868666
578.0,0.24586767
579.0,0.246810943
580.0,0.247663155
581.0,0.248453364
582.0,0.249248937
583.0,0.250034571
584.0,0.250855505
585.0,0.251709282
586.0,0.252504796
587.0,0.253195733
588.0,0.253877014
589.0,0.254661709
590.0,0.255482703
591.0,0.25629884
592.0,0.257100046
593.0,0.257902175
594.0,0.258624911
595.0,0.259359896
596.0,0.260144085
597.0,0.260760725
598.0,0.261345834
599.0,0.261939406
600.0,0.262530595
601.0,0.263093978
602.0,0.263644248
603.0,0.264177024
604.0,0.264645636
605.0,0.26513499
606.0,0.265654474
607.0,0.266196817
608.0,0.266789049
609.0,0.267365366
610.0,0.267911255
611.0,0.268463105
612.0,0.26900804
613.0,0.269521475
614.0,0.269995898
615.0,0.270471543
616.0,0.270944118
617.0,0.271410972
618.0,0.271865547
619.0,0.272276253
620.0,0.272687316
621.0,0.273114681
622.0,0.273525566
623.0,0.273929894
624.0,0.274342865
625.0,0.27476576
626.0,0.275148302
627.0,0.275511622
628.0,0.275877982
629.0,0.276264518
630.0,0.276639014
631.0,0.277029663
632.0,0.277443677
633.0,0.277816176
634.0,0.278183639
635.0,0.278558761
636.0,0.278943837
637.0,0.279331774
638.0,0.279685706
639.0,0.280020684
640.0,0.280413598
641.0,0.280775338
642.0,0.281116903
643.0,0.28147018
644.0,0.281855762
645.0,0.282235652
646.0,0.282603115
647.0,0.282971591
648.0,0.283355057
649.0,0.283723772
650.0,0.284071594
651.0,0.28444007
652.0,0.284834594
653.0,0.28523019
654.0,0.285592854
655.0,0.285892099
656.0,0.286237627
657.0,0.286645174
658.0,0.287041068
659.0,0.287411898
660.0,0.287783951
661.0,0.288173854
662.0,0.288556606
663.0,0.288923562
664.0,0.289295048
665.0,0.289694875
666.0,0.290075213
667.0,0.290453017
668.0,0.290841699
669.0,0.291241735
670.0,0.291642964
671.0,0.292039245
672.0,0.292426437
673.0,0.292793512
674.0,0.293219894
675.0,0.29367283
676.0,0.294062674
677.0,0.294433653
678.0,0.294817477
679.0,0.295229942
680.0,0.2956644
681.0,0.296083391
682.0,0.296494037
683.0,0.296917468
684.0,0.297370911
685.0,0.297814697
686.0,0.298244208
687.0,0.298684716
688.0,0.299170822
689.0,0.299641639
690.0,0.30008322
691.0,0.30060491
692.0,0.301091731
693.0,0.301577359
694.0,0.302122474
695.0,0.302657813
696.0,0.303200275
697.0,0.303759426
698.0,0.304334819
699.0,0.304945201
700.0,0.3055484
701.0,0.306141615
702.0,0.306844324
703.0,0.307502031
704.0,0.308136404
705.0,0.308823943
706.0,0.309525758
707.0,0.310237318
708.0,0.31096223
709.0,0.311710954
710.0,0.312445223
711.0,0.313194007
712.0,0.313979
713.0,0.314764261
714.0,0.315543145
715.0,0.316318899
716.0,0.317096978
717.0,0.317864954
718.0,0.318633616
719.0,0.319406778
720.0,0.320180655
721.0,0.320966214
722.0,0.32175383
723.0,0.322526604
724.0,0.323256701
725.0,0.323960751
726.0,0.324668527
727.0,0.325404257
728.0,0.326124787
729.0,0.326847553
730.0,0.327557296
731.0,0.328200579
732.0,0.328867227
733.0,0.329523236
734.0,0.330140591
735.0,0.330777258
736.0,0.331431568
737.0,0.332064837
738.0,0.332641751
739.0,0.333269805
740.0,0.333879292
741.0,0.334459931
742.0,0.335076571
743.0,0.335648686
744.0,0.336167186
745.0,0.336669207
746.0,0.337270886
747.0,0.337824345
748.0,0.338348925
749.0,0.33891204
750.0,0.339435607
751.0,0.339939445
752.0,0.340438932
753.0,0.340938926
754.0,0.341432095
755.0,0.341891319
756.0,0.342329592
757.0,0.342855781
758.0,0.343371123
759.0,0.343844831
760.0,0.344283372
761.0,0.344741911
762.0,0.345197439
763.0,0.345640153
764.0,0.34607318
765.0,0.34648639
766.0,0.346891105
767.0,0.347300708
768.0,0.347724915
769.0,0.348144829
770.0,0.348565876
771.0,0.348996222
772.0,0.349438697
773.0,0.349786669
774.0,0.35010764
775.0,0.350549012
776.0,0.35095191
777.0,0.351294816
778.0,0.351612508
779.0,0.351988941
780.0,0.352371931
781.0,0.352732211
782.0,0.353067786
783.0,0.353435725
784.0,0.353812248
785.0,0.354170471
786.0,0.354485303
787.0,0.354739785
788.0,0.355028033
789.0,0.355376542
790.0,0.355739415
791.0,0.35607639
792.0,0.356400281
793.0,0.356709242
794.0,0.356951922
795.0,0.357258201
796.0,0.357608199
797.0,0.35793969
798.0,0.358231962
799.0,0.358458072
800.0,0.358675063
801.0,0.358976841
802.0,0.359343916
803.0,0.359702826
804.0,0.36000666
805.0,0.360251367
806.0,0.360491604
807.0,0.360752672
808.0,0.361055553
809.0,0.361438543
810.0,0.361745864
811.0,0.361963719
812.0,0.362163216
813.0,0.362522811
814.0,0.362867028
815.0,0.363152325
816.0,0.363431066
817.0,0.363712579
818.0,0.363985837
819.0,0.364258438
820.0,0.364560634
821.0,0.364869058
822.0,0.365152746
823.0,0.365406454
824.0,0.365684062
825.0,0.365949333
826.0,0.366245419
827.0,0.366594434
828.0,0.366836309
829.0,0.36704883
830.0,0.367284358
831.0,0.367562532
832.0,0.367812544
833.0,0.368119657
834.0,0.3684614
835.0,0.368702203
836.0,0.369030476
837.0,0.369347662
838.0,0.369591862
839.0,0.369861335
840.0,0.370147139
841.0,0.370424896
842.0,0.370677203
843.0,0.37093097
844.0,0.371204466
845.0,0.371497661
846.0,0.371794939
847.0,0.3720617
848.0,0.372291446
849.0,0.37249732
850.0,0.37270698
851.0,0.372941941
852.0,0.373180062
853.0,0.373431653
854.0,0.373752356
855.0,0.374051124
856.0,0.374332219
857.0,0.374603242
858.0,0.374830097
859.0,0.375071228
860.0,0.375345141
861.0,0.375644565
862.0,0.375931144
863.0,0.376186639
864.0,0.37641415
865.0,0.376640469
866.0,0.376945138
867.0,0.377228081
868.0,0.377463043
869.0,0.377692372
870.0,0.377936929
871.0,0.378189474
872.0,0.378426731
873.0,0.378620863
874.0,0.378890693
875.0,0.379154146
876.0,0.379379004
877.0,0.379685551
878.0,0.379990697
879.0,0.380282015
880.0,0.380550176
881.0,0.380739897
882.0,0.380931348
883.0,0.381170243
884.0,0.38147676
885.0,0.381849796
886.0,0.382128596
887.0,0.382299781
888.0,0.38245222
889.0,0.382703394
890.0,0.382993966
