Database of Origin,Western Washington University
Sample Description,"Calcium and Magnesium Sulfate Mixtures, laboratory resolution"
Date Added,2017-11-11 06:15:58.898620

Data ID,WWU_Sulf_15         
Sample ID,Ca_Sulf_15
Mineral Name,60% Anhydrite-40% Gypsum
Locality,Synthetic
Grain Size,500 - 1000 um
Viewing Geometry,35 degrees
Resolution,3nm/30nm
Composition,Synthetic calcium sulfate

Wavelength
351.0,0.928000782
352.0,0.9227466
353.0,0.917401175
354.0,0.915899098
355.0,0.9131936
356.0,0.910977797
357.0,0.909219354
358.0,0.907842581
359.0,0.908110712
360.0,0.907136752
361.0,0.904369219
362.0,0.901283451
363.0,0.904589549
364.0,0.908821559
365.0,0.909730522
366.0,0.906484648
367.0,0.905988289
368.0,0.906846408
369.0,0.906251072
370.0,0.906331537
371.0,0.904302001
372.0,0.902192907
373.0,0.905013672
374.0,0.905051188
375.0,0.904924486
376.0,0.906214954
377.0,0.90477376
378.0,0.904974344
379.0,0.905690951
380.0,0.90473937
381.0,0.905636979
382.0,0.906097138
383.0,0.905833202
384.0,0.906827566
385.0,0.907788198
386.0,0.907718429
387.0,0.906613078
388.0,0.906864261
389.0,0.906714851
390.0,0.906334909
391.0,0.90671411
392.0,0.907744757
393.0,0.908077967
394.0,0.907640681
395.0,0.908145842
396.0,0.908220713
397.0,0.907983516
398.0,0.907822012
399.0,0.907599131
400.0,0.90799051
401.0,0.9088093
402.0,0.909316273
403.0,0.909414508
404.0,0.909972655
405.0,0.911093062
406.0,0.911271761
407.0,0.91104559
408.0,0.911092075
409.0,0.911736856
410.0,0.911150737
411.0,0.910988738
412.0,0.911732825
413.0,0.912566508
414.0,0.91262015
415.0,0.912546268
416.0,0.912926704
417.0,0.913348111
418.0,0.913634589
419.0,0.913876063
420.0,0.914259048
421.0,0.914560993
422.0,0.914825752
423.0,0.914973022
424.0,0.914646559
425.0,0.915299403
426.0,0.916329392
427.0,0.916779595
428.0,0.916713858
429.0,0.917030366
430.0,0.917608588
431.0,0.917565724
432.0,0.91747514
433.0,0.917671033
434.0,0.918264805
435.0,0.919073395
436.0,0.91947053
437.0,0.919351151
438.0,0.918987007
439.0,0.919281877
440.0,0.919750838
441.0,0.920137609
442.0,0.920655276
443.0,0.921005681
444.0,0.921299975
445.0,0.921638369
446.0,0.921604555
447.0,0.921849977
448.0,0.92230627
449.0,0.922399486
450.0,0.922713196
451.0,0.92321515
452.0,0.92371373
453.0,0.923849647
454.0,0.924194457
455.0,0.924639312
456.0,0.924835537
457.0,0.924882597
458.0,0.925033817
459.0,0.925359375
460.0,0.925685098
461.0,0.925835166
462.0,0.926061008
463.0,0.926573575
464.0,0.927005185
465.0,0.927423055
466.0,0.927775187
467.0,0.927944835
468.0,0.928186639
469.0,0.928432474
