,NIR
401.0,0.085565329
402.0,0.081860468
403.0,0.10111644
404.0,0.09831815
405.0,0.15866501
406.0,0.065233426
407.0,0.14912192
408.0,0.045917284
409.0,0.23066485
410.0,-0.029484243
411.0,0.18115744
412.0,0.042832511
413.0,0.2515672
414.0,0.083259768
415.0,0.11983193
416.0,0.078239542
417.0,0.16672961
418.0,0.085579315
419.0,0.061529672
420.0,0.14405467
421.0,0.014323098
422.0,0.17633097
423.0,-0.0021237547
424.0,0.13975475
425.0,-0.04292023
426.0,0.14081226
427.0,-0.030794486
428.0,0.13255537
429.0,0.01491971
430.0,0.11525562
431.0,-0.0090682949
432.0,0.15433559
433.0,0.14449853
434.0,0.085005811
435.0,0.27223637
436.0,0.058742672
437.0,0.2703049
438.0,0.0082714936
439.0,0.091694699
440.0,0.054193293
441.0,0.22747251
442.0,0.072511748
443.0,0.3148586
444.0,0.088787655
445.0,0.27691534
446.0,0.15076147
447.0,0.28866304
448.0,0.21177814
449.0,0.14905923
450.0,0.28421049
451.0,0.14411221
452.0,0.23958171
453.0,0.10664047
454.0,0.25316284
455.0,0.11419696
456.0,0.25142805
457.0,0.04342676
458.0,0.25293201
459.0,0.050255926
460.0,0.20273311
461.0,0.10479769
462.0,0.25831554
463.0,0.18072617
464.0,0.22686063
465.0,0.31275093
466.0,0.25302315
467.0,0.24661038
468.0,0.073145326
469.0,0.29898555
470.0,0.18529084
471.0,0.31070568
472.0,0.22429815
473.0,0.30343086
474.0,0.14446947
475.0,0.40398056
476.0,0.13249472
477.0,0.19686343
478.0,0.20212627
479.0,0.25223604
480.0,0.39684661
481.0,0.28633709
482.0,0.40306044
483.0,0.24617188
484.0,0.30511475
485.0,0.32195503
486.0,0.34250239
487.0,0.17562658
488.0,0.37852404
489.0,0.2635401
490.0,0.49737008
491.0,0.31568963
492.0,0.32904947
493.0,0.36513009
494.0,0.52405889
495.0,0.60988592
496.0,0.53769496
497.0,0.54991724
498.0,0.42841778
499.0,0.43554263
500.0,0.47469097
501.0,0.44011459
502.0,0.36849514
503.0,0.45877745
504.0,0.29972037
505.0,0.4778583
506.0,0.49970345
507.0,0.50362064
508.0,0.49458788
509.0,0.65344859
510.0,0.58763891
511.0,0.71807655
512.0,0.63481453
513.0,0.60708832
514.0,0.67764029
515.0,0.61088755
516.0,0.60228843
517.0,0.60135206
518.0,0.76699063
519.0,0.79051
520.0,0.91988209
521.0,0.75167764
522.0,0.76246373
523.0,0.6790311
524.0,0.68751869
525.0,0.69259134
526.0,0.69001507
527.0,0.54154427
528.0,0.72355583
529.0,0.62148645
530.0,0.62347151
531.0,0.61471258
532.0,0.58641245
533.0,0.43594841
534.0,0.45989974
535.0,0.3419402
