,PAN
401.0,-0.046239828
402.0,0.040236738
403.0,0.019215274
404.0,-0.030069462
405.0,0.012424843
406.0,0.0090474642
407.0,-0.0090796828
408.0,-0.049998474
409.0,0.018897801
410.0,0.019334172
411.0,-0.023124578
412.0,-0.011899598
413.0,0.078031182
414.0,-0.0017567865
415.0,0.00061516652
416.0,0.039438513
417.0,0.021160105
418.0,0.0024964867
419.0,-0.0099217523
420.0,-0.0055654769
421.0,-0.099540805
422.0,0.0093193708
423.0,0.051632439
424.0,0.020787971
425.0,-0.017313843
426.0,0.0052172382
427.0,0.02272962
428.0,0.027865184
429.0,-0.018477542
430.0,-0.0023054651
431.0,-0.037879875
432.0,-0.065880454
433.0,0.043606226
434.0,-0.09061825
435.0,0.041198295
436.0,-0.025887119
437.0,0.10523634
438.0,-0.072575075
439.0,0.049447641
440.0,-0.0031226421
441.0,0.068870563
442.0,0.07137512
443.0,0.011655679
444.0,-0.073794765
445.0,-0.052220241
446.0,0.053922318
447.0,-0.046842504
448.0,0.03897986
449.0,-0.14251248
450.0,0.060419034
451.0,-0.1700468
452.0,-0.03203576
453.0,-0.055918454
454.0,0.032351878
455.0,-0.086002859
456.0,0.024999133
457.0,0.13926459
458.0,0.0029545284
459.0,-0.14191969
460.0,-0.017763546
461.0,-0.050858169
462.0,-0.050100205
463.0,-0.028529688
464.0,-0.057101193
465.0,-0.13643891
466.0,0.037713301
467.0,-0.039333942
468.0,-0.0047624932
469.0,-0.012859951
470.0,0.029589256
471.0,0.031863025
472.0,-0.072515215
473.0,0.10603286
474.0,0.023247765
475.0,0.0086268735
476.0,0.0050332025
477.0,0.01526904
478.0,-0.050968439
479.0,-0.069100861
480.0,0.052911663
481.0,-0.063626395
482.0,0.030181255
483.0,-0.010555944
484.0,0.10921823
485.0,-0.038076272
486.0,0.016912077
487.0,0.12025178
488.0,-0.044730287
489.0,0.01300767
490.0,0.0072848472
491.0,0.028053227
492.0,-0.025184311
493.0,0.098918145
494.0,0.073867868
495.0,0.013094341
496.0,-0.060740372
497.0,-0.027313581
498.0,-0.11021727
499.0,0.02677554
500.0,0.039258068
501.0,0.080020839
502.0,0.07683562
503.0,0.029365267
504.0,0.10048938
505.0,0.059046039
506.0,0.051884514
507.0,0.11990693
508.0,0.082431315
509.0,-0.035670771
510.0,0.010976591
511.0,0.022374229
512.0,-0.065204086
513.0,-0.0036192316
514.0,0.16455236
515.0,0.096646405
516.0,0.0073925285
517.0,0.031646793
518.0,-0.020675933
519.0,-0.083739574
520.0,-0.021989061
521.0,-0.035094256
522.0,0.062428559
523.0,0.087565667
524.0,0.09244287
525.0,0.07097942
526.0,0.0074744301
527.0,0.037747013
528.0,0.10363271
529.0,0.075220582
530.0,0.013348986
531.0,0.038294261
532.0,0.063391457
533.0,-0.040760006
534.0,-0.013295237
535.0,0.06181592
536.0,0.042280703
537.0,-0.0093162075
538.0,-0.10966688
539.0,0.0095497239
540.0,-0.027751114
541.0,0.055295595
542.0,-0.075823683
543.0,0.1147792
544.0,0.07347375
545.0,0.25044762
546.0,0.58019677
547.0,1.6532872
548.0,4.5775198
549.0,15.422116
550.0,59.368481
551.0,245.4284
552.0,829.48682
553.0,1541.0293
554.0,1949.064
555.0,2038.0019
556.0,1994.6394
557.0,1925.1102
558.0,1965.5858
559.0,1880.1143
560.0,1942.608
561.0,2082.764
562.0,1991.6763
563.0,2061.911
564.0,2018.0504
565.0,2030.9585
566.0,1922.7738
567.0,2045.7371
568.0,2029.8764
569.0,1995.9111
570.0,1992.1723
571.0,1924.9584
572.0,2056.0638
573.0,2076.4036
574.0,2073.44
575.0,2040.1284
576.0,2025.7387
577.0,2077.9672
578.0,2006.4645
579.0,2025.4463
580.0,2041.3855
581.0,2038.4094
582.0,2055.7981
583.0,2064.1426
584.0,2052.3063
585.0,2038.5893
586.0,1994.63
587.0,2057.4308
588.0,2043.7431
589.0,1827.5403
590.0,1942.6216
591.0,2045.5519
592.0,2023.5252
593.0,2029.9439
594.0,2024.8932
595.0,2011.656
596.0,2036.4383
597.0,2044.9222
598.0,2007.2365
599.0,2000.6177
600.0,2011.0929
601.0,1982.8866
602.0,1955.9927
603.0,1998.7256
604.0,2037.6038
605.0,2032.3919
606.0,2015.3839
607.0,2014.628
608.0,2003.5789
609.0,1982.3986
610.0,1967.8577
611.0,1960.5313
612.0,1995.1232
613.0,1970.8639
614.0,1920.7253
615.0,1996.9893
616.0,1943.3966
617.0,1919.9498
618.0,1990.1739
619.0,1994.4319
620.0,1992.897
621.0,2003.5302
622.0,1946.1015
623.0,1953.9658
624.0,1939.3872
625.0,1919.3301
626.0,1925.5195
627.0,1991.1247
628.0,1997.0705
629.0,1988.3184
630.0,1964.505
631.0,1956.2169
632.0,1875.7914
633.0,1972.3876
634.0,1933.6267
635.0,1948.7472
636.0,1903.1639
637.0,1968.511
638.0,1976.0531
639.0,1964.0766
640.0,1914.2393
641.0,1910.042
642.0,1902.0615
643.0,1916.9709
644.0,1899.4264
645.0,1918.2736
646.0,1880.2791
647.0,1904.8526
648.0,1905.8914
649.0,1847.357
650.0,1828.2563
651.0,1932.1417
652.0,1910.0638
653.0,1922.661
654.0,1896.1077
655.0,1834.6167
656.0,1596.8748
657.0,1673.7114
658.0,1862.2177
659.0,1869.9006
660.0,1893.4679
661.0,1901.5024
662.0,1911.4876
663.0,1903.4616
664.0,1886.7723
665.0,1900.8697
666.0,1886.4036
667.0,1864.9146
668.0,1867.3321
669.0,1896.5746
670.0,1868.9932
671.0,1865.1053
672.0,1846.1732
673.0,1865.6766
674.0,1864.4399
675.0,1856.2176
676.0,1878.5968
677.0,1861.2278
678.0,1869.441
679.0,1854.2097
680.0,1854.0847
681.0,1845.0685
682.0,1854.7791
683.0,1836.927
684.0,1826.6908
685.0,1830.4336
686.0,1793.757
687.0,1848.7607
688.0,1855.9713
689.0,1866.9499
690.0,1877.1697
691.0,1866.6185
692.0,1851.377
693.0,1863.7209
694.0,1871.571
695.0,1850.7342
696.0,1865.532
697.0,1859.639
698.0,1838.4308
699.0,1859.3056
700.0,1843.5344
701.0,1836.5478
702.0,1822.4286
703.0,1837.1292
704.0,1851.4564
705.0,1874.1734
706.0,1857.1329
707.0,1850.5641
708.0,1852.4072
709.0,1845.4449
710.0,1873.0405
711.0,1875.5634
712.0,1863.8734
713.0,1854.8053
714.0,1881.2864
715.0,1843.3349
716.0,1876.8334
717.0,1880.8258
718.0,1875.0814
719.0,1800.85
720.0,1868.5711
721.0,1879.393
722.0,1901.4863
723.0,1888.236
724.0,1914.8655
725.0,1899.2198
726.0,1904.0213
727.0,1911.4739
728.0,1909.7215
729.0,1825.6949
730.0,1912.9685
731.0,1880.8294
732.0,1919.2408
733.0,1894.6621
734.0,1939.0422
735.0,1925.2759
736.0,1907.5033
737.0,1919.196
738.0,1905.5816
739.0,1863.0494
740.0,1889.7857
741.0,1877.536
742.0,1872.7902
743.0,1916.0386
744.0,1929.6039
745.0,1927.0838
746.0,1920.1565
747.0,1919.6843
748.0,1905.721
749.0,1896.2299
750.0,1892.3015
751.0,1884.0165
752.0,1888.6455
753.0,1872.6605
754.0,1896.6054
755.0,1889.753
756.0,1869.2793
757.0,1868.2333
758.0,1888.9517
759.0,1867.6677
760.0,1891.6681
761.0,1887.4643
762.0,1896.1396
763.0,1919.4682
764.0,1931.9103
765.0,1921.107
766.0,1863.9378
767.0,1900.8843
768.0,1935.9068
769.0,1918.1418
770.0,1925.2834
771.0,1908.108
772.0,1920.4765
773.0,1921.8318
774.0,1920.4978
775.0,1922.5731
776.0,1931.6009
777.0,1923.3496
778.0,1924.7592
779.0,1934.3417
780.0,1910.8649
781.0,1902.4077
782.0,1904.8421
783.0,1893.0786
784.0,1878.9222
785.0,1888.9417
786.0,1899.5616
787.0,1902.5315
788.0,1898.493
789.0,1907.0891
790.0,1892.5764
791.0,1877.4179
792.0,1845.0585
793.0,1821.9482
794.0,1775.6025
795.0,1779.9899
796.0,1820.6024
797.0,1877.2877
798.0,1850.4242
799.0,1666.4965
